plot : lara croft is british , rich and kicks a lot of ass . 	Translation	Positive	Negative	EmotionRationale
i guess that's called lack of " character development " , right ? 	i guess that's called lack of " character development " , right ?	1	-2	 i[0] guess[0] that's[0] called[0] lack[-1] of[0] character[0] development[0] right[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
that's when a movie builds enough background into the characters on the screen , so that we could actually " get into " it and care about them . 	that's when a movie builds enough background into the characters on the screen , so that we could actually " get into " it and care about them .	2	-1	 that's[0] when[0] a[0] movie[0] builds[0] enough[0] background[0] into[0] the[0] characters[0] on[0] the[0] screen[0] so[0] that[0] we[0] could[0] actually[0] get[0] into[0] it[0] and[0] care[1] about[0] them[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i didn't care about anyone in this movie , and was bored during most of its " let's explain why we're doing all this gobbledygook " moments . 	i didn't care about anyone in this movie , and was bored during most of its " let's explain why we're doing all this gobbledygook " moments .	2	-2	 i[0] didn't[0] care[1] about[0] anyone[0] in[0] this[0] movie[0] and[0] was[0] bored[-1] during[0] most[0] of[0] its[0] let's[0] explain[0] why[0] we're[0] doing[0] all[0] this[0] gobbledygook[0] moments[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and even though i thought that jolie kicked some mighty ass ( damn , did she look sexy blasting those guns or what ? ! ? ) , everybody else around her was so goddamn boring ! 	and even though i thought that jolie kicked some mighty ass ( damn , did she look sexy blasting those guns or what ?<br> !<br> ?<br> ) , everybody else around her was so goddamn boring !	3	-3	 and[0] even[0] though[0] i[0] thought[0] that[0] jolie[0] kicked[-1] some[0] mighty[0] ass[0] damn[-1] did[0] she[0] look[0] sexy[2] blasting[0] those[0] guns[-1] or[0] what[0] [[Sentence=-2,3=word max, 1-5]] everybody[0] else[0] around[0] her[0] was[0] so[0] goddamn[-2] boring[-1] [[Sentence=-3,1=word max, 1-5]][[[3,-3 max of sentences]]]
her butler was a throwaway with no personality , her side-kick was supposed to be funny but just annoyed me every time he said the word " bugger " ( and he says it a lot , trust me ! ) and all of the so-called bad guys just spewed one-dimension ! 	her butler was a throwaway with no personality , her side-kick was supposed to be funny but just annoyed me every time he said the word " bugger " ( and he says it a lot , trust me !<br> ) and all of the so-called bad guys just spewed one-dimension !	2	-2	 her[0] butler[0] was[0] a[0] throwaway[0] with[0] no[0] personality[0] her[0] side[0] kick[-1] was[0] supposed[0] to[0] be[0] funny[1] but[0] just[0] annoyed[-2][--1 LastWordBoosterStrength] me[0] every[0] time[0] he[0] said[0] the[0] word[0] bugger[0] and[0] he[0] says[0] it[0] a[0] lot[0] trust[1] me[0] [[Sentence=-2,2=word max, 1-5]] and[0] all[0] of[0] the[0] so[0] called[0] bad[-1] guys[0] just[0] spewed[-1][--1 LastWordBoosterStrength] one[0] dimension[0] [[Sentence=-2,1=word max, 1-5]][[[2,-2 max of sentences]]]
they had no spark , no energy amongst them , and even though a few of the action scenes in the movie were cool ( see the trailer and you'll know which ones i'm talking about ) , the overall picture was lame and the dialogue and mystical bull-crap just buried it even further . 	they had no spark , no energy amongst them , and even though a few of the action scenes in the movie were cool ( see the trailer and you'll know which ones i'm talking about ) , the overall picture was lame and the dialogue and mystical bull-crap just buried it even further .	2	-3	 they[0] had[0] no[0] spark[0] no[0] energy[0] amongst[0] them[0] and[0] even[0] though[0] a[0] few[0] of[0] the[0] action[0] scenes[0] in[0] the[0] movie[0] were[0] cool[1] see[0] the[0] trailer[0] and[0] you'll[0] know[0] which[0] ones[0] i'm[0] talking[0] about[0] the[0] overall[0] picture[0] was[0] lame[-2] and[0] the[0] dialogue[0] and[0] mystical[0] bull[0] crap[-2] just[0] buried[-2][--1 LastWordBoosterStrength] it[0] even[0] further[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
also , for a movie that's supposed to be about all of these exotic locations , i wasn't necessarily impressed by any of its exterior shots , and even less so with its interiors , which all looked like they were shot in the same room . 	also , for a movie that's supposed to be about all of these exotic locations , i wasn't necessarily impressed by any of its exterior shots , and even less so with its interiors , which all looked like they were shot in the same room .	2	-2	 also[0] for[0] a[0] movie[0] that's[0] supposed[0] to[0] be[0] about[0] all[0] of[0] these[0] exotic[0] locations[0] i[0] wasn't[0] necessarily[0] impressed[1] by[0] any[0] of[0] its[0] exterior[0] shots[0] and[0] even[0] less[0] so[0] with[0] its[0] interiors[0] which[0] all[0] looked[0] like[1] they[0] were[0] shot[-1] in[0] the[0] same[0] room[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
mind you , i won't go as far as to say that it's the " worst movie of the year " ( remember that i actually have to go see freddie prinze jr . movies also ! ) , but it's definitely the worst film that i've seen during this summer movie season ( of course , it's still early and i'm sure there are a few more garbage heaps coming down the pike ) . 	mind you , i won't go as far as to say that it's the " worst movie of the year " ( remember that i actually have to go see freddie prinze jr .<br> movies also !<br> ) , but it's definitely the worst film that i've seen during this summer movie season ( of course , it's still early and i'm sure there are a few more garbage heaps coming down the pike ) .	1	-3	 mind[0] you[0] i[0] won't[0] go[0] as[0] far[0] as[0] to[0] say[0] that[0] it's[0] the[0] worst[-2] movie[0] of[0] the[0] year[0] remember[0] that[0] i[0] actually[0] have[0] to[0] go[0] see[0] freddie[0] prinze[0] jr[0] [[Sentence=-3,1=word max, 1-5]] movies[0] also[0] [[Sentence=-1,1=word max, 1-5]] but[0] it's[0] definitely[0] the[0] worst[-2] film[0] that[0] i've[0] seen[0] during[0] this[0] summer[0] movie[0] season[0] of[0] course[0] it's[0] still[0] early[0] and[0] i'm[0] sure[0] there[0] are[0] a[0] few[0] more[0] garbage[-2] heaps[0] coming[0] down[0] the[0] pike[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
skip this one altogether and rent any of the indiana jones movies instead . . . trust 	skip this one altogether and rent any of the indiana jones movies instead .<br> .<br> .<br> trust	2	-1	 skip[0] this[0] one[0] altogether[0] and[0] rent[0] any[0] of[0] the[0] indiana[0] jones[0] movies[0] instead[0] [[Sentence=-1,1=word max, 1-5]] trust[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
me , you'll miss the boobs but end your night with some rock-solid porn and it's all good ! 	me , you'll miss the bobs but end your night with some rock-solid porn and it's all good !	2	-2	 me[0] you'll[0] miss[-1] the[0] boobs/bobs[0] but[0] end[0] your[0] night[0] with[0] some[0] rock[1][-1 LastWordBoosterStrength] solid[0] porn[0] and[0] it's[0] all[0] good[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
where's joblo coming from ? 	where's joblo coming from ?	1	-1	 where's[0] joblo[0] coming[0] from[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
raiders of the lost ark ( 10/10 ) - the mummy ( 8/10 ) - lost in space ( 7/10 ) - the mummy returns ( 6/10 ) - the general's daughter ( 3/10 ) - romancing the stone ( 7/10 ) - wild wild west ( 3/10 ) - mission impossible 2 ( 7/10 ) 	raiders of the lost ark ( 10/10 ) - the mummy ( 8/10 ) - lost in space ( 7/10 ) - the mummy returns ( 6/10 ) - the general's daughter ( 3/10 ) - romancing the stone ( 7/10 ) - wild wild west ( 3/10 ) - mission impossible 2 ( 7/10 )	4	-1	 raiders[0] of[0] the[0] lost[0] ark[0] 10/10[0] the[0] mummy[0] 8/10[0] lost[0] in[0] space[0] 7/10[0] the[0] mummy[0] returns[0] 6/10[0] the[0] general's[0] daughter[0] 3/10[0] romancing[3] the[0] stone[0] 7/10[0] wild[0] wild[0] west[0] 3/10[0] mission[0] impossible[0] 2[0] 7/10[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
