i've never written a review for a movie i haven't watched all the way through , but i had to make an exception with powder . 	Translation	Positive	Negative	EmotionRationale
so the white-faced freak leaves his neverland ranch for the state home and faces the ridicule of other kids . 	so the white-faced freak leaves his neverland ranch for the state home and faces the ridicule of other kids .	1	-3	 so[0] the[0] white[0] faced[0] freak[-1] leaves[0] his[0] neverland[0] ranch[0] for[0] the[0] state[0] home[0] and[0] faces[0] the[0] ridicule[-2] of[0] other[0] kids[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
that is , until they try to haze him during his first cafeteria lunch by making him " wear " his spoon ( " you can either wear it on your nose or up your ass . " 	that is , until they try to haze him during his first cafeteria lunch by making him " wear " his spoon ( " you can either wear it on your nose or up your ass .<br> "	1	-1	 that[0] is[0] until[0] they[0] try[0] to[0] haze[0] him[0] during[0] his[0] first[0] cafeteria[0] lunch[0] by[0] making[0] him[0] wear[0] his[0] spoon[0] you[0] can[0] either[0] wear[0] it[0] on[0] your[0] nose[0] or[0] up[0] your[0] ass[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
decisions , decisions . . . ) and he uses telepathic powers to draw all the silverware in the room into a giant pile in the middle of the table . 	decisions , decisions .<br> .<br> .<br> ) and he uses telepathic powers to draw all the silverware in the room into a giant pile in the middle of the table .	1	-1	 decisions[0] decisions[0] [[Sentence=-1,1=word max, 1-5]] and[0] he[0] uses[0] telepathic[0] powers[0] to[0] draw[0] all[0] the[0] silverware[0] in[0] the[0] room[0] into[0] a[0] giant[0] pile[0] in[0] the[0] middle[0] of[0] the[0] table[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so if his father is the pillsbury dough boy , his mother must be sissy spacek's carrie character . 	so if his father is the pillsbury dough boy , his mother must be sissy spacek's carrie character .	1	-1	 so[0] if[0] his[0] father[0] is[0] the[0] pillsbury[0] dough[0] boy[0] his[0] mother[0] must[0] be[0] sissy[0] spacek's[0] carrie[0] character[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and you have to factor in two more things from the subsequent scenes , as we find out powder has some sort of super-intelligence ( " your i . q . 	and you have to factor in two more things from the subsequent scenes , as we find out powder has some sort of super-intelligence ( " your i .<br> q .	3	-1	 and[0] you[0] have[0] to[0] factor[0] in[0] two[0] more[0] things[0] from[0] the[0] subsequent[0] scenes[0] as[0] we[0] find[0] out[0] powder[0] has[0] some[0] sort[0] of[0] super[2] intelligence[0] your[0] i[0] [[Sentence=-1,3=word max, 1-5]] q[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
test went straight off the chart ! " ) 	test went straight off the chart !<br> " )	1	-1	 test[0] went[0] straight[0] off[0] the[0] chart[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and attracts electrical power . 	and attracts electrical power .	2	-1	 and[0] attracts[1] electrical[0] power[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this first shows up as powder visits the world of high school ( if he's such a genius already , why would he need a high school education ? ) and sits through a demonstration in jeff goldblum's science class . 	this first shows up as powder visits the world of high school ( if he's such a genius already , why would he need a high school education ?<br> ) and sits through a demonstration in jeff goldblum's science class .	1	-1	 this[0] first[0] shows[0] up[0] as[0] powder[0] visits[0] the[0] world[0] of[0] high[0] school[0] if[0] he's[0] such[0] a[0] genius[0] already[0] why[0] would[0] he[0] need[0] a[0] high[0] school[0] education[0] [[Sentence=-1,1=word max, 1-5]] and[0] sits[0] through[0] a[0] demonstration[0] in[0] jeff[0] goldblum's[0] science[0] class[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
goldblum plugs in a " jacob's ladder " device that shows current running up two wires and immediately the current flows across the room and into powder's chest . 	goldblum plugs in a " jacob's ladder " device that shows current running up two wires and immediately the current flows across the room and into powder's chest .	1	-1	 goldblum[0] plugs[0] in[0] a[0] jacob's[0] ladder[0] device[0] that[0] shows[0] current[0] running[0] up[0] two[0] wires[0] and[0] immediately[0] the[0] current[0] flows[0] across[0] the[0] room[0] and[0] into[0] powder's[0] chest[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but goldblum just stands there for about thirty seconds watching , instead of just unplugging the damn thing . 	but goldblum just stands there for about thirty seconds watching , instead of just unplugging the damn thing .	1	-2	 but[0] goldblum[0] just[0] stands[0] there[0] for[0] about[0] thirty[0] seconds[0] watching[0] instead[0] of[0] just[0] unplugging[0] the[0] damn[-1] thing[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i guess he was too busy contemplating why he was appearing in his third bad movie in a row ( following hideaway and nine months ) . 	i guess he was too busy contemplating why he was appearing in his third bad movie in a row ( following hideaway and nine months ) .	1	-2	 i[0] guess[0] he[0] was[0] too[0] busy[0] contemplating[0] why[0] he[0] was[0] appearing[0] in[0] his[0] third[0] bad[-1] movie[0] in[0] a[0] row[0] following[0] hideaway[0] and[0] nine[0] months[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
that's about all i saw before the big fight began and , let me tell you , that was twice as interesting as the movie itself . 	that's about all i saw before the big fight began and , let me tell you , that was twice as interesting as the movie itself .	2	-3	 that's[0] about[0] all[0] i[0] saw[0] before[0] the[0] big[0] fight[-2] began[0] and[0] let[0] me[0] tell[0] you[0] that[0] was[0] twice[0] as[0] interesting[1] as[0] the[0] movie[0] itself[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
but like i said , i saw enough to know this would be one of those terrible melodramas about the isolation of people who have superior abilities and how hard it is for those people to assimilate themselves into mainstream civilization . 	but like i said , i saw enough to know this would be one of those terrible melodramas about the isolation of people who have superior abilities and how hard it is for those people to assimilate themselves into mainstream civilization .	3	-4	 but[0] like[1] i[0] said[0] i[0] saw[0] enough[0] to[0] know[0] this[0] would[0] be[0] one[0] of[0] those[0] terrible[-3] melodramas[0] about[0] the[0] isolation[-1] of[0] people[0] who[0] have[0] superior[2] abilities[0] and[0] how[0] hard[0] it[0] is[0] for[0] those[0] people[0] to[0] assimilate[0] themselves[0] into[0] mainstream[0] civilization[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
none of these movies ever handle the subject properly , instead introducing the feeble beauty and the beast copout of having a beautiful woman fall in love with the guy's personality , overlooking his personal appearance . 	none of these movies ever handle the subject properly , instead introducing the feeble beauty and the beast copout of having a beautiful woman fall in love with the guy's personality , overlooking his personal appearance .	3	-2	 none[0] of[0] these[0] movies[0] ever[0] handle[0] the[0] subject[0] properly[0] instead[0] introducing[0] the[0] feeble[-1] beauty[2] and[0] the[0] beast[0] copout[0] of[0] having[0] a[0] beautiful[2] woman[0] fall[0] in[0] love[2] with[0] the[0] guy's[0] personality[0] overlooking[-1] his[0] personal[0] appearance[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
i already had the female character picked out ( the girl who was sitting next to him in the back of the room during the electrocution scene ) , but i guess i'll never know for sure what happened . 	i already had the female character picked out ( the girl who was sitting next to him in the back of the room during the electrocution scene ) , but i guess i'll never know for sure what happened .	1	-1	 i[0] already[0] had[0] the[0] female[0] character[0] picked[0] out[0] the[0] girl[0] who[0] was[0] sitting[0] next[0] to[0] him[0] in[0] the[0] back[0] of[0] the[0] room[0] during[0] the[0] electrocution[0] scene[0] but[0] i[0] guess[0] i'll[0] never[0] know[0] for[0] sure[0] what[0] happened[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
from noraruth@aol . com 	from noraruth@aol .<br> com	1	-1	 from[0] noraruth@aol[0] [[Sentence=-1,1=word max, 1-5]] com[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mon jun 10 15 : 04 : 03 edt 1996 article : 3654 of rec . arts . movies . reviews 	mon jun 10 15 : 04 : 03 edt 1996 article : 3654 of rec .<br> arts .<br> movies .<br> reviews	1	-1	 mon[0] jun[0] 10[0] 15[0] 04[0] 03[0] edt[0] 1996[0] article[0] 3654[0] of[0] rec[0] [[Sentence=-1,1=word max, 1-5]] arts[0] [[Sentence=-1,1=word max, 1-5]] movies[0] [[Sentence=-1,1=word max, 1-5]] reviews[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
path : nntphub . cb . att . com ! not-for-mail 	path : nntphub .<br> cb .<br> at .<br> com !<br> not-for-mail	1	-1	 path[0] nntphub[0] [[Sentence=-1,1=word max, 1-5]] cb[0] [[Sentence=-1,1=word max, 1-5]] att/at[0] [[Sentence=-1,1=word max, 1-5]] com[0] [[Sentence=-1,1=word max, 1-5]] not[0] for[0] mail[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
from : noraruth@aol . com 	from : noraruth@aol .<br> com	1	-1	 from[0] noraruth@aol[0] [[Sentence=-1,1=word max, 1-5]] com[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( andrew hicks ) newsgroups : rec . arts . movies . reviews , rec . arts . sf . reviews 	 ( andrew hicks ) newsgroups : rec .<br> arts .<br> movies .<br> reviews , rec .<br> arts .<br> sf .<br> reviews	1	-1	 andrew[0] hicks[0] newsgroups[0] rec[0] [[Sentence=-1,1=word max, 1-5]] arts[0] [[Sentence=-1,1=word max, 1-5]] movies[0] [[Sentence=-1,1=word max, 1-5]] reviews[0] rec[0] [[Sentence=-1,1=word max, 1-5]] arts[0] [[Sentence=-1,1=word max, 1-5]] sf[0] [[Sentence=-1,1=word max, 1-5]] reviews[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
subject : review : powder ( 1995 ) followup-to : rec . arts . movies . current-films , rec . arts . sf . movies 	subject : review : powder ( 1995 ) followup-to : rec .<br> arts .<br> movies .<br> current-films , rec .<br> arts .<br> sf .<br> movies	1	-1	 subject[0] review[0] powder[0] 1995[0] followup[0] to[0] rec[0] [[Sentence=-1,1=word max, 1-5]] arts[0] [[Sentence=-1,1=word max, 1-5]] movies[0] [[Sentence=-1,1=word max, 1-5]] current[0] films[0] rec[0] [[Sentence=-1,1=word max, 1-5]] arts[0] [[Sentence=-1,1=word max, 1-5]] sf[0] [[Sentence=-1,1=word max, 1-5]] movies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
date : 10 jun 1996 18 : 16 : 03 gmt organization : university of missouri - columbia lines : 70 sender : ecl@mtcts1 . att . com 	date : 10 jun 1996 18 : 16 : 03 gmt organization : university of missouri - columbia lines : 70 sender : ecl@mtcts1 .<br> at .<br> com	1	-1	 date[0] 10[0] jun[0] 1996[0] 18[0] 16[0] 03[0] gmt[0] organization[0] university[0] of[0] missouri[0] columbia[0] lines[0] 70[0] sender[0] ecl@mtcts1[0] [[Sentence=-1,1=word max, 1-5]] att/at[0] [[Sentence=-1,1=word max, 1-5]] com[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( evelyn c . leeper ) approved : ecl@mtcts1 . att . com 	 ( evelyn c .<br> leper ) approved : ecl@mtcts1 .<br> at .<br> com	1	-1	 evelyn[0] c[0] [[Sentence=-1,1=word max, 1-5]] leeper/leper[0] approved[0] ecl@mtcts1[0] [[Sentence=-1,1=word max, 1-5]] att/at[0] [[Sentence=-1,1=word max, 1-5]] com[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
message-id : "   reply-to : noraruth@aol . com 	message-id : "   reply-to : noraruth@aol .<br> com	1	-1	 message[0] id[0] reply[0] to[0] noraruth@aol[0] [[Sentence=-1,1=word max, 1-5]] com[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( andrew hicks ) nntp-posting-host : mtcts2 . mt . lucent . com 	 ( andrew hicks ) nntp-posting-host : mtcts2 .<br> mt .<br> lucent .<br> com	1	-1	 andrew[0] hicks[0] nntp[0] posting[0] host[0] mtcts2[0] [[Sentence=-1,1=word max, 1-5]] mt[0] [[Sentence=-1,1=word max, 1-5]] lucent[0] [[Sentence=-1,1=word max, 1-5]] com[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
summary : r . a . m . r . 	summary : are .<br> a .<br> m .<br> are .	1	-1	 summary[0] r[0] [[Sentence=-1,1=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]] m[0] [[Sentence=-1,1=word max, 1-5]] r[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
#05425 keywords : author hicks originator : ecl@mtcts2 xref : nntphub . cb . att . com 	#05425 keywords : author hicks originator : ecl@mtcts2 xref : nntphub .<br> cb .<br> at .<br> com	1	-1	 #05425[0] keywords[0] author[0] hicks[0] originator[0] ecl@mtcts2[0] xref[0] nntphub[0] [[Sentence=-1,1=word max, 1-5]] cb[0] [[Sentence=-1,1=word max, 1-5]] att/at[0] [[Sentence=-1,1=word max, 1-5]] com[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
rec . arts . movies . reviews : 3654 	rec .<br> arts .<br> movies .<br> reviews : 3654	1	-1	 rec[0] [[Sentence=-1,1=word max, 1-5]] arts[0] [[Sentence=-1,1=word max, 1-5]] movies[0] [[Sentence=-1,1=word max, 1-5]] reviews[0] 3654[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
rec . arts . sf . reviews : 710 	rec .<br> arts .<br> sf .<br> reviews : 710	1	-1	 rec[0] [[Sentence=-1,1=word max, 1-5]] arts[0] [[Sentence=-1,1=word max, 1-5]] sf[0] [[Sentence=-1,1=word max, 1-5]] reviews[0] 710[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
status : ro 	status : ro	1	-1	 status[0] ro[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
powder a film review by andrew hicks copyright 1996 andrew hicks / fatboy productions 	powder a film review by andrew hicks copyright 1996 andrew hicks / fatboy productions	1	-1	 powder[0] a[0] film[0] review[0] by[0] andrew[0] hicks[0] copyright[0] 1996[0] andrew[0] hicks[0] /[0] fatboy[0] productions[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i've never written a review for a movie i haven't watched all the way through , but i had to make an exception with powder . 	i've never written a review for a movie i haven't watched all the way through , but i had to make an exception with powder .	1	-1	 i've[0] never[0] written[0] a[0] review[0] for[0] a[0] movie[0] i[0] haven't[0] watched[0] all[0] the[0] way[0] through[0] but[0] i[0] had[0] to[0] make[0] an[0] exception[0] with[0] powder[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i was about forty-five minutes into this one at a friend's house when he and his brother got into a huge shouting match that would have ended in violence had we not left the house . 	i was about forty-five minutes into this one at a friend's house when he and his brother got into a huge shouting match that would have ended in violence had we not left the house .	2	-4	 i[0] was[0] about[0] forty[0] five[0] minutes[0] into[0] this[0] one[0] at[0] a[0] friend's[1] house[0] when[0] he[0] and[0] his[0] brother[0] got[0] into[0] a[0] huge[0] shouting[0] match[0] that[0] would[0] have[0] ended[0] in[0] violence[-3] had[0] we[0] not[0] left[0] the[0] house[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
so i never got to finish the movie and i'm sure as hell not going to pay three more bucks to watch half of a bad movie . 	so i never got to finish the movie and i'm sure as hell not going to pay three more bucks to watch half of a bad movie .	1	-2	 so[0] i[0] never[0] got[0] to[0] finish[0] the[0] movie[0] and[0] i'm[0] sure[0] as[0] hell[-1] not[0] going[0] to[0] pay[0] three[0] more[0] bucks[0] to[0] watch[0] half[0] of[0] a[0] bad[-1] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but i can at least get a partial review out of it , because i saw enough to know this one wasn't worth finishing in the first place . 	but i can at least get a partial review out of it , because i saw enough to know this one wasn't worth finishing in the first place .	1	-1	 but[0] i[0] can[0] at[0] least[0] get[0] a[0] partial[0] review[0] out[0] of[0] it[0] because[0] i[0] saw[0] enough[0] to[0] know[0] this[0] one[0] wasn't[0] worth[0] finishing[0] in[0] the[0] first[0] place[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie centers around a freaky teenager who's spent his entire life living in the cellar of his grandparents' house . 	the movie centers around a freaky teenager who's spent his entire life living in the cellar of his grandparents' house .	1	-2	 the[0] movie[0] centers[0] around[0] a[0] freaky[-1] teenager[0] who's[0] spent[0] his[0] entire[0] life[0] living[0] in[0] the[0] cellar[0] of[0] his[0] grandparents'[0] house[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when grandpa dies ( taking his department store down with him ) , social worker mary steenburgen has to take powder ( first and middle names ? 	when grandpa dies ( taking his department store down with him ) , social worker mary steenburgen has to take powder ( first and middle names ?	1	-1	 when[0] grandpa[0] dies[0] taking[0] his[0] department[0] store[0] down[0] with[0] him[0] social[0] worker[0] mary[0] steenburgen[0] has[0] to[0] take[0] powder[0] first[0] and[0] middle[0] names[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
gold bond ) to a state home , where we find out he's a different from the other kids . 	gold bond ) to a state home , where we find out he's a different from the other kids .	1	-1	 gold[0] bond[0] to[0] a[0] state[0] home[0] where[0] we[0] find[0] out[0] he's[0] a[0] different[0] from[0] the[0] other[0] kids[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
actually , we find out he's different when we first see him , because he's the most pale individual we've ever seen and moreover he has no body hair whatsoever . 	actually , we find out he's different when we first see him , because he's the most pale individual we've ever seen and moreover he has no body hair whatsoever .	1	-1	 actually[0] we[0] find[0] out[0] he's[0] different[0] when[0] we[0] first[0] see[0] him[0] because[0] he's[0] the[0] most[0] pale[0] individual[0] we've[0] ever[0] seen[0] and[0] moreover[0] he[0] has[0] no[0] body[0] hair[0] whatsoever[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when powder is born in the opening minutes of the movie , the father takes one look at him and says " he's not my son . " 	when powder is born in the opening minutes of the movie , the father takes one look at him and says " he's not my son .<br> "	1	-1	 when[0] powder[0] is[0] born[0] in[0] the[0] opening[0] minutes[0] of[0] the[0] movie[0] the[0] father[0] takes[0] one[0] look[0] at[0] him[0] and[0] says[0] he's[0] not[0] my[0] son[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
obviously . 	obviously .	1	-1	 obviously[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
all i want to know is where the pillsbury dough boy was nine months ago . 	all i want to know is where the pillsbury dough boy was nine months ago .	1	-1	 all[0] i[0] want[0] to[0] know[0] is[0] where[0] the[0] pillsbury[0] dough[0] boy[0] was[0] nine[0] months[0] ago[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so the white-faced freak leaves his neverland ranch for the state home and faces the ridicule of other kids . 	so the white-faced freak leaves his neverland ranch for the state home and faces the ridicule of other kids .	1	-3	 so[0] the[0] white[0] faced[0] freak[-1] leaves[0] his[0] neverland[0] ranch[0] for[0] the[0] state[0] home[0] and[0] faces[0] the[0] ridicule[-2] of[0] other[0] kids[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
that is , until they try to haze him during his first cafeteria lunch by making him " wear " his spoon ( " you can either wear it on your nose or up your ass . " 	that is , until they try to haze him during his first cafeteria lunch by making him " wear " his spoon ( " you can either wear it on your nose or up your ass .<br> "	1	-1	 that[0] is[0] until[0] they[0] try[0] to[0] haze[0] him[0] during[0] his[0] first[0] cafeteria[0] lunch[0] by[0] making[0] him[0] wear[0] his[0] spoon[0] you[0] can[0] either[0] wear[0] it[0] on[0] your[0] nose[0] or[0] up[0] your[0] ass[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
decisions , decisions . . . ) and he uses telepathic powers to draw all the silverware in the room into a giant pile in the middle of the table . 	decisions , decisions .<br> .<br> .<br> ) and he uses telepathic powers to draw all the silverware in the room into a giant pile in the middle of the table .	1	-1	 decisions[0] decisions[0] [[Sentence=-1,1=word max, 1-5]] and[0] he[0] uses[0] telepathic[0] powers[0] to[0] draw[0] all[0] the[0] silverware[0] in[0] the[0] room[0] into[0] a[0] giant[0] pile[0] in[0] the[0] middle[0] of[0] the[0] table[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so if his father is the pillsbury dough boy , his mother must be sissy spacek's carrie character . 	so if his father is the pillsbury dough boy , his mother must be sissy spacek's carrie character .	1	-1	 so[0] if[0] his[0] father[0] is[0] the[0] pillsbury[0] dough[0] boy[0] his[0] mother[0] must[0] be[0] sissy[0] spacek's[0] carrie[0] character[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and you have to factor in two more things from the subsequent scenes , as we find out powder has some sort of super-intelligence ( " your i . q . 	and you have to factor in two more things from the subsequent scenes , as we find out powder has some sort of super-intelligence ( " your i .<br> q .	3	-1	 and[0] you[0] have[0] to[0] factor[0] in[0] two[0] more[0] things[0] from[0] the[0] subsequent[0] scenes[0] as[0] we[0] find[0] out[0] powder[0] has[0] some[0] sort[0] of[0] super[2] intelligence[0] your[0] i[0] [[Sentence=-1,3=word max, 1-5]] q[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
test went straight off the chart ! " ) 	test went straight off the chart !<br> " )	1	-1	 test[0] went[0] straight[0] off[0] the[0] chart[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and attracts electrical power . 	and attracts electrical power .	2	-1	 and[0] attracts[1] electrical[0] power[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this first shows up as powder visits the world of high school ( if he's such a genius already , why would he need a high school education ? ) and sits through a demonstration in jeff goldblum's science class . 	this first shows up as powder visits the world of high school ( if he's such a genius already , why would he need a high school education ?<br> ) and sits through a demonstration in jeff goldblum's science class .	1	-1	 this[0] first[0] shows[0] up[0] as[0] powder[0] visits[0] the[0] world[0] of[0] high[0] school[0] if[0] he's[0] such[0] a[0] genius[0] already[0] why[0] would[0] he[0] need[0] a[0] high[0] school[0] education[0] [[Sentence=-1,1=word max, 1-5]] and[0] sits[0] through[0] a[0] demonstration[0] in[0] jeff[0] goldblum's[0] science[0] class[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
goldblum plugs in a " jacob's ladder " device that shows current running up two wires and immediately the current flows across the room and into powder's chest . 	goldblum plugs in a " jacob's ladder " device that shows current running up two wires and immediately the current flows across the room and into powder's chest .	1	-1	 goldblum[0] plugs[0] in[0] a[0] jacob's[0] ladder[0] device[0] that[0] shows[0] current[0] running[0] up[0] two[0] wires[0] and[0] immediately[0] the[0] current[0] flows[0] across[0] the[0] room[0] and[0] into[0] powder's[0] chest[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but goldblum just stands there for about thirty seconds watching , instead of just unplugging the damn thing . 	but goldblum just stands there for about thirty seconds watching , instead of just unplugging the damn thing .	1	-2	 but[0] goldblum[0] just[0] stands[0] there[0] for[0] about[0] thirty[0] seconds[0] watching[0] instead[0] of[0] just[0] unplugging[0] the[0] damn[-1] thing[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
