one of the most respected names in american independent filmmaking is john sayles . 	Translation	Positive	Negative	EmotionRationale
in shame and disappointment fuentes asks the student what has happened to the others . 	in shame and disappointment fuentes asks the student what has happened to the others .	1	-3	 in[0] shame[-2] and[0] disappointment[-1] fuentes[0] asks[0] the[0] student[0] what[0] has[0] happened[0] to[0] the[0] others[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the student tells him the others are still in the mountains , but suggests that it may not be a good place to be . 	the student tells him the others are still in the mountains , but suggests that it may not be a good place to be .	2	-1	 the[0] student[0] tells[0] him[0] the[0] others[0] are[0] still[0] in[0] the[0] mountains[0] but[0] suggests[0] that[0] it[0] may[0] not[0] be[0] a[0] good[1] place[0] to[0] be[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
fuentes goes off to find and visit the doctors , ignoring the advice of his family and a patient who happens to be an army general . 	fuentes goes off to find and visit the doctors , ignoring the advice of his family and a patient who happens to be an army general .	1	-1	 fuentes[0] goes[0] off[0] to[0] find[0] and[0] visit[0] the[0] doctors[0] ignoring[0] the[0] advice[0] of[0] his[0] family[0] and[0] a[0] patient[0] who[0] happens[0] to[0] be[0] an[0] army[0] general[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the results are little different than one would expect . 	the results are little different than one would expect .	1	-1	 the[0] results[0] are[0] little[0] different[0] than[0] one[0] would[0] expect[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
dr . fuentes starts out incredibly naive . 	dr .<br> fuentes starts out incredibly naive .	1	-4	 dr[0] [[Sentence=-1,1=word max, 1-5]] fuentes[0] starts[0] out[0] incredibly[0] naive[-1][-2 LastWordBoosterStrength] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
even some american tourists , present in the film mostly for comic relief , seem to know better than dr . fuentes that things have gotten pretty bad in the mountains . 	even some american tourists , present in the film mostly for comic relief , seem to know better than dr .<br> fuentes that things have gotten pretty bad in the mountains .	3	-2	 even[0] some[0] american[0] tourists[0] present[0] in[0] the[0] film[0] mostly[0] for[0] comic[0] relief[1] seem[0] to[0] know[0] better[0] than[0] dr[0] [[Sentence=-1,2=word max, 1-5]] fuentes[0] that[0] things[0] have[0] gotten[0] pretty[2] bad[-1] in[0] the[0] mountains[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
but fuentes has to go from one scene of barbarity to another and discover how wrong he was . 	but fuentes has to go from one scene of barbarity to another and discover how wrong he was .	1	-3	 but[0] fuentes[0] has[0] to[0] go[0] from[0] one[0] scene[0] of[0] barbarity[-2] to[0] another[0] and[0] discover[0] how[0] wrong[-1] he[0] was[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
sayles certainly could have used 126 minute of screen time to tell us something more profound than that nasty things are happening down there and most of the worst happens to the unarmed civilians . 	sayles certainly could have used 126 minute of screen time to tell us something more profound than that nasty things are happening down there and most of the worst happens to the unarmed civilians .	1	-3	 sayles[0] certainly[0] could[0] have[0] used[0] 126[0] minute[0] of[0] screen[0] time[0] to[0] tell[0] us[0] something[0] more[0] profound[0] than[0] that[0] nasty[-2] things[0] are[0] happening[0] down[0] there[0] and[0] most[0] of[0] the[0] worst[-2] happens[0] to[0] the[0] unarmed[0] civilians[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the cast is mostly unknowns to american audiences . 	the cast is mostly unknowns to american audiences .	1	-1	 the[0] cast[0] is[0] mostly[0] unknowns[0] to[0] american[0] audiences[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
federico luppi is the good mexican actor who played the antique dealer torn by mysterious forces in cronos . 	federico luppi is the good mexican actor who played the antique dealer torn by mysterious forces in cronos .	2	-1	 federico[0] luppi[0] is[0] the[0] good[1] mexican[0] actor[0] who[0] played[0] the[0] antique[0] dealer[0] torn[0] by[0] mysterious[0] forces[0] in[0] cronos[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
damian delgado makes a late appearance as an army deserter . 	damian delgado makes a late appearance as an army deserter .	1	-1	 damian[0] delgado[0] makes[0] a[0] late[0] appearance[0] as[0] an[0] army[0] deserter[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mandy patinkin has a small role made to look bigger in the trailer . 	mandy patinkin has a small role made to look bigger in the trailer .	1	-1	 mandy[0] patinkin[0] has[0] a[0] small[0] role[0] made[0] to[0] look[0] bigger[0] in[0] the[0] trailer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
