capsule : a science fiction allegory . 	Translation	Positive	Negative	EmotionRationale
- upstairs neighbor vomits through , pours water , etc . a small and almost entirely one-sided war starts . 	- upstairs neighbor vomits through , pours water , etc .<br> a small and almost entirely one-sided war starts .	1	-3	 upstairs[0] neighbor[0] vomits[-2] through[0] pours[0] water[0] etc[0] [[Sentence=-3,1=word max, 1-5]] a[0] small[0] and[0] almost[0] entirely[0] one[0] sided[0] war[-2] starts[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
allegory about callousness and selfishness . 	allegory about callousness and selfishness .	1	-4	 allegory[0] about[0] callousness[-3] and[0] selfishness[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
- woman is living on a pile of rolls of toilet tissue . 	- woman is living on a pile of rolls of toilet tissue .	1	-1	 woman[0] is[0] living[0] on[0] a[0] pile[0] of[0] rolls[0] of[0] toilet[0] tissue[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
- incongruous songs added to show downstairs neighbors dreams . 	- incongruous songs added to show downstairs neighbors dreams .	1	-1	 incongruous[0] songs[0] added[0] to[0] show[0] downstairs[0] neighbors[0] dreams[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
these are the songs of popular taiwanese singer grace chang . 	these are the songs of popular taiwanese singer grace chang .	3	-1	 these[0] are[0] the[0] songs[0] of[0] popular[0] taiwanese[0] singer[0] grace[2] chang[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
- apartment is falling apart . 	- apartment is falling apart .	1	-1	 apartment[0] is[0] falling[0] apart[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
wallpaper is separating from walls . 	wallpaper is separating from walls .	1	-1	 wallpaper[0] is[0] separating[0] from[0] walls[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
plumbing is failing . 	plumbing is failing .	1	-3	 plumbing[0] is[0] failing[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
- boredom shown by long cuts in which nothing happens . 	- boredom shown by long cuts in which nothing happens .	1	-2	 boredom[-1] shown[0] by[0] long[0] cuts[0] in[0] which[0] nothing[0] happens[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a lot of film seems to be used up . 	a lot of film seems to be used up .	1	-1	 a[0] lot[0] of[0] film[0] seems[0] to[0] be[0] used[0] up[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
- this story might have been done much better as a ten-minute animated film . 	- this story might have been done much better as a ten-minute animated film .	1	-1	 this[0] story[0] might[0] have[0] been[0] done[0] much[0] better[0] as[0] a[0] ten[0] minute[0] animated[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
- stars are considered to be great dramatic actors by one reviewer . 	- stars are considered to be great dramatic actors by one reviewer .	3	-1	 stars[0] are[0] considered[0] to[0] be[0] great[2] dramatic[0] actors[0] by[0] one[0] reviewer[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
- this film seems longer at 95 minutes most two-hour films . 	- this film seems longer at 95 minutes most two-hour films .	1	-1	 this[0] film[0] seems[0] longer[0] at[0] 95[0] minutes[0] most[0] two[0] hour[0] films[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
