remember back in the mid 1990s when crime and macabre movies were all the rage ? 	Translation	Positive	Negative	EmotionRationale
along the way we continually learn of the shady dealings between the exec , his wife , their hired goons and the " bag man " ( played by james caan - the only actor in the film who looks like he knows what he's doing ) . 	along the way we continually learn of the shady dealings between the exec , his wife , their hired goons and the " bag man " ( played by james can - the only actor in the film who looks like he knows what he's doing ) .	2	-2	 along[0] the[0] way[0] we[0] continually[0] learn[0] of[0] the[0] shady[-1] dealings[0] between[0] the[0] exec[0] his[0] wife[0] their[0] hired[0] goons[0] and[0] the[0] bag[0] man[0] played[0] by[0] james[0] caan/can[0] the[0] only[0] actor[0] in[0] the[0] film[0] who[0] looks[0] like[1] he[0] knows[0] what[0] he's[0] doing[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the exec is some kind of money launderer so he obviously can't call the authorities for help . 	the exec is some kind of money launderer so he obviously can't call the authorities for help .	1	-1	 the[0] exec[0] is[0] some[0] kind[1][-1 LastWordBoosterStrength] of[0] money[0] launderer[0] so[0] he[0] obviously[0] can't[0] call[0] the[0] authorities[0] for[0] help[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his goons and the bag man are on the kidnappers' trail and each make different offers to get the mother back . 	his goons and the bag man are on the kidnappers' trail and each make different offers to get the mother back .	1	-1	 his[0] goons[0] and[0] the[0] bag[0] man[0] are[0] on[0] the[0] kidnappers'[0] trail[0] and[0] each[0] make[0] different[0] offers[0] to[0] get[0] the[0] mother[0] back[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the exec's son is a doctor who also gets pulled into the fray and wants to make sure his patient is all right . 	the exec's son is a doctor who also gets pulled into the fray and wants to make sure his patient is all right .	1	-1	 the[0] exec's[0] son[0] is[0] a[0] doctor[0] who[0] also[0] gets[0] pulled[0] into[0] the[0] fray[0] and[0] wants[0] to[0] make[0] sure[0] his[0] patient[0] is[0] all[0] right[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
meanwhile each of these characters has something hidden up their collective sleeves and the double-crosses , secret love affairs and torrid pasts come as no surprise even though little of it has any relevance at all . 	meanwhile each of these characters has something hidden up their collective sleeves and the double-crosses , secret love affairs and torrid pasts come as no surprise even though little of it has any relevance at all .	3	-1	 meanwhile[0] each[0] of[0] these[0] characters[0] has[0] something[0] hidden[0] up[0] their[0] collective[0] sleeves[0] and[0] the[0] double[0] crosses[0] secret[0] love[2] affairs[0] and[0] torrid[0] pasts[0] come[0] as[0] no[0] surprise[0] even[0] though[0] little[0] of[0] it[0] has[0] any[0] relevance[0] at[0] all[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
mcquarrie doesn't know the meaning of the word simple . 	mcquarrie doesn't know the meaning of the word simple .	1	-1	 mcquarrie[0] doesn't[0] know[0] the[0] meaning[0] of[0] the[0] word[0] simple[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he seems to be more interested in showing us how clever he is than making a good movie . 	he seems to be more interested in showing us how clever he is than making a good movie .	2	-1	 he[0] seems[0] to[0] be[0] more[0] interested[1] in[0] showing[0] us[0] how[0] clever[0] he[0] is[0] than[0] making[0] a[0] good[1] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
everything has to be complicated and confusing , so much so that it's to the point of surrealism . 	everything has to be complicated and confusing , so much so that it's to the point of surrealism .	1	-2	 everything[0] has[0] to[0] be[0] complicated[-1] and[0] confusing[-1] so[0] much[0] so[0] that[0] it's[0] to[0] the[0] point[0] of[0] surrealism[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
nothing is what it seems in this reality , it's one of those movies where you get dropped right into the middle of the criminal world and are expected to know most of the industry's rules and regulations . 	nothing is what it seems in this reality , it's one of those movies where you get dropped right into the middle of the criminal world and are expected to know most of the industry's rules and regulations .	1	-2	 nothing[0] is[0] what[0] it[0] seems[0] in[0] this[0] reality[0] it's[0] one[0] of[0] those[0] movies[0] where[0] you[0] get[0] dropped[0] right[0] into[0] the[0] middle[0] of[0] the[0] criminal[-1] world[0] and[0] are[0] expected[0] to[0] know[0] most[0] of[0] the[0] industry's[0] rules[0] and[0] regulations[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
every scene with caan's character exemplifies this perfectly - the kidnappers already know who he is and even chat with him , getting into conversations about " the business " and how it works and we're hardly given a clue as to what they're talking about . 	every scene with can's character exemplifies this perfectly - the kidnappers already know who he is and even chat with him , getting into conversations about " the business " and how it works and we're hardly given a clue as to what they're talking about .	2	-1	 every[0] scene[0] with[0] caan's/can's[0] character[0] exemplifies[0] this[0] perfectly[1] the[0] kidnappers[0] already[0] know[0] who[0] he[0] is[0] and[0] even[0] chat[0] with[0] him[0] getting[0] into[0] conversations[0] about[0] the[0] business[0] and[0] how[0] it[0] works[0] and[0] we're[0] hardly[0] given[0] a[0] clue[0] as[0] to[0] what[0] they're[0] talking[0] about[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
these characters are probably supposed to be great criminal sketches but they're more like ideas ripped-off from sketches found in david mamet's trash . 	these characters are probably supposed to be great criminal sketches but they're more like ideas ripped-off from sketches found in david mamet's trash .	3	-2	 these[0] characters[0] are[0] probably[0] supposed[0] to[0] be[0] great[2] criminal[-1] sketches[0] but[0] they're[0] more[0] like[1] ideas[0] ripped[0] off[0] from[0] sketches[0] found[0] in[0] david[0] mamet's[0] trash[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
no one here really acts like a real person , and the story is even further removed from reality . 	no one here really acts like a real person , and the story is even further removed from reality .	2	-1	 no[0] one[0] here[0] really[0] acts[0] like[1] a[0] real[0] person[0] and[0] the[0] story[0] is[0] even[0] further[0] removed[0] from[0] reality[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's like a dream without any appeal . 	it's like a dream without any appeal .	2	-1	 it's[0] like[1] a[0] dream[0] without[0] any[0] appeal[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
take the opening scene for example ; the phillipe and del toro characters are in a parking lot across the street from a bar or a club counting their money and stuff . 	take the opening scene for example ; the phillipe and del toro characters are in a parking lot across the street from a bar or a club counting their money and stuff .	1	-1	 take[0] the[0] opening[0] scene[0] for[0] example[0] the[0] phillipe[0] and[0] del[0] toro[0] characters[0] are[0] in[0] a[0] parking[0] lot[0] across[0] the[0] street[0] from[0] a[0] bar[0] or[0] a[0] club[0] counting[0] their[0] money[0] and[0] stuff[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they sit on a brand-new mercedes and the car alarm goes off , the owner is waiting in line and yells at them to get away from his car but they don't move . 	they sit on a brand-new mercedes and the car alarm goes off , the owner is waiting in line and yells at them to get away from his car but they don't move .	1	-3	 they[0] sit[0] on[0] a[0] brand[0] new[0] mercedes[0] and[0] the[0] car[0] alarm[-2] goes[0] off[0] the[0] owner[0] is[0] waiting[0] in[0] line[0] and[0] yells[0] at[0] them[0] to[0] get[0] away[0] from[0] his[0] car[0] but[0] they[0] don't[0] move[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the guy and his loud-mouth , potty-mouth girlfriend and about 20 other people cross the street and gang up on them . 	the guy and his loud-mouth , potty-mouth girlfriend and about 20 other people cross the street and gang up on them .	1	-2	 the[0] guy[0] and[0] his[0] loud[0] mouth[0] potty[0] mouth[0] girlfriend[0] and[0] about[0] 20[0] other[0] people[0] cross[-1] the[0] street[0] and[0] gang[0] up[0] on[0] them[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
you'd think phillipe ? and del toro are ? going to pull out guns and scare them away but they don't , instead phillipe throws one punch and the two get beat down by a mob . 	you'd think phillipe ?<br> and del toro are ?<br> going to pull out guns and scare them away but they don't , instead phillipe throws one punch and the two get beat down by a mob .	1	-4	 you'd[0] think[0] phillipe[0] [[Sentence=-1,1=word max, 1-5]] and[0] del[0] toro[0] are[0] [[Sentence=-1,1=word max, 1-5]] going[0] to[0] pull[0] out[0] guns[-1] and[0] scare[-3] them[0] away[0] but[0] they[0] don't[0] instead[0] phillipe[0] throws[0] one[0] punch[-1] and[0] the[0] two[0] get[0] beat[0] down[0] by[0] a[0] mob[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
there's a lot of things i didn't understand about this scene : first of all the owner of the mercedes isn't some yuppie or old rich snob , he's like a hippie straight out of the 60s . 	there's a lot of things i didn't understand about this scene : first of all the owner of the mercedes isn't some yuppie or old rich snob , he's like a hippie straight out of the 60s .	2	-3	 there's[0] a[0] lot[0] of[0] things[0] i[0] didn't[0] understand[0] about[0] this[0] scene[0] first[0] of[0] all[0] the[0] owner[0] of[0] the[0] mercedes[0] isn't[0] some[0] yuppie[0] or[0] old[0] rich[0] snob[-2] he's[0] like[1] a[0] hippie[0] straight[0] out[0] of[0] the[0] 60s[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
secondly , the two main characters seem to believe that they can actually take on the mob unarmed . 	secondly , the two main characters seem to believe that they can actually take on the mob unarmed .	1	-1	 secondly[0] the[0] two[0] main[0] characters[0] seem[0] to[0] believe[0] that[0] they[0] can[0] actually[0] take[0] on[0] the[0] mob[0] unarmed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
lastly , it serves no purpose in the long run because later in the film the two are packing more artillery than a small country's army . 	lastly , it serves no purpose in the long run because later in the film the two are packing more artillery than a small country's army .	1	-1	 lastly[0] it[0] serves[0] no[0] purpose[0] in[0] the[0] long[0] run[0] because[0] later[0] in[0] the[0] film[0] the[0] two[0] are[0] packing[0] more[0] artillery[0] than[0] a[0] small[0] country's[0] army[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if they were suicidal they wouldn't have gone on the kidnapping job in the first place ( and where they get all those guns is never explained either ) . 	if they were suicidal they wouldn't have gone on the kidnapping job in the first place ( and where they get all those guns is never explained either ) .	1	-2	 if[0] they[0] were[0] suicidal[0] they[0] wouldn't[0] have[0] gone[0] on[0] the[0] kidnapping[0] job[0] in[0] the[0] first[0] place[0] and[0] where[0] they[0] get[0] all[0] those[0] guns[-1] is[0] never[0] explained[0] either[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there's a lot more i could pick apart about this film but that would be an exercise in futility . 	there's a lot more i could pick apart about this film but that would be an exercise in futility .	1	-2	 there's[0] a[0] lot[0] more[0] i[0] could[0] pick[0] apart[0] about[0] this[0] film[0] but[0] that[0] would[0] be[0] an[0] exercise[0] in[0] futility[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
what it all comes down to is that nothing here is what it seems - which would be great if this movie were about pretty much any other story than what it is . 	what it all comes down to is that nothing here is what it seems - which would be great if this movie were about pretty much any other story than what it is .	3	-1	 what[0] it[0] all[0] comes[0] down[0] to[0] is[0] that[0] nothing[0] here[0] is[0] what[0] it[0] seems[0] which[0] would[0] be[0] great[2] if[0] this[0] movie[0] were[0] about[0] pretty[2] much[0] any[0] other[0] story[0] than[0] what[0] it[0] is[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
absolutely none of the characters are likable or believable . 	absolutely none of the characters are likable or believable .	1	-1	 absolutely[0] none[0] of[0] the[0] characters[0] are[0] likable[0] or[0] believable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and it's all coated with a thin layer of black comedy which is good for a chuckle here and there but this film is definitely not a flat-out black comedy and its use of such seems like a desperate attempt to kill screen time . 	and it's all coated with a thin layer of black comedy which is good for a chuckle here and there but this film is definitely not a flat-out black comedy and its use of such seems like a desperate attempt to kill screen time .	3	-3	 and[0] it's[0] all[0] coated[0] with[0] a[0] thin[0] layer[0] of[0] black[0] comedy[0] which[0] is[0] good[1] for[0] a[0] chuckle[2] here[0] and[0] there[0] but[0] this[0] film[0] is[0] definitely[0] not[0] a[0] flat[0] out[0] black[0] comedy[0] and[0] its[0] use[0] of[0] such[0] seems[0] like[1] a[0] desperate[-2] attempt[0] to[0] kill[-1] screen[0] time[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
with any film you see , whether you like it or not , you can at least understand what the appeal was to it , why someone would want to make it and why someone would want to see it . 	with any film you see , whether you like it or not , you can at least understand what the appeal was to it , why someone would want to make it and why someone would want to see it .	2	-1	 with[0] any[0] film[0] you[0] see[0] whether[0] you[0] like[1] it[0] or[0] not[0] you[0] can[0] at[0] least[0] understand[0] what[0] the[0] appeal[0] was[0] to[0] it[0] why[0] someone[0] would[0] want[0] to[0] make[0] it[0] and[0] why[0] someone[0] would[0] want[0] to[0] see[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i can't say either for " the way of the gun , " because it has very little going for it and i can't imagine anyone intelligently defending it . 	i can't say either for " the way of the gun , " because it has very little going for it and i can't imagine anyone intelligently defending it .	2	-2	 i[0] can't[0] say[0] either[0] for[0] the[0] way[0] of[0] the[0] gun[-1] because[0] it[0] has[0] very[0] little[0] going[0] for[0] it[0] and[0] i[0] can't[0] imagine[0] anyone[0] intelligently[1] defending[0] it[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
