star wars : ? episode i -- the phantom menace ( 1999 ) 	Translation	Positive	Negative	EmotionRationale
and when the first previews were released last thanksgiving , i was ready to see the film . 	and when the first previews were released last thanksgiving , i was ready to see the film .	1	-1	 and[0] when[0] the[0] first[0] previews[0] were[0] released[0] last[0] thanksgiving[0] i[0] was[0] ready[0] to[0] see[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but then there was the hype , the insane marketing campaign , and lucasfilm's secretive snobbery over the picture . 	but then there was the hype , the insane marketing campaign , and lucasfilm's secretive snobbery over the picture .	1	-3	 but[0] then[0] there[0] was[0] the[0] hype[0] the[0] insane[-1] marketing[0] campaign[0] and[0] lucasfilm's[0] secretive[0] snobbery[-2] over[0] the[0] picture[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in the last weeks before the picture opened , while multitudes of fans waited outside of theaters and stood in the boiling sun days in advance just to be the first ones in the theater , i was tired of hearing about it . 	in the last weeks before the picture opened , while multitudes of fans waited outside of theaters and stood in the boiling sun days in advance just to be the first ones in the theater , i was tired of hearing about it .	1	-2	 in[0] the[0] last[0] weeks[0] before[0] the[0] picture[0] opened[0] while[0] multitudes[0] of[0] fans[0] waited[0] outside[0] of[0] theaters[0] and[0] stood[0] in[0] the[0] boiling[0] sun[0] days[0] in[0] advance[0] just[0] to[0] be[0] the[0] first[0] ones[0] in[0] the[0] theater[0] i[0] was[0] tired[-1] of[0] hearing[0] about[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i was tired of seeing cardboard cut-outs of the characters whenever i went to kfc or taco bell . 	i was tired of seeing cardboard cut-outs of the characters whenever i went to kfc or taco bell .	1	-2	 i[0] was[0] tired[-1] of[0] seeing[0] cardboard[0] cut[0] outs[0] of[0] the[0] characters[0] whenever[0] i[0] went[0] to[0] kfc[0] or[0] taco[0] bell[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i just wanted to see the movie . 	i just wanted to see the movie .	1	-1	 i[0] just[0] wanted[0] to[0] see[0] the[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
reader , do not misunderstand . 	reader , do not misunderstand .	2	-1	 reader[0] do[0] not[0] misunderstand[-1][NegatedDueToPreviousWord] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i did not have an anti-hype reaction . 	i did not have an anti-hype reaction .	1	-1	 i[0] did[0] not[0] have[0] an[0] anti[0] hype[0] reaction[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the hype was unavoidable . 	the hype was unavoidable .	1	-2	 the[0] hype[0] was[0] unavoidable[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i understand and accept the hype -- it's just what happens when the prequel to the most widely beloved films of all time get released . 	i understand and accept the hype - it's just what happens when the prequel to the most widely beloved films of all time get released .	3	-1	 i[0] understand[0] and[0] accept[0] the[0] hype[0] it's[0] just[0] what[0] happens[0] when[0] the[0] prequel[0] to[0] the[0] most[0] widely[0] beloved[2] films[0] of[0] all[0] time[0] get[0] released[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
five minutes into the phantom menace , i knew there was a problem . 	five minutes into the phantom menace , i knew there was a problem .	1	-3	 five[0] minutes[0] into[0] the[0] phantom[0] menace[-2] i[0] knew[0] there[0] was[0] a[0] problem[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 " who are these jedi knights ? " 	 " who are these jedi knights ?<br> "	1	-1	 who[0] are[0] these[0] jedi[0] knights[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i asked . 	i asked .	1	-1	 i[0] asked[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " why are they churning out stale dialogue with machine-gun rapidity ? " 	 " why are they churning out stale dialogue with machine-gun rapidity ?<br> "	1	-2	 why[0] are[0] they[0] churning[0] out[0] stale[-1] dialogue[0] with[0] machine[0] gun[-1] rapidity[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " why aren't these characters being developed before their adventures ? " 	 " why aren't these characters being developed before their adventures ?<br> "	1	-1	 why[0] aren't[0] these[0] characters[0] being[0] developed[0] before[0] their[0] adventures[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " why is there a special effects shot in nearly every frame of the entire film ? " 	 " why is there a special effects shot in nearly every frame of the entire film ?<br> "	2	-2	 why[0] is[0] there[0] a[0] special[1] effects[0] shot[-1] in[0] nearly[0] every[0] frame[0] of[0] the[0] entire[0] film[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
these were just some of my questions early on . 	these were just some of my questions early on .	1	-1	 these[0] were[0] just[0] some[0] of[0] my[0] questions[0] early[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
later , i asked , " where's the magic of the first three films ? " 	later , i asked , " where's the magic of the first three films ?<br> "	1	-1	 later[0] i[0] asked[0] where's[0] the[0] magic[0] of[0] the[0] first[0] three[0] films[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and " why am i looking at my watch every fifteen minutes ? ' 	and " why am i looking at my watch every fifteen minutes ?<br> '	1	-1	 and[0] why[0] am[0] i[0] looking[0] at[0] my[0] watch[0] every[0] fifteen[0] minutes[0] [[Sentence=-1,1=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
by the end of the film , i was tired , maddened , and depressed . 	by the end of the film , i was tired , maddened , and depressed .	1	-4	 by[0] the[0] end[0] of[0] the[0] film[0] i[0] was[0] tired[-1] maddened[-2] and[0] depressed[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
george lucas has funneled his own wonderful movies into a pointless , mindless , summer blockbuster . 	george lucas has funneled his own wonderful movies into a pointless , mindless , summer blockbuster .	3	-2	 george[0] lucas[0] has[0] funneled[0] his[0] own[0] wonderful[2] movies[0] into[0] a[0] pointless[-1] mindless[0] summer[0] blockbuster[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the phantom menace is no star wars film . 	the phantom menace is no star wars film .	1	-3	 the[0] phantom[0] menace[-2] is[0] no[0] star[0] wars[-2] film[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
take away the title and the jedi talk and the force , and you're left with what is easily one of the most vacuous special effects movies of all time . 	take away the title and the jedi talk and the force , and you're left with what is easily one of the most vacuous special effects movies of all time .	2	-2	 take[0] away[0] the[0] title[0] and[0] the[0] jedi[0] talk[0] and[0] the[0] force[-1] and[0] you're[0] left[0] with[0] what[0] is[0] easily[0] one[0] of[0] the[0] most[0] vacuous[0] special[1] effects[0] movies[0] of[0] all[0] time[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's an embarrassment . 	it's an embarrassment .	1	-3	 it's[0] an[0] embarrassment[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i looked desperately for a scene in which a character is explored , or a new theme is examined , or a special effects shot isn't used . 	i looked desperately for a scene in which a character is explored , or a new theme is examined , or a special effects shot isn't used .	2	-3	 i[0] looked[0] desperately[-2] for[0] a[0] scene[0] in[0] which[0] a[0] character[0] is[0] explored[0] or[0] a[0] new[0] theme[0] is[0] examined[0] or[0] a[0] special[1] effects[0] shot[-1] isn't[0] used[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
there are a few of each , but they're all token attempts . 	there are a few of each , but they're all token attempts .	1	-1	 there[0] are[0] a[0] few[0] of[0] each[0] but[0] they're[0] all[0] token[0] attempts[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the fact is , george lucas has created what is simultaneously an abysmally bad excuse for a movie and a pretty good showcase for digital effects . 	the fact is , george lucas has created what is simultaneously an abysmally bad excuse for a movie and a pretty good showcase for digital effects .	3	-2	 the[0] fact[0] is[0] george[0] lucas[0] has[0] created[0] what[0] is[0] simultaneously[0] an[0] abysmally[0] bad[-1] excuse[0] for[0] a[0] movie[0] and[0] a[0] pretty[2] good[1] showcase[0] for[0] digital[0] effects[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
this is not what i wanted to see . 	this is not what i wanted to see .	1	-1	 this[0] is[0] not[0] what[0] i[0] wanted[0] to[0] see[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i didn't want to leave the phantom menace with a headache and a bitter taste in my mouth , but i did . 	i didn't want to leave the phantom menace with a headache and a bitter taste in my mouth , but i did .	1	-3	 i[0] didn't[0] want[0] to[0] leave[0] the[0] phantom[0] menace[-2] with[0] a[0] headache[-1] and[0] a[0] bitter[-1] taste[0] in[0] my[0] mouth[0] but[0] i[0] did[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the story centers mostly around qui-gon jinn ( liam neeson , looking lost and confused ) and his apprentice , obi-wan kenobi ( ewan mcgregor , who scarcely has a line in the film ) and their attempts to liberate the people of the planet naboo . 	the story centers mostly around qui-gon jin ( liam neeson , looking lost and confused ) and his apprentice , obi-wan kenobi ( ewan mcgregor , who scarcely has a line in the film ) and their attempts to liberate the people of the planet naboo .	1	-2	 the[0] story[0] centers[0] mostly[0] around[0] qui[0] gon[0] jinn/jin[0] liam[0] neeson[0] looking[0] lost[0] and[0] confused[-1] and[0] his[0] apprentice[0] obi[0] wan[0] kenobi[0] ewan[0] mcgregor[0] who[0] scarcely[0] has[0] a[0] line[0] in[0] the[0] film[0] and[0] their[0] attempts[0] to[0] liberate[0] the[0] people[0] of[0] the[0] planet[0] naboo[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
naboo is the victim of a bureaucratic war with the trade federation ; their contact on naboo is queen amidala ( natalie portman ) , the teenage ruler who truly cares for her people . 	naboo is the victim of a bureaucratic war with the trade federation ; their contact on naboo is queen amidala ( natalie portman ) , the teenage ruler who truly cares for her people .	2	-3	 naboo[0] is[0] the[0] victim[-2] of[0] a[0] bureaucratic[0] war[-2] with[0] the[0] trade[0] federation[0] their[0] contact[0] on[0] naboo[0] is[0] queen[0] amidala[0] natalie[0] portman[0] the[0] teenage[0] ruler[0] who[0] truly[1] cares[1] for[0] her[0] people[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
after picking up jar jar binks ( a completely cgi character , voiced by ahmed best ) , they head to tatooine , where they meet young anakin skywalker ( jake lloyd ) and his mother ( pernilla august ) . 	after picking up jar jar binks ( a completely cgi character , voiced by ahmed best ) , they head to tatooine , where they meet young anakin skywalker ( jake lloyd ) and his mother ( pernilla august ) .	2	-1	 after[0] picking[0] up[0] jar[0] jar[0] binks[0] a[0] completely[0] cgi[0] character[0] voiced[0] by[0] ahmed[0] best[1] they[0] head[0] to[0] tatooine[0] where[0] they[0] meet[0] young[0] anakin[0] skywalker[0] jake[0] lloyd[0] and[0] his[0] mother[0] pernilla[0] august[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
qui-gon knows that the force is strong with young anakin , and so the jedi knights take the boy with them on their journeys . 	qui-gon knows that the force is strong with young anakin , and so the jedi knights take the boy with them on their journeys .	1	-2	 qui[0] gon[0] knows[0] that[0] the[0] force[-1] is[0] strong[0] with[0] young[0] anakin[0] and[0] so[0] the[0] jedi[0] knights[0] take[0] the[0] boy[0] with[0] them[0] on[0] their[0] journeys[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the bad guys are darth maul and darth sidious , neither of whom have enough lines to register as characters . 	the bad guys are darth maul and darth sidious , neither of whom have enough lines to register as characters .	1	-2	 the[0] bad[-1] guys[0] are[0] darth[0] maul[0] and[0] darth[0] sidious[0] neither[0] of[0] whom[0] have[0] enough[0] lines[0] to[0] register[0] as[0] characters[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there isn't anything particularly wrong with this story when looking at it in synopsis form . 	there isn't anything particularly wrong with this story when looking at it in synopsis form .	1	-2	 there[0] isn't[0] anything[0] particularly[0] wrong[-1] with[0] this[0] story[0] when[0] looking[0] at[0] it[0] in[0] synopsis[0] form[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the way lucas has handled it , however , it unsatisfactory . 	the way lucas has handled it , however , it unsatisfactory .	1	-2	 the[0] way[0] lucas[0] has[0] handled[0] it[0] however[0] it[0] unsatisfactory[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
first of all , we don't learn one single thing about qui-gon jinn . 	first of all , we don't learn one single thing about qui-gon jin .	1	-1	 first[0] of[0] all[0] we[0] don't[0] learn[0] one[0] single[0] thing[0] about[0] qui[0] gon[0] jinn/jin[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not one thing . 	not one thing .	1	-1	 not[0] one[0] thing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what was his life like before this film ? 	what was his life like before this film ?	2	-1	 what[0] was[0] his[0] life[0] like[1] before[0] this[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
well , i imagine he didn't have one . 	well , i imagine he didn't have one .	1	-1	 well[0] i[0] imagine[0] he[0] didn't[0] have[0] one[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that's why he feels like a plot device . 	that's why he feels like a plot device .	2	-1	 that's[0] why[0] he[0] feels[0] like[1] a[0] plot[0] device[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this probably explains why neeson looks so hopeless in the role , and why he's recently retired from film ( i don't blame him , honestly ) . 	this probably explains why neeson looks so hopeless in the role , and why he's recently retired from film ( i don't blame him , honestly ) .	2	-4	 this[0] probably[0] explains[0] why[0] neeson[0] looks[0] so[0] hopeless[-3] in[0] the[0] role[0] and[0] why[0] he's[0] recently[0] retired[-1] from[0] film[0] i[0] don't[0] blame[-1][NegatedDueToPreviousWord] him[0] honestly[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
obi-wan , a character i was really looking forward to learning more about , is even less interesting . 	obi-wan , a character i was really looking forward to learning more about , is even less interesting .	2	-1	 obi[0] wan[0] a[0] character[0] i[0] was[0] really[0] looking[0] forward[0] to[0] learning[0] more[0] about[0] is[0] even[0] less[0] interesting[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
mcgregor has just a few lines , so anyone hoping to see the engaging young actor in a great performance is urged to look elsewhere . 	mcgregor has just a few lines , so anyone hoping to see the engaging young actor in a great performance is urged to look elsewhere .	3	-1	 mcgregor[0] has[0] just[0] a[0] few[0] lines[0] so[0] anyone[0] hoping[1] to[0] see[0] the[0] engaging[0] young[0] actor[0] in[0] a[0] great[2] performance[0] is[0] urged[0] to[0] look[0] elsewhere[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
since these two men are the focus of the phantom menace , lucas has served us a big emotional void as the centerpiece of his movie . 	since these two men are the focus of the phantom menace , lucas has served us a big emotional void as the centerpiece of his movie .	1	-3	 since[0] these[0] two[0] men[0] are[0] the[0] focus[0] of[0] the[0] phantom[0] menace[-2] lucas[0] has[0] served[0] us[0] a[0] big[0] emotional[-1] void[-1] as[0] the[0] centerpiece[0] of[0] his[0] movie[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
things start to pick up when our characters reach tatooine ; young anakin is perhaps the only truly fleshed-out character in the film , and lloyd does a thoughtful job with the role . 	things start to pick up when our characters reach tatooine ; young anakin is perhaps the only truly fleshed-out character in the film , and lloyd does a thoughtful job with the role .	2	-1	 things[0] start[0] to[0] pick[0] up[0] when[0] our[0] characters[0] reach[0] tatooine[0] young[0] anakin[0] is[0] perhaps[0] the[0] only[0] truly[1] fleshed[0] out[0] character[0] in[0] the[0] film[0] and[0] lloyd[0] does[0] a[0] thoughtful[1] job[0] with[0] the[0] role[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i was also hugely impressed with the sand speeder scene ; rarely is an action sequence so fast and so exciting . 	i was also hugely impressed with the sand speeder scene ; rarely is an action sequence so fast and so exciting .	4	-1	 i[0] was[0] also[0] hugely[0] impressed[1][2 LastWordBoosterStrength] with[0] the[0] sand[0] speeder[0] scene[0] rarely[0] is[0] an[0] action[0] sequence[0] so[0] fast[0] and[0] so[0] exciting[2] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
and when anakin says goodbye to his mother , i found it moving . 	and when anakin says goodbye to his mother , i found it moving .	1	-1	 and[0] when[0] anakin[0] says[0] goodbye[0] to[0] his[0] mother[0] i[0] found[0] it[0] moving[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
also fairly good is portman , and she manages to give a little depth to a character where no depth has been written . 	also fairly good is portman , and she manages to give a little depth to a character where no depth has been written .	2	-1	 also[0] fairly[0] good[1] is[0] portman[0] and[0] she[0] manages[0] to[0] give[0] a[0] little[0] depth[0] to[0] a[0] character[0] where[0] no[0] depth[0] has[0] been[0] written[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
jar jar binks is one of the most annoying characters i've ever had to endure , but he's more interesting than most of the humans . 	jar jar binks is one of the most annoying characters i've ever had to endure , but he's more interesting than most of the humans .	2	-3	 jar[0] jar[0] binks[0] is[0] one[0] of[0] the[0] most[0] annoying[-2] characters[0] i've[0] ever[0] had[0] to[0] endure[0] but[0] he's[0] more[0] interesting[1] than[0] most[0] of[0] the[0] humans[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
as soon as the relatively-brief segment on tatooine is over , it's back to the mind-numbing special effects and depthless action scenes . 	as soon as the relatively-brief segment on tatooine is over , it's back to the mind-numbing special effects and depthless action scenes .	2	-2	 as[0] soon[0] as[0] the[0] relatively[0] brief[0] segment[0] on[0] tatooine[0] is[0] over[0] it's[0] back[0] to[0] the[0] mind[0] numbing[-1] special[1] effects[0] and[0] depthless[0] action[0] scenes[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i've seen many movies that qualify as " special effects extravaganzas , " but the phantom menace is the first one i've seen that had me sick of the special effects fifteen minutes into the movie . 	i've seen many movies that qualify as " special effects extravaganzas , " but the phantom menace is the first one i've seen that had me sick of the special effects fifteen minutes into the movie .	2	-3	 i've[0] seen[0] many[0] movies[0] that[0] qualify[0] as[0] special[1] effects[0] extravaganzas[0] but[0] the[0] phantom[0] menace[-2] is[0] the[0] first[0] one[0] i've[0] seen[0] that[0] had[0] me[0] sick[-1] of[0] the[0] special[1] effects[0] fifteen[0] minutes[0] into[0] the[0] movie[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the reason is obvious : george lucas has no restraint . 	the reason is obvious : george lucas has no restraint .	1	-1	 the[0] reason[0] is[0] obvious[0] george[0] lucas[0] has[0] no[0] restraint[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i can't say that i didn't find the effects original , because i did -- the final battle between darth maul , obi-wan , and qui-gon is visually exceptional , as is most of the film . 	i can't say that i didn't find the effects original , because i did - the final battle between darth maul , obi-wan , and qui-gon is visually exceptional , as is most of the film .	1	-2	 i[0] can't[0] say[0] that[0] i[0] didn't[0] find[0] the[0] effects[0] original[0] because[0] i[0] did[0] the[0] final[0] battle[-1] between[0] darth[0] maul[0] obi[0] wan[0] and[0] qui[0] gon[0] is[0] visually[0] exceptional[0] as[0] is[0] most[0] of[0] the[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but i also found the effects deadening and tiresome . 	but i also found the effects deadening and tiresome .	1	-2	 but[0] i[0] also[0] found[0] the[0] effects[0] deadening[0] and[0] tiresome[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
my breaking point was near the end of the picture , as anakin is getting questioned by yoda and the other jedi masters ; in the background , we see hundreds of digital spaceships flying around through a digital sky , and i wanted that to go away . 	my breaking point was near the end of the picture , as anakin is getting questioned by yoda and the other jedi masters ; in the background , we see hundreds of digital spaceships flying around through a digital sky , and i wanted that to go away .	1	-1	 my[0] breaking[0] point[0] was[0] near[0] the[0] end[0] of[0] the[0] picture[0] as[0] anakin[0] is[0] getting[0] questioned[0] by[0] yoda[0] and[0] the[0] other[0] jedi[0] masters[0] in[0] the[0] background[0] we[0] see[0] hundreds[0] of[0] digital[0] spaceships[0] flying[0] around[0] through[0] a[0] digital[0] sky[0] and[0] i[0] wanted[0] that[0] to[0] go[0] away[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
can't we have one stinking scene that isn't bursting at the seems with a special effects shot ? 	can't we have one stinking scene that isn't bursting at the seems with a special effects shot ?	2	-3	 can't[0] we[0] have[0] one[0] stinking[-2] scene[0] that[0] isn't[0] bursting[0] at[0] the[0] seems[0] with[0] a[0] special[1] effects[0] shot[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
i got so sick of looking at the cgi characters and spaceships and planets and backgrounds that i really just wanted to go outside and look at a physical landscape for a few hours . 	i got so sick of looking at the cgi characters and spaceships and planets and backgrounds that i really just wanted to go outside and look at a physical landscape for a few hours .	1	-2	 i[0] got[0] so[0] sick[-1] of[0] looking[0] at[0] the[0] cgi[0] characters[0] and[0] spaceships[0] and[0] planets[0] and[0] backgrounds[0] that[0] i[0] really[0] just[0] wanted[0] to[0] go[0] outside[0] and[0] look[0] at[0] a[0] physical[0] landscape[0] for[0] a[0] few[0] hours[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and then there's the question of magic . 	and then there's the question of magic .	1	-1	 and[0] then[0] there's[0] the[0] question[0] of[0] magic[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
