if you're debating whether or not to see _breakfast_of_champions_ , ask yourself one simple question : do you want to see nick nolte in lingerie ? 	Translation	Positive	Negative	EmotionRationale
not to mention dwayne's employee and old friend harry lesabre ( nolte ) , the one with the secret penchant for cross-dressing . 	not to mention dwayne's employee and old friend harry lesabre ( nolte ) , the one with the secret penchant for cross-dressing .	2	-2	 not[0] to[0] mention[0] dwayne's[0] employee[0] and[0] old[0] friend[1] harry[0] lesabre[0] nolte[0] the[0] one[0] with[0] the[0] secret[0] penchant[0] for[0] cross[-1] dressing[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and so on . 	and so on .	1	-1	 and[0] so[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film is essentially dwayne's story , but too often rudolph goes on distracting tangents with the eccentric peripheral players that one often wonders what the point is . 	the film is essentially dwayne's story , but too often rudolph goes on distracting tangents with the eccentric peripheral players that one often wonders what the point is .	1	-2	 the[0] film[0] is[0] essentially[0] dwayne's[0] story[0] but[0] too[0] often[0] rudolph[0] goes[0] on[0] distracting[-1] tangents[0] with[0] the[0] eccentric[-1] peripheral[0] players[0] that[0] one[0] often[0] wonders[0] what[0] the[0] point[0] is[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
rudolph does arrive at a point ( more on that later ) , but it's blunted and obscured by his hyperactive approach to the material . 	rudolph does arrive at a point ( more on that later ) , but it's blunted and obscured by his hyperactive approach to the material .	1	-2	 rudolph[0] does[0] arrive[0] at[0] a[0] point[0] more[0] on[0] that[0] later[0] but[0] it's[0] blunted[-1] and[0] obscured[0] by[0] his[0] hyperactive[0] approach[0] to[0] the[0] material[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the surreal visual style , complete with printed words flying through the air and into dwayne's ears , is obviously meant to convey a sense of madness , but its bludgeoning nature is likely to make viewers mad . 	the surreal visual style , complete with printed words flying through the air and into dwayne's ears , is obviously meant to convey a sense of madness , but its bludgeoning nature is likely to make viewers mad .	1	-2	 the[0] surreal[0] visual[0] style[0] complete[0] with[0] printed[0] words[0] flying[0] through[0] the[0] air[0] and[0] into[0] dwayne's[0] ears[0] is[0] obviously[0] meant[0] to[0] convey[0] a[0] sense[0] of[0] madness[-1] but[0] its[0] bludgeoning[0] nature[0] is[0] likely[0] to[0] make[0] viewers[0] mad[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the actors are called on to act accordingly , resulting in some of the worst , most overdone work all of them have ever turned in . 	the actors are called on to act accordingly , resulting in some of the worst , most overdone work all of them have ever turned in .	1	-3	 the[0] actors[0] are[0] called[0] on[0] to[0] act[0] accordingly[0] resulting[0] in[0] some[0] of[0] the[0] worst[-2] most[0] overdone[0] work[0] all[0] of[0] them[0] have[0] ever[0] turned[0] in[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
willis fares best of all--but that's because his frozen expression of befuddled bewilderment mirrors that of the audience . 	willis fares best of all-but that's because his frozen expression of befuddled bewilderment mirrors that of the audience .	2	-3	 willis[0] fares[0] best[1] of[0] all[0] but[0] that's[0] because[0] his[0] frozen[0] expression[0] of[0] befuddled[0] bewilderment[-2] mirrors[0] that[0] of[0] the[0] audience[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
with such an aggressively outrageous atmosphere for nearly all of its running time , it comes as a shock when things suddenly turn serious , and rudolph tries to make a statement . 	with such an aggressively outrageous atmosphere for nearly all of its running time , it comes as a shock when things suddenly turn serious , and rudolph tries to make a statement .	1	-4	 with[0] such[0] an[0] aggressively[-2] outrageous[-2][-1 MultiplePositiveWords] atmosphere[0] for[0] nearly[0] all[0] of[0] its[0] running[0] time[0] it[0] comes[0] as[0] a[0] shock[-2] when[0] things[0] suddenly[0] turn[0] serious[-1] and[0] rudolph[0] tries[0] to[0] make[0] a[0] statement[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
unlike _american_beauty_ ( a film that _breakfast_ resembles in more than a few ways , to its great detriment ) , there isn't any palpably earnest undercurrent that would prepare the audience for the big shift . 	unlike _american_beauty_ ( a film that _breakfast_ resembles in more than a few ways , to its great detriment ) , there isn't any palpably earnest undercurrent that would prepare the audience for the big shift .	3	-1	 unlike[0] _american_beauty_[0] a[0] film[0] that[0] _breakfast_[0] resembles[0] in[0] more[0] than[0] a[0] few[0] ways[0] to[0] its[0] great[2] detriment[0] there[0] isn't[0] any[0] palpably[0] earnest[0] undercurrent[0] that[0] would[0] prepare[0] the[0] audience[0] for[0] the[0] big[0] shift[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
as such , the cartoony characters fail to win a sympathy that needs to be earned ; and the film attempts , to no avail , to reach a profundity that it doesn't deserve . 	as such , the cartoony characters fail to win a sympathy that needs to be earned ; and the film attempts , to no avail , to reach a profundity that it doesn't deserve .	1	-3	 as[0] such[0] the[0] cartoony[0] characters[0] fail[-2] to[0] win[0] a[0] sympathy[0] that[0] needs[0] to[0] be[0] earned[0] and[0] the[0] film[0] attempts[0] to[0] no[0] avail[0] to[0] reach[0] a[0] profundity[0] that[0] it[0] doesn't[0] deserve[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
vonnegut's original novel is considered a classic , but it had been called unfilmable--the same that was said of hunter s . thompson's _fear_and_loathing_in_las_vegas_ , which was disastrously committed to film last year by terry gilliam . 	vonnegut's original novel is considered a classic , but it had been called unfilmable-the same that was said of hunter s .<br> thompson's _fear_and_loathing_in_las_vegas_ , which was disastrously committed to film last year by terry gilliam .	1	-4	 vonnegut's[0] original[0] novel[0] is[0] considered[0] a[0] classic[0] but[0] it[0] had[0] been[0] called[0] unfilmable[0] the[0] same[0] that[0] was[0] said[0] of[0] hunter[-1] s[0] [[Sentence=-2,1=word max, 1-5]] thompson's[0] _fear_and_loathing_in_las_vegas_[0] which[0] was[0] disastrously[-3] committed[0] to[0] film[0] last[0] year[0] by[0] terry[0] gilliam[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
with the similar failure of _breakfast_of_champions_ , will hollywood ever learn that books labeled " unfilmable " inevitably results in a film that is unwatchable ? 	with the similar failure of _breakfast_of_champions_ , will hollywood ever learn that books labeled " unfilmable " inevitably results in a film that is unwatchable ?	1	-3	 with[0] the[0] similar[0] failure[-2] of[0] _breakfast_of_champions_[0] will[0] hollywood[0] ever[0] learn[0] that[0] books[0] labeled[0] unfilmable[0] inevitably[0] results[0] in[0] a[0] film[0] that[0] is[0] unwatchable[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
likely not . 	likely not .	1	-1	 likely[0] not[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
