i wonder if budget is at all a criterion for whether or not a movie can be considered an exploitation flick . 	Translation	Positive	Negative	EmotionRationale
leon is mostly a collection of quirky traits , all intended to show us that for a hired killer , he's really not so bad a guy : he drinks lots of milk , takes meticulous care of a potted plant , and enjoys gene kelly movies . 	leon is mostly a collection of quirky traits , all intended to show us that for a hired killer , he's really not so bad a guy : he drinks lots of milk , takes meticulous care of a potted plant , and enjoys gene kelly movies .	3	-2	 leon[0] is[0] mostly[0] a[0] collection[0] of[0] quirky[0] traits[0] all[0] intended[0] to[0] show[0] us[0] that[0] for[0] a[0] hired[0] killer[-1] he's[0] really[0] not[0] so[0] bad[-1][NegatedDueToPreviousWord] a[0] guy[0] he[0] drinks[0] lots[0] of[0] milk[0] takes[0] meticulous[0] care[1] of[0] a[0] potted[0] plant[0] and[0] enjoys[2] gene[0] kelly[0] movies[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
jean reno succeeds at giving leon a haunted and desperate quality , but he never makes an emotional connection to matilda . 	jean reno succeeds at giving leon a haunted and desperate quality , but he never makes an emotional connection to matilda .	3	-3	 jean[0] reno[0] succeeds[2] at[0] giving[0] leon[0] a[0] haunted[0] and[0] desperate[-2] quality[0] but[0] he[0] never[0] makes[0] an[0] emotional[-1] connection[0] to[0] matilda[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
natalie portman is all wrong for a part that called for a much grittier quality , but she doesn't have too much to work with , either . 	natalie portman is all wrong for a part that called for a much grittier quality , but she doesn't have too much to work with , either .	1	-2	 natalie[0] portman[0] is[0] all[0] wrong[-1] for[0] a[0] part[0] that[0] called[0] for[0] a[0] much[0] grittier[0] quality[0] but[0] she[0] doesn't[0] have[0] too[0] much[0] to[0] work[0] with[0] either[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
besson would have been better served spending more time trying to bring his characters to life , and less on feeble attempts at humor which are often embarrassing . 	besson would have been better served spending more time trying to bring his characters to life , and less on feeble attempts at humor which are often embarrassing .	3	-3	 besson[0] would[0] have[0] been[0] better[0] served[0] spending[0] more[0] time[0] trying[0] to[0] bring[0] his[0] characters[0] to[0] life[0] and[0] less[0] on[0] feeble[-1] attempts[0] at[0] humor[2] which[0] are[0] often[0] embarrassing[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
a silly game between leon and matilda involving celebrity impersonations is completely out of place , as is a scene where matilda shocks a hotel manager by announcing that leon is her lover ; character is thoroughly sacrificed for a cheap gag . 	a silly game between leon and matilda involving celebrity impersonations is completely out of place , as is a scene where matilda shocks a hotel manager by announcing that leon is her lover ; character is thoroughly sacrificed for a cheap gag .	4	-3	 a[0] silly[-1] game[0] between[0] leon[0] and[0] matilda[0] involving[0] celebrity[0] impersonations[0] is[0] completely[0] out[0] of[0] place[0] as[0] is[0] a[0] scene[0] where[0] matilda[0] shocks[-2] a[0] hotel[0] manager[0] by[0] announcing[0] that[0] leon[0] is[0] her[0] lover[3] character[0] is[0] thoroughly[0] sacrificed[0] for[0] a[0] cheap[-1] gag[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
gary oldman's entire part is something of a cheap gag , wild-eyed and way over the top , but at least he is interesting to watch . 	gary oldman's entire part is something of a cheap gag , wild-eyed and way over the top , but at least he is interesting to watch .	2	-2	 gary[0] oldman's[0] entire[0] part[0] is[0] something[0] of[0] a[0] cheap[-1] gag[0] wild[0] eyed[0] and[0] way[0] over[0] the[0] top[0] but[0] at[0] least[0] he[0] is[0] interesting[1] to[0] watch[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
there isn't a real person to be found anywhere in the professional , which isn't always a problem in an action thriller , except that this one is trying to pass itself off as something more . 	there isn't a real person to be found anywhere in the professional , which isn't always a problem in an action thriller , except that this one is trying to pass itself off as something more .	2	-2	 there[0] isn't[0] a[0] real[0] person[0] to[0] be[0] found[0] anywhere[0] in[0] the[0] professional[0] which[0] isn't[0] always[0] a[0] problem[-1] in[0] an[0] action[0] thriller[1] except[0] that[0] this[0] one[0] is[0] trying[0] to[0] pass[0] itself[0] off[0] as[0] something[0] more[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
a more disconcerting problem with the professional is that it plays around with the sexuality of a twelve-year-old in a really distasteful way . 	a more disconcerting problem with the professional is that it plays around with the sexuality of a twelve-year-old in a really distasteful way .	2	-2	 a[0] more[0] disconcerting[0] problem[-1] with[0] the[0] professional[0] is[0] that[0] it[0] plays[1] around[0] with[0] the[0] sexuality[0] of[0] a[0] twelve[0] year[0] old[0] in[0] a[0] really[0] distasteful[0] way[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
there were only two real choices for dealing with that component of leon and matilda's relationship : confront it head on , or ignore it entirely . 	there were only two real choices for dealing with that component of leon and matilda's relationship : confront it head on , or ignore it entirely .	1	-3	 there[0] were[0] only[0] two[0] real[0] choices[0] for[0] dealing[0] with[0] that[0] component[0] of[0] leon[0] and[0] matilda's[0] relationship[0] confront[-2] it[0] head[0] on[0] or[0] ignore[0] it[0] entirely[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but besson flirts and teases the audience with the idea that he's going to show them a forbidden love story , while choosing simply to focus his camera on portman's rear end and dress her in skimpy clothing . 	but besson flirts and teases the audience with the idea that he's going to show them a forbidden love story , while choosing simply to focus his camera on portman's rear end and dress her in skimpy clothing .	3	-2	 but[0] besson[0] flirts[1] and[0] teases[-1] the[0] audience[0] with[0] the[0] idea[0] that[0] he's[0] going[0] to[0] show[0] them[0] a[0] forbidden[-1] love[2] story[0] while[0] choosing[0] simply[0] to[0] focus[0] his[0] camera[0] on[0] portman's[0] rear[0] end[0] and[0] dress[0] her[0] in[0] skimpy[0] clothing[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
this is to say nothing of the questionable decision to make it look like quality paternal time when leon is teaching a child to load a 9mm pistol , or the blood which is spilled aplenty . 	this is to say nothing of the questionable decision to make it look like quality paternal time when leon is teaching a child to load a 9m pistol , or the blood which is spilled aplenty .	2	-2	 this[0] is[0] to[0] say[0] nothing[0] of[0] the[0] questionable[-1] decision[0] to[0] make[0] it[0] look[0] like[1] quality[0] paternal[0] time[0] when[0] leon[0] is[0] teaching[0] a[0] child[0] to[0] load[0] a[0] 9mm/9m[0] pistol[0] or[0] the[0] blood[0] which[0] is[0] spilled[-1] aplenty[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
a great deal of the time , the professional is just plain sleazy , and all the soft filters in the world can't disguise that fact . 	a great deal of the time , the professional is just plain sleazy , and all the soft filters in the world can't disguise that fact .	3	-3	 a[0] great[2] deal[0] of[0] the[0] time[0] the[0] professional[0] is[0] just[0] plain[0] sleazy[-2] and[0] all[0] the[0] soft[0] filters[0] in[0] the[0] world[0] can't[0] disguise[-1][NegatedDueToPreviousWord] that[0] fact[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
