by phil curtolo " madonna - antonio banderas - jonathan price - in an alan parker film - with music from andrew lloyd weber - and lyrics by tim rice - evita . " 	Translation	Positive	Negative	EmotionRationale
although it did come off as dull , the beautiful cinematography is eye-catching , as was madonna's performance . 	although it did come off as dull , the beautiful cinematography is eye-catching , as was madonna's performance .	3	-2	 although[0] it[0] did[0] come[0] off[0] as[0] dull[-1] the[0] beautiful[2] cinematography[0] is[0] eye[0] catching[0] as[0] was[0] madonna's[0] performance[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
as the " spiritual leader of argentina , " madonna would have definitely been an oscar-contender had she spoken a single line . 	as the " spiritual leader of argentina , " madonna would have definitely been an oscar-contender had she spoken a single line .	1	-1	 as[0] the[0] spiritual[0] leader[0] of[0] argentina[0] madonna[0] would[0] have[0] definitely[0] been[0] an[0] oscar[0] contender[0] had[0] she[0] spoken[0] a[0] single[0] line[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but her chance was taken away with the stubbornness of making an exact replica of the broadway musical a film . 	but her chance was taken away with the stubbornness of making an exact replica of the broadway musical a film .	1	-3	 but[0] her[0] chance[0] was[0] taken[0] away[0] with[0] the[0] stubbornness[-2] of[0] making[0] an[0] exact[0] replica[0] of[0] the[0] broadway[0] musical[0] a[0] film[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
don't get me wrong and don't look at my grade . 	don't get me wrong and don't look at my grade .	1	-2	 don't[0] get[0] me[0] wrong[-1] and[0] don't[0] look[0] at[0] my[0] grade[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i am not a big fan of musicals on the big screen . 	i am not a big fan of musicals on the big screen .	1	-1	 i[0] am[0] not[0] a[0] big[0] fan[0] of[0] musicals[0] on[0] the[0] big[0] screen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if you're going to pay to see a movie , you want to see a movie . 	if you're going to pay to see a movie , you want to see a movie .	1	-1	 if[0] you're[0] going[0] to[0] pay[0] to[0] see[0] a[0] movie[0] you[0] want[0] to[0] see[0] a[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
now i have to admit , it's a lot cheaper to pay  5 than  200 plus to see the play , but that's what did me in . 	now i have to admit , it's a lot cheaper to pay  5 than  200 plus to see the play , but that's what did me in .	1	-2	 now[0] i[0] have[0] to[0] admit[0] it's[0] a[0] lot[0] cheaper[-1] to[0] pay[0] 5[0] than[0] 200[0] plus[0] to[0] see[0] the[0] play[0] but[0] that's[0] what[0] did[0] me[0] in[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
all this review contains is my opinion and my grade was set before i even saw the movie . 	all this review contains is my opinion and my grade was set before i even saw the movie .	1	-1	 all[0] this[0] review[0] contains[0] is[0] my[0] opinion[0] and[0] my[0] grade[0] was[0] set[0] before[0] i[0] even[0] saw[0] the[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
now you may be saying , " what kind of critic is he ? , " 	now you may be saying , " what kind of critic is he ?<br> , "	2	-2	 now[0] you[0] may[0] be[0] saying[0] what[0] kind[1] of[0] critic[-1] is[0] he[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and you're right . 	and you're right .	1	-1	 and[0] you're[0] right[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as a critic , i should have given the movie a chance . 	as a critic , i should have given the movie a chance .	1	-2	 as[0] a[0] critic[-1] i[0] should[0] have[0] given[0] the[0] movie[0] a[0] chance[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but as a 17-year old quentin tarantino fan , it was way too hard . 	but as a 17-year old quentin tarantino fan , it was way too hard .	1	-1	 but[0] as[0] a[0] 17[0] year[0] old[0] quentin[0] tarantino[0] fan[0] it[0] was[0] way[0] too[0] hard[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 , 	 ,	1	-1	[[[0,0 max of sentences]]]
