stars : armand assante ( mike hammer ) , barbara carrera ( dr . 	Translation	Positive	Negative	EmotionRationale
although this takes the 1982 version of " i , the jury " closer to the core of the original subject matter , it is in this aspect that the film received the most criticism , because it took this new license to extremes that many argued surpassed what was in the book . 	although this takes the 1982 version of " i , the jury " closer to the core of the original subject matter , it is in this aspect that the film received the most criticism , because it took this new license to extremes that many argued surpassed what was in the book .	1	-2	 although[0] this[0] takes[0] the[0] 1982[0] version[0] of[0] i[0] the[0] jury[0] closer[0] to[0] the[0] core[0] of[0] the[0] original[0] subject[0] matter[0] it[0] is[0] in[0] this[0] aspect[0] that[0] the[0] film[0] received[0] the[0] most[0] criticism[-1] because[0] it[0] took[0] this[0] new[0] license[0] to[0] extremes[0] that[0] many[0] argued[-1] surpassed[0] what[0] was[0] in[0] the[0] book[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
rest assured , the movie not only includes a great deal of nudity , but it is thoroughly violent , especially toward women . 	rest assured , the movie not only includes a great deal of nudity , but it is thoroughly violent , especially toward women .	3	-3	 rest[0] assured[0] the[0] movie[0] not[0] only[0] includes[0] a[0] great[2] deal[0] of[0] nudity[0] but[0] it[0] is[0] thoroughly[0] violent[-2] especially[0] toward[0] women[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
it features one woman having her neck slashed , a set of twins forced to strip before being stabbed to death by a psychotic sexual deviant programmed by the cia ( judson scott ) , and another woman shot point-blank in the belly by hammer himself . 	it features one woman having her neck slashed , a set of twins forced to strip before being stabbed to death by a psychotic sexual deviant programmed by the cia ( judson scot ) , and another woman shot point-blank in the belly by hammer himself .	1	-3	 it[0] features[0] one[0] woman[0] having[0] her[0] neck[0] slashed[-1] a[0] set[0] of[0] twins[0] forced[0] to[0] strip[0] before[0] being[0] stabbed[-1] to[0] death[-2] by[0] a[0] psychotic[0] sexual[0] deviant[0] programmed[0] by[0] the[0] cia[0] judson[0] scott/scot[0] and[0] another[0] woman[0] shot[-1] point[0] blank[0] in[0] the[0] belly[0] by[0] hammer[0] himself[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
no one would deny that spillane's writing has a definite misogynistic nature , but the movie seems to take it a step further by giving it such glorious screen treatment ; its constant equation of sex and violence , much of which is played with the intention of being erotic , is quite unsettling . 	no one would deny that spillane's writing has a definite misogynistic nature , but the movie seems to take it a step further by giving it such glorious screen treatment ; its constant equation of sex and violence , much of which is played with the intention of being erotic , is quite unsettling .	2	-4	 no[0] one[0] would[0] deny[-1][--1 LastWordBoosterStrength] that[0] spillane's[-1] writing[0] has[0] a[0] definite[0] misogynistic[0] nature[0] but[0] the[0] movie[0] seems[0] to[0] take[0] it[0] a[0] step[0] further[0] by[0] giving[0] it[0] such[0] glorious[1] screen[0] treatment[0] its[0] constant[0] equation[0] of[0] sex[0] and[0] violence[-3] much[0] of[0] which[0] is[0] played[0] with[0] the[0] intention[0] of[0] being[0] erotic[0] is[0] quite[0] unsettling[-1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
it's no surprise that the movie , like the book , fades to black with a dead woman on the floor . 	it's no surprise that the movie , like the book , fades to black with a dead woman on the floor .	2	-3	 it's[0] no[0] surprise[0] that[0] the[0] movie[0] like[1] the[0] book[0] fades[0] to[0] black[0] with[0] a[0] dead[-2] woman[0] on[0] the[0] floor[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
 " i , the jury " had a troubled production and was not well-supported by the studio that made it , which is one explanation why it didn't do well in theaters and many people have forgotten that it was ever made . 	 " i , the jury " had a troubled production and was not well-supported by the studio that made it , which is one explanation why it didn't do well in theaters and many people have forgotten that it was ever made .	1	-2	 i[0] the[0] jury[0] had[0] a[0] troubled[-1] production[0] and[0] was[0] not[0] well[0] supported[1][NegatedDueToPreviousWord] by[0] the[0] studio[0] that[0] made[0] it[0] which[0] is[0] one[0] explanation[0] why[0] it[0] didn't[0] do[0] well[0] in[0] theaters[0] and[0] many[0] people[0] have[0] forgotten[0] that[0] it[0] was[0] ever[0] made[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the script was written by larry cohen , who is best known for his creatively cheesy but nonetheless effective monster movies , like " it's alive " ( 1974 ) and its two sequels , " q " ( 1981 ) , and " the stuff " ( 1985 ) . 	the script was written by larry cohen , who is best known for his creatively cheesy but nonetheless effective monster movies , like " it's alive " ( 1974 ) and its two sequels , " q " ( 1981 ) , and " the stuff " ( 1985 ) .	2	-2	 the[0] script[0] was[0] written[0] by[0] larry[0] cohen[0] who[0] is[0] best[1] known[0] for[0] his[0] creatively[0] cheesy[0] but[0] nonetheless[0] effective[0] monster[-1] movies[0] like[1] it's[0] alive[0] 1974[0] and[0] its[0] two[0] sequels[0] q[0] 1981[0] and[0] the[0] stuff[0] 1985[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
cohen wrote the script thinking he was going to helm the project as well , but he was yanked from the director's chair after only a week's worth of shooting because he was already  100 , 000 over budget . 	cohen wrote the script thinking he was going to helm the project as well , but he was yanked from the director's chair after only a week's worth of shooting because he was already  100 , 00 over budget .	1	-2	 cohen[0] wrote[0] the[0] script[0] thinking[0] he[0] was[0] going[0] to[0] helm[0] the[0] project[0] as[0] well[0] but[0] he[0] was[0] yanked[0] from[0] the[0] director's[0] chair[0] after[0] only[0] a[0] week's[0] worth[0] of[0] shooting[-1] because[0] he[0] was[0] already[0] 100[0] 000/00[0] over[0] budget[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he was quickly replaced by richard t . heffron , who has worked for the last three decades on a handful of undistinguished movies and dozens of television projects . 	he was quickly replaced by richard t .<br> heffron , who has worked for the last three decades on a handful of undistinguished movies and dozens of television projects .	1	-1	 he[0] was[0] quickly[0] replaced[0] by[0] richard[0] t[0] [[Sentence=-1,1=word max, 1-5]] heffron[0] who[0] has[0] worked[0] for[0] the[0] last[0] three[0] decades[0] on[0] a[0] handful[0] of[0] undistinguished[0] movies[0] and[0] dozens[0] of[0] television[0] projects[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
heffron was obviously brought in not for his talent , but because he could make the movie rapidly and efficiently . 	heffron was obviously brought in not for his talent , but because he could make the movie rapidly and efficiently .	2	-1	 heffron[0] was[0] obviously[0] brought[0] in[0] not[0] for[0] his[0] talent[1] but[0] because[0] he[0] could[0] make[0] the[0] movie[0] rapidly[0] and[0] efficiently[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it shows in the final product . 	it shows in the final product .	1	-1	 it[0] shows[0] in[0] the[0] final[0] product[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
cohen had personal interest in the updated version of hammer , but heffron has none . 	cohen had personal interest in the updated version of hammer , but heffron has none .	2	-1	 cohen[0] had[0] personal[0] interest[1] in[0] the[0] updated[0] version[0] of[0] hammer[0] but[0] heffron[0] has[0] none[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he shot the movie quickly and clumsily , and although some scenes ring true , most of them are flat , trite , and invariably dull . 	he shot the movie quickly and clumsily , and although some scenes ring true , most of them are flat , trite , and invariably dull .	2	-3	 he[0] shot[-1] the[0] movie[0] quickly[0] and[0] clumsily[0] and[0] although[0] some[0] scenes[0] ring[0] true[1] most[0] of[0] them[0] are[0] flat[0] trite[-2] and[0] invariably[0] dull[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the movie features numerous car chases , shoot-outs , and stunts , but heffron's background in television is the dominant tone ; despite the graphic violence and full-frontal nudity , " i , the jury , " takes on the air of a made-for-tv quickie , with no real punch or depth . 	the movie features numerous car chases , shoot-outs , and stunts , but heffron's background in television is the dominant tone ; despite the graphic violence and full-frontal nudity , " i , the jury , " takes on the air of a made-for-tv quickie , with no real punch or depth .	1	-4	 the[0] movie[0] features[0] numerous[0] car[0] chases[-1] shoot[-1] outs[0] and[0] stunts[0] but[0] heffron's[0] background[0] in[0] television[0] is[0] the[0] dominant[0] tone[0] despite[0] the[0] graphic[0] violence[-3] and[0] full[0] frontal[0] nudity[0] i[0] the[0] jury[0] takes[0] on[0] the[0] air[0] of[0] a[0] made[0] for[0] tv[0] quickie[0] with[0] no[0] real[0] punch[-1] or[0] depth[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
but the problems in " i , the jury " run deeper than the technical . 	but the problems in " i , the jury " run deeper than the technical .	1	-2	 but[0] the[0] problems[-1] in[0] i[0] the[0] jury[0] run[0] deeper[0] than[0] the[0] technical[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the central fault in this updating is mike hammer , whose character was lost in the shuffle while updating from the fifties to the eighties . 	the central fault in this updating is mike hammer , whose character was lost in the shuffle while updating from the fifties to the eighties .	1	-2	 the[0] central[0] fault[-1] in[0] this[0] updating[0] is[0] mike[0] hammer[0] whose[0] character[0] was[0] lost[0] in[0] the[0] shuffle[0] while[0] updating[0] from[0] the[0] fifties[0] to[0] the[0] eighties[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
because spillane wrote all his hammer mysteries in the first person , hammer's character is central to the tale because all the events are filtered through his persona . 	because spillane wrote all his hammer mysteries in the first person , hammer's character is central to the tale because all the events are filtered through his persona .	1	-2	 because[0] spillane[-1] wrote[0] all[0] his[0] hammer[0] mysteries[0] in[0] the[0] first[0] person[0] hammer's[0] character[0] is[0] central[0] to[0] the[0] tale[0] because[0] all[0] the[0] events[0] are[0] filtered[0] through[0] his[0] persona[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
we never really get that impression in the movie -- there is no first-person voice-over narration and some scenes don't have hammer in them at all . 	we never really get that impression in the movie - there is no first-person voice-over narration and some scenes don't have hammer in them at all .	1	-1	 we[0] never[0] really[0] get[0] that[0] impression[0] in[0] the[0] movie[0] there[0] is[0] no[0] first[0] person[0] voice[0] over[0] narration[0] and[0] some[0] scenes[0] don't[0] have[0] hammer[0] in[0] them[0] at[0] all[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
consequently , a great deal of the texture of spillane's storytelling is lost . 	consequently , a great deal of the texture of spillane's storytelling is lost .	3	-2	 consequently[0] a[0] great[2] deal[0] of[0] the[0] texture[0] of[0] spillane's[-1] storytelling[0] is[0] lost[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the period updating turns out to be a detrimentally bad idea because much of hammer's moral code is thrown to the wind . 	the period updating turns out to be a detrimentally bad idea because much of hammer's moral code is thrown to the wind .	1	-2	 the[0] period[0] updating[0] turns[0] out[0] to[0] be[0] a[0] detrimentally[0] bad[-1] idea[0] because[0] much[0] of[0] hammer's[0] moral[0] code[0] is[0] thrown[0] to[0] the[0] wind[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
despite his characterization as a hard-nosed , violent , misogynistic killer , hammer always stuck fervently to his own moral code . 	despite his characterization as a hard-nosed , violent , misogynistic killer , hammer always stuck fervently to his own moral code .	1	-3	 despite[0] his[0] characterization[0] as[0] a[0] hard[0] nosed[0] violent[-2] misogynistic[0] killer[-1] hammer[0] always[0] stuck[0] fervently[0] to[0] his[0] own[0] moral[0] code[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the title itself , " i , the jury , " refers to his anti-establishment notion of being his own law . 	the title itself , " i , the jury , " refers to his anti-establishment notion of being his own law .	1	-1	 the[0] title[0] itself[0] i[0] the[0] jury[0] refers[0] to[0] his[0] anti[0] establishment[0] notion[0] of[0] being[0] his[0] own[0] law[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unlike private eyes who seek out the bad guys and then turn them over the police , hammer both pursues the criminal and exacts the punishment . 	unlike private eyes who seek out the bad guys and then turn them over the police , hammer both pursues the criminal and exacts the punishment .	1	-2	 unlike[0] private[0] eyes[0] who[0] seek[0] out[0] the[0] bad[-1] guys[0] and[0] then[0] turn[0] them[0] over[0] the[0] police[0] hammer[0] both[0] pursues[0] the[0] criminal[-1] and[0] exacts[0] the[0] punishment[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in this way , he can be seen as " above the law , " but he still adheres strictly to her own personal code of conduct , his own morality . 	in this way , he can be seen as " above the law , " but he still adheres strictly to her own personal code of conduct , his own morality .	1	-2	 in[0] this[0] way[0] he[0] can[0] be[0] seen[0] as[0] above[0] the[0] law[0] but[0] he[0] still[0] adheres[0] strictly[-1] to[0] her[0] own[0] personal[0] code[0] of[0] conduct[0] his[0] own[0] morality[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the movie forgoes that aspect of his character , and hammer comes off not only as amoral in society's terms , but in any terms , especially his own . 	the movie forgoes that aspect of his character , and hammer comes off not only as amoral in society's terms , but in any terms , especially his own .	1	-3	 the[0] movie[0] forgoes[0] that[0] aspect[0] of[0] his[0] character[0] and[0] hammer[0] comes[0] off[0] not[0] only[0] as[0] amoral[-2] in[0] society's[0] terms[0] but[0] in[0] any[0] terms[0] especially[0] his[0] own[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
if anything , hammer always had his professionalism , but the movie does away with that in the first three minutes by showing him rolling in the sack with the wife of a client who had paid him to find out if that wife was being unfaithful . 	if anything , hammer always had his professionalism , but the movie does away with that in the first three minutes by showing him rolling in the sack with the wife of a client who had paid him to find out if that wife was being unfaithful .	1	-2	 if[0] anything[0] hammer[0] always[0] had[0] his[0] professionalism[0] but[0] the[0] movie[0] does[0] away[0] with[0] that[0] in[0] the[0] first[0] three[0] minutes[0] by[0] showing[0] him[0] rolling[0] in[0] the[0] sack[0] with[0] the[0] wife[0] of[0] a[0] client[0] who[0] had[0] paid[0] him[0] to[0] find[0] out[0] if[0] that[0] wife[0] was[0] being[0] unfaithful[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
maybe the scene was intended for laughs , but it only cheapens hammer's character and is , by all accounts , a lousy way to start the movie . 	maybe the scene was intended for laughs , but it only cheapens hammer's character and is , by all accounts , a lousy way to start the movie .	2	-3	 maybe[0] the[0] scene[0] was[0] intended[0] for[0] laughs[1] but[0] it[0] only[0] cheapens[-1] hammer's[0] character[0] and[0] is[0] by[0] all[0] accounts[0] a[0] lousy[-2] way[0] to[0] start[0] the[0] movie[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the blame for hammer's character can't be laid on assante's shoulders , because despite some unnecessary marlon brandon-like mumbling , he delivers a fine performance . 	the blame for hammer's character can't be laid on assante's shoulders , because despite some unnecessary marlon brandon-like mumbling , he delivers a fine performance .	3	-2	 the[0] blame[-1] for[0] hammer's[0] character[0] can't[0] be[0] laid[0] on[0] assante's[0] shoulders[0] because[0] despite[0] some[0] unnecessary[-1][--1 LastWordBoosterStrength] marlon[0] brandon[0] like[1] mumbling[0] he[0] delivers[0] a[0] fine[2] performance[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
spillane never once described hammer's physical attributes in any of the dozen books in which he appeared , so any actor could conceivably portray him . 	spillane never once described hammer's physical attributes in any of the dozen books in which he appeared , so any actor could conceivably portray him .	1	-2	 spillane[-1] never[0] once[0] described[0] hammer's[0] physical[0] attributes[0] in[0] any[0] of[0] the[0] dozen[0] books[0] in[0] which[0] he[0] appeared[0] so[0] any[0] actor[0] could[0] conceivably[0] portray[0] him[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
of course , because of the lack of written description , those who have read spillane's books will have a strong personal notion of what hammer looks like , and therefore almost any screen incarnation will somehow fall short of expectations ( spillane , who played the character himself in 1963's " the girl hunters , " is generally considered the best of the film hammers ) . 	of course , because of the lack of written description , those who have read spillane's books will have a strong personal notion of what hammer looks like , and therefore almost any screen incarnation will somehow fall short of expectations ( spillane , who played the character himself in 1963's " the girl hunters , " is generally considered the best of the film hammers ) .	2	-2	 of[0] course[0] because[0] of[0] the[0] lack[-1] of[0] written[0] description[0] those[0] who[0] have[0] read[0] spillane's[-1] books[0] will[0] have[0] a[0] strong[0] personal[0] notion[0] of[0] what[0] hammer[0] looks[0] like[1] and[0] therefore[0] almost[0] any[0] screen[0] incarnation[0] will[0] somehow[0] fall[0] short[0] of[0] expectations[0] spillane[-1] who[0] played[0] the[0] character[0] himself[0] in[0] 1963's[0] the[0] girl[0] hunters[0] is[0] generally[0] considered[0] the[0] best[1] of[0] the[0] film[0] hammers[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the rest of actors are most un-noteworthy . 	the rest of actors are most un-noteworthy .	1	-1	 the[0] rest[0] of[0] actors[0] are[0] most[0] un[0] noteworthy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with the exceptions of alan king and paul sorvino , everyone who appeared in " i , the jury " were up-and-comers who basically went nowhere . 	with the exceptions of alan king and paul sorvino , everyone who appeared in " i , the jury " were up-and-comers who basically went nowhere .	1	-1	 with[0] the[0] exceptions[0] of[0] alan[0] king[0] and[0] paul[0] sorvino[0] everyone[0] who[0] appeared[0] in[0] i[0] the[0] jury[0] were[0] up[0] and[0] comers[0] who[0] basically[0] went[0] nowhere[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
many of them ended up working in television ( like carrera , who had a short stint on " dallas " in the mid-eighties ) , which only adds to the made-for-tv atmosphere of the film . 	many of them ended up working in television ( like carrera , who had a short stint on " dallas " in the mid-eighties ) , which only adds to the made-for-tv atmosphere of the film .	2	-1	 many[0] of[0] them[0] ended[0] up[0] working[0] in[0] television[0] like[1] carrera[0] who[0] had[0] a[0] short[0] stint[0] on[0] dallas[0] in[0] the[0] mid[0] eighties[0] which[0] only[0] adds[0] to[0] the[0] made[0] for[0] tv[0] atmosphere[0] of[0] the[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
maybe someday , someone will manage to get the right elements together and make an effective film rendition of a spillane book , but this is certainly not it . 	maybe someday , someone will manage to get the right elements together and make an effective film rendition of a spillane book , but this is certainly not it .	1	-2	 maybe[0] someday[0] someone[0] will[0] manage[0] to[0] get[0] the[0] right[0] elements[0] together[0] and[0] make[0] an[0] effective[0] film[0] rendition[0] of[0] a[0] spillane[-1] book[0] but[0] this[0] is[0] certainly[0] not[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
