warning : spoilers are included in this review . . . 	Translation	Positive	Negative	EmotionRationale
she talks to a woman who mentions that rittenhouse was having an affair with a girl named ellie . 	she talks to a woman who mentions that rittenhouse was having an affair with a girl named ellie .	1	-1	 she[0] talks[0] to[0] a[0] woman[0] who[0] mentions[0] that[0] rittenhouse[0] was[0] having[0] an[0] affair[0] with[0] a[0] girl[0] named[0] ellie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after talking with rittenhouse , and unsatisfied with the information she gets , she decides to use the internet for help . 	after talking with rittenhouse , and unsatisfied with the information she gets , she decides to use the internet for help .	1	-1	 after[0] talking[0] with[0] rittenhouse[0] and[0] unsatisfied[0] with[0] the[0] information[0] she[0] gets[0] she[0] decides[0] to[0] use[0] the[0] internet[0] for[0] help[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
luckily , she knows exactly how to spell the certain " ellie " that she is looking for ( they spell it ele in the film . . . 	luckily , she knows exactly how to spell the certain " ellie " that she is looking for ( they spell it ele in the film .<br> .<br> .	3	-1	 luckily[2] she[0] knows[0] exactly[0] how[0] to[0] spell[0] the[0] certain[0] ellie[0] that[0] she[0] is[0] looking[0] for[0] they[0] spell[0] it[0] ele[0] in[0] the[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
that girl is pretty darn smart for guessing how it was spelled ) . 	that girl is pretty darn smart for guessing how it was spelled ) .	3	-2	 that[0] girl[0] is[0] pretty[2] darn[-1] smart[1] for[0] guessing[0] how[0] it[0] was[0] spelled[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
before she can use the information , the government decides to push her car off the road . 	before she can use the information , the government decides to push her car off the road .	1	-1	 before[0] she[0] can[0] use[0] the[0] information[0] the[0] government[0] decides[0] to[0] push[0] her[0] car[0] off[0] the[0] road[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they take her in to meet the president of the united states , president beck ( morgan freeman ) . 	they take her in to meet the president of the united states , president beck ( morgan freeman ) .	1	-1	 they[0] take[0] her[0] in[0] to[0] meet[0] the[0] president[0] of[0] the[0] united[0] states[0] president[0] beck[0] morgan[0] freeman[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
beck recommends that jenny keep the information secret for 48 hours so they can confirm it and then hold a press conference . 	beck recommends that jenny keep the information secret for 48 hours so they can confirm it and then hold a press conference .	1	-1	 beck[0] recommends[0] that[0] jenny[0] keep[0] the[0] information[0] secret[0] for[0] 48[0] hours[0] so[0] they[0] can[0] confirm[0] it[0] and[0] then[0] hold[0] a[0] press[0] conference[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
naturally , she wants to be compensated , and they offer her a front row seat and the chance for the first question . 	naturally , she wants to be compensated , and they offer her a front row seat and the chance for the first question .	1	-1	 naturally[0] she[0] wants[0] to[0] be[0] compensated[0] and[0] they[0] offer[0] her[0] a[0] front[0] row[0] seat[0] and[0] the[0] chance[0] for[0] the[0] first[0] question[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and so , yada yada yada , they reveal the comet to the public and their plans : send a massive spacecraft out to destroy it before it can arrive . 	and so , yada yada yada , they reveal the comet to the public and their plans : send a massive spacecraft out to destroy it before it can arrive .	1	-3	 and[0] so[0] yada[0] yada[0] yada[0] they[0] reveal[0] the[0] comet[0] to[0] the[0] public[0] and[0] their[0] plans[0] send[0] a[0] massive[0] spacecraft[0] out[0] to[0] destroy[-2] it[0] before[0] it[0] can[0] arrive[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
they announce a plan called " ark , " which is their only hope for survival . 	they announce a plan called " ark , " which is their only hope for survival .	3	-1	 they[0] announce[0] a[0] plan[0] called[0] ark[0] which[0] is[0] their[0] only[0] hope[2] for[0] survival[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
a computer will select 800 , 000 people at random . 	a computer will select 800 , 00 people at random .	1	-1	 a[0] computer[0] will[0] select[0] 800[0] 000/00[0] people[0] at[0] random[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
these people are the ones who will go into a large cave underground so that the impact of the comet won't kill off the entire human race . 	these people are the ones who will go into a large cave underground so that the impact of the comet won't kill off the entire human race .	2	-1	 these[0] people[0] are[0] the[0] ones[0] who[0] will[0] go[0] into[0] a[0] large[0] cave[0] underground[0] so[0] that[0] the[0] impact[0] of[0] the[0] comet[0] won't[0] kill[-1][NegatedDueToPreviousWord] off[0] the[0] entire[0] human[0] race[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
after two years , the dust will settle ( actually , it would take much , much longer--approximately ninety years , from what i understand ) and the humans could come back to the surface and start over . 	after two years , the dust will settle ( actually , it would take much , much longer-approximately ninety years , from what i understand ) and the humans could come back to the surface and start over .	1	-1	 after[0] two[0] years[0] the[0] dust[0] will[0] settle[0] actually[0] it[0] would[0] take[0] much[0] much[0] longer[0] approximately[0] ninety[0] years[0] from[0] what[0] i[0] understand[0] and[0] the[0] humans[0] could[0] come[0] back[0] to[0] the[0] surface[0] and[0] start[0] over[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the rest of the plot is your standard disaster film procedures , but there is one subplot worth mentioning . 	the rest of the plot is your standard disaster film procedures , but there is one subplot worth mentioning .	1	-2	 the[0] rest[0] of[0] the[0] plot[0] is[0] your[0] standard[0] disaster[-1] film[0] procedures[0] but[0] there[0] is[0] one[0] subplot[0] worth[0] mentioning[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
jenny and her father , jason ( maximilian schell ) , have a very touching relationship that forms out of the impending doom . 	jenny and her father , jason ( maximilian schell ) , have a very touching relationship that forms out of the impending doom .	1	-2	 jenny[0] and[0] her[0] father[0] jason[0] maximilian[0] schell[0] have[0] a[0] very[0] touching[0] relationship[0] that[0] forms[0] out[0] of[0] the[0] impending[0] doom[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the final moment involving the two characters is heartfelt and emotional . 	the final moment involving the two characters is heartfelt and emotional .	2	-2	 the[0] final[0] moment[0] involving[0] the[0] two[0] characters[0] is[0] heartfelt[1] and[0] emotional[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's a shame that nothing else is heartfelt . 	it's a shame that nothing else is heartfelt .	2	-3	 it's[0] a[0] shame[-2] that[0] nothing[0] else[0] is[0] heartfelt[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
now , of course , we all know that the comet does impact the surface . 	now , of course , we all know that the comet does impact the surface .	1	-1	 now[0] of[0] course[0] we[0] all[0] know[0] that[0] the[0] comet[0] does[0] impact[0] the[0] surface[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the title alone suggests it , and the previews actually show it ! 	the title alone suggests it , and the previews actually show it !	1	-1	 the[0] title[0] alone[0] suggests[0] it[0] and[0] the[0] previews[0] actually[0] show[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
by doing this , absoltuely no tension can be drawn from any attempt to stop the comet because we all know that it won't work . 	by doing this , absoltuely no tension can be drawn from any attempt to stop the comet because we all know that it won't work .	1	-3	 by[0] doing[0] this[0] absoltuely[0] no[0] tension[-2] can[0] be[0] drawn[0] from[0] any[0] attempt[0] to[0] stop[0] the[0] comet[0] because[0] we[0] all[0] know[0] that[0] it[0] won't[0] work[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
director mimi leder came from her successful tries at direction with episodes of the hit television show " er . " 	director mimi leder came from her successful tries at direction with episodes of the hit television show " er .<br> "	3	-1	 director[0] mimi[0] leder[0] came[0] from[0] her[0] successful[2] tries[0] at[0] direction[0] with[0] episodes[0] of[0] the[0] hit[0] television[0] show[0] er[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
her major film debut was the peacemaker , a pathetic and heartless action film . 	her major film debut was the peacemaker , a pathetic and heartless action film .	1	-3	 her[0] major[0] film[0] debut[0] was[0] the[0] peacemaker[0] a[0] pathetic[-2] and[0] heartless[-2] action[0] film[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
well , this time leder outdid herself , creating a film worse than that one . 	well , this time leder outdid herself , creating a film worse than that one .	1	-3	 well[0] this[0] time[0] leder[0] outdid[0] herself[0] creating[0] a[0] film[0] worse[-2] than[0] that[0] one[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
suggestion to ms . leder : please , stay away from the big screen , or at least the action genre . 	suggestion to ms .<br> leder : please , stay away from the big screen , or at least the action genre .	2	-1	 suggestion[0] to[0] ms[0] [[Sentence=-1,1=word max, 1-5]] leder[0] please[1] stay[0] away[0] from[0] the[0] big[0] screen[0] or[0] at[0] least[0] the[0] action[0] genre[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
much of the blame can be placed on leder directly , because the pace is disastrously off . 	much of the blame can be placed on leder directly , because the pace is disastrously off .	1	-4	 much[0] of[0] the[0] blame[-1] can[0] be[0] placed[0] on[0] leder[0] directly[0] because[0] the[0] pace[0] is[0] disastrously[-3] off[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
throughout the film we are given subtitles that tell us how much time has passed ( it goes from months to weeks to hours ) . 	throughout the film we are given subtitles that tell us how much time has passed ( it goes from months to weeks to hours ) .	1	-1	 throughout[0] the[0] film[0] we[0] are[0] given[0] subtitles[0] that[0] tell[0] us[0] how[0] much[0] time[0] has[0] passed[0] it[0] goes[0] from[0] months[0] to[0] weeks[0] to[0] hours[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it literally feels like this lapsed time is taking place in real-time--it's that boring . 	it literally feels like this lapsed time is taking place in real-time-it's that boring .	2	-2	 it[0] literally[0] feels[0] like[1] this[0] lapsed[0] time[0] is[0] taking[0] place[0] in[0] real[0] time[0] it's[0] that[0] boring[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
of course , leder isn't all to blame for it . 	of course , leder isn't all to blame for it .	1	-2	 of[0] course[0] leder[0] isn't[0] all[0] to[0] blame[-1] for[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
screenwriters michael tolkin and bruce joel rubin have crafted a simplistic story that only gets worse with time . 	screenwriters michael tolkin and bruce joel rubin have crafted a simplistic story that only gets worse with time .	1	-3	 screenwriters[0] michael[0] tolkin[0] and[0] bruce[0] joel[0] rubin[0] have[0] crafted[0] a[0] simplistic[-1] story[0] that[0] only[0] gets[0] worse[-2] with[0] time[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
what starts out promising soon turns deadly ( for the audience anyway ) . 	what starts out promising soon turns deadly ( for the audience anyway ) .	2	-2	 what[0] starts[0] out[0] promising[1] soon[0] turns[0] deadly[-1] for[0] the[0] audience[0] anyway[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
chock full of cheesy one liners ( " you know , you are going to have more sex than anyone else in school ! " ) 	chock full of cheesy one liners ( " you know , you are going to have more sex than anyone else in school !<br> " )	1	-1	 chock[0] full[0] of[0] cheesy[0] one[0] liners[0] you[0] know[0] you[0] are[0] going[0] to[0] have[0] more[0] sex[0] than[0] anyone[0] else[0] in[0] school[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and stupid characters , you might think we were back in the 70s again . 	and stupid characters , you might think we were back in the 70s again .	1	-2	 and[0] stupid[-1] characters[0] you[0] might[0] think[0] we[0] were[0] back[0] in[0] the[0] 70s[0] again[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
only one of the subplots is remotely interesting , while the rest are forgettable and boring . 	only one of the subplots is remotely interesting , while the rest are forgettable and boring .	2	-2	 only[0] one[0] of[0] the[0] subplots[0] is[0] remotely[0] interesting[1] while[0] the[0] rest[0] are[0] forgettable[0] and[0] boring[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and the main plot is so outrageous that you can't figure out if this film is supposed to be an action , drama , or sci-fi . 	and the main plot is so outrageous that you can't figure out if this film is supposed to be an action , drama , or sci-fi .	1	-3	 and[0] the[0] main[0] plot[0] is[0] so[0] outrageous[-2] that[0] you[0] can't[0] figure[0] out[0] if[0] this[0] film[0] is[0] supposed[0] to[0] be[0] an[0] action[0] drama[0] or[0] sci[0] fi[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
to put it simply : the special effects of this film are a hit and miss situation . 	to put it simply : the special effects of this film are a hit and miss situation .	2	-2	 to[0] put[0] it[0] simply[0] the[0] special[1] effects[0] of[0] this[0] film[0] are[0] a[0] hit[0] and[0] miss[-1] situation[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
that's right , 80% miss , and 20% hit . 	that's right , 80% miss , and 20% hit .	2	-2	 that's[0] right[0] 80%[0] miss[-1] and[0] 20%[0] hit[0] [[Sentence=-2,1=word max, 1-5]] [[changed to +2 due to 'miss']][[[2,-2 max of sentences]]]
scenes above the earth are well done , and the orbiting ship is majestic . 	scenes above the earth are well done , and the orbiting ship is majestic .	1	-1	 scenes[0] above[0] the[0] earth[0] are[0] well[0] done[0] and[0] the[0] orbiting[0] ship[0] is[0] majestic[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but the comet is a huge mistake , making it more laughable than frightening . 	but the comet is a huge mistake , making it more laughable than frightening .	1	-4	 but[0] the[0] comet[0] is[0] a[0] huge[0] mistake[-1] making[0] it[0] more[0] laughable[-1] than[0] frightening[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the concept of even trying to land on a comet is preposterous enough , but that's forgiveable . 	the concept of even trying to land on a comet is preposterous enough , but that's forgiveable .	2	-2	 the[0] concept[0] of[0] even[0] trying[0] to[0] land[0] on[0] a[0] comet[0] is[0] preposterous[-1] enough[0] but[0] that's[0] forgiveable[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
what isn't forgiveable is actually having humans walk on the surface . 	what isn't forgiveable is actually having humans walk on the surface .	1	-2	 what[0] isn't[0] forgiveable[1][NegatedDueToPreviousWord] is[0] actually[0] having[0] humans[0] walk[0] on[0] the[0] surface[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
give me a break , will ya ? 	give me a break , will ya ?	1	-1	 give[0] me[0] a[0] break[0] will[0] ya[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and of course , the much hyped collision of comet and earth . 	and of course , the much hyped collision of comet and earth .	1	-2	 and[0] of[0] course[0] the[0] much[0] hyped[0] collision[-1] of[0] comet[0] and[0] earth[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
well , it is far from spectacular , and it makes independence day look brilliant . 	well , it is far from spectacular , and it makes independence day look brilliant .	2	-1	 well[0] it[0] is[0] far[0] from[0] spectacular[0] and[0] it[0] makes[0] independence[0] day[0] look[0] brilliant[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the water rushing towards the land is effective , but once it hits the continent , the effects turn ridiculous . 	the water rushing towards the land is effective , but once it hits the continent , the effects turn ridiculous .	1	-3	 the[0] water[0] rushing[0] towards[0] the[0] land[0] is[0] effective[0] but[0] once[0] it[0] hits[0] the[0] continent[0] the[0] effects[0] turn[0] ridiculous[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
cgi water is used , and it looks so bad that i heard more laughs from the audience than shrieks . 	cgi water is used , and it looks so bad that i heard more laughs from the audience than shrieks .	2	-2	 cgi[0] water[0] is[0] used[0] and[0] it[0] looks[0] so[0] bad[-1] that[0] i[0] heard[0] more[0] laughs[1] from[0] the[0] audience[0] than[0] shrieks[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in fact , i may even recommend the film for those who want to see how bad effects can actually get these days . 	in fact , i may even recommend the film for those who want to see how bad effects can actually get these days .	1	-2	 in[0] fact[0] i[0] may[0] even[0] recommend[0] the[0] film[0] for[0] those[0] who[0] want[0] to[0] see[0] how[0] bad[-1] effects[0] can[0] actually[0] get[0] these[0] days[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
just when we think visual effects can't be improved , along comes a film to show that they really can and should be . 	just when we think visual effects can't be improved , along comes a film to show that they really can and should be .	1	-2	 just[0] when[0] we[0] think[0] visual[0] effects[0] can't[0] be[0] improved[1][NegatedDueToPreviousWord] along[0] comes[0] a[0] film[0] to[0] show[0] that[0] they[0] really[0] can[0] and[0] should[0] be[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
one thing has struck a wrong note with me concerning mimi leder's direction , which also influences the actors . 	one thing has struck a wrong note with me concerning mimi leder's direction , which also influences the actors .	1	-2	 one[0] thing[0] has[0] struck[-1] a[0] wrong[-1] note[0] with[0] me[0] concerning[-1] mimi[0] leder's[0] direction[0] which[0] also[0] influences[0] the[0] actors[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
leder loves to show the actors' faces before and during moments of terror . 	leder loves to show the actors' faces before and during moments of terror .	3	-2	 leder[0] loves[2] to[0] show[0] the[0] actors'[0] faces[0] before[0] and[0] during[0] moments[0] of[0] terror[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
this reminded me of another action director , renny harlin ( die hard 2 , cliffhanger ) . 	this reminded me of another action director , renny harlin ( die hard 2 , cliffhanger ) .	1	-1	 this[0] reminded[0] me[0] of[0] another[0] action[0] director[0] renny[0] harlin[0] die[0] hard[0] 2[0] cliffhanger[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but harlin succeeds because he shows the faces of the victims in realistic situations . 	but harlin succeeds because he shows the faces of the victims in realistic situations .	3	-3	 but[0] harlin[0] succeeds[2] because[0] he[0] shows[0] the[0] faces[0] of[0] the[0] victims[-2] in[0] realistic[0] situations[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
