capsule : in 2176 on the planet mars police taking into custody an accused murderer face the title menace . 	Translation	Positive	Negative	EmotionRationale
ghosts of mars takes place in the year 2176 . 	ghosts of mars takes place in the year 2176 .	1	-1	 ghosts[0] of[0] mars[0] takes[0] place[0] in[0] the[0] year[0] 2176[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mars has been mostly terraformed so that humans can walk on the surface without breathing gear ( which is good for the film's budget ) . 	mars has been mostly terraformed so that humans can walk on the surface without breathing gear ( which is good for the film's budget ) .	2	-1	 mars[0] has[0] been[0] mostly[0] terraformed[0] so[0] that[0] humans[0] can[0] walk[0] on[0] the[0] surface[0] without[0] breathing[0] gear[0] which[0] is[0] good[1] for[0] the[0] film's[0] budget[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it is never mentioned , but the gravity on mars has been increased somehow to earth-normal , again making it easier to film . 	it is never mentioned , but the gravity on mars has been increased somehow to earth-normal , again making it easier to film .	1	-1	 it[0] is[0] never[0] mentioned[0] but[0] the[0] gravity[0] on[0] mars[0] has[0] been[0] increased[0] somehow[0] to[0] earth[0] normal[0] again[0] making[0] it[0] easier[0] to[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
society has changed a bit by that time , but it has advanced surprisingly little . 	society has changed a bit by that time , but it has advanced surprisingly little .	1	-1	 society[0] has[0] changed[0] a[0] bit[0] by[0] that[0] time[0] but[0] it[0] has[0] advanced[0] surprisingly[0] little[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
apparently the culture has changed so that women are much more in positions of control . 	apparently the culture has changed so that women are much more in positions of control .	1	-1	 apparently[0] the[0] culture[0] has[0] changed[0] so[0] that[0] women[0] are[0] much[0] more[0] in[0] positions[0] of[0] control[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and from carpenter's view , women have really made a mess of things . 	and from carpenter's view , women have really made a mess of things .	1	-1	 and[0] from[0] carpenter's[0] view[0] women[0] have[0] really[0] made[0] a[0] mess[0] of[0] things[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
society has stagnated under female control so that beyond some minor technological advances society has changed less in 175 years than we might expect it to change in ten . 	society has stagnated under female control so that beyond some minor technological advances society has changed less in 175 years than we might expect it to change in ten .	1	-1	 society[0] has[0] stagnated[0] under[0] female[0] control[0] so[0] that[0] beyond[0] some[0] minor[0] technological[0] advances[0] society[0] has[0] changed[0] less[0] in[0] 175[0] years[0] than[0] we[0] might[0] expect[0] it[0] to[0] change[0] in[0] ten[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the basic plot of ghosts of mars has much in common with that of assault on precinct 13 except that precinct 9 ( yes , precinct 9 ) has been replaced by a somewhat tacky looking rundown martian mining colony . 	the basic plot of ghosts of mars has much in common with that of assault on precinct 13 except that precinct 9 ( yes , precinct 9 ) has been replaced by a somewhat tacky looking rundown martian mining colony .	1	-3	 the[0] basic[0] plot[0] of[0] ghosts[0] of[0] mars[0] has[0] much[0] in[0] common[0] with[0] that[0] of[0] assault[-2] on[0] precinct[0] 13[0] except[0] that[0] precinct[0] 9[0] yes[0] precinct[0] 9[0] has[0] been[0] replaced[0] by[0] a[0] somewhat[0] tacky[0] looking[0] rundown[0] martian[0] mining[0] colony[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
instead of having the criminal " napolean " wilson , this film has the criminal " desolation " williams . 	instead of having the criminal " napolean " wilson , this film has the criminal " desolation " williams .	1	-2	 instead[0] of[0] having[0] the[0] criminal[-1] napolean[0] wilson[0] this[0] film[0] has[0] the[0] criminal[-1] desolation[-1] williams[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
instead of facing hoodlums with automatic weapons the police face , well , ghosts of mars . 	instead of facing hoodlums with automatic weapons the police face , well , ghosts of mars .	1	-2	 instead[0] of[0] facing[0] hoodlums[0] with[0] automatic[0] weapons[-1] the[0] police[0] face[0] well[0] ghosts[0] of[0] mars[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
because the ghosts are somewhat alien in nature they should behave in some alien manner , but they essentially behave as human savages , in another lapse of imagination . 	because the ghosts are somewhat alien in nature they should behave in some alien manner , but they essentially behave as human savages , in another lapse of imagination .	1	-3	 because[0] the[0] ghosts[0] are[0] somewhat[0] alien[-1] in[0] nature[0] they[0] should[0] behave[0] in[0] some[0] alien[-1][--1 LastWordBoosterStrength] manner[0] but[0] they[0] essentially[0] behave[0] as[0] human[0] savages[-2] in[0] another[0] lapse[-1] of[0] imagination[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the story is told in flashback , flashback within flashback , and flashback within flashback within flashback . 	the story is told in flashback , flashback within flashback , and flashback within flashback within flashback .	1	-1	 the[0] story[0] is[0] told[0] in[0] flashback[0] flashback[0] within[0] flashback[0] and[0] flashback[0] within[0] flashback[0] within[0] flashback[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ghosts of mars takes place entirely at night and is filmed almost entirely in tones of red , yellow , and black . 	ghosts of mars takes place entirely at night and is filmed almost entirely in tones of red , yellow , and black .	1	-1	 ghosts[0] of[0] mars[0] takes[0] place[0] entirely[0] at[0] night[0] and[0] is[0] filmed[0] almost[0] entirely[0] in[0] tones[0] of[0] red[0] yellow[0] and[0] black[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
carpenter manages to give us a powerful opening scene , showing a mining train rushing through the martian night to the sound of music with a heavy beat . 	carpenter manages to give us a powerful opening scene , showing a mining train rushing through the martian night to the sound of music with a heavy beat .	1	-1	 carpenter[0] manages[0] to[0] give[0] us[0] a[0] powerful[0] opening[0] scene[0] showing[0] a[0] mining[0] train[0] rushing[0] through[0] the[0] martian[0] night[0] to[0] the[0] sound[0] of[0] music[0] with[0] a[0] heavy[0] beat[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sadly what follows is not really up to the buildup . 	sadly what follows is not really up to the buildup .	1	-2	 sadly[-1] what[0] follows[0] is[0] not[0] really[0] up[0] to[0] the[0] buildup[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the terror he creates looks a little too much like fugitive wannabes from the rock band kiss . 	the terror he creates looks a little too much like fugitive wannabes from the rock band kiss .	3	-2	 the[0] terror[-1] he[0] creates[0] looks[0] a[0] little[0] too[0] much[0] like[1] fugitive[-1] wannabes[0] from[0] the[0] rock[1] band[0] kiss[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
his idea of building suspense is having a bunch of sudden jump scenes that sucker the viewer into thinking something scary is happening and then prove to be just something boring . 	his idea of building suspense is having a bunch of sudden jump scenes that sucker the viewer into thinking something scary is happening and then prove to be just something boring .	1	-4	 his[0] idea[0] of[0] building[0] suspense[0] is[0] having[0] a[0] bunch[0] of[0] sudden[0] jump[0] scenes[0] that[0] sucker[-1] the[0] viewer[0] into[0] thinking[0] something[0] scary[-3] is[0] happening[0] and[0] then[0] prove[0] to[0] be[0] just[0] something[0] boring[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
these are standard haunted house film shock effects that require no great talent to give the audience . 	these are standard haunted house film shock effects that require no great talent to give the audience .	3	-3	 these[0] are[0] standard[0] haunted[0] house[0] film[0] shock[-2] effects[0] that[0] require[0] no[0] great[2] talent[1] to[0] give[0] the[0] audience[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
somewhat newer but also unimpressive are the cgi digital decapitations in some of the fights . 	somewhat newer but also unimpressive are the cgi digital decapitations in some of the fights .	1	-3	 somewhat[0] newer[0] but[0] also[0] unimpressive[-1] are[0] the[0] cgi[0] digital[0] decapitations[0] in[0] some[0] of[0] the[0] fights[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
within a short stretch of time we have seen the release of mission to mars , red planet , and ghosts of mars . 	within a short stretch of time we have seen the release of mission to mars , red planet , and ghosts of mars .	1	-1	 within[0] a[0] short[0] stretch[0] of[0] time[0] we[0] have[0] seen[0] the[0] release[0] of[0] mission[0] to[0] mars[0] red[0] planet[0] and[0] ghosts[0] of[0] mars[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after mission to mars was panned by too many reviewers it looks better and better and better as time goes by . 	after mission to mars was panned by too many reviewers it looks better and better and better as time goes by .	1	-1	 after[0] mission[0] to[0] mars[0] was[0] panned[0] by[0] too[0] many[0] reviewers[0] it[0] looks[0] better[0] and[0] better[0] and[0] better[0] as[0] time[0] goes[0] by[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i rate ghosts of mars a 4 on the 0 to 10 scale and a 0 on the -4 to  4 scale . 	i rate ghosts of mars a 4 on the 0 to 10 scale and a 0 on the -4 to  4 scale .	1	-1	 i[0] rate[0] ghosts[0] of[0] mars[0] a[0] 4[0] on[0] the[0] 0[0] to[0] 10[0] scale[0] and[0] a[0] 0[0] on[0] the[0] -4[0] to[0] 4[0] scale[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
following the movie i showed my wife , who liked ghosts of mars moderately more than i did , carpenter's classic assault on precinct 13 . 	following the movie i showed my wife , who liked ghosts of mars moderately more than i did , carpenter's classic assault on precinct 13 .	3	-3	 following[0] the[0] movie[0] i[0] showed[0] my[0] wife[0] who[0] liked[2] ghosts[0] of[0] mars[0] moderately[0] more[0] than[0] i[0] did[0] carpenter's[0] classic[0] assault[-2] on[0] precinct[0] 13[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
her comment is that it was seeing the same film twice . 	her comment is that it was seeing the same film twice .	1	-1	 her[0] comment[0] is[0] that[0] it[0] was[0] seeing[0] the[0] same[0] film[0] twice[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
