well i guess it's that time of the year again . 	Translation	Positive	Negative	EmotionRationale
i'm talking about the three batmans , the speeds , the terminators , etc . this year i'm talking about twister , independence day , the arrival , the rock , mission : impossible , and of course , eraser . 	i'm talking about the three batmans , the speeds , the terminators , etc .<br> this year i'm talking about twister , independence day , the arrival , the rock , mission : impossible , and of course , eraser .	2	-2	 i'm[0] talking[0] about[0] the[0] three[0] batmans[0] the[0] speeds[0] the[0] terminators[0] etc[0] [[Sentence=-1,1=word max, 1-5]] this[0] year[0] i'm[0] talking[0] about[0] twister[0] independence[0] day[0] the[0] arrival[0] the[0] rock[1] mission[0] impossible[0] and[0] of[0] course[0] eraser[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
here in singapore , as our local movie critics like to whine , we seem to get the pick of the crop of " my explosion is more real-looking than yours " movies , but nothing else . 	here in singapore , as our local movie critics like to whine , we seem to get the pick of the crop of " my explosion is more real-looking than yours " movies , but nothing else .	2	-3	 here[0] in[0] singapore[0] as[0] our[0] local[0] movie[0] critics[0] like[1] to[0] whine[-2] we[0] seem[0] to[0] get[0] the[0] pick[0] of[0] the[0] crop[0] of[0] my[0] explosion[-1] is[0] more[0] real[0] looking[0] than[0] yours[0] movies[0] but[0] nothing[0] else[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
mission : impossible opened in our theatres almost as soon as it did in the us . 	mission : impossible opened in our theatres almost as soon as it did in the us .	1	-1	 mission[0] impossible[0] opened[0] in[0] our[0] theatres[0] almost[0] as[0] soon[0] as[0] it[0] did[0] in[0] the[0] us[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the same goes for eraser , which is unfortunate for arnold schwarzenegger because coming so soon after what time magazine recently called " mission : unavoidable " ( on account of its worldwide mega-advertising blitz ) , eraser seems like a cheaper , less thoughtful imitation . 	the same goes for eraser , which is unfortunate for arnold schwarzenegger because coming so soon after what time magazine recently called " mission : unavoidable " ( on account of its worldwide mega-advertising blitz ) , eraser seems like a cheaper , less thoughtful imitation .	2	-2	 the[0] same[0] goes[0] for[0] eraser[-1] which[0] is[0] unfortunate[-1] for[0] arnold[0] schwarzenegger[0] because[0] coming[0] so[0] soon[0] after[0] what[0] time[0] magazine[0] recently[0] called[0] mission[0] unavoidable[-1] on[0] account[0] of[0] its[0] worldwide[0] mega[0] advertising[0] blitz[0] eraser[-1] seems[0] like[1] a[0] cheaper[-1] less[0] thoughtful[1] imitation[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
that's saying a lot , because mi the movie was already a cheap , thoughtless imitation of its tv originator of the '60s/'70s . 	that's saying a lot , because mi the movie was already a cheap , thoughtless imitation of its tv originator of the '60s/'70s .	1	-2	 that's[0] saying[0] a[0] lot[0] because[0] mi[0] the[0] movie[0] was[0] already[0] a[0] cheap[-1] thoughtless[-1] imitation[0] of[0] its[0] tv[0] originator[0] of[0] the[0] '60s/'70s[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in eraser , arnie is a us federal marshall who relocates trial witnesses whose testimonies place their lives in danger . 	in eraser , arnie is a us federal marshal who relocates trial witnesses whose testimonies place their lives in danger .	1	-2	 in[0] eraser[-1] arnie[0] is[0] a[0] us[0] federal[0] marshall/marshal[0] who[0] relocates[0] trial[0] witnesses[0] whose[0] testimonies[0] place[0] their[0] lives[0] in[0] danger[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he does this by destroying all evidence of their present existence and re-situating them with new identities . 	he does this by destroying all evidence of their present existence and re-situating them with new identities .	1	-3	 he[0] does[0] this[0] by[0] destroying[-2] all[0] evidence[0] of[0] their[0] present[0] existence[0] and[0] re[0] situating[0] them[0] with[0] new[0] identities[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
his new case is lee cullen , played by vanessa williams who , unlike all the other scumbags he's ever relocated , is " an actual , real life honest person . " 	his new case is lee cullen , played by vanessa williams who , unlike all the other scumbags he's ever relocated , is " an actual , real life honest person .<br> "	1	-1	 his[0] new[0] case[0] is[0] lee[0] cullen[0] played[0] by[0] vanessa[0] williams[0] who[0] unlike[0] all[0] the[0] other[0] scumbags[0] he's[0] ever[0] relocated[0] is[0] an[0] actual[0] real[0] life[0] honest[0] person[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
because she's so good , and has such nice legs , arnold spends the whole movie trying to protect her , and only uses the opening movie sequence to save robert pastorelli from * his * killers . 	because she's so good , and has such nice legs , arnold spends the whole movie trying to protect her , and only uses the opening movie sequence to save robert pastorelli from * his * killers .	2	-1	 because[0] she's[0] so[0] good[1] and[0] has[0] such[0] nice[1] legs[0] arnold[0] spends[0] the[0] whole[0] movie[0] trying[0] to[0] protect[0] her[0] and[0] only[0] uses[0] the[0] opening[0] movie[0] sequence[0] to[0] save[1] robert[0] pastorelli[0] from[0] his[0] killers[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
lee obtains evidence that the high-technology weapons company she works for is secretly selling sophisticated , black-market arms to people with foreign accents and stringy hair . 	lee obtains evidence that the high-technology weapons company she works for is secretly selling sophisticated , black-market arms to people with foreign accents and stringy hair .	1	-2	 lee[0] obtains[0] evidence[0] that[0] the[0] high[0] technology[0] weapons[-1] company[0] she[0] works[0] for[0] is[0] secretly[0] selling[0] sophisticated[0] black[0] market[0] arms[0] to[0] people[0] with[0] foreign[-1] accents[0] and[0] stringy[0] hair[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
of course , as the formula goes , her revealing this information will destroy the system as we know it because heck , there are people in high places who will go down with this , because yes , this is the biggest conspiracy in the history of the world ( that is , america ) since watergate . 	of course , as the formula goes , her revealing this information will destroy the system as we know it because heck , there are people in high places who will go down with this , because yes , this is the biggest conspiracy in the history of the world ( that is , america ) since watergate .	1	-3	 of[0] course[0] as[0] the[0] formula[0] goes[0] her[0] revealing[0] this[0] information[0] will[0] destroy[-2] the[0] system[0] as[0] we[0] know[0] it[0] because[0] heck[0] there[0] are[0] people[0] in[0] high[0] places[0] who[0] will[0] go[0] down[0] with[0] this[0] because[0] yes[0] this[0] is[0] the[0] biggest[0] conspiracy[-1] in[0] the[0] history[0] of[0] the[0] world[0] that[0] is[0] america[0] since[0] watergate[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in protecting lee , arnold is framed by the mentor-turned-evil robert deguerin , nicely played by james caan , and ends up having to prove that he isn't the one killing the programme's witnesses in addition to making sure lee isn't accidentally torpedo-ed to death by the new , green guns his enemies all have . 	in protecting lee , arnold is framed by the mentor-turned-evil robert deguerin , nicely played by james can , and ends up having to prove that he isn't the one killing the programme's witnesses in addition to making sure lee isn't accidentally torpedo-ed to death by the new , green guns his enemies all have .	2	-3	 in[0] protecting[0] lee[0] arnold[0] is[0] framed[0] by[0] the[0] mentor[0] turned[0] evil[-2] robert[0] deguerin[0] nicely[1] played[0] by[0] james[0] caan/can[0] and[0] ends[0] up[0] having[0] to[0] prove[0] that[0] he[0] isn't[0] the[0] one[0] killing[-1] the[0] programme's[0] witnesses[0] in[0] addition[0] to[0] making[0] sure[0] lee[0] isn't[0] accidentally[-1][NegatedDueToPreviousWord] torpedo[0] ed[0] to[0] death[-2] by[0] the[0] new[0] green[0] guns[-1] his[0] enemies[-1] all[0] have[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it's around this time that people in the theatre with me starting humming the mission : impossible theme , because arnie's mission includes breaking into a high-security building to run a disk . 	it's around this time that people in the theatre with me starting humming the mission : impossible theme , because arnie's mission includes breaking into a high-security building to run a disk .	2	-1	 it's[0] around[0] this[0] time[0] that[0] people[0] in[0] the[0] theatre[0] with[0] me[0] starting[0] humming[0] the[0] mission[0] impossible[0] theme[0] because[0] arnie's[0] mission[0] includes[0] breaking[0] into[0] a[0] high[0] security[1] building[0] to[0] run[0] a[0] disk[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i guess i should tell you more about the particular gun everyone in this movie is so antsy about . 	i guess i should tell you more about the particular gun everyone in this movie is so antsy about .	1	-2	 i[0] guess[0] i[0] should[0] tell[0] you[0] more[0] about[0] the[0] particular[0] gun[-1] everyone[0] in[0] this[0] movie[0] is[0] so[0] antsy[0] about[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's an electro-magnetic pulse gun thing which fires aluminium missiles , and which can see through walls . 	it's an electro-magnetic pulse gun thing which fires aluminium missiles , and which can see through walls .	1	-2	 it's[0] an[0] electro[0] magnetic[0] pulse[0] gun[-1] thing[0] which[0] fires[0] aluminium[0] missiles[0] and[0] which[0] can[0] see[0] through[0] walls[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it has some sort of x-ray vision , so its user can target the victim's heart even from great distances . 	it has some sort of x-ray vision , so its user can target the victim's heart even from great distances .	3	-3	 it[0] has[0] some[0] sort[0] of[0] x[1] ray[0] vision[0] so[0] its[0] user[0] can[0] target[0] the[0] victim's[-2] heart[0] even[0] from[0] great[2] distances[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
despite this , which i figure is a pretty cool feature in a gun ( though i'm certainly no expert ) , however , arnold , whose own heart is targeted a number of times , * never * goes flying 10 feet backwards with a two-foot missile through his chest like all the others who get shot by this gun . 	despite this , which i figure is a pretty cool feature in a gun ( though i'm certainly no expert ) , however , arnold , whose own heart is targeted a number of times , * never * goes flying 10 feet backwards with a two-foot missile through his chest like all the others who get shot by this gun .	3	-2	 despite[0] this[0] which[0] i[0] figure[0] is[0] a[0] pretty[2] cool[1] feature[0] in[0] a[0] gun[-1] though[0] i'm[0] certainly[0] no[0] expert[0] however[0] arnold[0] whose[0] own[0] heart[0] is[0] targeted[0] a[0] number[0] of[0] times[0] never[0] goes[0] flying[0] 10[0] feet[0] backwards[0] with[0] a[0] two[0] foot[0] missile[0] through[0] his[0] chest[0] like[1] all[0] the[0] others[0] who[0] get[0] shot[-1] by[0] this[0] gun[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
instead he outruns and outsmarts his trackers each time , giving eery and ironic resonance to that terminator line that practically made him famous : " i'll be back . " 	instead he outruns and outsmarts his trackers each time , giving eery and ironic resonance to that terminator line that practically made him famous : " i'll be back .<br> "	1	-2	 instead[0] he[0] outruns[0] and[0] outsmarts[0] his[0] trackers[0] each[0] time[0] giving[0] eery[0] and[0] ironic[-1] resonance[0] to[0] that[0] terminator[0] line[0] that[0] practically[0] made[0] him[0] famous[0] i'll[0] be[0] back[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
like everyone else in the theater , i left the movie feeling that the trailers had duped me , because they made me want to watch this movie voluntarily . 	like everyone else in the theater , i left the movie feeling that the trailers had duped me , because they made me want to watch this movie voluntarily .	2	-1	 like[1] everyone[0] else[0] in[0] the[0] theater[0] i[0] left[0] the[0] movie[0] feeling[0] that[0] the[0] trailers[0] had[0] duped[0] me[0] because[0] they[0] made[0] me[0] want[0] to[0] watch[0] this[0] movie[0] voluntarily[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
although there is a * lot * of violence in this movie , not to mention mutilation and some bloody tussles with alligators , i recommend this movie to most over-18s who need some therapeutic mindless action to get over the weirdness of fargo or the hangover effect of leaving las vegas . 	although there is a * lot * of violence in this movie , not to mention mutilation and some bloody tussles with alligators , i recommend this movie to most over-18s who need some therapeutic mindless action to get over the weirdness of fargo or the hangover effect of leaving las vegas .	1	-4	 although[0] there[0] is[0] a[0] lot[0] of[0] violence[-3] in[0] this[0] movie[0] not[0] to[0] mention[0] mutilation[0] and[0] some[0] bloody[-1][--1 LastWordBoosterStrength] tussles[0] with[0] alligators[0] i[0] recommend[0] this[0] movie[0] to[0] most[0] over[0] -18s[0] who[0] need[0] some[0] therapeutic[0] mindless[0] action[0] to[0] get[0] over[0] the[0] weirdness[-1] of[0] fargo[0] or[0] the[0] hangover[-2] effect[0] of[0] leaving[0] las[0] vegas[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
review's rating system : * wait for the video . 	review's rating system : * wait for the video .	1	-1	 review's[0] rating[0] system[0] wait[0] for[0] the[0] video[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 * * a little creaky , but still better than staying at home with gotcha ! 	 * * a little creaky , but still better than staying at home with gotcha !	1	-1	 a[0] little[0] creaky[0] but[0] still[0] better[0] than[0] staying[0] at[0] home[0] with[0] gotcha[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 * * * pretty good , bring a friend . 	 * * * pretty good , bring a friend .	3	-1	 pretty[2] good[1] bring[0] a[0] friend[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 * * * * amazing , potent stuff . 	 * * * * amazing , potent stuff .	3	-1	 amazing[2] potent[0] stuff[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 * * * * * perfection . 	 * * * * * perfection .	2	-1	 perfection[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
see it twice . 	see it twice .	1	-1	 see[0] it[0] twice[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
