one of my brother's favorite movies is h . b . halicki's 1974 cult flick " gone is sixty seconds , " one of the best products of the car-chase genre that provided drive-in fare during the 1970's . 	Translation	Positive	Negative	EmotionRationale
watching " gone , " i discovered that stealing fifty cars is not any more interesting than stealing one . 	watching " gone , " i discovered that stealing fifty cars is not any more interesting than stealing one .	2	-3	 watching[0] gone[0] i[0] discovered[0] that[0] stealing[-2] fifty[0] cars[0] is[0] not[0] any[0] more[0] interesting[1] than[0] stealing[-2] one[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
maybe that's why the first forty-nine are fairly easy , and the thrills are saved for " eleanor , " a 1967 shelby gto , a model that has always eluded memphis . 	maybe that's why the first forty-nine are fairly easy , and the thrills are saved for " eleanor , " a 1967 shelby gto , a model that has always eluded memphis .	4	-1	 maybe[0] that's[0] why[0] the[0] first[0] forty[0] nine[0] are[0] fairly[0] easy[0] and[0] the[0] thrills[3] are[0] saved[1] for[0] eleanor[0] a[0] 1967[0] shelby[0] gto[0] a[0] model[0] that[0] has[0] always[0] eluded[0] memphis[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
but the big chase doesn't live up to the long wait . 	but the big chase doesn't live up to the long wait .	1	-2	 but[0] the[0] big[0] chase[-1] doesn't[0] live[0] up[0] to[0] the[0] long[0] wait[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i had high hopes for " gone " because it is director dominic sena's second film . 	i had high hopes for " gone " because it is director dominic sena's second film .	2	-1	 i[0] had[0] high[0] hopes[1] for[0] gone[0] because[0] it[0] is[0] director[0] dominic[0] sena's[0] second[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " kalifornia , " his 1993 debut , was a brilliant study in the relationship between violence and its audience . 	 " kalifornia , " his 1993 debut , was a brilliant study in the relationship between violence and its audience .	2	-4	 kalifornia[0] his[0] 1993[0] debut[0] was[0] a[0] brilliant[1] study[0] in[0] the[0] relationship[0] between[0] violence[-3] and[0] its[0] audience[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
in that movie sena took a simple thriller plot ( a couple gives a serial killer a ride ) and successfully endowed it with deeper significance . 	in that movie sena took a simple thriller plot ( a couple gives a serial killer a ride ) and successfully endowed it with deeper significance .	3	-2	 in[0] that[0] movie[0] sena[0] took[0] a[0] simple[0] thriller[1] plot[0] a[0] couple[0] gives[0] a[0] serial[0] killer[-1] a[0] ride[0] and[0] successfully[2] endowed[0] it[0] with[0] deeper[0] significance[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
in " gone " he seems to be aiming for a drama about two brothers who can't communicate with each other , but that goal just doesn't mesh with this plot . 	in " gone " he seems to be aiming for a drama about two brothers who can't communicate with each other , but that goal just doesn't mesh with this plot .	1	-1	 in[0] gone[0] he[0] seems[0] to[0] be[0] aiming[0] for[0] a[0] drama[0] about[0] two[0] brothers[0] who[0] can't[0] communicate[0] with[0] each[0] other[0] but[0] that[0] goal[0] just[0] doesn't[0] mesh[0] with[0] this[0] plot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " gone " either takes itself too seriously or not seriously enough . 	 " gone " either takes itself too seriously or not seriously enough .	1	-1	 gone[0] either[0] takes[0] itself[0] too[0] seriously[0] or[0] not[0] seriously[0] enough[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's not light enough to be fun , or mean enough to be intense . 	it's not light enough to be fun , or mean enough to be intense .	2	-1	 it's[0] not[0] light[0] enough[0] to[0] be[0] fun[1] or[0] mean[0] enough[0] to[0] be[0] intense[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this chaser has more dialogue than tire squeals but is none the better for it . 	this chaser has more dialogue than tire squeals but is none the better for it .	1	-2	 this[0] chaser[-1] has[0] more[0] dialogue[0] than[0] tire[-1] squeals[0] but[0] is[0] none[0] the[0] better[0] for[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the lack of action is a waste of the premise , which should have challenged the filmmakers to create the most spectacular car chases ever . 	the lack of action is a waste of the premise , which should have challenged the filmmakers to create the most spectacular car chases ever .	1	-2	 the[0] lack[-1] of[0] action[0] is[0] a[0] waste[-1] of[0] the[0] premise[0] which[0] should[0] have[0] challenged[-1] the[0] filmmakers[0] to[0] create[0] the[0] most[0] spectacular[0] car[0] chases[-1] ever[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the weak script is a waste of a talented cast . 	the weak script is a waste of a talented cast .	2	-2	 the[0] weak[-1] script[0] is[0] a[0] waste[-1] of[0] a[0] talented[1] cast[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in a " newsweek " interview last year , sean penn blasted his old pal nic cage for making bad movies . 	in a " newsweek " interview last year , sean pen blasted his old pal nic cage for making bad movies .	1	-2	 in[0] a[0] newsweek[0] interview[0] last[0] year[0] sean[0] penn/pen[0] blasted[0] his[0] old[0] pal[0] nic[0] cage[0] for[0] making[0] bad[-1] movies[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
much as i like cage , for every good picture he does ( " leaving las vegas , " " bringing out the dead " ) , there are two major stinkers ( " snake eyes , " " con air , " " 8mm , " " city of angels " ) . 	much as i like cage , for every good picture he does ( " leaving las vegas , " " bringing out the dead " ) , there are two major stinkers ( " snake eyes , " " con air , " " 8m , " " city of angels " ) .	2	-3	 much[0] as[0] i[0] like[1] cage[0] for[0] every[0] good[1] picture[0] he[0] does[0] leaving[0] las[0] vegas[0] bringing[0] out[0] the[0] dead[-2] there[0] are[0] two[0] major[0] stinkers[-2] snake[0] eyes[0] con[0] air[0] 8mm/8m[0] city[0] of[0] angels[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
that ratio is probably better than what a lot of his peers can boast , but cage has real talent . 	that ratio is probably better than what a lot of his peers can boast , but cage has real talent .	2	-2	 that[0] ratio[0] is[0] probably[0] better[0] than[0] what[0] a[0] lot[0] of[0] his[0] peers[0] can[0] boast[-1] but[0] cage[0] has[0] real[0] talent[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's a shame to waste it in glitzy , superficial tripe like " gone in 60 seconds . " 	it's a shame to waste it in glitzy , superficial tripe like " gone in 60 seconds .<br> "	2	-3	 it's[0] a[0] shame[-2] to[0] waste[-1] it[0] in[0] glitzy[0] superficial[-1] tripe[0] like[1] gone[0] in[0] 60[0] seconds[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
