a number of critics have decided that it's open season on freddie prize jr . , slamming the young actor as an utterly talentless pretty boy on career cruise control in sound-alike , disposable teen fluff like " head over heels , " " boys and girls , " " down to you " and " she's all that . " 	Translation	Positive	Negative	EmotionRationale
the only bit of originality comes from marc blucas in a minor role as a center-fielder from texas . 	the only bit of originality comes from marc blucas in a minor role as a center-fielder from texas .	1	-1	 the[0] only[0] bit[0] of[0] originality[0] comes[0] from[0] marc[0] blucas[0] in[0] a[0] minor[0] role[0] as[0] a[0] center[0] fielder[0] from[0] texas[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in an early barroom scene , blucas , best known as demon-fighting riley finn from " buffy the vampire slayer , " hears a young woman compliment a guy on his ass , then turns to teammate matthew lillard and states , " he does have a nice ass . 	in an early barroom scene , blucas , best known as demon-fighting riley fin from " buffy the vampire slayer , " hears a young woman compliment a guy on his ass , then turns to teammate matthew lillard and states , " he does have a nice ass .	2	-3	 in[0] an[0] early[0] barroom[0] scene[0] blucas[0] best[1] known[0] as[0] demon[-1] fighting[-2] riley[0] finn/fin[0] from[0] buffy[0] the[0] vampire[0] slayer[-1] hears[0] a[0] young[0] woman[0] compliment[1] a[0] guy[0] on[0] his[0] ass[0] then[0] turns[0] to[0] teammate[0] matthew[0] lillard[0] and[0] states[0] he[0] does[0] have[0] a[0] nice[1] ass[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
a bubble butt . " 	a bubble butt .<br> "	1	-1	 a[0] bubble[0] butt[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when lillard gives him an " are you insane ? " 	when lillard gives him an " are you insane ?<br> "	1	-2	 when[0] lillard[0] gives[0] him[0] an[0] are[0] you[0] insane[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
look , blucas calmly says , " it's nothing sexual , " then goes on to evaluate the hind-ends of some other players , including lillard's . 	look , blucas calmly says , " it's nothing sexual , " then goes on to evaluate the hind-ends of some other players , including lillard's .	2	-1	 look[0] blucas[0] calmly[1] says[0] it's[0] nothing[0] sexual[0] then[0] goes[0] on[0] to[0] evaluate[0] the[0] hind[0] ends[0] of[0] some[0] other[0] players[0] including[0] lillard's[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
speaking of asses , prinze does not bare his in the movie . 	speaking of asses , prinze does not bare his in the movie .	1	-1	 speaking[0] of[0] asses[0] prinze[0] does[0] not[0] bare[0] his[0] in[0] the[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the actor has a no nudity clause in his contract , so two stunt-butts were employed for a couple of semi-nude shots . 	the actor has a no nudity clause in his contract , so two stunt-butts were employed for a couple of semi-nude shots .	1	-2	 the[0] actor[0] has[0] a[0] no[0] nudity[0] clause[0] in[0] his[0] contract[0] so[0] two[0] stunt[-1] butts[0] were[0] employed[0] for[0] a[0] couple[0] of[0] semi[0] nude[0] shots[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
blucas , whose character secretly dates a large woman throughout the story , gets another unique moment late in the film . 	blucas , whose character secretly dates a large woman throughout the story , gets another unique moment late in the film .	1	-1	 blucas[0] whose[0] character[0] secretly[0] dates[0] a[0] large[0] woman[0] throughout[0] the[0] story[0] gets[0] another[0] unique[0] moment[0] late[0] in[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sick of hearing teammates make " fat chick " jokes , he climbs on top of a table and loudly declares his love of amply-sized ladies . 	sick of hearing teammates make " fat chick " jokes , he climbs on top of a table and loudly declares his love of amply-sized ladies .	3	-2	 sick[-1] of[0] hearing[0] teammates[0] make[0] fat[-1] chick[0] jokes[1] he[0] climbs[0] on[0] top[0] of[0] a[0] table[0] and[0] loudly[0] declares[0] his[0] love[2] of[0] amply[0] sized[0] ladies[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
while his speech still ends up objectifying women , it remains a nice change of pace in a numbingly ordinary movie . 	while his speech still ends up objectifying women , it remains a nice change of pace in a numbingly ordinary movie .	2	-2	 while[0] his[0] speech[0] still[0] ends[0] up[0] objectifying[0] women[0] it[0] remains[0] a[0] nice[1] change[0] of[0] pace[0] in[0] a[0] numbingly[-1] ordinary[0] movie[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
trivial tidbit : " summer catch " marks a scooby doo summit . 	trivial tidbit : " summer catch " marks a scooby do summit .	1	-2	 trivial[-1] tidbit[0] summer[0] catch[0] marks[0] a[0] scooby[0] doo/do[0] summit[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
marc blucas appears in " jay and silent bob strike back " as fred from the scooby doo gang , while freddie prinze jr . plays the same character in the upcoming big budget film version of the old cartoon . 	marc blucas appears in " jay and silent bob strike back " as fred from the scooby do gang , while freddie prinze jr .<br> plays the same character in the upcoming big budget film version of the old cartoon .	2	-2	 marc[0] blucas[0] appears[0] in[0] jay[0] and[0] silent[0] bob[0] strike[-1] back[0] as[0] fred[0] from[0] the[0] scooby[0] doo/do[0] gang[0] while[0] freddie[0] prinze[0] jr[0] [[Sentence=-2,1=word max, 1-5]] plays[1] the[0] same[0] character[0] in[0] the[0] upcoming[0] big[0] budget[0] film[0] version[0] of[0] the[0] old[0] cartoon[0] [[Sentence=-1,2=word max, 1-5]][[[2,-2 max of sentences]]]
