the happy bastard's quick movie review 	Translation	Positive	Negative	EmotionRationale
they catch onto a plot of his involving a superweapon that can basically be considered an 80-foot tarantula ( although it looks bigger than that ) , hellbent on destroying anything in its path . 	they catch onto a plot of his involving a superweapon that can basically be considered an 80-foot tarantula ( although it looks bigger than that ) , hellbent on destroying anything in its path .	1	-3	 they[0] catch[0] onto[0] a[0] plot[0] of[0] his[0] involving[0] a[0] superweapon[0] that[0] can[0] basically[0] be[0] considered[0] an[0] 80[0] foot[0] tarantula[0] although[0] it[0] looks[0] bigger[0] than[0] that[0] hellbent[0] on[0] destroying[-2] anything[0] in[0] its[0] path[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
as i said , the way the script unfolds is a complete mess . 	as i said , the way the script unfolds is a complete mess .	1	-1	 as[0] i[0] said[0] the[0] way[0] the[0] script[0] unfolds[0] is[0] a[0] complete[0] mess[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but the acting doesn't help either . 	but the acting doesn't help either .	1	-1	 but[0] the[0] acting[0] doesn't[0] help[0] either[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
kevin kline is miserable as gordon , failing to display even a smidgeon of care as he did in the 1985 western silverado . 	kevin kline is miserable as gordon , failing to display even a smidgeon of care as he did in the 1985 western silverado .	2	-3	 kevin[0] kline[0] is[0] miserable[-2] as[0] gordon[0] failing[-2] to[0] display[0] even[0] a[0] smidgeon[0] of[0] care[1] as[0] he[0] did[0] in[0] the[0] 1985[0] western[0] silverado[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
smith seems to be having a better time as west , although he's not nearly as charming as he was in mib . 	smith seems to be having a better time as west , although he's not nearly as charming as he was in mib .	2	-1	 smith[0] seems[0] to[0] be[0] having[0] a[0] better[0] time[0] as[0] west[0] although[0] he's[0] not[0] nearly[0] as[0] charming[1] as[0] he[0] was[0] in[0] mib[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
branagh goes excessively over the top as the villain , perhaps to the point where we can't even stand to look at him or his strange beard . 	branagh goes excessively over the top as the villain , perhaps to the point where we can't even stand to look at him or his strange beard .	1	-3	 branagh[0] goes[0] excessively[-1] over[0] the[0] top[0] as[0] the[0] villain[-2] perhaps[0] to[0] the[0] point[0] where[0] we[0] can't[0] even[0] stand[0] to[0] look[0] at[0] him[0] or[0] his[0] strange[0] beard[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and salma hayek is along for the ride to search for her missing father , but mostly she exists just for sexual attention . 	and salma hayek is along for the ride to search for her missing father , but mostly she exists just for sexual attention .	1	-1	 and[0] salma[0] hayek[0] is[0] along[0] for[0] the[0] ride[0] to[0] search[0] for[0] her[0] missing[0] father[0] but[0] mostly[0] she[0] exists[0] just[0] for[0] sexual[0] attention[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
her acting is barely passable , but what a " breath of fresh ass " . 	her acting is barely passable , but what a " breath of fresh ass " .	1	-1	 her[0] acting[0] is[0] barely[0] passable[0] but[0] what[0] a[0] breath[0] of[0] fresh[0] ass[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
director barry sonnenfeld isn't of great help either . 	director barry sonnenfeld isn't of great help either .	1	-3	 director[0] barry[0] sonnenfeld[0] isn't[0] of[0] great[2][NegatedDueToPreviousWord] help[0] either[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
even though he shows some good creativity at some points , his overall urgency for directing is lost . 	even though he shows some good creativity at some points , his overall urgency for directing is lost .	1	-1	 even[0] though[0] he[0] shows[0] some[0] good[1][-1 LastWordBoosterStrength] creativity[0] at[0] some[0] points[0] his[0] overall[0] urgency[0] for[0] directing[0] is[0] lost[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's as if he feels he's directing a tv movie , a big no-no when you're helming what's supposed to be a big-screen hit . 	it's as if he feels he's directing a tv movie , a big no-no when you're helming what's supposed to be a big-screen hit .	1	-1	 it's[0] as[0] if[0] he[0] feels[0] he's[0] directing[0] a[0] tv[0] movie[0] a[0] big[0] no[0] no[0] when[0] you're[0] helming[0] what's[0] supposed[0] to[0] be[0] a[0] big[0] screen[0] hit[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
last but not least , there are huge gaps of logic that are just plain unacceptable . 	last but not least , there are huge gaps of logic that are just plain unacceptable .	1	-1	 last[0] but[0] not[0] least[0] there[0] are[0] huge[0] gaps[0] of[0] logic[0] that[0] are[0] just[0] plain[0] unacceptable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at one point , smith defies gravity when first boarding kline's train . 	at one point , smith defies gravity when first boarding kline's train .	1	-1	 at[0] one[0] point[0] smith[0] defies[0] gravity[0] when[0] first[0] boarding[0] kline's[0] train[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he jumps on the back , gets launched straight up in the air , and somehow manages to land three cars ahead on the train- while it's still in motion ! 	he jumps on the back , gets launched straight up in the air , and somehow manages to land three cars ahead on the train- while it's still in motion !	1	-1	 he[0] jumps[0] on[0] the[0] back[0] gets[0] launched[0] straight[0] up[0] in[0] the[0] air[0] and[0] somehow[0] manages[0] to[0] land[0] three[0] cars[0] ahead[0] on[0] the[0] train[0] while[0] it's[0] still[0] in[0] motion[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
also , he seems to be strangely comfortable talking about racism in front of a lynch mob , particularly considering the fact that his family was killed by the likes of such folks . 	also , he seems to be strangely comfortable talking about racism in front of a lynch mob , particularly considering the fact that his family was killed by the likes of such folks .	3	-4	 also[0] he[0] seems[0] to[0] be[0] strangely[0] comfortable[1] talking[0] about[0] racism[-1] in[0] front[0] of[0] a[0] lynch[0] mob[0] particularly[0] considering[0] the[0] fact[0] that[0] his[0] family[0] was[0] killed[-3] by[0] the[0] likes[2] of[0] such[0] folks[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
last but not least , why is he still making kissing faces when he knows he's not kissing a woman as he's looking through a peephole at the enemy ? ! 	last but not least , why is he still making kissing faces when he knows he's not kissing a woman as he's looking through a peephole at the enemy ?<br> !	3	-3	 last[0] but[0] not[0] least[0] why[0] is[0] he[0] still[0] making[0] kissing[2] faces[0] when[0] he[0] knows[0] he's[0] not[0] kissing[2][NegatedDueToPreviousWord] a[0] woman[0] as[0] he's[0] looking[0] through[0] a[0] peephole[0] at[0] the[0] enemy[-1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the only saving grace for wild wild west come mostly in the form of special effects . 	the only saving grace for wild wild west come mostly in the form of special effects .	3	-1	 the[0] only[0] saving[0] grace[2] for[0] wild[0] wild[0] west[0] come[0] mostly[0] in[0] the[0] form[0] of[0] special[1] effects[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the huge mechanical spider is a technical marvel , very authentic looking and considerable to the creativity of the show . 	the huge mechanical spider is a technical marvel , very authentic looking and considerable to the creativity of the show .	1	-1	 the[0] huge[0] mechanical[0] spider[0] is[0] a[0] technical[0] marvel[0] very[0] authentic[0] looking[0] and[0] considerable[0] to[0] the[0] creativity[0] of[0] the[0] show[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's also a good sequence involving metal magnet neckbraces and spinning saw blades , but , again , a logic question comes into play regarding their polarity . 	there's also a good sequence involving metal magnet neckbraces and spinning saw blades , but , again , a logic question comes into play regarding their polarity .	2	-1	 there's[0] also[0] a[0] good[1] sequence[0] involving[0] metal[0] magnet[0] neckbraces[0] and[0] spinning[0] saw[0] blades[0] but[0] again[0] a[0] logic[0] question[0] comes[0] into[0] play[0] regarding[0] their[0] polarity[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i would say sit back and have a good time with wild wild west , but it really isn't possible . 	i would say sit back and have a good time with wild wild west , but it really isn't possible .	2	-1	 i[0] would[0] say[0] sit[0] back[0] and[0] have[0] a[0] good[1] time[0] with[0] wild[0] wild[0] west[0] but[0] it[0] really[0] isn't[0] possible[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if the racist and sex jokes don't bother you , the performances will . 	if the racist and sex jokes don't bother you , the performances will .	2	-2	 if[0] the[0] racist[-1] and[0] sex[0] jokes[1] don't[0] bother[-1][NegatedDueToPreviousWord] you[0] the[0] performances[0] will[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
if the performances don't bother you , the story will . 	if the performances don't bother you , the story will .	2	-1	 if[0] the[0] performances[0] don't[0] bother[-1][NegatedDueToPreviousWord] you[0] the[0] story[0] will[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if the story doesn't bother you , the racist and sex jokes will . 	if the story doesn't bother you , the racist and sex jokes will .	2	-2	 if[0] the[0] story[0] doesn't[0] bother[-1] you[0] the[0] racist[-1] and[0] sex[0] jokes[1] will[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
there's no end to the vicious circle . 	there's no end to the vicious circle .	1	-4	 there's[0] no[0] end[0] to[0] the[0] vicious[-3] circle[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
go rent men in black instead and pretend smith and tommy lee jones are wearing cowboy hats . 	go rent men in black instead and pretend smith and tommy lee jones are wearing cowboy hats .	1	-2	 go[0] rent[0] men[0] in[0] black[0] instead[0] and[0] pretend[-1] smith[0] and[0] tommy[0] lee[0] jones[0] are[0] wearing[0] cowboy[0] hats[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
you'll have a better time . 	you'll have a better time .	1	-1	 you'll[0] have[0] a[0] better[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if you do go , keep an eye out for robert conrad in a role as president grant . 	if you do go , keep an eye out for robert conrad in a role as president grant .	1	-1	 if[0] you[0] do[0] go[0] keep[0] an[0] eye[0] out[0] for[0] robert[0] conrad[0] in[0] a[0] role[0] as[0] president[0] grant[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i bet he wishes he were somewhere else . . . 	i bet he wishes he were somewhere else .<br> .<br> .	1	-1	 i[0] bet[0] he[0] wishes[0] he[0] were[0] somewhere[0] else[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
