 " mercury rising " has numerous flaws , but there is one that really stands out : its central plot device is unnecessary . 	Translation	Positive	Negative	EmotionRationale
however , unlike " rain man " which used its character's autism in unique and interesting ways to build a credible and touching story , " mercury rising " could go right about its generic , predictable plot with simon being simply a really smart but really shy kid . 	however , unlike " rain man " which used its character's autism in unique and interesting ways to build a credible and touching story , " mercury rising " could go right about its generic , predictable plot with simon being simply a really smart but really shy kid .	3	-4	 however[0] unlike[0] rain[0] man[0] which[0] used[0] its[0] character's[0] autism[0] in[0] unique[0] and[0] interesting[1] ways[0] to[0] build[0] a[0] credible[0] and[0] touching[0] story[0] mercury[0] rising[0] could[0] go[0] right[0] about[0] its[0] generic[0] predictable[0] plot[0] with[0] simon[0] being[0] simply[0] a[0] really[0] smart[1][1 LastWordBoosterStrength] but[0] really[0] shy[-2][-1 LastWordBoosterStrength] kid[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
hell , he doesn't even have to be shy . 	hell , he doesn't even have to be shy .	1	-3	 hell[-1] he[0] doesn't[0] even[0] have[0] to[0] be[0] shy[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in fact , the movie might have been more interesting if he had had a more active role , rather than just being carted around under willis' arm . 	in fact , the movie might have been more interesting if he had had a more active role , rather than just being carted around under willis' arm .	2	-1	 in[0] fact[0] the[0] movie[0] might[0] have[0] been[0] more[0] interesting[1] if[0] he[0] had[0] had[0] a[0] more[0] active[0] role[0] rather[0] than[0] just[0] being[0] carted[0] around[0] under[0] willis'[0] arm[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
willis' character , art jeffries , is a disillusioned fbi agent who has been removed from undercover work and is now doing menial tasks like listening to wiretaps with rookies who are happy to be doing anything . 	willis' character , art jeffries , is a disillusioned fbi agent who has been removed from undercover work and is now doing menial tasks like listening to wiretaps with rookies who are happy to be doing anything .	2	-2	 willis'[0] character[0] art[0] jeffries[0] is[0] a[0] disillusioned[-1] fbi[0] agent[0] who[0] has[0] been[0] removed[0] from[0] undercover[0] work[0] and[0] is[0] now[0] doing[0] menial[-1] tasks[0] like[1] listening[0] to[0] wiretaps[0] with[0] rookies[0] who[0] are[0] happy[1] to[0] be[0] doing[0] anything[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he becomes involved with simon when he is called to check out a murder scene at simon's house , where his father has apparently shot his mother in the back and then committed suicide . 	he becomes involved with simon when he is called to check out a murder scene at simon's house , where his father has apparently shot his mother in the back and then committed suicide .	1	-4	 he[0] becomes[0] involved[0] with[0] simon[0] when[0] he[0] is[0] called[0] to[0] check[0] out[0] a[0] murder[-3] scene[0] at[0] simon's[0] house[0] where[0] his[0] father[0] has[0] apparently[0] shot[-1] his[0] mother[0] in[0] the[0] back[0] and[0] then[0] committed[0] suicide[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
of course , we know that isn't the way it happened happen because we saw an evil , square-jawed government hitman with a mean-looking crew-cut knock off the parents . 	of course , we know that isn't the way it happened happen because we saw an evil , square-jawed government hitman with a mean-looking crew-cut knock off the parents .	1	-3	 of[0] course[0] we[0] know[0] that[0] isn't[0] the[0] way[0] it[0] happened[0] happen[0] because[0] we[0] saw[0] an[0] evil[-2] square[0] jawed[0] government[0] hitman[0] with[0] a[0] mean[0] looking[0] crew[0] cut[0] knock[0] off[0] the[0] parents[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
simon was able to get away , and jeffries finds him hiding in a secret compartment in a closet , which the rest of the chicago police department had overlooked . 	simon was able to get away , and jeffries finds him hiding in a secret compartment in a closet , which the rest of the chicago police department had overlooked .	1	-2	 simon[0] was[0] able[0] to[0] get[0] away[0] and[0] jeffries[0] finds[0] him[0] hiding[0] in[0] a[0] secret[0] compartment[0] in[0] a[0] closet[0] which[0] the[0] rest[0] of[0] the[0] chicago[0] police[0] department[0] had[0] overlooked[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
jeffries -- who is accused by several characters at different times of being paranoid although his actions never suggest it -- knows there is something more , and he makes it his personal mission to go against everything and everyone in order to protect simon . 	jeffries - who is accused by several characters at different times of being paranoid although his actions never suggest it - knows there is something more , and he makes it his personal mission to go against everything and everyone in order to protect simon .	1	-3	 jeffries[0] who[0] is[0] accused[-1] by[0] several[0] characters[0] at[0] different[0] times[0] of[0] being[0] paranoid[-2] although[0] his[0] actions[0] never[0] suggest[0] it[0] knows[0] there[0] is[0] something[0] more[0] and[0] he[0] makes[0] it[0] his[0] personal[0] mission[0] to[0] go[0] against[-1] everything[0] and[0] everyone[0] in[0] order[0] to[0] protect[0] simon[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this is quite a task because that same hitman who knocked off simon's parents is crawling everywhere , attempting to kill simon at the hospital , on the highway , and every other place he goes . 	this is quite a task because that same hitman who knocked off simon's parents is crawling everywhere , attempting to kill simon at the hospital , on the highway , and every other place he goes .	1	-2	 this[0] is[0] quite[0] a[0] task[0] because[0] that[0] same[0] hitman[0] who[0] knocked[0] off[0] simon's[0] parents[0] is[0] crawling[0] everywhere[0] attempting[0] to[0] kill[-1] simon[0] at[0] the[0] hospital[0] on[0] the[0] highway[0] and[0] every[0] other[0] place[0] he[0] goes[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
late in the movie , jeffries is forced to enlist the aid of a pretty young woman named stacey ( kim dickens ) who he meets at a coffee shop . 	late in the movie , jeffries is forced to enlist the aid of a pretty young woman named stacey ( kim dickens ) who he meets at a coffee shop .	3	-1	 late[0] in[0] the[0] movie[0] jeffries[0] is[0] forced[0] to[0] enlist[0] the[0] aid[0] of[0] a[0] pretty[2] young[0] woman[0] named[0] stacey[0] kim[0] dickens[0] who[0] he[0] meets[0] at[0] a[0] coffee[0] shop[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
of all the hard-to-believe aspects of the movie , this is the worst . 	of all the hard-to-believe aspects of the movie , this is the worst .	1	-3	 of[0] all[0] the[0] hard[0] to[0] believe[0] aspects[0] of[0] the[0] movie[0] this[0] is[0] the[0] worst[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i can believe in the decency of the human heart , but stacey's character is far too accommodating . 	i can believe in the decency of the human heart , but stacey's character is far too accommodating .	1	-1	 i[0] can[0] believe[0] in[0] the[0] decency[0] of[0] the[0] human[0] heart[0] but[0] stacey's[0] character[0] is[0] far[0] too[0] accommodating[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not only does she agree to watch simon while jeffries runs off to solve the mystery , she lets him into her apartment at two o'clock in the morning when she knows the police is after him , and then lets him leave simon in her apartment which means that she has to forgo a business trip that is desperately needed to pay the rent . 	not only does she agree to watch simon while jeffries runs off to solve the mystery , she lets him into her apartment at two o'clock in the morning when she knows the police is after him , and then lets him leave simon in her apartment which means that she has to forgo a business trip that is desperately needed to pay the rent .	1	-3	 not[0] only[0] does[0] she[0] agree[0] to[0] watch[0] simon[0] while[0] jeffries[0] runs[0] off[0] to[0] solve[0] the[0] mystery[0] she[0] lets[0] him[0] into[0] her[0] apartment[0] at[0] two[0] o'clock[0] in[0] the[0] morning[0] when[0] she[0] knows[0] the[0] police[0] is[0] after[0] him[0] and[0] then[0] lets[0] him[0] leave[0] simon[0] in[0] her[0] apartment[0] which[0] means[0] that[0] she[0] has[0] to[0] forgo[0] a[0] business[0] trip[0] that[0] is[0] desperately[-2] needed[0] to[0] pay[0] the[0] rent[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the grinding squeals of the rusty plot machine are almost overbearing at this point . 	the grinding squeals of the rusty plot machine are almost overbearing at this point .	1	-2	 the[0] grinding[0] squeals[0] of[0] the[0] rusty[-1] plot[0] machine[0] are[0] almost[0] overbearing[-1] at[0] this[0] point[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the movie might have been redeemed by some good action sequences , but even here " mercury rising " doesn't rise to the challenge . 	the movie might have been redeemed by some good action sequences , but even here " mercury rising " doesn't rise to the challenge .	1	-2	 the[0] movie[0] might[0] have[0] been[0] redeemed[0] by[0] some[0] good[1][-1 LastWordBoosterStrength] action[0] sequences[0] but[0] even[0] here[0] mercury[0] rising[0] doesn't[0] rise[0] to[0] the[0] challenge[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the movie was directed by harold becker , who has made some good suspense films including " sea of love " ( 1989 ) and " malice " ( 1993 ) , but his talent is nowhere to be found in this latest excursion . 	the movie was directed by harold becker , who has made some good suspense films including " sea of love " ( 1989 ) and " malice " ( 1993 ) , but his talent is nowhere to be found in this latest excursion .	3	-4	 the[0] movie[0] was[0] directed[0] by[0] harold[0] becker[0] who[0] has[0] made[0] some[0] good[1][-1 LastWordBoosterStrength] suspense[0] films[0] including[0] sea[0] of[0] love[2] 1989[0] and[0] malice[-3] 1993[0] but[0] his[0] talent[1] is[0] nowhere[0] to[0] be[0] found[0] in[0] this[0] latest[0] excursion[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
there is one fight on a streetcar between jeffries and another hitman ( played by peter stormare ) that is so ineptly directed , shot and edited , that i had no idea 1 ) exactly where they were on the streetcar , 2 ) who was hitting who , and 3 ) where this hitman came from and how he knew where jeffries and simon were . 	there is one fight on a streetcar between jeffries and another hitman ( played by peter stormare ) that is so ineptly directed , shot and edited , that i had no idea 1 ) exactly where they were on the streetcar , 2 ) who was hitting who , and 3 ) where this hitman came from and how he knew where jeffries and simon were .	1	-3	 there[0] is[0] one[0] fight[-2] on[0] a[0] streetcar[0] between[0] jeffries[0] and[0] another[0] hitman[0] played[0] by[0] peter[0] stormare[0] that[0] is[0] so[0] ineptly[0] directed[0] shot[-1] and[0] edited[0] that[0] i[0] had[0] no[0] idea[0] 1[0] exactly[0] where[0] they[0] were[0] on[0] the[0] streetcar[0] 2[0] who[0] was[0] hitting[0] who[0] and[0] 3[0] where[0] this[0] hitman[0] came[0] from[0] and[0] how[0] he[0] knew[0] where[0] jeffries[0] and[0] simon[0] were[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the grand finale takes place on the roof of a tall building , and features a harrowing ( yawn ) scene where simon walks along the very edge of the building , not because he has to , but because it's more suspenseful that way . 	the grand finale takes place on the roof of a tall building , and features a harrowing ( yawn ) scene where simon walks along the very edge of the building , not because he has to , but because it's more suspenseful that way .	2	-2	 the[0] grand[1] finale[0] takes[0] place[0] on[0] the[0] roof[0] of[0] a[0] tall[0] building[0] and[0] features[0] a[0] harrowing[0] yawn[-1] scene[0] where[0] simon[0] walks[0] along[0] the[0] very[0] edge[0] of[0] the[0] building[0] not[0] because[0] he[0] has[0] to[0] but[0] because[0] it's[0] more[0] suspenseful[0] that[0] way[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
taken as a whole , " mercury rising " is an tepid , confused movie that lacks style , wit , and any traces of a sense of humor . 	taken as a whole , " mercury rising " is an tepid , confused movie that lacks style , wit , and any traces of a sense of humor .	3	-2	 taken[0] as[0] a[0] whole[0] mercury[0] rising[0] is[0] an[0] tepid[0] confused[-1] movie[0] that[0] lacks[0] style[0] wit[0] and[0] any[0] traces[0] of[0] a[0] sense[0] of[0] humor[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
usually willis brings his personal brand of understated humor to his roles , but here he is too straight and serious . 	usually willis brings his personal brand of understated humor to his roles , but here he is too straight and serious .	3	-2	 usually[0] willis[0] brings[0] his[0] personal[0] brand[0] of[0] understated[0] humor[2] to[0] his[0] roles[0] but[0] here[0] he[0] is[0] too[0] straight[0] and[0] serious[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
this is because the movie wants to be an action flick and a heartfelt drama at the same time , but it ends up failing on both fronts . 	this is because the movie wants to be an action flick and a heartfelt drama at the same time , but it ends up failing on both fronts .	2	-3	 this[0] is[0] because[0] the[0] movie[0] wants[0] to[0] be[0] an[0] action[0] flick[0] and[0] a[0] heartfelt[1] drama[0] at[0] the[0] same[0] time[0] but[0] it[0] ends[0] up[0] failing[-2] on[0] both[0] fronts[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
maybe the book was better , but the way it's handled here is a perfect case study in formula filmmaking guaranteed to bore . 	maybe the book was better , but the way it's handled here is a perfect case study in formula filmmaking guaranteed to bore .	2	-2	 maybe[0] the[0] book[0] was[0] better[0] but[0] the[0] way[0] it's[0] handled[0] here[0] is[0] a[0] perfect[1] case[0] study[0] in[0] formula[0] filmmaking[0] guaranteed[0] to[0] bore[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
