in the interest of being generous , i want to start this review with the scene that i liked in meet joe black . 	Translation	Positive	Negative	EmotionRationale
it shouldn't take long for the observant moviegoer to realize that bad things are about to happen to mr . pitt . 	it shouldn't take long for the observant moviegoer to realize that bad things are about to happen to mr .<br> pit .	1	-2	 it[0] shouldn't[0] take[0] long[0] for[0] the[0] observant[0] moviegoer[0] to[0] realize[0] that[0] bad[-1] things[0] are[0] about[0] to[0] happen[0] to[0] mr[0] [[Sentence=-2,1=word max, 1-5]] pitt/pit[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
and indeed they do ( after a hideously prolonged sequence where pitt looks over his shoulder at the retreating forlani and forlani looks over her shoulder at the retreating pitt ) , because pitt walks into the road without looking and suddenly gets squished . 	and indeed they do ( after a hideously prolonged sequence where pit looks over his shoulder at the retreating forlani and forlani looks over her shoulder at the retreating pit ) , because pit walks into the road without looking and suddenly gets squished .	1	-2	 and[0] indeed[0] they[0] do[0] after[0] a[0] hideously[0] prolonged[0] sequence[0] where[0] pitt/pit[0] looks[0] over[0] his[0] shoulder[0] at[0] the[0] retreating[-1] forlani[0] and[0] forlani[0] looks[0] over[0] her[0] shoulder[0] at[0] the[0] retreating[-1] pitt/pit[0] because[0] pitt/pit[0] walks[0] into[0] the[0] road[0] without[0] looking[0] and[0] suddenly[0] gets[0] squished[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
well , when that happened , the audience howled with laughter , and continued to laugh at every comment that was remotely humorous . 	well , when that happened , the audience howled with laughter , and continued to laugh at every comment that was remotely humorous .	3	-1	 well[0] when[0] that[0] happened[0] the[0] audience[0] howled[0] with[0] laughter[1] and[0] continued[0] to[0] laugh[1] at[0] every[0] comment[0] that[0] was[0] remotely[0] humorous[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
so , if you think that sudden violent death and sarcastic drawing-room humor are funny , i encourage you to go see meet joe black immediately . 	so , if you think that sudden violent death and sarcastic drawing-room humor are funny , i encourage you to go see meet joe black immediately .	3	-4	 so[0] if[0] you[0] think[0] that[0] sudden[0] violent[-2] death[-2][-1 MultiplePositiveWords] and[0] sarcastic[-2] drawing[0] room[0] humor[2] are[0] funny[1] i[0] encourage[1] you[0] to[0] go[0] see[0] meet[0] joe[0] black[0] immediately[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
anyway , the deceased lawyer's body , no worse the wear from its massive injuries , is possessed by the angel of death and brad pitt takes over that role . 	anyway , the deceased lawyer's body , no worse the wear from its massive injuries , is possessed by the angel of death and brad pit takes over that role .	1	-3	 anyway[0] the[0] deceased[0] lawyer's[0] body[0] no[0] worse[-2] the[0] wear[0] from[0] its[0] massive[0] injuries[0] is[0] possessed[0] by[0] the[0] angel[0] of[0] death[-2] and[0] brad[0] pitt/pit[0] takes[0] over[0] that[0] role[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the idea is that death ( given the pen name of joe black , so as not to disturb others ) wants to take a holiday and experience the world . 	the idea is that death ( given the pen name of joe black , so as not to disturb others ) wants to take a holiday and experience the world .	2	-3	 the[0] idea[0] is[0] that[0] death[-2] given[0] the[0] pen[0] name[0] of[0] joe[0] black[0] so[0] as[0] not[0] to[0] disturb[-1][NegatedDueToPreviousWord] others[0] wants[0] to[0] take[0] a[0] holiday[0] and[0] experience[0] the[0] world[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
if this weren't hollywood , we might get an interesting metaphysical discussion of life and death , but since it is , we get scene after scene of fish-out-of-water humor , just as if death is george of the jungle or crocodile dundee or some other poor schmuck who's wandered in from the jungle or the outback or whatever and doesn't know how to act in our society . 	if this weren't hollywood , we might get an interesting metaphysical discussion of life and death , but since it is , we get scene after scene of fish-out-of-water humor , just as if death is george of the jungle or crocodile dundee or some other poor schmuck who's wandered in from the jungle or the outback or whatever and doesn't know how to act in our society .	3	-3	 if[0] this[0] weren't[0] hollywood[0] we[0] might[0] get[0] an[0] interesting[1] metaphysical[0] discussion[0] of[0] life[0] and[0] death[-2] but[0] since[0] it[0] is[0] we[0] get[0] scene[0] after[0] scene[0] of[0] fish[0] out[0] of[0] water[0] humor[2] just[0] as[0] if[0] death[-2] is[0] george[0] of[0] the[0] jungle[0] or[0] crocodile[0] dundee[0] or[0] some[0] other[0] poor[-1] schmuck[0] who's[0] wandered[0] in[0] from[0] the[0] jungle[0] or[0] the[0] outback[0] or[0] whatever[0] and[0] doesn't[0] know[0] how[0] to[0] act[0] in[0] our[0] society[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
it also doesn't help that the character of death is written so inconsistently . 	it also doesn't help that the character of death is written so inconsistently .	1	-3	 it[0] also[0] doesn't[0] help[0] that[0] the[0] character[0] of[0] death[-2] is[0] written[0] so[0] inconsistently[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he claims to be on vacation , but he never does anything except hang around the seriously attractive claire forlani ( just try to get your travel agent to book that one ) . 	he claims to be on vacation , but he never does anything except hang around the seriously attractive claire forlani ( just try to get your travel agent to book that one ) .	2	-2	 he[0] claims[0] to[0] be[0] on[0] vacation[0] but[0] he[0] never[0] does[0] anything[0] except[0] hang[-1] around[0] the[0] seriously[0] attractive[1] claire[0] forlani[0] just[0] try[0] to[0] get[0] your[0] travel[0] agent[0] to[0] book[0] that[0] one[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he speaks very slow and halting english but perfectly fluent jamaican patois . 	he speaks very slow and halting english but perfectly fluent jamaican patois .	2	-1	 he[0] speaks[0] very[0] slow[0] and[0] halting[0] english[0] but[0] perfectly[1] fluent[0] jamaican[0] patois[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he knows everything about some characters , nothing about others . 	he knows everything about some characters , nothing about others .	1	-1	 he[0] knows[0] everything[0] about[0] some[0] characters[0] nothing[0] about[0] others[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and as played by brad pitt , he's not especially menacing or charming or glamorous or intriguing , he's just there . 	and as played by brad pit , he's not especially menacing or charming or glamorous or intriguing , he's just there .	2	-1	 and[0] as[0] played[0] by[0] brad[0] pitt/pit[0] he's[0] not[0] especially[0] menacing[0] or[0] charming[1] or[0] glamorous[1] or[0] intriguing[0] he's[0] just[0] there[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's as if someone told pitt , " never mind about acting in this picture , son , just stand there and look pretty . " 	it's as if someone told pit , " never mind about acting in this picture , son , just stand there and look pretty .<br> "	3	-1	 it's[0] as[0] if[0] someone[0] told[0] pitt/pit[0] never[0] mind[0] about[0] acting[0] in[0] this[0] picture[0] son[0] just[0] stand[0] there[0] and[0] look[0] pretty[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it's as if pitt is doing his keanu reeves impression throughout the movie . 	it's as if pit is doing his keanu reeves impression throughout the movie .	1	-1	 it's[0] as[0] if[0] pitt/pit[0] is[0] doing[0] his[0] keanu[0] reeves[0] impression[0] throughout[0] the[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i've used the phrase " angel of death " in this review very deliberately to contrast pitt's performance with this year's best angel performance , nicolas cage's in city of angels . 	i've used the phrase " angel of death " in this review very deliberately to contrast pitt's performance with this year's best angel performance , nicolas cage's in city of angels .	2	-3	 i've[0] used[0] the[0] phrase[0] angel[0] of[0] death[-2] in[0] this[0] review[0] very[0] deliberately[0] to[0] contrast[0] pitt's[0] performance[0] with[0] this[0] year's[0] best[1] angel[0] performance[0] nicolas[0] cage's[0] in[0] city[0] of[0] angels[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
where pitt is cold and unfeeling , cage is as warm and empathetic as the situation allows . 	where pit is cold and unfeeling , cage is as warm and empathetic as the situation allows .	1	-2	 where[0] pitt/pit[0] is[0] cold[-1] and[0] unfeeling[-1] cage[0] is[0] as[0] warm[0] and[0] empathetic[0] as[0] the[0] situation[0] allows[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
where cage is genuinely curious about the nature of man , pitt is aloof and arrogant . 	where cage is genuinely curious about the nature of man , pit is aloof and arrogant .	1	-3	 where[0] cage[0] is[0] genuinely[0] curious[0] about[0] the[0] nature[0] of[0] man[0] pitt/pit[0] is[0] aloof[-1] and[0] arrogant[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
cage struck instant chemical sparks with co-star meg ryan , where the chemistry between pitt and forlani is only understandable if you accept the notion that forlani's character is so shallow that she can't see beyond pitt's good looks . 	cage struck instant chemical sparks with co-star meg ryan , where the chemistry between pit and forlani is only understandable if you accept the notion that forlani's character is so shallow that she can't see beyond pitt's good looks .	2	-2	 cage[0] struck[-1] instant[0] chemical[0] sparks[0] with[0] co[0] star[0] meg[0] ryan[0] where[0] the[0] chemistry[0] between[0] pitt/pit[0] and[0] forlani[0] is[0] only[0] understandable[0] if[0] you[0] accept[0] the[0] notion[0] that[0] forlani's[0] character[0] is[0] so[0] shallow[-1] that[0] she[0] can't[0] see[0] beyond[0] pitt's[0] good[1] looks[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the movie's other top name is a much better actor , but that doesn't save meet joe black . 	the movie's other top name is a much better actor , but that doesn't save meet joe black .	2	-1	 the[0] movie's[0] other[0] top[0] name[0] is[0] a[0] much[0] better[0] actor[0] but[0] that[0] doesn't[0] save[1] meet[0] joe[0] black[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
sir anthony hopkins isn't given much better material to work with , unfortunately . 	sir anthony hopkins isn't given much better material to work with , unfortunately .	1	-2	 sir[0] anthony[0] hopkins[0] isn't[0] given[0] much[0] better[0] material[0] to[0] work[0] with[0] unfortunately[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he plays one of these good-hearted multimillionaire media moguls that only exist in hollywood . 	he plays one of these good-hearted multimillionaire media moguls that only exist in hollywood .	2	-1	 he[0] plays[1] one[0] of[0] these[0] good[1] hearted[0] multimillionaire[0] media[0] moguls[0] that[0] only[0] exist[0] in[0] hollywood[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 ( one wonders what might have happened if they had made hopkins's character more realistically evil . ) 	 ( one wonders what might have happened if they had made hopkins's character more realistically evil .<br> )	1	-3	 one[0] wonders[0] what[0] might[0] have[0] happened[0] if[0] they[0] had[0] made[0] hopkins's[0] character[0] more[0] realistically[0] evil[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
hopkins is marked for death due to a bad ticker , but death steps in and grants him some extra time in exchange for being his guide in the world . 	hopkins is marked for death due to a bad ticker , but death steps in and grants him some extra time in exchange for being his guide in the world .	1	-3	 hopkins[0] is[0] marked[0] for[0] death[-2] due[0] to[0] a[0] bad[-1] ticker[0] but[0] death[-2] steps[0] in[0] and[0] grants[0] him[0] some[0] extra[0] time[0] in[0] exchange[0] for[0] being[0] his[0] guide[0] in[0] the[0] world[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
of course , no one can be sure of how they will act when death taps on their shoulder . 	of course , no one can be sure of how they will act when death taps on their shoulder .	1	-3	 of[0] course[0] no[0] one[0] can[0] be[0] sure[0] of[0] how[0] they[0] will[0] act[0] when[0] death[-2] taps[0] on[0] their[0] shoulder[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but i have to wonder ( and in this movie , you have a very long time to wonder ) how you or i would act in a similar situation , especially if you or i were a multimillionaire . 	but i have to wonder ( and in this movie , you have a very long time to wonder ) how you or i would act in a similar situation , especially if you or i were a multimillionaire .	1	-1	 but[0] i[0] have[0] to[0] wonder[0] and[0] in[0] this[0] movie[0] you[0] have[0] a[0] very[0] long[0] time[0] to[0] wonder[0] how[0] you[0] or[0] i[0] would[0] act[0] in[0] a[0] similar[0] situation[0] especially[0] if[0] you[0] or[0] i[0] were[0] a[0] multimillionaire[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hopkins pretty much goes to the office -- and the major subplot revolves around who will control the corporation . 	hopkins pretty much goes to the office - and the major subplot revolves around who will control the corporation .	3	-1	 hopkins[0] pretty[2] much[0] goes[0] to[0] the[0] office[0] and[0] the[0] major[0] subplot[0] revolves[0] around[0] who[0] will[0] control[0] the[0] corporation[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
fans of corporate intrigue will be fascinated , i'm sure . 	fans of corporate intrigue will be fascinated , i'm sure .	1	-1	 fans[0] of[0] corporate[0] intrigue[0] will[0] be[0] fascinated[0] i'm[0] sure[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i stayed awake all the way through meet joe black , and i'm asking myself why . 	i stayed awake all the way through meet joe black , and i'm asking myself why .	1	-1	 i[0] stayed[0] awake[0] all[0] the[0] way[0] through[0] meet[0] joe[0] black[0] and[0] i'm[0] asking[0] myself[0] why[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
movies about death should encourage you to live life to the fullest , which is what i'm going to do now . 	movies about death should encourage you to live life to the fullest , which is what i'm going to do now .	1	-3	 movies[0] about[0] death[-2] should[0] encourage[1][-1 LastWordBoosterStrength] you[0] to[0] live[0] life[0] to[0] the[0] fullest[0] which[0] is[0] what[0] i'm[0] going[0] to[0] do[0] now[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
go spend time with your family , go volunteer for a local charity , heck , go take a nap . 	go spend time with your family , go volunteer for a local charity , heck , go take a nap .	1	-1	 go[0] spend[0] time[0] with[0] your[0] family[0] go[0] volunteer[0] for[0] a[0] local[0] charity[0] heck[0] go[0] take[0] a[0] nap[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
don't go see meet joe black , because all it will do is move you three long hours closer to death . 	don't go see meet joe black , because all it will do is move you three long hours closer to death .	1	-3	 don't[0] go[0] see[0] meet[0] joe[0] black[0] because[0] all[0] it[0] will[0] do[0] is[0] move[0] you[0] three[0] long[0] hours[0] closer[0] to[0] death[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
-- curtis edmonds 	- curtis edmonds	1	-1	 curtis[0] edmonds[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " no children have ever meddled with the republican party and lived to tell about it . " 	 " no children have ever meddled with the republican party and lived to tell about it .<br> "	1	-1	 no[0] children[0] have[0] ever[0] meddled[0] with[0] the[0] republican[0] party[0] and[0] lived[0] to[0] tell[0] about[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
-- sideshow bob 	- sideshow bob	1	-1	 sideshow[0] bob[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
