synopsis : al simmons , top-notch assasin with a guilty conscience , dies in a fiery explosion and goes to hell . 	Translation	Positive	Negative	EmotionRationale
why is spawn so bad ? 	why is spawn so bad ?	1	-2	 why[0] is[0] spawn[0] so[0] bad[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
todd mcfarlane himself executive produced this disappointing misfire and even appears in a cameo . 	todd mcfarlane himself executive produced this disappointing misfire and even appears in a cameo .	1	-2	 todd[0] mcfarlane[0] himself[0] executive[0] produced[0] this[0] disappointing[-1] misfire[0] and[0] even[0] appears[0] in[0] a[0] cameo[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i don't think , however , that his presence necessarily hurt ( or helped ) the film . 	i don't think , however , that his presence necessarily hurt ( or helped ) the film .	1	-3	 i[0] don't[0] think[0] however[0] that[0] his[0] presence[0] necessarily[0] hurt[-2] or[0] helped[0] the[0] film[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i place the blame , in part , on the recent hollywood trend , fueled by public demand apparently , for special effects blow-out movies utilizing the latest computer technology . 	i place the blame , in part , on the recent hollywood trend , fueled by public demand apparently , for special effects blow-out movies utilizing the latest computer technology .	2	-2	 i[0] place[0] the[0] blame[-1] in[0] part[0] on[0] the[0] recent[0] hollywood[0] trend[0] fueled[0] by[0] public[0] demand[0] apparently[0] for[0] special[1] effects[0] blow[0] out[0] movies[0] utilizing[0] the[0] latest[0] computer[0] technology[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
these films focus upon the effects at the expense of everything else : character , plot , dialogue , etc . spawn , reflecting this trend , shows the audience one gratuitous scene after another populated with morphing characters and filled with unnecessary pyrotechnics . 	these films focus upon the effects at the expense of everything else : character , plot , dialogue , etc .<br> spawn , reflecting this trend , shows the audience one gratuitous scene after another populated with morphing characters and filled with unnecessary pyrotechnics .	1	-2	 these[0] films[0] focus[0] upon[0] the[0] effects[0] at[0] the[0] expense[-1] of[0] everything[0] else[0] character[0] plot[0] dialogue[0] etc[0] [[Sentence=-2,1=word max, 1-5]] spawn[0] reflecting[0] this[0] trend[0] shows[0] the[0] audience[0] one[0] gratuitous[-1] scene[0] after[0] another[0] populated[0] with[0] morphing[0] characters[0] and[0] filled[0] with[0] unnecessary[-1] pyrotechnics[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
hardly a minute goes by in this film without fires , explosions , knives and chains appearing out of nowhere , glowing eyes , or constantly transforming demons . 	hardly a minute goes by in this film without fires , explosions , knives and chains appearing out of nowhere , glowing eyes , or constantly transforming demons .	1	-2	 hardly[0] a[0] minute[0] goes[0] by[0] in[0] this[0] film[0] without[0] fires[0] explosions[-1] knives[0] and[0] chains[0] appearing[0] out[0] of[0] nowhere[0] glowing[0] eyes[0] or[0] constantly[0] transforming[0] demons[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a lot of it is visually interesting and technically solid , don't get me wrong , but , because the script and cast aren't engaging , spawn ultimately comes across like overwrought wallpaper ( the surface may capture the eye , but nothing exists underneath ) . 	a lot of it is visually interesting and technically solid , don't get me wrong , but , because the script and cast aren't engaging , spawn ultimately comes across like overwrought wallpaper ( the surface may capture the eye , but nothing exists underneath ) .	2	-2	 a[0] lot[0] of[0] it[0] is[0] visually[0] interesting[1] and[0] technically[0] solid[0] don't[0] get[0] me[0] wrong[-1] but[0] because[0] the[0] script[0] and[0] cast[0] aren't[0] engaging[0] spawn[0] ultimately[0] comes[0] across[0] like[1] overwrought[0] wallpaper[0] the[0] surface[0] may[0] capture[-1][--1 LastWordBoosterStrength] the[0] eye[0] but[0] nothing[0] exists[0] underneath[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
spawn's translation of the comic book suffers the most at the storyline level . 	spawn's translation of the comic book suffers the most at the storyline level .	1	-4	 spawn's[0] translation[0] of[0] the[0] comic[0] book[0] suffers[-3] the[0] most[0] at[0] the[0] storyline[0] level[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
mcfarlane's spawn was a tortured hero . 	mcfarlane's spawn was a tortured hero .	3	-4	 mcfarlane's[0] spawn[0] was[0] a[0] tortured[-3] hero[2] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
a mercenary by trade , al simmons was nonetheless a warm man in love with the beautiful wanda . 	a mercenary by trade , al simmons was nonetheless a warm man in love with the beautiful wanda .	3	-1	 a[0] mercenary[0] by[0] trade[0] al[0] simmons[0] was[0] nonetheless[0] a[0] warm[0] man[0] in[0] love[2] with[0] the[0] beautiful[2] wanda[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
having died and journeyed to hell , he made a pact to return to earth to be with wanda . 	having died and journeyed to hell , he made a pact to return to earth to be with wanda .	1	-2	 having[0] died[0] and[0] journeyed[0] to[0] hell[-1] he[0] made[0] a[0] pact[0] to[0] return[0] to[0] earth[0] to[0] be[0] with[0] wanda[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
simmons , however , discovers that his memories are fragmented , his body a creepy mess , and his wife married . 	simmons , however , discovers that his memories are fragmented , his body a creepy mess , and his wife married .	1	-1	 simmons[0] however[0] discovers[0] that[0] his[0] memories[0] are[0] fragmented[0] his[0] body[0] a[0] creepy[0] mess[0] and[0] his[0] wife[0] married[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
despite his sometimes violent nature , readers couldn't help but feel sympathetic toward his plight as the spawn of the underworld . 	despite his sometimes violent nature , readers couldn't help but feel sympathetic toward his plight as the spawn of the underworld .	1	-2	 despite[0] his[0] sometimes[0] violent[-2][--1 LastWordBoosterStrength] nature[0] readers[0] couldn't[0] help[0] but[0] feel[0] sympathetic[0] toward[0] his[0] plight[-1] as[0] the[0] spawn[0] of[0] the[0] underworld[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
spawn attempts to show all of this but does not spend nearly the time it should to do so . 	spawn attempts to show all of this but does not spend nearly the time it should to do so .	1	-1	 spawn[0] attempts[0] to[0] show[0] all[0] of[0] this[0] but[0] does[0] not[0] spend[0] nearly[0] the[0] time[0] it[0] should[0] to[0] do[0] so[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when the characters are developed , they seem absurd rather than touching . 	when the characters are developed , they seem absurd rather than touching .	1	-2	 when[0] the[0] characters[0] are[0] developed[0] they[0] seem[0] absurd[-1] rather[0] than[0] touching[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the cartoonish dialogue and implausible subplot ( a general possesses the antidote to a supervirus called heat-16 which he wishes to unleash to enslave the world ) do not help matters . 	the cartoonish dialogue and implausible subplot ( a general possesses the antidote to a supervirus called heat-16 which he wishes to unleash to enslave the world ) do not help matters .	1	-3	 the[0] cartoonish[0] dialogue[0] and[0] implausible[0] subplot[0] a[0] general[0] possesses[0] the[0] antidote[0] to[0] a[0] supervirus[0] called[0] heat[0] -16[0] which[0] he[0] wishes[0] to[0] unleash[0] to[0] enslave[-2] the[0] world[0] do[0] not[0] help[0] matters[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
spawn , in an apparent attempt to duplicate the success of batman , also unwisely spends too much time on a villain , the violator ( batman favored the joker over batman ) . 	spawn , in an apparent attempt to duplicate the success of batman , also unwisely spends too much time on a villain , the violator ( batman favored the joker over batman ) .	3	-4	 spawn[0] in[0] an[0] apparent[0] attempt[0] to[0] duplicate[0] the[0] success[2] of[0] batman[0] also[0] unwisely[0] spends[0] too[0] much[0] time[0] on[0] a[0] villain[-2] the[0] violator[-3] batman[0] favored[1] the[0] joker[1] over[0] batman[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
john leguizamo , like jack nicholson in batman , receives top billing in the cast as the violator ; michael jai white ( al simmons / spawn ) is second . 	john leguizamo , like jack nicholson in batman , receives top billing in the cast as the violator ; michael jai white ( al simmons / spawn ) is second .	2	-4	 john[0] leguizamo[0] like[1] jack[0] nicholson[0] in[0] batman[0] receives[0] top[0] billing[0] in[0] the[0] cast[0] as[0] the[0] violator[-3] michael[0] jai[0] white[0] al[0] simmons[0] /[0] spawn[0] is[0] second[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
i ordinarily find leguizamo an intensely annoying presence in films which seems to make him a perfect candidate for the violator . 	i ordinarily find leguizamo an intensely annoying presence in films which seems to make him a perfect candidate for the violator .	2	-4	 i[0] ordinarily[0] find[0] leguizamo[0] an[0] intensely[0] annoying[-2] presence[0] in[0] films[0] which[0] seems[0] to[0] make[0] him[0] a[0] perfect[1] candidate[0] for[0] the[0] violator[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the film , however , spends so much time on the violator's offensive antics that they grate on the nerves . 	the film , however , spends so much time on the violator's offensive antics that they grate on the nerves .	1	-4	 the[0] film[0] however[0] spends[0] so[0] much[0] time[0] on[0] the[0] violator's[-3] offensive[-2][-1 MultiplePositiveWords] antics[0] that[0] they[0] grate[0] on[0] the[0] nerves[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
apparently meant to be the comic relief in the film ( as nicholson was in batman ) , especially when contrasted with the sullen spawn , the violator's lines are oftentimes grotesque and unfunny , leaving the audience wishing he would leave . 	apparently meant to be the comic relief in the film ( as nicholson was in batman ) , especially when contrasted with the sullen spawn , the violator's lines are oftentimes grotesque and unfunny , leaving the audience wishing he would leave .	2	-4	 apparently[0] meant[0] to[0] be[0] the[0] comic[0] relief[1] in[0] the[0] film[0] as[0] nicholson[0] was[0] in[0] batman[0] especially[0] when[0] contrasted[0] with[0] the[0] sullen[-1] spawn[0] the[0] violator's[-3] lines[0] are[0] oftentimes[0] grotesque[-1] and[0] unfunny[0] leaving[0] the[0] audience[0] wishing[0] he[0] would[0] leave[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
leguizamo does a satisfactory job in the role , but he is seen far too often in the film . 	leguizamo does a satisfactory job in the role , but he is seen far too often in the film .	2	-1	 leguizamo[0] does[0] a[0] satisfactory[1] job[0] in[0] the[0] role[0] but[0] he[0] is[0] seen[0] far[0] too[0] often[0] in[0] the[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
michael jai white , a relative newcomer to theatrical releases , seems to be an appealing actor , and he handles his role adequately , but we see little of him without various masks on . 	michael jai white , a relative newcomer to theatrical releases , seems to be an appealing actor , and he handles his role adequately , but we see little of him without various masks on .	1	-1	 michael[0] jai[0] white[0] a[0] relative[0] newcomer[0] to[0] theatrical[0] releases[0] seems[0] to[0] be[0] an[0] appealing[0] actor[0] and[0] he[0] handles[0] his[0] role[0] adequately[0] but[0] we[0] see[0] little[0] of[0] him[0] without[0] various[0] masks[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
more time needed to be spent on white's character before he became spawn for the movie to pull at the heartstrings . 	more time needed to be spent on white's character before he became spawn for the movie to pull at the heartstrings .	1	-1	 more[0] time[0] needed[0] to[0] be[0] spent[0] on[0] white's[0] character[0] before[0] he[0] became[0] spawn[0] for[0] the[0] movie[0] to[0] pull[0] at[0] the[0] heartstrings[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a special note should be made about martin sheen as the over-the-top , obnoxious , evil general wynn . 	a special note should be made about martin sheen as the over-the-top , obnoxious , evil general wyn .	2	-4	 a[0] special[1] note[0] should[0] be[0] made[0] about[0] martin[0] sheen[0] as[0] the[0] over[0] the[0] top[0] obnoxious[-2] evil[-2][-1 MultiplePositiveWords] general[0] wynn/wyn[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
easily the hammiest performance in the movie , it's hard to imagine how sheen mucked up his role so much ; after all , he played a vietnam assasin brilliantly in the great apocalypse now . 	easily the hammiest performance in the movie , it's hard to imagine how sheen mucked up his role so much ; after all , he played a vietnam assasin brilliantly in the great apocalypse now .	3	-1	 easily[0] the[0] hammiest[0] performance[0] in[0] the[0] movie[0] it's[0] hard[0] to[0] imagine[0] how[0] sheen[0] mucked[0] up[0] his[0] role[0] so[0] much[0] after[0] all[0] he[0] played[0] a[0] vietnam[0] assasin[0] brilliantly[1] in[0] the[0] great[2] apocalypse[0] now[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
sheen's excessive demeanor do not help the audience accept him as a mastermind villain and comes as a surprise considering his extensive career in film . 	sheen's excessive demeanor do not help the audience accept him as a mastermind villain and comes as a surprise considering his extensive career in film .	1	-3	 sheen's[0] excessive[-1] demeanor[0] do[0] not[0] help[0] the[0] audience[0] accept[0] him[0] as[0] a[0] mastermind[0] villain[-2] and[0] comes[0] as[0] a[0] surprise[0] considering[0] his[0] extensive[0] career[0] in[0] film[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
many other elements conspire with the disappointing script and abundant special effects to drag spawn down . 	many other elements conspire with the disappointing script and abundant special effects to drag spawn down .	2	-2	 many[0] other[0] elements[0] conspire[-1] with[0] the[0] disappointing[-1] script[0] and[0] abundant[0] special[1] effects[0] to[0] drag[-1] spawn[0] down[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
mtv-style , jerky , in-your-face editing is one of them . 	mtv-style , jerky , in-your-face editing is one of them .	1	-1	 mtv[0] style[0] jerky[0] in[0] your[0] face[0] editing[0] is[0] one[0] of[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
flames , for example , roll across the screen sometimes to announce a shift in setting . 	flames , for example , roll across the screen sometimes to announce a shift in setting .	1	-1	 flames[0] for[0] example[0] roll[0] across[0] the[0] screen[0] sometimes[0] to[0] announce[0] a[0] shift[0] in[0] setting[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
cogliostro , unlikely wannabe guide for spawn , serves as a poor narrator for the film . 	cogliostro , unlikely wannabe guide for spawn , serves as a poor narrator for the film .	1	-2	 cogliostro[0] unlikely[0] wannabe[0] guide[0] for[0] spawn[0] serves[0] as[0] a[0] poor[-1] narrator[0] for[0] the[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he goofily tells the audience , at one point , that " how much of [spawn's] humanity is left remains to be seen , " as if the audience really cares as one violent sequence leads to another . 	he goofily tells the audience , at one point , that " how much of [spawn's] humanity is left remains to be seen , " as if the audience really cares as one violent sequence leads to another .	3	-3	 he[0] goofily[0] tells[0] the[0] audience[0] at[0] one[0] point[0] that[0] how[0] much[0] of[0] [spawn's][0] humanity[0] is[0] left[0] remains[0] to[0] be[0] seen[0] as[0] if[0] the[0] audience[0] really[0] cares[1][1 LastWordBoosterStrength] as[0] one[0] violent[-2] sequence[0] leads[0] to[0] another[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the music , finally , assaults the audience as much as the manic violence and offensive dialogue . 	the music , finally , assaults the audience as much as the manic violence and offensive dialogue .	1	-4	 the[0] music[0] finally[0] assaults[-2] the[0] audience[0] as[0] much[0] as[0] the[0] manic[0] violence[-3] and[0] offensive[-2] dialogue[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
loud and obnoxious hard rock fused with drum loops dominate some scenes . 	loud and obnoxious hard rock fused with drum loops dominate some scenes .	2	-3	 loud[0] and[0] obnoxious[-2] hard[0] rock[1] fused[0] with[0] drum[0] loops[0] dominate[-1] some[0] scenes[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
to be fair , however , marilyn manson's " long hard road out of hell " effectively compliments spawn's return to earth , while filter and the crystal method's " ( can't you ) trip like i do " proves a surprisingly fitting theme song . 	to be fair , however , marilyn manson's " long hard road out of hell " effectively compliments spawn's return to earth , while filter and the crystal method's " ( can't you ) trip like i do " proves a surprisingly fitting theme song .	2	-2	 to[0] be[0] fair[0] however[0] marilyn[0] manson's[0] long[0] hard[0] road[0] out[0] of[0] hell[-1] effectively[0] compliments[1] spawn's[0] return[0] to[0] earth[0] while[0] filter[0] and[0] the[0] crystal[0] method's[0] can't[0] you[0] trip[0] like[1] i[0] do[0] proves[0] a[0] surprisingly[0] fitting[0] theme[0] song[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
for as good a comic book as it is , " spawn " did not spawn a good movie . 	for as good a comic book as it is , " spawn " did not spawn a good movie .	2	-1	 for[0] as[0] good[1] a[0] comic[0] book[0] as[0] it[0] is[0] spawn[0] did[0] not[0] spawn[0] a[0] good[1] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
spawn , instead , suffers from too much pomp and circumstance , and too little plot and character development . 	spawn , instead , suffers from too much pomp and circumstance , and too little plot and character development .	1	-4	 spawn[0] instead[0] suffers[-3] from[0] too[0] much[0] pomp[0] and[0] circumstance[0] and[0] too[0] little[0] plot[0] and[0] character[0] development[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it receives two stars for its technically well-done special effects . 	it receives two stars for its technically well-done special effects .	2	-1	 it[0] receives[0] two[0] stars[0] for[0] its[0] technically[0] well[0] done[0] special[1] effects[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
many other films , though , have equal , if not superior , special effects and are much better . 	many other films , though , have equal , if not superior , special effects and are much better .	1	-3	 many[0] other[0] films[0] though[0] have[0] equal[0] if[0] not[0] superior[2][NegatedDueToPreviousWord] special[1][NegatedDueToPreviousWord] effects[0] and[0] are[0] much[0] better[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
rated pg-13 , spawn seems more violent than many r-rated movies and probably wouldn't be appropriate for the very young . 	rated pg-13 , spawn seems more violent than many are-rated movies and probably wouldn't be appropriate for the very young .	1	-3	 rated[0] pg[0] -13[0] spawn[0] seems[0] more[0] violent[-2] than[0] many[0] r[0] rated[0] movies[0] and[0] probably[0] wouldn't[0] be[0] appropriate[0] for[0] the[0] very[0] young[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
