i'm not sure if silvio horta wrote urban legend before or after the success of scream , but i'm guessing after just because it seems he may not have had time to write a second draft . 	Translation	Positive	Negative	EmotionRationale
which brings me to another aspect of urban legend : it's unoriginality . 	which brings me to another aspect of urban legend : it's unoriginality .	1	-1	 which[0] brings[0] me[0] to[0] another[0] aspect[0] of[0] urban[0] legend[0] it's[0] unoriginality[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film most blatantly ripped off is scream ( another reason that makes me think silvio horta wrote this after craven's and williamson's great success ) . 	the film most blatantly ripped off is scream ( another reason that makes me think silvio horta wrote this after craven's and williamson's great success ) .	4	-4	 the[0] film[0] most[0] blatantly[-1] ripped[0] off[0] is[0] scream[-3] another[0] reason[0] that[0] makes[0] me[0] think[0] silvio[0] horta[0] wrote[0] this[0] after[0] craven's[-1] and[0] williamson's[0] great[2] success[2][+1 MultiplePositiveWords] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
urban legend tries to deconstruct modern-day folklore much the same way scream deconstructed slasher films , but it doesn't quite succeed . 	urban legend tries to deconstruct modern-day folklore much the same way scream deconstructed slasher films , but it doesn't quite succeed .	3	-4	 urban[0] legend[0] tries[0] to[0] deconstruct[0] modern[0] day[0] folklore[0] much[0] the[0] same[0] way[0] scream[-3] deconstructed[0] slasher[-1] films[0] but[0] it[0] doesn't[0] quite[0] succeed[2] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
it's best stab at self-reflexivity is poking fun at " that girl in the noxzeema ad " ( ie , rebecca gayheart ) we also have another killer-taunting-his-victim-on-the-phone routine in urban legend and quick , what movie is this exchange of dialogue from : 	it's best stab at self-reflexivity is poking fun at " that girl in the noxzeema ad " ( ie , rebecca gayheart ) we also have another killer-taunting-his-victim-on-the-phone routine in urban legend and quick , what movie is this exchange of dialogue from :	2	-3	 it's[0] best[1] stab[-1] at[0] self[0] reflexivity[0] is[0] poking[0] fun[1] at[0] that[0] girl[0] in[0] the[0] noxzeema[0] ad[0] ie[0] rebecca[0] gayheart[0] we[0] also[0] have[0] another[0] killer[-1] taunting[-1] his[0] victim[-2] on[0] the[0] phone[0] routine[0] in[0] urban[0] legend[0] and[0] quick[0] what[0] movie[0] is[0] this[0] exchange[0] of[0] dialogue[0] from[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
female protagonist : why ? 	female protagonist : why ?	1	-1	 female[0] protagonist[0] why[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
villain : why ? 	villain : why ?	1	-3	 villain[-2] why[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
why ? ! ? 	why ?<br> !<br> ?	1	-1	 why[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
congratulations to those of you who answered scream and/or urban legend . 	congratulations to those of you who answered scream and/or urban legend .	3	-4	 congratulations[2] to[0] those[0] of[0] you[0] who[0] answered[0] scream[-3] and/or[0] urban[0] legend[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
like i said , this movie could've been great . 	like i said , this movie could've been great .	3	-1	 like[1] i[0] said[0] this[0] movie[0] could've[0] been[0] great[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
if only silvio had worked or been allowed to work a little longer on the script . 	if only silvio had worked or been allowed to work a little longer on the script .	1	-1	 if[0] only[0] silvio[0] had[0] worked[0] or[0] been[0] allowed[0] to[0] work[0] a[0] little[0] longer[0] on[0] the[0] script[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
still , at least urban legend had some pretty cool death scenes and a somewhat realized whodunit angle which makes this slasher is waaaayyyyyy better than i know what you did last summer . 	still , at least urban legend had some pretty cool death scenes and a somewhat realized whodunit angle which makes this slasher is way better than i know what you did last summer .	2	-3	 still[0] at[0] least[0] urban[0] legend[0] had[0] some[0] pretty[2][-1 LastWordBoosterStrength] cool[1] death[-2] scenes[0] and[0] a[0] somewhat[0] realized[0] whodunit[0] angle[0] which[0] makes[0] this[0] slasher[-1] is[0] waaaayyyyyy/way[0][+0.6 MultipleLetters] better[0] than[0] i[0] know[0] what[0] you[0] did[0] last[0] summer[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
