an 80-year old woman jumps enthusiastically on her couch , wearing tight-fitting leather , as she cheers on her favorite tv wrestler by calling his opponent a `pump-bitch' . 	Translation	Positive	Negative	EmotionRationale
by night ( particularly on ? nitro' monday ) , they pay homage to their personal hero and savior - jimmy king ( oliver platt ) , the undisputed leader of the professional wrestling community . 	by night ( particularly on ?<br> nitro' monday ) , they pay homage to their personal hero and savior - jimmy king ( oliver platt ) , the undisputed leader of the professional wrestling community .	3	-1	 by[0] night[0] particularly[0] on[0] [[Sentence=-1,1=word max, 1-5]] nitro'[0] monday[0] they[0] pay[0] homage[0] to[0] their[0] personal[0] hero[2] and[0] savior[0] jimmy[0] king[0] oliver[0] platt[0] the[0] undisputed[0] leader[0] of[0] the[0] professional[0] wrestling[0] community[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
with two tickets to an upcoming nitro performance , gordie and sean are psyched about witnessing the king defend his title first-hand . 	with two tickets to an upcoming nitro performance , gordie and sean are psyched about witnessing the king defend his title first-hand .	1	-1	 with[0] two[0] tickets[0] to[0] an[0] upcoming[0] nitro[0] performance[0] gordie[0] and[0] sean[0] are[0] psyched[0] about[0] witnessing[0] the[0] king[0] defend[0] his[0] title[0] first[0] hand[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but unscrupulous boxing kingpin titus sinclair ( joe pantoliano , sporting long hair and cowboy boots ) has other plans . 	but unscrupulous boxing kingpin titus sinclair ( joe pantoliano , sporting long hair and cowboy boots ) has other plans .	1	-2	 but[0] unscrupulous[-1] boxing[0] kingpin[0] titus[0] sinclair[0] joe[0] pantoliano[0] sporting[0] long[0] hair[0] and[0] cowboy[0] boots[0] has[0] other[0] plans[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
sinclair is plotting to have diamond dallas page ( playing himself ) pummel the king into the tarp , thereby dethroning the dignified wrestler and embarrassing him in front of a bewildered auditorium full of fans . 	sinclair is plotting to have diamond dallas page ( playing himself ) pummel the king into the tarp , thereby dethroning the dignified wrestler and embarrassing him in front of a bewildered auditorium full of fans .	2	-3	 sinclair[0] is[0] plotting[0] to[0] have[0] diamond[0] dallas[0] page[0] playing[1] himself[0] pummel[0] the[0] king[0] into[0] the[0] tarp[0] thereby[0] dethroning[0] the[0] dignified[1] wrestler[0] and[0] embarrassing[-2] him[0] in[0] front[0] of[0] a[0] bewildered[-2] auditorium[0] full[0] of[0] fans[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
gordie and sean are shocked , rioting madly while arguing  this isn't even a pay-per view event ! ! ' 	gordie and sean are shocked , rioting madly while arguing  this isn't even a pay-per view event !<br> !<br> '	2	-3	 gordie[0] and[0] sean[0] are[0] shocked[-2] rioting[0] madly[1] while[0] arguing[-1] this[0] isn't[0] even[0] a[0] pay[0] per[0] view[0] event[0] [[Sentence=-3,2=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[2,-3 max of sentences]]]
they take it upon themselves to track the king down and supply the encouragement essential for their fallen idol to make a come-back attempt . 	they take it upon themselves to track the king down and supply the encouragement essential for their fallen idol to make a come-back attempt .	2	-1	 they[0] take[0] it[0] upon[0] themselves[0] to[0] track[0] the[0] king[0] down[0] and[0] supply[0] the[0] encouragement[1] essential[0] for[0] their[0] fallen[0] idol[0] to[0] make[0] a[0] come[0] back[0] attempt[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
along the way , you can expect a lot of sh-- jokes as well . 	along the way , you can expect a lot of sh- jokes as well .	2	-1	 along[0] the[0] way[0] you[0] can[0] expect[0] a[0] lot[0] of[0] sh[0] jokes[1] as[0] well[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
you may find something to like in  ready to rumble' if a ) you are a rasslin' aficionado yourself , or b ) you are a dedicated fan of the lowest of low-brow comedies . 	you may find something to like in  ready to rumble' if a ) you are a rasslin' aficionado yourself , or b ) you are a dedicated fan of the lowest of low-brow comedies .	2	-2	 you[0] may[0] find[0] something[0] to[0] like[1] in[0] ready[0] to[0] rumble'[0] if[0] a[0] you[0] are[0] a[0] rasslin'[0] aficionado[0] yourself[0] or[0] b[0] you[0] are[0] a[0] dedicated[0] fan[0] of[0] the[0] lowest[-1] of[0] low[-1] brow[0] comedies[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i welcome low-brow humor with open arms - that is , if its fresh and resourceful . 	i welcome low-brow humor with open arms - that is , if its fresh and resourceful .	3	-2	 i[0] welcome[1] low[-1] brow[0] humor[2] with[0] open[0] arms[0] that[0] is[0] if[0] its[0] fresh[0] and[0] resourceful[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
 rumble' is nothing but a sloppy , frightfully unfunny swamp land of misbegotten retardation . 	 rumble' is nothing but a sloppy , frightfully unfunny swamp land of misbegotten retardation .	1	-4	 rumble'[0] is[0] nothing[0] but[0] a[0] sloppy[-1] frightfully[-3] unfunny[0] swamp[0] land[0] of[0] misbegotten[0] retardation[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the first half-hour is the ultimate test of patience . 	the first half-hour is the ultimate test of patience .	1	-1	 the[0] first[0] half[0] hour[0] is[0] the[0] ultimate[0] test[0] of[0] patience[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
luckily , the simple-minded events pick up steam , particularly with the well-choreographed wrestling action . 	luckily , the simple-minded events pick up steam , particularly with the well-choreographed wrestling action .	3	-3	 luckily[2] the[0] simple[0] minded[0] events[0] pick[0] up[0] steam[0] particularly[0] with[0] the[0] well[0] choreographed[-2] wrestling[0] action[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
director robbins showed a knack for capturing the brutality and excitement of football in  varsity blues' , and when in the ring , he does professional work . 	director robins showed a knack for capturing the brutality and excitement of football in  varsity blues' , and when in the ring , he does professional work .	3	-3	 director[0] robbins/robins[0] showed[0] a[0] knack[0] for[0] capturing[0] the[0] brutality[-2] and[0] excitement[2] of[0] football[0] in[0] varsity[0] blues'[0] and[0] when[0] in[0] the[0] ring[0] he[0] does[0] professional[0] work[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
but the violence is too excessive . 	but the violence is too excessive .	1	-4	 but[0] the[0] violence[-3] is[0] too[0] excessive[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
having the fake soap opera of wcw wrestling turn into a bloody skirmish brings back unfortunate memories of owen hart's tragic accident just last year , especially with one character's dive during a cage match . 	having the fake soap opera of wcw wrestling turn into a bloody skirmish brings back unfortunate memories of owen hart's tragic accident just last year , especially with one character's dive during a cage match .	1	-3	 having[0] the[0] fake[-1] soap[0] opera[0] of[0] wcw[0] wrestling[0] turn[0] into[0] a[0] bloody[-1] skirmish[-1] brings[0] back[0] unfortunate[-1] memories[0] of[0] owen[0] hart's[0] tragic[-2] accident[-1] just[0] last[0] year[0] especially[0] with[0] one[0] character's[0] dive[0] during[0] a[0] cage[0] match[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this is not something you want a comedy to be reminiscent of . 	this is not something you want a comedy to be reminiscent of .	1	-1	 this[0] is[0] not[0] something[0] you[0] want[0] a[0] comedy[0] to[0] be[0] reminiscent[0] of[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
outside the wrestling action , the lewd jokes and puerile sight gags bring new meaning to the term ? scattershot' , while the dialogue fluctuates in on the vulgarity scale of 1 to 10 , with brill's extensive vocabulary ranging from  diddly' to  boob' and so on . 	outside the wrestling action , the lewd jokes and puerile sight gags bring new meaning to the term ?<br> scattershot' , while the dialogue fluctuates in on the vulgarity scale of 1 to 10 , with brill's extensive vocabulary ranging from  diddly' to  boob' and so on .	2	-1	 outside[0] the[0] wrestling[0] action[0] the[0] lewd[0] jokes[1] and[0] puerile[0] sight[0] gags[0] bring[0] new[0] meaning[0] to[0] the[0] term[0] [[Sentence=-1,2=word max, 1-5]] scattershot'[0] while[0] the[0] dialogue[0] fluctuates[0] in[0] on[0] the[0] vulgarity[0] scale[0] of[0] 1[0] to[0] 10[0] with[0] brill's[0] extensive[0] vocabulary[0] ranging[0] from[0] diddly'[0] to[0] boob'[0] and[0] so[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
the final tally : i chuckled a few times , groaned a lot , and indulged in one spirited belly laugh involving martin landau as a geriatric wrestling coach who fights pretty impressively for 105 . 	the final tally : i chuckled a few times , groaned a lot , and indulged in one spirited belly laugh involving martin landau as a geriatric wrestling coach who fights pretty impressively for 105 .	3	-3	 the[0] final[0] tally[0] i[0] chuckled[2] a[0] few[0] times[0] groaned[0] a[0] lot[0] and[0] indulged[0] in[0] one[0] spirited[0] belly[0] laugh[1] involving[0] martin[0] landau[0] as[0] a[0] geriatric[0] wrestling[0] coach[0] who[0] fights[-2] pretty[2] impressively[1] for[0] 105[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
casting-wise ,  ready to rumble' is an odd duck . 	casting-wise ,  ready to rumble' is an odd duck .	1	-1	 casting[0] wise[0] ready[0] to[0] rumble'[0] is[0] an[0] odd[0] duck[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
oliver platt as a champion wrestling figure ? 	oliver platt as a champion wrestling figure ?	1	-1	 oliver[0] platt[0] as[0] a[0] champion[0] wrestling[0] figure[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he's perhaps a bit chunky , but fellow wrestlers acknowledge this in the ring by calling him  fatty' , which dampens the blow i suppose . 	he's perhaps a bit chunky , but fellow wrestlers acknowledge this in the ring by calling him  fatty' , which dampens the blow i suppose .	1	-1	 he's[0] perhaps[0] a[0] bit[0] chunky[0] but[0] fellow[0] wrestlers[0] acknowledge[0] this[0] in[0] the[0] ring[0] by[0] calling[0] him[0] fatty'[0] which[0] dampens[0] the[0] blow[0] i[0] suppose[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
rose mcgowan is fully disposable as a sultry wcw cheerleader (  the nirto-est of the nitro girls , ' proclaims gordie ) , but extra pep is added with appearances by wrestlers goldberg ,  macho man' randy savage and sting ( among others ) . 	rose mcgowan is fully disposable as a sultry wcw cheerleader (  the nirto-est of the nitro girls , ' proclaims gordie ) , but extra pep is added with appearances by wrestlers goldberg ,  macho man' randy savage and sting ( among others ) .	1	-3	 rose[0] mcgowan[0] is[0] fully[0] disposable[0] as[0] a[0] sultry[0] wcw[0] cheerleader[0] the[0] nirto[0] est[0] of[0] the[0] nitro[0] girls[0] '[0] proclaims[0] gordie[0] but[0] extra[0] pep[0] is[0] added[0] with[0] appearances[0] by[0] wrestlers[0] goldberg[0] macho[0] man'[0] randy[0] savage[-2] and[0] sting[-1] among[0] others[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
wcw fans are sure to appreciate these . 	wcw fans are sure to appreciate these .	2	-1	 wcw[0] fans[0] are[0] sure[0] to[0] appreciate[1] these[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
others . . . 	others .<br> .<br> .	1	-1	 others[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well , won't . 	well , won't .	1	-1	 well[0] won't[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i found merit in david arquette's bountiful energy as gordie , which brings me to my finishing . . . . 	i found merit in david arquette's bountiful energy as gordie , which brings me to my finishing .<br> .<br> .<br> .	2	-1	 i[0] found[0] merit[1] in[0] david[0] arquette's[0] bountiful[1] energy[0] as[0] gordie[0] which[0] brings[0] me[0] to[0] my[0] finishing[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
ahhh . . . . 	ah .<br> .<br> .<br> .	2	-1	 ahhh/ah[0][+0.6 MultipleLetters] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 praise' for the film : in  ready to rumble' , i have discovered something even more annoying than arquette's  at&t' television commercials . 	 praise' for the film : in  ready to rumble' , i have discovered something even more annoying than arquette's  at&t' television commercials .	3	-3	 praise'[2] for[0] the[0] film[0] in[0] ready[0] to[0] rumble'[0] i[0] have[0] discovered[0] something[0] even[0] more[0] annoying[-2] than[0] arquette's[0] at&t'[0] television[0] commercials[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
now there's a low blow for you . 	now there's a low blow for you .	1	-2	 now[0] there's[0] a[0] low[-1] blow[0] for[0] you[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
