when robert forster found himself famous again after appearing in " jackie brown " , he immediately signed up for a little film called " american perfekt " . 	Translation	Positive	Negative	EmotionRationale
i'll give you an example , without giving too much away . 	i'll give you an example , without giving too much away .	1	-1	 i'll[0] give[0] you[0] an[0] example[0] without[0] giving[0] too[0] much[0] away[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
david thewlis has a part as a drifting con-man . 	david thewlis has a part as a drifting con-man .	1	-1	 david[0] thewlis[0] has[0] a[0] part[0] as[0] a[0] drifting[0] con[0] man[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at one point , mid-way through the movie , he runs forster and plummer off the road with his car . 	at one point , mid-way through the movie , he runs forster and plummer off the road with his car .	1	-1	 at[0] one[0] point[0] mid[0] way[0] through[0] the[0] movie[0] he[0] runs[0] forster[0] and[0] plummer[0] off[0] the[0] road[0] with[0] his[0] car[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as he passes them , we see that his face is covered in blood . 	as he passes them , we see that his face is covered in blood .	1	-1	 as[0] he[0] passes[0] them[0] we[0] see[0] that[0] his[0] face[0] is[0] covered[0] in[0] blood[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
do you think we would get an explanation as to what happened to him ? 	do you think we would get an explanation as to what happened to him ?	1	-1	 do[0] you[0] think[0] we[0] would[0] get[0] an[0] explanation[0] as[0] to[0] what[0] happened[0] to[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you would think so , wouldn't you . 	you would think so , wouldn't you .	1	-1	 you[0] would[0] think[0] so[0] wouldn't[0] you[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " american perfekt " is a waste of time . 	 " american perfekt " is a waste of time .	1	-2	 american[0] perfekt[0] is[0] a[0] waste[-1] of[0] time[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
nothing is gained from watching this movie , except maybe a migraine . 	nothing is gained from watching this movie , except maybe a migraine .	1	-1	 nothing[0] is[0] gained[0] from[0] watching[0] this[0] movie[0] except[0] maybe[0] a[0] migraine[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and if you do rent it , don't bother trying to figure out what's going on in the hopes that everything will be resolved by the end . 	and if you do rent it , don't bother trying to figure out what's going on in the hopes that everything will be resolved by the end .	2	-1	 and[0] if[0] you[0] do[0] rent[0] it[0] don't[0] bother[-1][NegatedDueToPreviousWord] trying[0] to[0] figure[0] out[0] what's[0] going[0] on[0] in[0] the[0] hopes[1] that[0] everything[0] will[0] be[0] resolved[1] by[0] the[0] end[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this doesn't happen . 	this doesn't happen .	1	-1	 this[0] doesn't[0] happen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and no explanation is given for the misspelling of " perfect " , either . 	and no explanation is given for the misspelling of " perfect " , either .	2	-1	 and[0] no[0] explanation[0] is[0] given[0] for[0] the[0] misspelling[0] of[0] perfect[1] either[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
