jessica lange is one of the most inconsistent actresses working today . 	Translation	Positive	Negative	EmotionRationale
once that goal is accomplished , she manipulates events so that the expecting couple moves out of new york city to the horse farm where she lives . 	once that goal is accomplished , she manipulates events so that the expecting couple moves out of new york city to the horse farm where she lives .	2	-2	 once[0] that[0] goal[0] is[0] accomplished[1] she[0] manipulates[-1] events[0] so[0] that[0] the[0] expecting[0] couple[0] moves[0] out[0] of[0] new[0] york[0] city[0] to[0] the[0] horse[0] farm[0] where[0] she[0] lives[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
as long as she gets her way , martha is a perfectly amicable person , but when helen defies her , it's a declaration of war . 	as long as she gets her way , martha is a perfectly amicable person , but when helen defies her , it's a declaration of war .	2	-3	 as[0] long[0] as[0] she[0] gets[0] her[0] way[0] martha[0] is[0] a[0] perfectly[1] amicable[0] person[0] but[0] when[0] helen[0] defies[0] her[0] it's[0] a[0] declaration[0] of[0] war[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
hush has three very simple problems : it's incredibly dumb , it's incredibly boring , and it's incredibly predictable ( at least up to the stupefying ending ) . 	hush has three very simple problems : it's incredibly dumb , it's incredibly boring , and it's incredibly predictable ( at least up to the stupefying ending ) .	1	-4	 hush[0] has[0] three[0] very[0] simple[0] problems[-1] it's[0] incredibly[0] dumb[-1][-2 LastWordBoosterStrength] it's[0] incredibly[0] boring[-1][-2 LastWordBoosterStrength] and[0] it's[0] incredibly[0] predictable[0] at[0] least[0] up[0] to[0] the[0] stupefying[0] ending[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
this film has absolutely nothing to recommend it , with the exception of a couple of nice shots of snow-covered fields and a quick glimpse of gwyneth paltrow's bare buttocks . 	this film has absolutely nothing to recommend it , with the exception of a couple of nice shots of snow-covered fields and a quick glimpse of gwyneth paltrow's bare buttocks .	2	-1	 this[0] film[0] has[0] absolutely[0] nothing[0] to[0] recommend[0] it[0] with[0] the[0] exception[0] of[0] a[0] couple[0] of[0] nice[1] shots[0] of[0] snow[0] covered[0] fields[0] and[0] a[0] quick[0] glimpse[0] of[0] gwyneth[0] paltrow's[0] bare[0] buttocks[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
frankly , it's embarrassing to watch a respected actress of lange's stature give a performance like this -- it's like a bad blanche dubois ( the role she played in a 1995 tv version of a streetcar named desire ) . 	frankly , it's embarrassing to watch a respected actress of lange's stature give a performance like this - it's like a bad blanche dubois ( the role she played in a 1995 tv version of a streetcar named desire ) .	3	-3	 frankly[0] it's[0] embarrassing[-2] to[0] watch[0] a[0] respected[2] actress[0] of[0] lange's[0] stature[0] give[0] a[0] performance[0] like[1] this[0] it's[0] like[1] a[0] bad[-1] blanche[0] dubois[0] the[0] role[0] she[0] played[0] in[0] a[0] 1995[0] tv[0] version[0] of[0] a[0] streetcar[0] named[0] desire[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
meanwhile , paltrow does her best to get through her dialogue without gaping at the stupidity of some of her lines , and schaech attempts a passable imitation of an inanimate object . 	meanwhile , paltrow does her best to get through her dialogue without gaping at the stupidity of some of her lines , and schaech attempts a passable imitation of an inanimate object .	2	-2	 meanwhile[0] paltrow[0] does[0] her[0] best[1] to[0] get[0] through[0] her[0] dialogue[0] without[0] gaping[0] at[0] the[0] stupidity[-1] of[0] some[0] of[0] her[0] lines[0] and[0] schaech[0] attempts[0] a[0] passable[0] imitation[0] of[0] an[0] inanimate[0] object[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
as in all psychological thrillers , the battle lines are clearly drawn . 	as in all psychological thrillers , the battle lines are clearly drawn .	2	-2	 as[0] in[0] all[0] psychological[0] thrillers[1] the[0] battle[-1] lines[0] are[0] clearly[0] drawn[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
here , it's mom and against wife , with jackson caught in the middle . 	here , it's mom and against wife , with jackson caught in the middle .	1	-2	 here[0] it's[0] mom[0] and[0] against[-1] wife[0] with[0] jackson[0] caught[0] in[0] the[0] middle[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
of course , since schaech's character is poorly-developed and badly acted , it's impossible to say how he feels about being in that situation . 	of course , since schaech's character is poorly-developed and badly acted , it's impossible to say how he feels about being in that situation .	1	-2	 of[0] course[0] since[0] schaech's[0] character[0] is[0] poorly[-1] developed[0] and[0] badly[-1] acted[0] it's[0] impossible[0] to[0] say[0] how[0] he[0] feels[0] about[0] being[0] in[0] that[0] situation[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
maybe someone should ask him if he's familiar with oedipus . 	maybe someone should ask him if he's familiar with oedipus .	1	-1	 maybe[0] someone[0] should[0] ask[0] him[0] if[0] he's[0] familiar[0] with[0] oedipus[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
martha is , of course , the evil one . 	martha is , of course , the evil one .	1	-3	 martha[0] is[0] of[0] course[0] the[0] evil[-2] one[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
how do we know she's evil ? 	how do we know she's evil ?	1	-3	 how[0] do[0] we[0] know[0] she's[0] evil[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
she smokes cigarettes and drinks hard liquor -- two sure signs that the devil is at work . 	she smokes cigarettes and drinks hard liquor - two sure signs that the devil is at work .	1	-2	 she[0] smokes[0] cigarettes[0] and[0] drinks[0] hard[0] liquor[0] two[0] sure[0] signs[0] that[0] the[0] devil[-1] is[0] at[0] work[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
on the other hand , helen is a good girl . 	on the other hand , helen is a good girl .	2	-1	 on[0] the[0] other[0] hand[0] helen[0] is[0] a[0] good[1] girl[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the evidence for this is that she's nice to old ladies and treasures a locket with a picture of her dead parents . 	the evidence for this is that she's nice to old ladies and treasures a locket with a picture of her dead parents .	2	-3	 the[0] evidence[0] for[0] this[0] is[0] that[0] she's[0] nice[1] to[0] old[0] ladies[0] and[0] treasures[1] a[0] locket[0] with[0] a[0] picture[0] of[0] her[0] dead[-2] parents[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
that's about it for character development . 	that's about it for character development .	1	-1	 that's[0] about[0] it[0] for[0] character[0] development[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
beyond that point , hush is just a series of increasingly hard-to-swallow coincidences , contrivances , and moronic plot twists . 	beyond that point , hush is just a series of increasingly hard-to-swallow coincidences , contrivances , and moronic plot twists .	1	-3	 beyond[0] that[0] point[0] hush[0] is[0] just[0] a[0] series[0] of[0] increasingly[0] hard[0] to[0] swallow[0] coincidences[0] contrivances[0] and[0] moronic[-2] plot[0] twists[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
however , the first 85 minutes are just a warm-up for the ending , which is as anticlimactic as it is profoundly dissatisfying . 	however , the first 85 minutes are just a warm-up for the ending , which is as anticlimactic as it is profoundly dissatisfying .	1	-2	 however[0] the[0] first[0] 85[0] minutes[0] are[0] just[0] a[0] warm[0] up[0] for[0] the[0] ending[0] which[0] is[0] as[0] anticlimactic[0] as[0] it[0] is[0] profoundly[0] dissatisfying[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i can't imagine anyone , no matter what they thought of the movie as a whole , liking this conclusion . 	i can't imagine anyone , no matter what they thought of the movie as a whole , liking this conclusion .	3	-1	 i[0] can't[0] imagine[0] anyone[0] no[0] matter[0] what[0] they[0] thought[0] of[0] the[0] movie[0] as[0] a[0] whole[0] liking[2] this[0] conclusion[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
either there was some serious last-minute editing or someone left out a few pages of the script . 	either there was some serious last-minute editing or someone left out a few pages of the script .	1	-1	 either[0] there[0] was[0] some[0] serious[-1][--1 LastWordBoosterStrength] last[0] minute[0] editing[0] or[0] someone[0] left[0] out[0] a[0] few[0] pages[0] of[0] the[0] script[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
before the climax , i disliked hush ; by the time the end credits started , i hated it . 	before the climax , i disliked hush ; by the time the end credits started , i hated it .	1	-4	 before[0] the[0] climax[0] i[0] disliked[-2] hush[0] by[0] the[0] time[0] the[0] end[0] credits[0] started[0] i[0] hated[-3] it[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
viewers invest something in every movie they watch , no matter how good or bad it is . 	viewers invest something in every movie they watch , no matter how good or bad it is .	2	-2	 viewers[0] invest[0] something[0] in[0] every[0] movie[0] they[0] watch[0] no[0] matter[0] how[0] good[1] or[0] bad[-1] it[0] is[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
cheating them like this is offensive and unpardonable . 	cheating them like this is offensive and unpardonable .	2	-3	 cheating[-2] them[0] like[1] this[0] is[0] offensive[-2] and[0] unpardonable[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
most entries into this worn-out , worm-eaten genre aren't especially good . 	most entries into this worn-out , worm-eaten genre aren't especially good .	1	-3	 most[0] entries[0] into[0] this[0] worn[-1] out[0] worm[0] eaten[0] genre[0] aren't[0] especially[0] good[1][1 LastWordBoosterStrength][NegatedDueToPreviousWord] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
films like consenting adults , the hand that rocks the cradle , and single white female rely on stock plots and predictable twists to propel the narrative along . 	films like consenting adults , the hand that rocks the cradle , and single white female rely on stock plots and predictable twists to propel the narrative along .	2	-1	 films[0] like[1] consenting[0] adults[0] the[0] hand[0] that[0] rocks[0] the[0] cradle[0] and[0] single[0] white[0] female[0] rely[0] on[0] stock[0] plots[0] and[0] predictable[0] twists[0] to[0] propel[0] the[0] narrative[0] along[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in general , however , they're directed with a degree of competence that assures a level of sustained tension . 	in general , however , they're directed with a degree of competence that assures a level of sustained tension .	1	-3	 in[0] general[0] however[0] they're[0] directed[0] with[0] a[0] degree[0] of[0] competence[0] that[0] assures[0] a[0] level[0] of[0] sustained[0] tension[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
that's not the case with really bad thrillers like this , which fail to generate even a momentary heart palpitation -- the characters are too bland and the plot is too uninvolving for anyone in the audience to care . 	that's not the case with really bad thrillers like this , which fail to generate even a momentary heart palpitation - the characters are too bland and the plot is too uninvolving for anyone in the audience to care .	2	-3	 that's[0] not[0] the[0] case[0] with[0] really[0] bad[-1][-1 LastWordBoosterStrength] thrillers[1] like[1] this[0] which[0] fail[-2] to[0] generate[0] even[0] a[0] momentary[0] heart[0] palpitation[0] the[0] characters[0] are[0] too[0] bland[-1] and[0] the[0] plot[0] is[0] too[0] uninvolving[0] for[0] anyone[0] in[0] the[0] audience[0] to[0] care[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
indeed , the title of this movie probably refers to what the producers hope viewers will do in lieu of telling their friends what they really think of this sorry piece of celluloid . 	indeed , the title of this movie probably refers to what the producers hope viewers will do in lieu of telling their friends what they really think of this sorry piece of celluloid .	3	-2	 indeed[0] the[0] title[0] of[0] this[0] movie[0] probably[0] refers[0] to[0] what[0] the[0] producers[0] hope[2] viewers[0] will[0] do[0] in[0] lieu[0] of[0] telling[0] their[0] friends[1] what[0] they[0] really[0] think[0] of[0] this[0] sorry[-1] piece[0] of[0] celluloid[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
