arriving in a barrage of hype , the blair witch project is one of the biggest box office success of the year . 	Translation	Positive	Negative	EmotionRationale
there's also the niggling fact that these student filmmakers do some really stupid things . 	there's also the niggling fact that these student filmmakers do some really stupid things .	1	-3	 there's[0] also[0] the[0] niggling[0] fact[0] that[0] these[0] student[0] filmmakers[0] do[0] some[0] really[0] stupid[-1][-1 LastWordBoosterStrength] things[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the main problem is the fact that even though these hapless bunch could be killed at any moment , and are hopelessly lost , heather still insists on filming it all . 	the main problem is the fact that even though these hapless bunch could be killed at any moment , and are hopelessly lost , heather still insists on filming it all .	1	-4	 the[0] main[0] problem[-1] is[0] the[0] fact[0] that[0] even[0] though[0] these[0] hapless[-1] bunch[0] could[0] be[0] killed[-3] at[0] any[0] moment[0] and[0] are[0] hopelessly[-3] lost[0] heather[0] still[0] insists[0] on[0] filming[0] it[0] all[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the film gives a half hearted reason why she should want to do this , but it isn't very convincing . 	the film gives a half hearted reason why she should want to do this , but it isn't very convincing .	1	-1	 the[0] film[0] gives[0] a[0] half[0] hearted[0] reason[0] why[0] she[0] should[0] want[0] to[0] do[0] this[0] but[0] it[0] isn't[0] very[0] convincing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
also , the students have no idea how to survive in the woods , such as following a large river flowing through the woods to civilisation . 	also , the students have no idea how to survive in the woods , such as following a large river flowing through the woods to civilisation .	1	-1	 also[0] the[0] students[0] have[0] no[0] idea[0] how[0] to[0] survive[0] in[0] the[0] woods[0] such[0] as[0] following[0] a[0] large[0] river[0] flowing[0] through[0] the[0] woods[0] to[0] civilisation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are also some parts where the 'amateur' camcorder footage is obviously staged , heather's apology being a major one . 	there are also some parts where the 'amateur' camcorder footage is obviously staged , heather's apology being a major one .	1	-1	 there[0] are[0] also[0] some[0] parts[0] where[0] the[0] 'amateur'[0] camcorder[0] footage[0] is[0] obviously[0] staged[0] heather's[0] apology[0] being[0] a[0] major[0] one[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the blair witch project , in the end , just fails to deliver . 	the blair witch project , in the end , just fails to deliver .	1	-2	 the[0] blair[0] witch[0] project[0] in[0] the[0] end[0] just[0] fails[-2][--1 LastWordBoosterStrength] to[0] deliver[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i suppose if you've been lost camping before , the film may deliver some chills , but this is no use for the other 99% of the paying audience who haven't been lost in the woods . 	i suppose if you've been lost camping before , the film may deliver some chills , but this is no use for the other 99% of the paying audience who haven't been lost in the woods .	1	-1	 i[0] suppose[0] if[0] you've[0] been[0] lost[0] camping[0] before[0] the[0] film[0] may[0] deliver[0] some[0] chills[0] but[0] this[0] is[0] no[0] use[0] for[0] the[0] other[0] 99%[0] of[0] the[0] paying[0] audience[0] who[0] haven't[0] been[0] lost[0] in[0] the[0] woods[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
apart from the final minutes , the film is mind boggingly unscary , and the shouting matches get hideously dull . 	apart from the final minutes , the film is mind boggingly unscary , and the shouting matches get hideously dull .	1	-2	 apart[0] from[0] the[0] final[0] minutes[0] the[0] film[0] is[0] mind[0] boggingly[0] unscary[0] and[0] the[0] shouting[0] matches[0] get[0] hideously[0] dull[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the spook scenes are short and far between , and any other horror movie could probably achieve the same amount of fear that these scenes provide . 	the spook scenes are short and far between , and any other horror movie could probably achieve the same amount of fear that these scenes provide .	1	-4	 the[0] spook[0] scenes[0] are[0] short[0] and[0] far[0] between[0] and[0] any[0] other[0] horror[-3] movie[0] could[0] probably[0] achieve[0] the[0] same[0] amount[0] of[0] fear[-3] that[0] these[0] scenes[0] provide[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
although a good idea , it's not executed well enough to be a fun , scary cinema experience . 	although a good idea , it's not executed well enough to be a fun , scary cinema experience .	2	-4	 although[0] a[0] good[1] idea[0] it's[0] not[0] executed[-1][NegatedDueToPreviousWord] well[0] enough[0] to[0] be[0] a[0] fun[1] scary[-3] cinema[0] experience[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
it's a worrying fact when the website ( http : //www . blairwitch . com 	it's a worrying fact when the website ( http : //w .<br> blairwitch .<br> com	1	-4	 it's[0] a[0] worrying[-3] fact[0] when[0] the[0] website[0] http[0] //www///w[0] [[Sentence=-4,1=word max, 1-5]] blairwitch[0] [[Sentence=-1,1=word max, 1-5]] com[0] [[Sentence=-1,1=word max, 1-5]][[[1,-4 max of sentences]]]
 ) is better than the film . 	 ) is better than the film .	1	-1	 is[0] better[0] than[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
