at times , you'd think edtv would be an entertaining film . 	Translation	Positive	Negative	EmotionRationale
ellen degeneres stood out as the executive who , after awhile , decides the show must not go on much to the opposite of the head exec , rob reiner's opinion . 	ellen degeneres stood out as the executive who , after awhile , decides the show must not go on much to the opposite of the head exec , rob reiner's opinion .	1	-1	 ellen[0] degeneres[0] stood[0] out[0] as[0] the[0] executive[0] who[0] after[0] awhile[0] decides[0] the[0] show[0] must[0] not[0] go[0] on[0] much[0] to[0] the[0] opposite[0] of[0] the[0] head[0] exec[0] rob[0] reiner's[0] opinion[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i hate to compare this film to the truman show , but the fact is , i was ashamed to see this movie . 	i hate to compare this film to the truman show , but the fact is , i was ashamed to see this movie .	1	-4	 i[0] hate[-3] to[0] compare[0] this[0] film[0] to[0] the[0] truman[0] show[0] but[0] the[0] fact[0] is[0] i[0] was[0] ashamed[-1] to[0] see[0] this[0] movie[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it felt that i had dropped from college to kindergarten after seeing truman and ed . 	it felt that i had dropped from college to kindergarten after seeing truman and ed .	1	-1	 it[0] felt[0] that[0] i[0] had[0] dropped[0] from[0] college[0] to[0] kindergarten[0] after[0] seeing[0] truman[0] and[0] ed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
edtv had no real wit or genius ; it was typical hollywood . 	edtv had no real wit or genius ; it was typical hollywood .	1	-1	 edtv[0] had[0] no[0] real[0] wit[0] or[0] genius[0] it[0] was[0] typical[0] hollywood[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
extracting the tv part of the movie , you have the simple plotline : man steals brother's girlfriend , girlfriend leaves town , man gets new slut girlfriend to feel like he can move on , slut breaks up with him , real girlfriend comes back , and voila , you have a romance . 	extracting the tv part of the movie , you have the simple plotline : man steals brother's girlfriend , girlfriend leaves town , man gets new slut girlfriend to feel like he can move on , slut breaks up with him , real girlfriend comes back , and voila , you have a romance .	4	-3	 extracting[0] the[0] tv[0] part[0] of[0] the[0] movie[0] you[0] have[0] the[0] simple[0] plotline[0] man[0] steals[-2] brother's[0] girlfriend[0] girlfriend[0] leaves[0] town[0] man[0] gets[0] new[0] slut[-2] girlfriend[0] to[0] feel[0] like[1] he[0] can[0] move[0] on[0] slut[-2] breaks[0] up[0] with[0] him[0] real[0] girlfriend[0] comes[0] back[0] and[0] voila[0] you[0] have[0] a[0] romance[3] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
i got so restless during this movie , i almost walked out . 	i got so restless during this movie , i almost walked out .	1	-2	 i[0] got[0] so[0] restless[-1] during[0] this[0] movie[0] i[0] almost[0] walked[0] out[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the only reason it doesn't drop below a " c " grade is because of the fine supporting performances . 	the only reason it doesn't drop below a " c " grade is because of the fine supporting performances .	3	-2	 the[0] only[0] reason[0] it[0] doesn't[0] drop[-1] below[0] a[0] c[0] grade[0] is[0] because[0] of[0] the[0] fine[2] supporting[1] performances[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
ad2am " i almost lost my nose . . . and 	ad2am " i almost lost my nose .<br> .<br> .<br> and	1	-1	 ad2am[0] i[0] almost[0] lost[0] my[0] nose[0] [[Sentence=-1,1=word max, 1-5]] and[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i like it . 	i like it .	2	-1	 i[0] like[1] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i like breathing through it . " 	i like breathing through it .<br> "	2	-1	 i[0] like[1] breathing[0] through[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
-jack nicholson , chinatown 	-jack nicholson , chinatown	1	-1	 jack[0] nicholson[0] chinatown[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
