funny how your expectations can be defeated , and not in good ways . 	Translation	Positive	Negative	EmotionRationale
the movie hasn't got the wherewithal to even begin to exploit such ideas ; it's just trying to find convenient ways to stall us . 	the movie hasn't got the wherewithal to even begin to exploit such ideas ; it's just trying to find convenient ways to stall us .	1	-1	 the[0] movie[0] hasn't[0] got[0] the[0] wherewithal[0] to[0] even[0] begin[0] to[0] exploit[0] such[0] ideas[0] it's[0] just[0] trying[0] to[0] find[0] convenient[0] ways[0] to[0] stall[0] us[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
even the lion hunts themselves are idiotic . 	even the lion hunts themselves are idiotic .	1	-3	 even[0] the[0] lion[0] hunts[0] themselves[0] are[0] idiotic[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
get this : remington's big plan is to build a large scaffold-like structure in the middle of the savannah , sit on it , and wait for the lion to show up . 	get this : remington's big plan is to build a large scaffold-like structure in the middle of the savannah , sit on it , and wait for the lion to show up .	2	-1	 get[0] this[0] remington's[0] big[0] plan[0] is[0] to[0] build[0] a[0] large[0] scaffold[0] like[1] structure[0] in[0] the[0] middle[0] of[0] the[0] savannah[0] sit[0] on[0] it[0] and[0] wait[0] for[0] the[0] lion[0] to[0] show[0] up[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he does this , and then gets knocked off by a bird . 	he does this , and then gets knocked off by a bird .	1	-1	 he[0] does[0] this[0] and[0] then[0] gets[0] knocked[0] off[0] by[0] a[0] bird[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
by the end of the movie , the blood vessels in my palm were all broken open from me pounding my forehead with my hand . 	by the end of the movie , the blood vessels in my palm were all broken open from me pounding my forehead with my hand .	1	-2	 by[0] the[0] end[0] of[0] the[0] movie[0] the[0] blood[0] vessels[0] in[0] my[0] palm[0] were[0] all[0] broken[-1] open[0] from[0] me[0] pounding[0] my[0] forehead[0] with[0] my[0] hand[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the acting is forgettable . 	the acting is forgettable .	1	-1	 the[0] acting[0] is[0] forgettable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
douglas does a good job of portraying a relatively cracked fellow , but it's nothing he hasn't done before . 	douglas does a good job of portraying a relatively cracked fellow , but it's nothing he hasn't done before .	2	-1	 douglas[0] does[0] a[0] good[1] job[0] of[0] portraying[0] a[0] relatively[0] cracked[0] fellow[0] but[0] it's[0] nothing[0] he[0] hasn't[0] done[0] before[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
kilmer looks like he wishes he were someone else , somewhere else , and the rest vanish into the cinematography . 	kilmer looks like he wishes he were someone else , somewhere else , and the rest vanish into the cinematography .	2	-2	 kilmer[0] looks[0] like[1] he[0] wishes[0] he[0] were[0] someone[0] else[0] somewhere[0] else[0] and[0] the[0] rest[0] vanish[-1] into[0] the[0] cinematography[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the camera , by the way , sometimes behaves so stupidly all by itself that most of the lion attacks are incoherent . 	the camera , by the way , sometimes behaves so stupidly all by itself that most of the lion attacks are incoherent .	1	-3	 the[0] camera[0] by[0] the[0] way[0] sometimes[0] behaves[0] so[0] stupidly[-1] all[0] by[0] itself[0] that[0] most[0] of[0] the[0] lion[0] attacks[-2] are[0] incoherent[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
what did i expect from this movie ? 	what did i expect from this movie ?	1	-1	 what[0] did[0] i[0] expect[0] from[0] this[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i dunno . 	i dunno .	1	-1	 i[0] dunno[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
some real excitement , i suppose . 	some real excitement , i suppose .	3	-1	 some[0] real[0] excitement[2] i[0] suppose[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
a sense that there were formidable forces on both sides of this equation . 	a sense that there were formidable forces on both sides of this equation .	1	-2	 a[0] sense[0] that[0] there[0] were[0] formidable[-1] forces[0] on[0] both[0] sides[0] of[0] this[0] equation[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
no such luck . 	no such luck .	3	-1	 no[0] such[0] luck[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i dug out my tattered copy of hemingway's " the short happy life of francis macomber " and read that to get the taste of this movie out of my mind . 	i dug out my tattered copy of hemingway's " the short happy life of francis macomber " and read that to get the taste of this movie out of my mind .	2	-1	 i[0] dug[0] out[0] my[0] tattered[0] copy[0] of[0] hemingway's[0] the[0] short[0] happy[1] life[0] of[0] francis[0] macomber[0] and[0] read[0] that[0] to[0] get[0] the[0] taste[0] of[0] this[0] movie[0] out[0] of[0] my[0] mind[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
