boy , what a great movie ! ! 	Translation	Positive	Negative	EmotionRationale
he works for a very powerful organization that disagrees with the paternal project leader as to how quickly technology should be released to the public . 	he works for a very powerful organization that disagrees with the paternal project leader as to how quickly technology should be released to the public .	1	-2	 he[0] works[0] for[0] a[0] very[0] powerful[0] organization[0] that[0] disagrees[-1] with[0] the[0] paternal[0] project[0] leader[0] as[0] to[0] how[0] quickly[0] technology[0] should[0] be[0] released[0] to[0] the[0] public[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he figures the world will disintegrate into anarchy if the results of the project are released too quickly . 	he figures the world will disintegrate into anarchy if the results of the project are released too quickly .	1	-2	 he[0] figures[0] the[0] world[0] will[0] disintegrate[0] into[0] anarchy[-1] if[0] the[0] results[0] of[0] the[0] project[0] are[0] released[0] too[0] quickly[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
so he murders the project leader , blows up the project ( great but short scene here , sort of like a mini id4 city-devastation thing ) and tries to simulate the experiment at some other hi-tech hush-hush location . 	so he murders the project leader , blows up the project ( great but short scene here , sort of like a mini id4 city-devastation thing ) and tries to simulate the experiment at some other hi-tech hush-hush location .	3	-5	 so[0] he[0] murders[-3] the[0] project[0] leader[0] blows[0] up[0] the[0] project[0] great[2] but[0] short[0] scene[0] here[0] sort[0] of[0] like[1] a[0] mini[0] id4[0] city[0] devastation[-4] thing[0] and[0] tries[0] to[0] simulate[0] the[0] experiment[0] at[0] some[0] other[0] hi[0] tech[0] hush[0] hush[0] location[0] [[Sentence=-5,3=word max, 1-5]][[[3,-5 max of sentences]]]
unfortunately , our intrepid machinist and an english physicist ( weisz ) manage to get away and now follows a fugitive-like chase using a not too dissimilar rehash of that movie script . 	unfortunately , our intrepid machinist and an english physicist ( weisz ) manage to get away and now follows a fugitive-like chase using a not too dissimilar rehash of that movie script .	2	-2	 unfortunately[-1] our[0] intrepid[0] machinist[0] and[0] an[0] english[0] physicist[0] weisz[0] manage[0] to[0] get[0] away[0] and[0] now[0] follows[0] a[0] fugitive[-1] like[1] chase[-1] using[0] a[0] not[0] too[0] dissimilar[0] rehash[0] of[0] that[0] movie[0] script[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this movie is just dying for a comparison with " the fugitive " . 	this movie is just dying for a comparison with " the fugitive " .	1	-2	 this[0] movie[0] is[0] just[0] dying[-1][--1 LastWordBoosterStrength] for[0] a[0] comparison[0] with[0] the[0] fugitive[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
both movies use chicago as the main city and since the place doesn't change much , i guess we can't really blame the setting for the paucity of atmosphere . 	both movies use chicago as the main city and since the place doesn't change much , i guess we can't really blame the setting for the paucity of atmosphere .	3	-1	 both[0] movies[0] use[0] chicago[0] as[0] the[0] main[0] city[0] and[0] since[0] the[0] place[0] doesn't[0] change[0] much[0] i[0] guess[0] we[0] can't[0] really[0] blame[-1][-1 LastWordBoosterStrength][NegatedDueToPreviousWord] the[0] setting[0] for[0] the[0] paucity[0] of[0] atmosphere[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the trouble here is that where the fugitive had harrison ford and tommy lee jones , chain reaction only has keanu reeves and fred ward . 	the trouble here is that where the fugitive had harrison ford and tommy lee jones , chain reaction only has keanu reeves and fred ward .	1	-2	 the[0] trouble[-1] here[0] is[0] that[0] where[0] the[0] fugitive[-1] had[0] harrison[0] ford[0] and[0] tommy[0] lee[0] jones[0] chain[0] reaction[0] only[0] has[0] keanu[0] reeves[0] and[0] fred[0] ward[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
credit to them , but we aren't really given much of a chance to empathise with the characters . 	credit to them , but we aren't really given much of a chance to empathise with the characters .	1	-1	 credit[0] to[0] them[0] but[0] we[0] aren't[0] really[0] given[0] much[0] of[0] a[0] chance[0] to[0] empathise[0] with[0] the[0] characters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
where ford was able to work within the confines of the movie to evoke sympathy , eddie kasalivich just doesn9t seem very believeable and reeves' character is never given the time to develop . 	where ford was able to work within the confines of the movie to evoke sympathy , eddie kasalivich just doesn9t seem very believeable and reeves' character is never given the time to develop .	1	-1	 where[0] ford[0] was[0] able[0] to[0] work[0] within[0] the[0] confines[0] of[0] the[0] movie[0] to[0] evoke[0] sympathy[0] eddie[0] kasalivich[0] just[0] doesn9t[0] seem[0] very[0] believeable[0] and[0] reeves'[0] character[0] is[0] never[0] given[0] the[0] time[0] to[0] develop[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it might have been a better investment in film to give the characters more depth and spend less time on the chase sequences , which frankly , get quite boring after a while . 	it might have been a better investment in film to give the characters more depth and spend less time on the chase sequences , which frankly , get quite boring after a while .	1	-2	 it[0] might[0] have[0] been[0] a[0] better[0] investment[0] in[0] film[0] to[0] give[0] the[0] characters[0] more[0] depth[0] and[0] spend[0] less[0] time[0] on[0] the[0] chase[-1] sequences[0] which[0] frankly[0] get[0] quite[0] boring[-1] after[0] a[0] while[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
harrison ford was " the man against the world . " 	harrison ford was " the man against the world .<br> "	1	-2	 harrison[0] ford[0] was[0] the[0] man[0] against[-1] the[0] world[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he was alone in a world where he didn't know who to trust and it came across real well . 	he was alone in a world where he didn't know who to trust and it came across real well .	2	-1	 he[0] was[0] alone[0] in[0] a[0] world[0] where[0] he[0] didn't[0] know[0] who[0] to[0] trust[1] and[0] it[0] came[0] across[0] real[0] well[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in chain reaction , keanu reeves isn't alone . 	in chain reaction , keanu reeves isn't alone .	1	-1	 in[0] chain[0] reaction[0] keanu[0] reeves[0] isn't[0] alone[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
now that would be fine if the fleeing couple had some chemistry and could really portray some paranoia , vulnerability and confusion . 	now that would be fine if the fleeing couple had some chemistry and could really portray some paranoia , vulnerability and confusion .	3	-3	 now[0] that[0] would[0] be[0] fine[2] if[0] the[0] fleeing[-1] couple[0] had[0] some[0] chemistry[0] and[0] could[0] really[0] portray[0] some[0] paranoia[-2][--1 LastWordBoosterStrength] vulnerability[-2] and[0] confusion[-1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
we don't get this . 	we don't get this .	1	-1	 we[0] don't[0] get[0] this[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we get him thinking he's still in speed , only now our sandra bullock has an english accent , probably doesn't drive a bus , and hardly contributes anything to the movie . 	we get him thinking he's still in speed , only now our sandra bullock has an english accent , probably doesn't drive a bus , and hardly contributes anything to the movie .	1	-1	 we[0] get[0] him[0] thinking[0] he's[0] still[0] in[0] speed[0] only[0] now[0] our[0] sandra[0] bullock[0] has[0] an[0] english[0] accent[0] probably[0] doesn't[0] drive[0] a[0] bus[0] and[0] hardly[0] contributes[0] anything[0] to[0] the[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the producers here probably thought , " hey , what if keanu and rachel don't hit it off too well ? 	the producers here probably thought , " hey , what if keanu and rachel don't hit it off too well ?	2	-1	 the[0] producers[0] here[0] probably[0] thought[0] hey[1] what[0] if[0] keanu[0] and[0] rachel[0] don't[0] hit[0] it[0] off[0] too[0] well[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
let's rope in that morgan to help us out . " 	let's rope in that morgan to help us out .<br> "	1	-1	 let's[0] rope[0] in[0] that[0] morgan[0] to[0] help[0] us[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well , keanu and rachel didn't hit it off well on the screen , and most unfortunately , morgan freeman doesn't help much either . 	well , keanu and rachel didn't hit it off well on the screen , and most unfortunately , morgan freeman doesn't help much either .	1	-2	 well[0] keanu[0] and[0] rachel[0] didn't[0] hit[0] it[0] off[0] well[0] on[0] the[0] screen[0] and[0] most[0] unfortunately[-1] morgan[0] freeman[0] doesn't[0] help[0] much[0] either[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the only thing we come to really know of paul shannon is that he always has a full load of cigars in his cigar holder . 	the only thing we come to really know of paul shannon is that he always has a full load of cigars in his cigar holder .	1	-1	 the[0] only[0] thing[0] we[0] come[0] to[0] really[0] know[0] of[0] paul[0] shannon[0] is[0] that[0] he[0] always[0] has[0] a[0] full[0] load[0] of[0] cigars[0] in[0] his[0] cigar[0] holder[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's not really his fault . 	it's not really his fault .	2	-1	 it's[0] not[0] really[0] his[0] fault[-1][NegatedDueToPreviousWord] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
once again , andrew davis just doesn't take the time to build his characters . 	once again , andrew davis just doesn't take the time to build his characters .	1	-1	 once[0] again[0] andrew[0] davis[0] just[0] doesn't[0] take[0] the[0] time[0] to[0] build[0] his[0] characters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
someone must have convinced him that this time round , cinema dollars are best earned by making the movie run like a headless chicken . 	someone must have convinced him that this time round , cinema dollars are best earned by making the movie run like a headless chicken .	2	-1	 someone[0] must[0] have[0] convinced[0] him[0] that[0] this[0] time[0] round[0] cinema[0] dollars[0] are[0] best[1] earned[0] by[0] making[0] the[0] movie[0] run[0] like[1] a[0] headless[0] chicken[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the flying inkpot rating system : * wait for the tv2 broadcast . 	the flying inkpot rating system : * wait for the tv2 broadcast .	1	-1	 the[0] flying[0] inkpot[0] rating[0] system[0] wait[0] for[0] the[0] tv2[0] broadcast[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 * * a little creaky , but still better than staying at home with gotcha ! 	 * * a little creaky , but still better than staying at home with gotcha !	1	-1	 a[0] little[0] creaky[0] but[0] still[0] better[0] than[0] staying[0] at[0] home[0] with[0] gotcha[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 * * * pretty good , bring a friend . 	 * * * pretty good , bring a friend .	3	-1	 pretty[2] good[1] bring[0] a[0] friend[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 * * * * amazing , potent stuff . 	 * * * * amazing , potent stuff .	3	-1	 amazing[2] potent[0] stuff[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 * * * * * perfection . 	 * * * * * perfection .	2	-1	 perfection[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
see it twice . 	see it twice .	1	-1	 see[0] it[0] twice[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
