dead-bang , an action thriller starring don johnson , lives up to its dumb title , or at least to half of it . 	Translation	Positive	Negative	EmotionRationale
his investigation starts in l . a . and finally culminates and climaxes in oklahoma , where he has a violent showdown with the killers at a white supremacist camp . 	his investigation starts in l .<br> a .<br> and finally culminates and climaxes in oklahoma , where he has a violent showdown with the killers at a white supremacist camp .	1	-3	 his[0] investigation[0] starts[0] in[0] l[0] [[Sentence=-1,1=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]] and[0] finally[0] culminates[0] and[0] climaxes[0] in[0] oklahoma[0] where[0] he[0] has[0] a[0] violent[-2] showdown[0] with[0] the[0] killers[0] at[0] a[0] white[0] supremacist[-1] camp[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
virtually every aspect of dead-bang is inept and ineffective . 	virtually every aspect of dead-bang is inept and ineffective .	1	-3	 virtually[0] every[0] aspect[0] of[0] dead[-2] bang[0] is[0] inept[0] and[0] ineffective[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the plot is incoherent and full of holes . 	the plot is incoherent and full of holes .	1	-1	 the[0] plot[0] is[0] incoherent[0] and[0] full[0] of[0] holes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie depicts beck's investigation so clumsily that you never see the connections between his clues and his conclusions . 	the movie depicts beck's investigation so clumsily that you never see the connections between his clues and his conclusions .	1	-1	 the[0] movie[0] depicts[0] beck's[0] investigation[0] so[0] clumsily[0] that[0] you[0] never[0] see[0] the[0] connections[0] between[0] his[0] clues[0] and[0] his[0] conclusions[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the action sequences in dead-bang are strictly third-rate , and the movie has absolutely no momentum or suspense . 	the action sequences in dead-bang are strictly third-rate , and the movie has absolutely no momentum or suspense .	1	-3	 the[0] action[0] sequences[0] in[0] dead[-2] bang[0] are[0] strictly[-1] third[0] rate[0] and[0] the[0] movie[0] has[0] absolutely[0] no[0] momentum[0] or[0] suspense[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i certainly expected more from long-time director john frankenheimer who directed the classic political thriller , the manchurian candidate--as well as black sunday , seven days in may , and the french connection ii . 	i certainly expected more from long-time director john frankenheimer who directed the classic political thriller , the manchurian candidate-as well as black sunday , seven days in may , and the french connection i .	2	-1	 i[0] certainly[0] expected[0] more[0] from[0] long[0] time[0] director[0] john[0] frankenheimer[0] who[0] directed[0] the[0] classic[0] political[0] thriller[1] the[0] manchurian[0] candidate[0] as[0] well[0] as[0] black[0] sunday[0] seven[0] days[0] in[0] may[0] and[0] the[0] french[0] connection[0] ii/i[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in all fairness to frankenheimer , however , i should note that most of dead-bang's shortcomings seem to stem from its shabby script rather than from the direction . 	in all fairness to frankenheimer , however , i should note that most of dead-bang's shortcomings seem to stem from its shabby script rather than from the direction .	1	-3	 in[0] all[0] fairness[0] to[0] frankenheimer[0] however[0] i[0] should[0] note[0] that[0] most[0] of[0] dead[-2] bang's[0] shortcomings[-1] seem[0] to[0] stem[0] from[0] its[0] shabby[-1] script[0] rather[0] than[0] from[0] the[0] direction[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
dead-bang tries to don a mask of social relevance by incorporating themes of racism and white supremacy , but its efforts are nothing more than token gestures and nothing less than insulting . 	dead-bang tries to don a mask of social relevance by incorporating themes of racism and white supremacy , but its efforts are nothing more than token gestures and nothing less than insulting .	3	-3	 dead[-2] bang[0] tries[0] to[0] don[0] a[0] mask[0] of[0] social[0] relevance[0] by[0] incorporating[0] themes[0] of[0] racism[-1] and[0] white[0] supremacy[2] but[0] its[0] efforts[0] are[0] nothing[0] more[0] than[0] token[0] gestures[0] and[0] nothing[0] less[0] than[0] insulting[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
according to the movie's production notes , dead-bang is based on the real-life experiences of still-active detective jerry beck . 	according to the movie's production notes , dead-bang is based on the real-life experiences of still-active detective jerry beck .	1	-3	 according[0] to[0] the[0] movie's[0] production[0] notes[0] dead[-2] bang[0] is[0] based[0] on[0] the[0] real[0] life[0] experiences[0] of[0] still[0] active[0] detective[0] jerry[0] beck[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
you would never guess this from watching dead-bang , however , since the film totally lacks credibility ; it is utterly unconvincing and unbelievable . 	you would never guess this from watching dead-bang , however , since the film totally lacks credibility ; it is utterly unconvincing and unbelievable .	1	-3	 you[0] would[0] never[0] guess[0] this[0] from[0] watching[0] dead[-2] bang[0] however[0] since[0] the[0] film[0] totally[0] lacks[0] credibility[0] it[0] is[0] utterly[0] unconvincing[0] and[0] unbelievable[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
most of the characters in dead-bang are either atrociously acted , underdeveloped , superfluous , or all of the above . 	most of the characters in dead-bang are either atrociously acted , underdeveloped , superfluous , or all of the above .	1	-4	 most[0] of[0] the[0] characters[0] in[0] dead[-2] bang[0] are[0] either[0] atrociously[-3] acted[0] underdeveloped[0] superfluous[-1] or[0] all[0] of[0] the[0] above[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
william forsythe , for example , is painfully bad as arthur kressler , a wholesome by-the-book fbi agent who's offended by beck's foul language and unorthodox methods . 	william forsythe , for example , is painfully bad as arthur kressler , a wholesome by-the-book fbi agent who's offended by beck's foul language and unorthodox methods .	1	-4	 william[0] forsythe[0] for[0] example[0] is[0] painfully[-3] bad[-1] as[0] arthur[0] kressler[0] a[0] wholesome[0] by[0] the[0] book[0] fbi[0] agent[0] who's[0] offended[-2] by[0] beck's[0] foul[0] language[0] and[0] unorthodox[0] methods[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
forsythe's lame performance and corny dialogue makes his character unbearable . 	forsythe's lame performance and corny dialogue makes his character unbearable .	1	-4	 forsythe's[0] lame[-2] performance[0] and[0] corny[0] dialogue[0] makes[0] his[0] character[0] unbearable[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
dead-bang marks the motion picture debut of tim reid ( " wkrp in cincinnati " and " frank's place " ) , but his talents are completely wasted in a cliched and contrived role ; he plays the chief officer of a squadron of black cops who help beck to nail the villains . 	dead-bang marks the motion picture debut of tim reid ( " wkrp in cincinnati " and " frank's place " ) , but his talents are completely wasted in a cliched and contrived role ; he plays the chief officer of a squadron of black cops who help beck to nail the villains .	2	-3	 dead[-2] bang[0] marks[0] the[0] motion[0] picture[0] debut[0] of[0] tim[0] reid[0] wkrp[0] in[0] cincinnati[0] and[0] frank's[0] place[0] but[0] his[0] talents[1] are[0] completely[0] wasted[-1][-1 LastWordBoosterStrength] in[0] a[0] cliched[0] and[0] contrived[0] role[0] he[0] plays[1] the[0] chief[0] officer[0] of[0] a[0] squadron[0] of[0] black[0] cops[0] who[0] help[0] beck[0] to[0] nail[0] the[0] villains[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the sole function of penelope ann miller's character is to give dead-bang an excuse to include a gratuitous love scene between characters about whom you could not care less . 	the sole function of penelope an miller's character is to give dead-bang an excuse to include a gratuitous love scene between characters about whom you could not care less .	3	-3	 the[0] sole[0] function[0] of[0] penelope[0] ann/an[0] miller's[0] character[0] is[0] to[0] give[0] dead[-2] bang[0] an[0] excuse[0] to[0] include[0] a[0] gratuitous[-1] love[2] scene[0] between[0] characters[0] about[0] whom[0] you[0] could[0] not[0] care[1][NegatedDueToPreviousWord] less[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
i guess the film's title refers to this love scene since it's definitely a dead bang . 	i guess the film's title refers to this love scene since it's definitely a dead bang .	3	-3	 i[0] guess[0] the[0] film's[0] title[0] refers[0] to[0] this[0] love[2] scene[0] since[0] it's[0] definitely[0] a[0] dead[-2] bang[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the only real virtue of dead-bang , believe it or not , is don johnson , who tries to overcome the limitations of the movie's pitiful script . 	the only real virtue of dead-bang , believe it or not , is don johnson , who tries to overcome the limitations of the movie's pitiful script .	3	-3	 the[0] only[0] real[0] virtue[2] of[0] dead[-2] bang[0] believe[0] it[0] or[0] not[0] is[0] don[0] johnson[0] who[0] tries[0] to[0] overcome[0] the[0] limitations[0] of[0] the[0] movie's[0] pitiful[-2] script[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
johnson succeeds in giving his character a sarcastic sense of humor and a hint of depth , and his pessimistic wisecracks occasionally bring the film to life . 	johnson succeeds in giving his character a sarcastic sense of humor and a hint of depth , and his pessimistic wisecracks occasionally bring the film to life .	3	-3	 johnson[0] succeeds[2] in[0] giving[0] his[0] character[0] a[0] sarcastic[-2] sense[0] of[0] humor[2] and[0] a[0] hint[0] of[0] depth[0] and[0] his[0] pessimistic[-2] wisecracks[0] occasionally[0] bring[0] the[0] film[0] to[0] life[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
and i must admit that dead-bang does have one or two amusing moments . 	and i must admit that dead-bang does have one or two amusing moments .	2	-3	 and[0] i[0] must[0] admit[0] that[0] dead[-2] bang[0] does[0] have[0] one[0] or[0] two[0] amusing[1] moments[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the funniest scene has johnson throwing-up all over a criminal as he interrogates him . 	the funniest scene has johnson throwing-up all over a criminal as he interrogates him .	2	-2	 the[0] funniest[1] scene[0] has[0] johnson[0] throwing[0] up[0] all[0] over[0] a[0] criminal[-1] as[0] he[0] interrogates[0] him[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but when barf is the highlight of a movie , you know the movie's in trouble . 	but when barf is the highlight of a movie , you know the movie's in trouble .	1	-2	 but[0] when[0] barf[-1] is[0] the[0] highlight[0] of[0] a[0] movie[0] you[0] know[0] the[0] movie's[0] in[0] trouble[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the other amusing scene involves a psychological examination of beck , in which he can't keep a straight face because the psychiatrist resembles woody allen . 	the other amusing scene involves a psychological examination of beck , in which he can't keep a straight face because the psychiatrist resembles woody allen .	2	-1	 the[0] other[0] amusing[1] scene[0] involves[0] a[0] psychological[0] examination[0] of[0] beck[0] in[0] which[0] he[0] can't[0] keep[0] a[0] straight[0] face[0] because[0] the[0] psychiatrist[0] resembles[0] woody[0] allen[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but two funny scenes and a couple good wisecracks do not a movie make . 	but two funny scenes and a couple good wisecracks do not a movie make .	2	-1	 but[0] two[0] funny[1] scenes[0] and[0] a[0] couple[0] good[1] wisecracks[0] do[0] not[0] a[0] movie[0] make[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
