pre-review note : seeing as the only concern of body shots is " sex " , i will be forced to refer to that particular act innumerable times throughout the duration of this review . 	Translation	Positive	Negative	EmotionRationale
michael cristoffer ( who directed gia , another film that treated bumping uglies as if it where evil ) is a moralist with nothing new to say . 	michael cristoffer ( who directed gia , another film that treated bumping uglies as if it where evil ) is a moralist with nothing new to say .	1	-3	 michael[0] cristoffer[0] who[0] directed[0] gia[0] another[0] film[0] that[0] treated[0] bumping[0] uglies[-2] as[0] if[0] it[0] where[0] evil[-2] is[0] a[0] moralist[0] with[0] nothing[0] new[0] to[0] say[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
his characters don't communicate anything of interest to each other , so cristoffer gives them an opportunity to let out their inner thoughts by speaking directly into the camera . 	his characters don't communicate anything of interest to each other , so cristoffer gives them an opportunity to let out their inner thoughts by speaking directly into the camera .	2	-1	 his[0] characters[0] don't[0] communicate[0] anything[0] of[0] interest[1] to[0] each[0] other[0] so[0] cristoffer[0] gives[0] them[0] an[0] opportunity[0] to[0] let[0] out[0] their[0] inner[0] thoughts[0] by[0] speaking[0] directly[0] into[0] the[0] camera[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
they voice simplistic platitudes like " i like to come " or " sex without love equals violence " . 	they voice simplistic platitudes like " i like to come " or " sex without love equals violence " .	3	-4	 they[0] voice[0] simplistic[-1] platitudes[0] like[1] i[0] like[1] to[0] come[0] or[0] sex[0] without[0] love[2] equals[0] violence[-3] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
huh ? 	huh ?	1	-1	 huh[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and yes that is as complex as this movie's observations get . 	and yes that is as complex as this movie's observations get .	1	-1	 and[0] yes[0] that[0] is[0] as[0] complex[0] as[0] this[0] movie's[0] observations[0] get[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the characters are stupid and shallow , with not one registering as anything more . 	the characters are stupid and shallow , with not one registering as anything more .	1	-2	 the[0] characters[0] are[0] stupid[-1] and[0] shallow[-1] with[0] not[0] one[0] registering[0] as[0] anything[0] more[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the plot concerns vapid over sexed twentysomethings on an all night hunt for carnal pleasure , then the after math ( the morning after ) of such events . 	the plot concerns vapid over sexed twentysomethings on an all night hunt for carnal pleasure , then the after math ( the morning after ) of such events .	3	-2	 the[0] plot[0] concerns[-1] vapid[0] over[0] sexed[0] twentysomethings[0] on[0] an[0] all[0] night[0] hunt[0] for[0] carnal[0] pleasure[2] then[0] the[0] after[0] math[0] the[0] morning[0] after[0] of[0] such[0] events[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
we meet the characters as they speak directly to us , confiding in us with their idiotic ruminations on intimacy . 	we meet the characters as they speak directly to us , confiding in us with their idiotic ruminations on intimacy .	1	-3	 we[0] meet[0] the[0] characters[0] as[0] they[0] speak[0] directly[0] to[0] us[0] confiding[0] in[0] us[0] with[0] their[0] idiotic[-2] ruminations[0] on[0] intimacy[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i would normally go into the characters and the actors who play them , giving you the pros and cons , but for this film i cannot . 	i would normally go into the characters and the actors who play them , giving you the pros and cons , but for this film i cannot .	1	-1	 i[0] would[0] normally[0] go[0] into[0] the[0] characters[0] and[0] the[0] actors[0] who[0] play[0] them[0] giving[0] you[0] the[0] pros[0] and[0] cons[0] but[0] for[0] this[0] film[0] i[0] cannot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i'm not trying to be clever or witty , but i honestly hardly remember anything that would set them apart from the others . 	i'm not trying to be clever or witty , but i honestly hardly remember anything that would set them apart from the others .	1	-1	 i'm[0] not[0] trying[0] to[0] be[0] clever[0] or[0] witty[0] but[0] i[0] honestly[0] hardly[0] remember[0] anything[0] that[0] would[0] set[0] them[0] apart[0] from[0] the[0] others[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with the exception of trent ( played by ron livingston as a bargain basement patrick bateman ) , the rest fade into each other-- a patchwork of fake breasts , defined abs , pearly white teeth , and creamy , flawless skin . 	with the exception of trent ( played by ron livingston as a bargain basement patrick bateman ) , the rest fade into each other- a patchwork of fake breasts , defined abs , pearly white teeth , and creamy , flawless skin .	2	-2	 with[0] the[0] exception[0] of[0] trent[0] played[0] by[0] ron[0] livingston[0] as[0] a[0] bargain[0] basement[0] patrick[0] bateman[0] the[0] rest[0] fade[0] into[0] each[0] other[0] a[0] patchwork[0] of[0] fake[-1] breasts[0] defined[0] abs[0] pearly[0] white[0] teeth[0] and[0] creamy[0] flawless[1] skin[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i vaguely recall brad rowe as the sensitive one , only because his character gets the worst lines ( " sex without love equals violence " ) . 	i vaguely recall brad rowe as the sensitive one , only because his character gets the worst lines ( " sex without love equals violence " ) .	3	-4	 i[0] vaguely[-1] recall[0] brad[0] rowe[0] as[0] the[0] sensitive[0] one[0] only[0] because[0] his[0] character[0] gets[0] the[0] worst[-2] lines[0] sex[0] without[0] love[2] equals[0] violence[-3] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
in between all the confessionals , cristoffer films everything like a headache commercial , with blurry slo mos and dramatic head turning . 	in between all the confessionals , cristoffer films everything like a headache commercial , with blurry slo mos and dramatic head turning .	2	-2	 in[0] between[0] all[0] the[0] confessionals[-1] cristoffer[0] films[0] everything[0] like[1] a[0] headache[-1] commercial[0] with[0] blurry[-1] slo[0] mos[0] and[0] dramatic[0] head[0] turning[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the fact that this director at one point won a pulitzer prize completely baffles me . 	the fact that this director at one point won a pulitzer prize completely baffles me .	3	-3	 the[0] fact[0] that[0] this[0] director[0] at[0] one[0] point[0] won[0] a[0] pulitzer[0] prize[2] completely[0] baffles[-1][-1 LastWordBoosterStrength] me[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
this film is made without one iota of intelligence or insight into the generation that its tag line claims to be defining . 	this film is made without one iota of intelligence or insight into the generation that its tag line claims to be defining .	1	-1	 this[0] film[0] is[0] made[0] without[0] one[0] iota[0] of[0] intelligence[0] or[0] insight[0] into[0] the[0] generation[0] that[0] its[0] tag[0] line[0] claims[0] to[0] be[0] defining[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if body shots is meant to say that all twentysometyhings are idiotic and f * * k-obsessed , fine , i don't have any problem with a film that tries to persuade me to think a certain way , but cristoffer only gives us one side . 	if body shots is meant to say that all twentysometyhings are idiotic and f * * k-obsessed , fine , i don't have any problem with a film that tries to persuade me to think a certain way , but cristoffer only gives us one side .	3	-3	 if[0] body[0] shots[0] is[0] meant[0] to[0] say[0] that[0] all[0] twentysometyhings[0] are[0] idiotic[-2] and[0] f[0] k[0] obsessed[-2] fine[2] i[0] don't[0] have[0] any[0] problem[-1] with[0] a[0] film[0] that[0] tries[0] to[0] persuade[0] me[0] to[0] think[0] a[0] certain[0] way[0] but[0] cristoffer[0] only[0] gives[0] us[0] one[0] side[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
additionally that one side isn't even entertaining ; the characters indulge in buggery without an ounce of sexiness . 	additionally that one side isn't even entertaining ; the characters indulge in buggery without an ounce of sexiness .	1	-2	 additionally[0] that[0] one[0] side[0] isn't[0] even[0] entertaining[0] the[0] characters[0] indulge[-1] in[0] buggery[0] without[0] an[0] ounce[0] of[0] sexiness[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
or realism . 	or realism .	1	-1	 or[0] realism[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one sexual encounter takes place outside a club on a chain link fence between the two most sensitive characters . 	one sexual encounter takes place outside a club on a chain link fence between the two most sensitive characters .	1	-1	 one[0] sexual[0] encounter[0] takes[0] place[0] outside[0] a[0] club[0] on[0] a[0] chain[0] link[0] fence[0] between[0] the[0] two[0] most[0] sensitive[0] characters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they suddenly have vigorous intercourse with each other for no apparent reason ( other than that they both happen to be standing next to each other ? ? ? alas , if it could only be that easy ? ? ? kidding of course ) , then , not only isn't it erotic , it isn't real . 	they suddenly have vigorous intercourse with each other for no apparent reason ( other than that they both happen to be standing next to each other ?<br> ?<br> ?<br> alas , if it could only be that easy ?<br> ?<br> ?<br> kidding of course ) , then , not only isn't it erotic , it isn't real .	1	-2	 they[0] suddenly[0] have[0] vigorous[0] intercourse[0] with[0] each[0] other[0] for[0] no[0] apparent[0] reason[0] other[0] than[0] that[0] they[0] both[0] happen[0] to[0] be[0] standing[0] next[0] to[0] each[0] other[0] [[Sentence=-1,1=word max, 1-5]] alas[-1] if[0] it[0] could[0] only[0] be[0] that[0] easy[0] [[Sentence=-2,1=word max, 1-5]] kidding[0] of[0] course[0] then[0] not[0] only[0] isn't[0] it[0] erotic[0] it[0] isn't[0] real[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
it doesn't feel like an authentic sexual encounter . 	it doesn't feel like an authentic sexual encounter .	2	-1	 it[0] doesn't[0] feel[0] like[1] an[0] authentic[0] sexual[0] encounter[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
every f * * k scene in this film ( and there are many ) is treated in the same unsexy manner . 	every f * * k scene in this film ( and there are many ) is treated in the same unsexy manner .	1	-1	 every[0] f[0] k[0] scene[0] in[0] this[0] film[0] and[0] there[0] are[0] many[0] is[0] treated[0] in[0] the[0] same[0] unsexy[0] manner[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
body shots makes fornication dirtier than the most scummy porno film . 	body shots makes fornication dirtier than the most scummy porno film .	1	-2	 body[0] shots[0] makes[0] fornication[0] dirtier[0] than[0] the[0] most[0] scummy[-1] porno[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it shows us none of the pleasure that should go along with it , and most of all , it fails to show us why its characters love making it so much if they seem to hate the act of actually doing it . 	it shows us none of the pleasure that should go along with it , and most of all , it fails to show us why its characters love making it so much if they seem to hate the act of actually doing it .	3	-4	 it[0] shows[0] us[0] none[0] of[0] the[0] pleasure[2] that[0] should[0] go[0] along[0] with[0] it[0] and[0] most[0] of[0] all[0] it[0] fails[-2] to[0] show[0] us[0] why[0] its[0] characters[0] love[2] making[0] it[0] so[0] much[0] if[0] they[0] seem[0] to[0] hate[-3] the[0] act[0] of[0] actually[0] doing[0] it[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the resulting search for nookie ( and you can take that cookie ? ? ? ) over one night leaves us with several tedious plot lines to follow . 	the resulting search for nookie ( and you can take that cookie ?<br> ?<br> ?<br> ) over one night leaves us with several tedious plot lines to follow .	1	-3	 the[0] resulting[0] search[0] for[0] nookie[0] and[0] you[0] can[0] take[0] that[0] cookie[0] [[Sentence=-1,1=word max, 1-5]] over[0] one[0] night[0] leaves[0] us[0] with[0] several[0] tedious[-2] plot[0] lines[0] to[0] follow[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the main concern is much ado over a rape that may or may not have occurred . 	the main concern is much ado over a rape that may or may not have occurred .	1	-4	 the[0] main[0] concern[-1] is[0] much[0] ado[0] over[0] a[0] rape[-3] that[0] may[0] or[0] may[0] not[0] have[0] occurred[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the film shows us two separate versions of the possible rape ( one where it is consensual the other where it is not ) and in both versions the young actress playing the possible victim gets her shirt torn off . 	the film shows us two separate versions of the possible rape ( one where it is consensual the other where it is not ) and in both versions the young actress playing the possible victim gets her shirt torn off .	2	-4	 the[0] film[0] shows[0] us[0] two[0] separate[0] versions[0] of[0] the[0] possible[0] rape[-3] one[0] where[0] it[0] is[0] consensual[0] the[0] other[0] where[0] it[0] is[0] not[0] and[0] in[0] both[0] versions[0] the[0] young[0] actress[0] playing[1] the[0] possible[0] victim[-2] gets[0] her[0] shirt[0] torn[0] off[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
this is a topic that could be interestingly explored if done intelligently , and if memory serves me i can't think of one film that has done so , and yes i saw the accused which may be one of the most overrated movies of the 80's next to wall street . 	this is a topic that could be interestingly explored if done intelligently , and if memory serves me i can't think of one film that has done so , and yes i saw the accused which may be one of the most overrated movies of the 80's next to wall street .	2	-2	 this[0] is[0] a[0] topic[0] that[0] could[0] be[0] interestingly[1] explored[0] if[0] done[0] intelligently[1] and[0] if[0] memory[0] serves[0] me[0] i[0] can't[0] think[0] of[0] one[0] film[0] that[0] has[0] done[0] so[0] and[0] yes[0] i[0] saw[0] the[0] accused[-1] which[0] may[0] be[0] one[0] of[0] the[0] most[0] overrated[0] movies[0] of[0] the[0] 80's[0] next[0] to[0] wall[0] street[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
unfortunately nobody gives us reason to care , not the writer , the director or the actors nearly all of whom seem to have wandered off the set of a noxious 90210 spin off . 	unfortunately nobody gives us reason to care , not the writer , the director or the actors nearly all of whom seem to have wandered off the set of a noxious 90210 spin off .	2	-3	 unfortunately[-1] nobody[0] gives[0] us[0] reason[0] to[0] care[1] not[0] the[0] writer[0] the[0] director[0] or[0] the[0] actors[0] nearly[0] all[0] of[0] whom[0] seem[0] to[0] have[0] wandered[0] off[0] the[0] set[0] of[0] a[0] noxious[-2] 90210[0] spin[0] off[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
paul thomas anderson approached boogie nights in a manner similar to what cristoffer does here , though boogie nights succeeded . 	paul thomas anderson approached boogie nights in a manner similar to what cristoffer does here , though boogie nights succeeded .	3	-1	 paul[0] thomas[0] anderson[0] approached[0] boogie[0] nights[0] in[0] a[0] manner[0] similar[0] to[0] what[0] cristoffer[0] does[0] here[0] though[0] boogie[0] nights[0] succeeded[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it was similarly moralistic , but it gave us two different viewpoints ; it showed us how the lifestyle of porn enticed its characters , and it showed us the possible fall-out of such a decision . 	it was similarly moralistic , but it gave us two different viewpoints ; it showed us how the lifestyle of porn enticed its characters , and it showed us the possible fall-out of such a decision .	1	-1	 it[0] was[0] similarly[0] moralistic[0] but[0] it[0] gave[0] us[0] two[0] different[0] viewpoints[0] it[0] showed[0] us[0] how[0] the[0] lifestyle[0] of[0] porn[0] enticed[0] its[0] characters[0] and[0] it[0] showed[0] us[0] the[0] possible[0] fall[0] out[0] of[0] such[0] a[0] decision[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the characters in boogie nights were as idiotic as the characters are here , but anderson seemed to care about them . 	the characters in boogie nights were as idiotic as the characters are here , but anderson seemed to care about them .	2	-3	 the[0] characters[0] in[0] boogie[0] nights[0] were[0] as[0] idiotic[-2] as[0] the[0] characters[0] are[0] here[0] but[0] anderson[0] seemed[0] to[0] care[1] about[0] them[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
he gave them heart . 	he gave them heart .	1	-1	 he[0] gave[0] them[0] heart[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
cristoffer gives them nothing but raging hormones . 	cristoffer gives them nothing but raging hormones .	1	-4	 cristoffer[0] gives[0] them[0] nothing[0] but[0] raging[-3] hormones[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he preaches to us , by using his characters to preach to us . 	he preaches to us , by using his characters to preach to us .	1	-1	 he[0] preaches[0] to[0] us[0] by[0] using[0] his[0] characters[0] to[0] preach[0] to[0] us[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is not the way to get any message across . 	this is not the way to get any message across .	1	-1	 this[0] is[0] not[0] the[0] way[0] to[0] get[0] any[0] message[0] across[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
why not just direct a public service announcement on the perils of hittin' skins ? 	why not just direct a public service announcement on the perils of hittin' skins ?	1	-2	 why[0] not[0] just[0] direct[0] a[0] public[0] service[0] announcement[0] on[0] the[0] perils[-1] of[0] hittin'[0] skins[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
cristofer kind of does that , though without an ounce of insight , and with a helping of leering exploitation . 	cristofer kind of does that , though without an ounce of insight , and with a helping of leering exploitation .	2	-1	 cristofer[0] kind[1] of[0] does[0] that[0] though[0] without[0] an[0] ounce[0] of[0] insight[0] and[0] with[0] a[0] helping[0] of[0] leering[0] exploitation[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
