`bats' is an insulting slap across the face for any dedicated horror movie fan . 	Translation	Positive	Negative	EmotionRationale
the film , directed by louis morneau , should have ventured straight into video stores . 	the film , directed by louis morneau , should have ventured straight into video stores .	1	-1	 the[0] film[0] directed[0] by[0] louis[0] morneau[0] should[0] have[0] ventured[0] straight[0] into[0] video[0] stores[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
on the small screen , perhaps more fun could have been derived with lower expectations . 	on the small screen , perhaps more fun could have been derived with lower expectations .	2	-1	 on[0] the[0] small[0] screen[0] perhaps[0] more[0] fun[1] could[0] have[0] been[0] derived[0] with[0] lower[0] expectations[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but sitting through this crapper on the big screen is almost awkward ; although at a few moments it becomes a guilty pleasure , the film is poorly written , poorly acted and executed with glaring ineptitude . 	but sitting through this crapper on the big screen is almost awkward ; although at a few moments it becomes a guilty pleasure , the film is poorly written , poorly acted and executed with glaring ineptitude .	3	-4	 but[0] sitting[0] through[0] this[0] crapper[0] on[0] the[0] big[0] screen[0] is[0] almost[0] awkward[-1] although[0] at[0] a[0] few[0] moments[0] it[0] becomes[0] a[0] guilty[-3] pleasure[2] the[0] film[0] is[0] poorly[-1] written[0] poorly[-1] acted[0] and[0] executed[-1] with[0] glaring[0] ineptitude[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
even the bats themselves are cheesy , and the attack sequences too rushed and jittery to be properly enjoyed . 	even the bats themselves are cheesy , and the attack sequences too rushed and jittery to be properly enjoyed .	3	-3	 even[0] the[0] bats[0] themselves[0] are[0] cheesy[0] and[0] the[0] attack[-2] sequences[0] too[0] rushed[0] and[0] jittery[-1] to[0] be[0] properly[0] enjoyed[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the sheriff in the story is emmett kimsey ( lou diamond phillips ) , who embodies every pathetic stereotype a small-town authority figure usually portrays ( he chomps on a cigar , struts contentedly in his boots , etc . . . ) . 	the sheriff in the story is emmett kimsey ( lou diamond phillips ) , who embodies every pathetic stereotype a small-town authority figure usually portrays ( he chomps on a cigar , struts contentedly in his boots , etc .<br> .<br> .<br> ) .	2	-3	 the[0] sheriff[0] in[0] the[0] story[0] is[0] emmett[0] kimsey[0] lou[0] diamond[0] phillips[0] who[0] embodies[0] every[0] pathetic[-2] stereotype[0] a[0] small[0] town[0] authority[0] figure[0] usually[0] portrays[0] he[0] chomps[0] on[0] a[0] cigar[0] struts[0] contentedly[1] in[0] his[0] boots[0] etc[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the scientist is dr . sheila casper ( dina meyer ) , who specializes in flying mammals and is classified as  the best in her field' . 	the scientist is dr .<br> sheila casper ( dina meyer ) , who specializes in flying mammals and is classified as  the best in her field' .	2	-1	 the[0] scientist[0] is[0] dr[0] [[Sentence=-1,1=word max, 1-5]] sheila[0] casper[0] dina[0] meyer[0] who[0] specializes[1] in[0] flying[0] mammals[0] and[0] is[0] classified[0] as[0] the[0] best[1] in[0] her[0] field'[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
meyer uses a lot of technical terms designed to make the movie seem more intellectually capable , but everything about dr . casper is recycled beyond recognition . 	meyer uses a lot of technical terms designed to make the movie seem more intellectually capable , but everything about dr .<br> casper is recycled beyond recognition .	1	-1	 meyer[0] uses[0] a[0] lot[0] of[0] technical[0] terms[0] designed[0] to[0] make[0] the[0] movie[0] seem[0] more[0] intellectually[0] capable[0] but[0] everything[0] about[0] dr[0] [[Sentence=-1,1=word max, 1-5]] casper[0] is[0] recycled[0] beyond[0] recognition[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
her memories of how she became hooked on the topic of bats sounds suspiciously like oceanographic student matt hooper's tale of how he became infatuated with sharks in  jaws' . 	her memories of how she became hooked on the topic of bats sounds suspiciously like oceanographic student matt hooper's tale of how he became infatuated with sharks in  jaws' .	2	-2	 her[0] memories[0] of[0] how[0] she[0] became[0] hooked[0] on[0] the[0] topic[0] of[0] bats[0] sounds[0] suspiciously[-1] like[1] oceanographic[0] student[0] matt[0] hooper's[0] tale[0] of[0] how[0] he[0] became[0] infatuated[0] with[0] sharks[0] in[0] jaws'[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
everything revolving around  bats' is tired drivel , which desperately requires some directorial style or acting capabilities to spruce it up . 	everything revolving around  bats' is tired drivel , which desperately requires some directorial style or acting capabilities to spruce it up .	1	-3	 everything[0] revolving[0] around[0] bats'[0] is[0] tired[-1] drivel[-1] which[0] desperately[-2] requires[0] some[0] directorial[0] style[0] or[0] acting[0] capabilities[0] to[0] spruce[0] it[0] up[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the supporting cast could have been constructed out of straw , with voices dubbed in later . 	the supporting cast could have been constructed out of straw , with voices dubbed in later .	2	-1	 the[0] supporting[1] cast[0] could[0] have[0] been[0] constructed[0] out[0] of[0] straw[0] with[0] voices[0] dubbed[0] in[0] later[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in fact , that may have worked out better in the end . 	in fact , that may have worked out better in the end .	1	-1	 in[0] fact[0] that[0] may[0] have[0] worked[0] out[0] better[0] in[0] the[0] end[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
take one glance at casper's bat-loathing sidekick jimmy ( leon ) , and you'll have immediate deja vu - he's the exact same humorous buddy caricature from every other movie , constructed specifically for timed comic relief . 	take one glance at casper's bat-loathing sidekick jimmy ( leon ) , and you'll have immediate deja vu - he's the exact same humorous buddy caricature from every other movie , constructed specifically for timed comic relief .	3	-1	 take[0] one[0] glance[0] at[0] casper's[0] bat[0] loathing[0] sidekick[0] jimmy[0] leon[0] and[0] you'll[0] have[0] immediate[0] deja[0] vu[0] he's[0] the[0] exact[0] same[0] humorous[2] buddy[0] caricature[0] from[0] every[0] other[0] movie[0] constructed[0] specifically[0] for[0] timed[0] comic[0] relief[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
unfortunately , none of his comic interludes are funny . 	unfortunately , none of his comic interludes are funny .	2	-2	 unfortunately[-1] none[0] of[0] his[0] comic[0] interludes[0] are[0] funny[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in the role of deranged mad scientist dr . mccabe , the reliable bob gunton gets cornered with the most hideously idiotic character in the bunch . 	in the role of deranged mad scientist dr .<br> mccabe , the reliable bob gunton gets cornered with the most hideously idiotic character in the bunch .	1	-3	 in[0] the[0] role[0] of[0] deranged[0] mad[-1] scientist[0] dr[0] [[Sentence=-2,1=word max, 1-5]] mccabe[0] the[0] reliable[0] bob[0] gunton[-1] gets[0] cornered[0] with[0] the[0] most[0] hideously[0] idiotic[-2] character[0] in[0] the[0] bunch[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
mccabe  accidentally' released two experimental test subjects , and the virus spread to other bats . 	mccabe  accidentally' released two experimental test subjects , and the virus spread to other bats .	1	-2	 mccabe[0] accidentally'[-1] released[0] two[0] experimental[0] test[0] subjects[0] and[0] the[0] virus[0] spread[0] to[0] other[0] bats[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the entire town of gallup , texas is under attack from an enormous swarm of the creatures , but gunton appears to be inconspicuously contemplating something else . 	the entire town of gallup , texas is under attack from an enormous swarm of the creatures , but gunton appears to be inconspicuously contemplating something else .	1	-3	 the[0] entire[0] town[0] of[0] gallup[0] texas[0] is[0] under[0] attack[-2] from[0] an[0] enormous[0] swarm[0] of[0] the[0] creatures[0] but[0] gunton[-1] appears[0] to[0] be[0] inconspicuously[0] contemplating[0] something[0] else[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
something like :  when is the damn movie going to be over ? ? 	something like :  when is the damn movie going to be over ?<br> ?	2	-2	 something[0] like[1] when[0] is[0] the[0] damn[-1] movie[0] going[0] to[0] be[0] over[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i just want my money . ' 	i just want my money .<br> '	1	-1	 i[0] just[0] want[0] my[0] money[0] [[Sentence=-1,1=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the bats are ugly , i must say . 	the bats are ugly , i must say .	1	-3	 the[0] bats[0] are[0] ugly[-2] i[0] must[0] say[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there's the occasional moment where they look moderately convincing , but mainly , the swarm is represented in cheesy digital imagery . 	there's the occasional moment where they look moderately convincing , but mainly , the swarm is represented in cheesy digital imagery .	1	-1	 there's[0] the[0] occasional[0] moment[0] where[0] they[0] look[0] moderately[0] convincing[0] but[0] mainly[0] the[0] swarm[0] is[0] represented[0] in[0] cheesy[0] digital[0] imagery[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
only bits of the bloody action even hint at the campy fun the film could have been , but by the absurdly stupid climax , it's way too late in the game for a decent recovery . 	only bits of the bloody action even hint at the campy fun the film could have been , but by the absurdly stupid climax , it's way too late in the game for a decent recovery .	2	-2	 only[0] bits[0] of[0] the[0] bloody[-1] action[0] even[0] hint[0] at[0] the[0] campy[0] fun[1] the[0] film[0] could[0] have[0] been[0] but[0] by[0] the[0] absurdly[-1] stupid[-1] climax[0] it's[0] way[0] too[0] late[0] in[0] the[0] game[0] for[0] a[0] decent[0] recovery[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
characters experiment in slaughtering the bats with gunfire . 	characters experiment in slaughtering the bats with gunfire .	1	-2	 characters[0] experiment[0] in[0] slaughtering[-1] the[0] bats[0] with[0] gunfire[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
let's explore the logic there : is this really a very efficient way to decrease the bat population ? ? 	let's explore the logic there : is this really a very efficient way to decrease the bat population ?<br> ?	1	-2	 let's[0] explore[0] the[0] logic[0] there[0] is[0] this[0] really[0] a[0] very[0] efficient[0] way[0] to[0] decrease[-1] the[0] bat[0] population[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
you could empty an entire clip at the flying winged serpents and not even wound one , and after that there are only 18 , 000 more of them . 	you could empty an entire clip at the flying winged serpents and not even wound one , and after that there are only 18 , 00 more of them .	2	-1	 you[0] could[0] empty[0] an[0] entire[0] clip[0] at[0] the[0] flying[0] winged[0] serpents[0] and[0] not[0] even[0] wound[-1][NegatedDueToPreviousWord] one[0] and[0] after[0] that[0] there[0] are[0] only[0] 18[0] 000/00[0] more[0] of[0] them[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this kind of behavior represents the regular level of intelligence behind  bats' . 	this kind of behavior represents the regular level of intelligence behind  bats' .	2	-1	 this[0] kind[1] of[0] behavior[0] represents[0] the[0] regular[0] level[0] of[0] intelligence[0] behind[0] bats'[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
