it was once said that in order to truly enjoy some of todays movies or novels , you must suspend disbelief .  	Translation	Positive	Negative	EmotionRationale
but of course tom is more than willing to save the day , so he takes the money and hides it elsewhere in town . 	but of course tom is more than willing to save the day , so he takes the money and hides it elsewhere in town .	2	-1	 but[0] of[0] course[0] tom[0] is[0] more[0] than[0] willing[0] to[0] save[1] the[0] day[0] so[0] he[0] takes[0] the[0] money[0] and[0] hides[0] it[0] elsewhere[0] in[0] town[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the local sheriff ( randy quaid , whom most will remember as the drunken pilot in id4 ) and a couple of police men investigate the situation , but their morals are soon overpowered by greediness as each character contemplates what he/she would do with their share of the three million dollars . 	the local sheriff ( randy quaid , whom most will remember as the drunken pilot in id4 ) and a couple of police men investigate the situation , but their morals are soon overpowered by greediness as each character contemplates what he/she would do with their share of the three million dollars .	1	-3	 the[0] local[0] sheriff[0] randy[0] quaid[0] whom[0] most[0] will[0] remember[0] as[0] the[0] drunken[-1] pilot[0] in[0] id4[0] and[0] a[0] couple[0] of[0] police[0] men[0] investigate[0] the[0] situation[0] but[0] their[0] morals[0] are[0] soon[0] overpowered[-1] by[0] greediness[-2] as[0] each[0] character[0] contemplates[0] what[0] he/she[0] would[0] do[0] with[0] their[0] share[0] of[0] the[0] three[0] million[0] dollars[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
director mikael salomon has made sure that hard rain ends up turning everything topsy-turvy , and whilst the film may at first appear to be a definite  goodies versus baddies ,   there are numerous twists in it s plot that make this a slightly more enjoyable experience . 	director mikael salomon has made sure that hard rain ends up turning everything topsy-turvy , and whilst the film may at first appear to be a definite  goodies versus baddies ,   there are numerous twists in it s plot that make this a slightly more enjoyable experience .	3	-1	 director[0] mikael[0] salomon[0] has[0] made[0] sure[0] that[0] hard[0] rain[0] ends[0] up[0] turning[0] everything[0] topsy[0] turvy[0] and[0] whilst[0] the[0] film[0] may[0] at[0] first[0] appear[0] to[0] be[0] a[0] definite[0] goodies[0] versus[0] baddies[0] there[0] are[0] numerous[0] twists[0] in[0] it[0] s[0] plot[0] that[0] make[0] this[0] a[0] slightly[0] more[0] enjoyable[2] experience[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but by the time these interesting changes occur , it s far too late in the film for them to have much affect . 	but by the time these interesting changes occur , it s far too late in the film for them to have much affect .	2	-1	 but[0] by[0] the[0] time[0] these[0] interesting[1] changes[0] occur[0] it[0] s[0] far[0] too[0] late[0] in[0] the[0] film[0] for[0] them[0] to[0] have[0] much[0] affect[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
hard rain s continuos corniness and lack of originality washes out whatever hope the script may have had ; and although it s cast is somewhat appealing most of its stars act well below par . 	hard rain s continuos corniness and lack of originality washes out whatever hope the script may have had ; and although it s cast is somewhat appealing most of its stars act well below par .	3	-2	 hard[0] rain[0] s[0] continuos[0] corniness[0] and[0] lack[-1] of[0] originality[0] washes[0] out[0] whatever[0] hope[2] the[0] script[0] may[0] have[0] had[0] and[0] although[0] it[0] s[0] cast[0] is[0] somewhat[0] appealing[0] most[0] of[0] its[0] stars[0] act[0] well[0] below[0] par[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
not at one stage capturing what could have been a fabulous on screen battle between slater and freeman , we are left to reminisce on films that dared to do something different and achieved more than what was expected . 	not at one stage capturing what could have been a fabulous on screen battle between slater and freeman , we are left to reminisce on films that dared to do something different and achieved more than what was expected .	3	-2	 not[0] at[0] one[0] stage[0] capturing[0] what[0] could[0] have[0] been[0] a[0] fabulous[2] on[0] screen[0] battle[-1] between[0] slater[0] and[0] freeman[0] we[0] are[0] left[0] to[0] reminisce[0] on[0] films[0] that[0] dared[0] to[0] do[0] something[0] different[0] and[0] achieved[0] more[0] than[0] what[0] was[0] expected[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
such titles as broken arrow ( slater and john travolta ) and face/off ( nicholas cage and john travolta ) come to mind as films that have mastered silver screen confrontations . 	such titles as broken arrow ( slater and john travolta ) and face/off ( nicholas cage and john travolta ) come to mind as films that have mastered silver screen confrontations .	1	-3	 such[0] titles[0] as[0] broken[-1] arrow[0] slater[0] and[0] john[0] travolta[0] and[0] face/off[0] nicholas[0] cage[0] and[0] john[0] travolta[0] come[0] to[0] mind[0] as[0] films[0] that[0] have[0] mastered[0] silver[0] screen[0] confrontations[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
strangely enough , they were both directed by john woo and both star john travolta . 	strangely enough , they were both directed by john woo and both star john travolta .	1	-1	 strangely[0] enough[0] they[0] were[0] both[0] directed[0] by[0] john[0] woo[0] and[0] both[0] star[0] john[0] travolta[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we can forgive morgan freeman for giving a slightly disappointing performance since he is newish to the action genre , but christian slater could have achieved so much more had the amount of crummy one liners been reduced and some personality added to his character . 	we can forgive morgan freeman for giving a slightly disappointing performance since he is newish to the action genre , but christian slater could have achieved so much more had the amount of crummy one liners been reduced and some personality added to his character .	2	-1	 we[0] can[0] forgive[1] morgan[0] freeman[0] for[0] giving[0] a[0] slightly[0] disappointing[-1][--1 LastWordBoosterStrength] performance[0] since[0] he[0] is[0] newish[0] to[0] the[0] action[0] genre[0] but[0] christian[0] slater[0] could[0] have[0] achieved[0] so[0] much[0] more[0] had[0] the[0] amount[0] of[0] crummy[0] one[0] liners[0] been[0] reduced[0] and[0] some[0] personality[0] added[0] to[0] his[0] character[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if you had asked me whether slater could perform well enough to substantially boost a movie prior to the release of broken arrow , my answer would have been a definite no . 	if you had asked me whether slater could perform well enough to substantially boost a movie prior to the release of broken arrow , my answer would have been a definite no .	1	-2	 if[0] you[0] had[0] asked[0] me[0] whether[0] slater[0] could[0] perform[0] well[0] enough[0] to[0] substantially[0] boost[0] a[0] movie[0] prior[0] to[0] the[0] release[0] of[0] broken[-1] arrow[0] my[0] answer[0] would[0] have[0] been[0] a[0] definite[0] no[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i now know that he has no excuse , and _can_ do better ( if you don t believe me rent a copy of broken arrow from your local video store ) . 	i now know that he has no excuse , and _can_ do better ( if you don t believe me rent a copy of broken arrow from your local video store ) .	1	-2	 i[0] now[0] know[0] that[0] he[0] has[0] no[0] excuse[0] and[0] _can_[0] do[0] better[0] if[0] you[0] don[0] t[0] believe[0] me[0] rent[0] a[0] copy[0] of[0] broken[-1] arrow[0] from[0] your[0] local[0] video[0] store[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
although hard rain never really works from the start , i somehow felt feelings of missed opportunity when the credits filled the screen . 	although hard rain never really works from the start , i somehow felt feelings of missed opportunity when the credits filled the screen .	1	-2	 although[0] hard[0] rain[0] never[0] really[0] works[0] from[0] the[0] start[0] i[0] somehow[0] felt[0] feelings[0] of[0] missed[-1] opportunity[0] when[0] the[0] credits[0] filled[0] the[0] screen[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the addition of an enticing sub-plot would have given the film time to breathe , rather than try to cram 96 minutes of action and disaster into a story that can t handle anything else . 	the addition of an enticing sub-plot would have given the film time to breathe , rather than try to cram 96 minutes of action and disaster into a story that can t handle anything else .	1	-2	 the[0] addition[0] of[0] an[0] enticing[0] sub[0] plot[0] would[0] have[0] given[0] the[0] film[0] time[0] to[0] breathe[0] rather[0] than[0] try[0] to[0] cram[-1] 96[0] minutes[0] of[0] action[0] and[0] disaster[-1] into[0] a[0] story[0] that[0] can[0] t[0] handle[0] anything[0] else[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
despite the fact that hard rain fails on almost every account , if your standards are low enough you may find this to be a mildly enjoyable film . 	despite the fact that hard rain fails on almost every account , if your standards are low enough you may find this to be a mildly enjoyable film .	3	-3	 despite[0] the[0] fact[0] that[0] hard[0] rain[0] fails[-2] on[0] almost[0] every[0] account[0] if[0] your[0] standards[0] are[0] low[-1] enough[0] you[0] may[0] find[0] this[0] to[0] be[0] a[0] mildly[0] enjoyable[2] film[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
no creative flair and no inventive scenes means that hard rain does not stand up well against its many competitors , but it doesn t really matter since the last thing you would want to do after shelling about  8 . 50 is compare this to other films . 	no creative flair and no inventive scenes means that hard rain does not stand up well against its many competitors , but it doesn t really matter since the last thing you would want to do after shelling about  8 .<br> 50 is compare this to other films .	1	-2	 no[0] creative[0] flair[0] and[0] no[0] inventive[0] scenes[0] means[0] that[0] hard[0] rain[0] does[0] not[0] stand[0] up[0] well[0] against[-1] its[0] many[0] competitors[0] but[0] it[0] doesn[0] t[0] really[0] matter[0] since[0] the[0] last[0] thing[0] you[0] would[0] want[0] to[0] do[0] after[0] shelling[0] about[0] 8[0] [[Sentence=-2,1=word max, 1-5]] 50[0] is[0] compare[0] this[0] to[0] other[0] films[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
