retrospective : city of the living dead ( 1980 ) 	Translation	Positive	Negative	EmotionRationale
and don't cadavers have various things stuffed in them and drained out of them before they're buried ? 	and don't cadavers have various things stuffed in them and drained out of them before they're buried ?	1	-3	 and[0] don't[0] cadavers[0] have[0] various[0] things[0] stuffed[0] in[0] them[0] and[0] drained[0] out[0] of[0] them[0] before[0] they're[0] buried[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
anyway , off the two of them go to dunwich to save the world , where various grisly goings-on are already happening as all saints day approaches . 	anyway , off the two of them go to dunwich to save the world , where various grisly goings-on are already happening as all saints day approaches .	2	-1	 anyway[0] off[0] the[0] two[0] of[0] them[0] go[0] to[0] dunwich[0] to[0] save[1] the[0] world[0] where[0] various[0] grisly[0] goings[0] on[0] are[0] already[0] happening[0] as[0] all[0] saints[0] day[0] approaches[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
fulci's graphic gore is in evidence once again , but here it only serves to further highlight the film's flimsy script and plodding direction . 	fulci's graphic gore is in evidence once again , but here it only serves to further highlight the film's flimsy script and plodding direction .	1	-2	 fulci's[0] graphic[0] gore[0] is[0] in[0] evidence[0] once[0] again[0] but[0] here[0] it[0] only[0] serves[0] to[0] further[0] highlight[0] the[0] film's[0] flimsy[-1] script[0] and[0] plodding[0] direction[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the dialogue , in all manner of speaking , is unspeakable . 	the dialogue , in all manner of speaking , is unspeakable .	1	-2	 the[0] dialogue[0] in[0] all[0] manner[0] of[0] speaking[0] is[0] unspeakable[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
not bad in the quotable sense , like an ed wood film , but bad in its sheer dullness or blatantly obvious " lets explain the plot " type approach . 	not bad in the quotable sense , like an ed wood film , but bad in its sheer dullness or blatantly obvious " lets explain the plot " type approach .	2	-2	 not[0] bad[-1][NegatedDueToPreviousWord] in[0] the[0] quotable[0] sense[0] like[1] an[0] ed[0] wood[0] film[0] but[0] bad[-1] in[0] its[0] sheer[0] dullness[-1] or[0] blatantly[-1] obvious[0] lets[0] explain[0] the[0] plot[0] type[0] approach[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
mccoll doesn't have a clue who her character is : deadly serious one minute , frivolous the next , she at times is genuinely hard to watch . 	mccoll doesn't have a clue who her character is : deadly serious one minute , frivolous the next , she at times is genuinely hard to watch .	1	-2	 mccoll[0] doesn't[0] have[0] a[0] clue[0] who[0] her[0] character[0] is[0] deadly[-1] serious[-1] one[0] minute[0] frivolous[-1] the[0] next[0] she[0] at[0] times[0] is[0] genuinely[0] hard[0] to[0] watch[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and the geezer ( the actor's name escapes me ) who plays the town psychiatrist becomes even harder to stomach than mccoll as the film progresses . 	and the geezer ( the actor's name escapes me ) who plays the town psychiatrist becomes even harder to stomach than mccoll as the film progresses .	2	-1	 and[0] the[0] geezer[0] the[0] actor's[0] name[0] escapes[0] me[0] who[0] plays[1] the[0] town[0] psychiatrist[0] becomes[0] even[0] harder[0] to[0] stomach[0] than[0] mccoll[0] as[0] the[0] film[0] progresses[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
christopher george's performance is salvageable , but he gets his brains ripped out in the end by a zombie and we don't care . 	christopher george's performance is salvageable , but he gets his brains ripped out in the end by a zombie and we don't care .	1	-2	 christopher[0] george's[0] performance[0] is[0] salvageable[0] but[0] he[0] gets[0] his[0] brains[0] ripped[0] out[0] in[0] the[0] end[0] by[0] a[0] zombie[0] and[0] we[0] don't[0] care[1][NegatedDueToPreviousWord] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in fact we don't care for anyone in city of the living dead , though in other fulci films that hasn't mattered so much when he was on form as a stylist and an ideas man , as he was in the beyond . 	in fact we don't care for anyone in city of the living dead , though in other fulci films that hasn't mattered so much when he was on form as a stylist and an ideas man , as he was in the beyond .	1	-3	 in[0] fact[0] we[0] don't[0] care[1][NegatedDueToPreviousWord] for[0] anyone[0] in[0] city[0] of[0] the[0] living[0] dead[-2] though[0] in[0] other[0] fulci[0] films[0] that[0] hasn't[0] mattered[0] so[0] much[0] when[0] he[0] was[0] on[0] form[0] as[0] a[0] stylist[0] and[0] an[0] ideas[0] man[0] as[0] he[0] was[0] in[0] the[0] beyond[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
as a director , some of fulci' idiosyncrasies are incredibly silly and annoying here . 	as a director , some of fulci' idiosyncrasies are incredibly silly and annoying here .	1	-4	 as[0] a[0] director[0] some[0] of[0] fulci'[0] idiosyncrasies[0] are[0] incredibly[0] silly[-1][-2 LastWordBoosterStrength] and[0] annoying[-2] here[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he constantly uses extreme close-ups of people's eyes , a ridiculous technique which suggests an attempt to convey the emotion that his dialogue and actors aren't capable of . 	he constantly uses extreme close-ups of people's eyes , a ridiculous technique which suggests an attempt to convey the emotion that his dialogue and actors aren't capable of .	1	-3	 he[0] constantly[0] uses[0] extreme[0] close[0] ups[0] of[0] people's[0] eyes[0] a[0] ridiculous[-2] technique[0] which[0] suggests[0] an[0] attempt[0] to[0] convey[0] the[0] emotion[0] that[0] his[0] dialogue[0] and[0] actors[0] aren't[0] capable[0] of[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and despite some gruesome violence , he barely manages a single scare in the entire film . 	and despite some gruesome violence , he barely manages a single scare in the entire film .	1	-4	 and[0] despite[0] some[0] gruesome[0] violence[-3] he[0] barely[0] manages[0] a[0] single[0] scare[-3] in[0] the[0] entire[0] film[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
long-time collaborator fabio frizzi , talented but always erratic , offers a patchy soundtrack that veers between eerie , gothic death marches and woefully inappropriate electro-pop that's quite frankly embarrassing . 	long-time collaborator fabio frizi , talented but always erratic , offers a patchy soundtrack that veers between eerie , gothic death marches and woefully inappropriate electro-pop that's quite frankly embarrassing .	2	-3	 long[0] time[0] collaborator[0] fabio[0] frizzi/frizi[0] talented[1] but[0] always[0] erratic[0] offers[0] a[0] patchy[0] soundtrack[0] that[0] veers[0] between[0] eerie[0] gothic[0] death[-2] marches[0] and[0] woefully[-2] inappropriate[0] electro[0] pop[0] that's[0] quite[0] frankly[0] embarrassing[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
fulci's other films of this period may be flawed - house by the cemetery , the beyond , the black cat - but they are nonetheless films with more inspiration , atmosphere and better dialogue than this turkey . 	fulci's other films of this period may be flawed - house by the cemetery , the beyond , the black cat - but they are nonetheless films with more inspiration , atmosphere and better dialogue than this turkey .	3	-1	 fulci's[0] other[0] films[0] of[0] this[0] period[0] may[0] be[0] flawed[0] house[0] by[0] the[0] cemetery[0] the[0] beyond[0] the[0] black[0] cat[0] but[0] they[0] are[0] nonetheless[0] films[0] with[0] more[0] inspiration[2] atmosphere[0] and[0] better[0] dialogue[0] than[0] this[0] turkey[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
for completists only . 	for completists only .	1	-1	 for[0] completists[0] only[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
