i didn't hate the big hit , even though it is a stupefyingly terrible film . 	Translation	Positive	Negative	EmotionRationale
it's true that a lot of the action sequences resemble recent films that go for the same idea ( such as face/off and the replacement killers , which are both far superior ) . 	it's true that a lot of the action sequences resemble recent films that go for the same idea ( such as face/off and the replacement killers , which are both far superior ) .	3	-1	 it's[0] true[1] that[0] a[0] lot[0] of[0] the[0] action[0] sequences[0] resemble[0] recent[0] films[0] that[0] go[0] for[0] the[0] same[0] idea[0] such[0] as[0] face/off[0] and[0] the[0] replacement[0] killers[0] which[0] are[0] both[0] far[0] superior[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there are stunts that are fun to watch : the opening sequence has melvin and two of his partners going in to kill some guy who has nothing to do with the story . 	there are stunts that are fun to watch : the opening sequence has melvin and two of his partners going in to kill some guy who has nothing to do with the story .	2	-2	 there[0] are[0] stunts[0] that[0] are[0] fun[1] to[0] watch[0] the[0] opening[0] sequence[0] has[0] melvin[0] and[0] two[0] of[0] his[0] partners[0] going[0] in[0] to[0] kill[-1] some[0] guy[0] who[0] has[0] nothing[0] to[0] do[0] with[0] the[0] story[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
they use night vision goggles and really powerful handguns . 	they use night vision goggles and really powerful handguns .	1	-1	 they[0] use[0] night[0] vision[0] goggles[0] and[0] really[0] powerful[0] handguns[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
melvin is also very good at breakdancing , and uses this talent to avoid bullets and knives . 	melvin is also very good at breakdancing , and uses this talent to avoid bullets and knives .	3	-2	 melvin[0] is[0] also[0] very[0] good[1][1 LastWordBoosterStrength] at[0] breakdancing[0] and[0] uses[0] this[0] talent[1] to[0] avoid[-1] bullets[-1] and[0] knives[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
like i said , it's not boring ; most disasters aren't . 	like i said , it's not boring ; most disasters aren't .	2	-2	 like[1] i[0] said[0] it's[0] not[0] boring[-1][NegatedDueToPreviousWord] most[0] disasters[-1] aren't[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
what makes it so bad is its genre-shifting madness . 	what makes it so bad is its genre-shifting madness .	1	-2	 what[0] makes[0] it[0] so[0] bad[-1] is[0] its[0] genre[0] shifting[0] madness[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it seems to start out as a quirky-but-realistic action comedy , as melvin is seen transporting bags of human remains . 	it seems to start out as a quirky-but-realistic action comedy , as melvin is seen transporting bags of human remains .	1	-1	 it[0] seems[0] to[0] start[0] out[0] as[0] a[0] quirky[0] but[0] realistic[0] action[0] comedy[0] as[0] melvin[0] is[0] seen[0] transporting[0] bags[0] of[0] human[0] remains[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
then , as soon as they go to their first hit , it turns into a music video with bodies and bullets flying everywhere . 	then , as soon as they go to their first hit , it turns into a music video with bodies and bullets flying everywhere .	1	-2	 then[0] as[0] soon[0] as[0] they[0] go[0] to[0] their[0] first[0] hit[0] it[0] turns[0] into[0] a[0] music[0] video[0] with[0] bodies[0] and[0] bullets[-1] flying[0] everywhere[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
then , somewhere in between , it turns back into comedy . 	then , somewhere in between , it turns back into comedy .	1	-1	 then[0] somewhere[0] in[0] between[0] it[0] turns[0] back[0] into[0] comedy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
keiko turns out to be a spunky little girl ; in one amusing scene , she is forced to read a letter out loud , indicating that she has been kidnapped , but the letter is littered with grammatical errors that skew the meaning of the words . 	keiko turns out to be a spunky little girl ; in one amusing scene , she is forced to read a letter out loud , indicating that she has been kidnapped , but the letter is littered with grammatical errors that skew the meaning of the words .	2	-2	 keiko[0] turns[0] out[0] to[0] be[0] a[0] spunky[0] little[0] girl[0] in[0] one[0] amusing[1] scene[0] she[0] is[0] forced[0] to[0] read[0] a[0] letter[0] out[0] loud[0] indicating[0] that[0] she[0] has[0] been[0] kidnapped[0] but[0] the[0] letter[0] is[0] littered[-1] with[0] grammatical[0] errors[-1] that[0] skew[0] the[0] meaning[0] of[0] the[0] words[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and scenes like this work alone , but wong applies this goofy tone to scenes that should be more serious , or not be in the film at all . 	and scenes like this work alone , but wong applies this goofy tone to scenes that should be more serious , or not be in the film at all .	2	-2	 and[0] scenes[0] like[1] this[0] work[0] alone[0] but[0] wong[0] applies[0] this[0] goofy[0] tone[0] to[0] scenes[0] that[0] should[0] be[0] more[0] serious[-1] or[0] not[0] be[0] in[0] the[0] film[0] at[0] all[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
one of the most irritating moments has paris ordering cisco to come up to his office after he learns that keiko has been kidnapped ; when cisco gets there , paris and his men are standing around as if they knew cisco did it , but they let him out of there , telling him to find the perpetrator . 	one of the most irritating moments has paris ordering cisco to come up to his office after he learns that keiko has been kidnapped ; when cisco gets there , paris and his men are standing around as if they knew cisco did it , but they let him out of there , telling him to find the perpetrator .	1	-3	 one[0] of[0] the[0] most[0] irritating[-2] moments[0] has[0] paris[0] ordering[0] cisco[0] to[0] come[0] up[0] to[0] his[0] office[0] after[0] he[0] learns[0] that[0] keiko[0] has[0] been[0] kidnapped[0] when[0] cisco[0] gets[0] there[0] paris[0] and[0] his[0] men[0] are[0] standing[0] around[0] as[0] if[0] they[0] knew[0] cisco[0] did[0] it[0] but[0] they[0] let[0] him[0] out[0] of[0] there[0] telling[0] him[0] to[0] find[0] the[0] perpetrator[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the scene is played for laughs , but it isn't funny . 	the scene is played for laughs , but it isn't funny .	2	-2	 the[0] scene[0] is[0] played[0] for[0] laughs[1] but[0] it[0] isn't[0] funny[1][NegatedDueToPreviousWord] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and since it doesn't quite work as a comedy , it tries to fall back on the action , which also fails . 	and since it doesn't quite work as a comedy , it tries to fall back on the action , which also fails .	1	-3	 and[0] since[0] it[0] doesn't[0] quite[0] work[0] as[0] a[0] comedy[0] it[0] tries[0] to[0] fall[0] back[0] on[0] the[0] action[0] which[0] also[0] fails[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this is a film where people fly fifteen feet backwards when shot with a handgun . 	this is a film where people fly fifteen feet backwards when shot with a handgun .	1	-2	 this[0] is[0] a[0] film[0] where[0] people[0] fly[0] fifteen[0] feet[0] backwards[0] when[0] shot[-1] with[0] a[0] handgun[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
cars land on tree branches and are supported by them . 	cars land on tree branches and are supported by them .	2	-1	 cars[0] land[0] on[0] tree[0] branches[0] and[0] are[0] supported[1] by[0] them[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
characters betray each other without a second thought . 	characters betray each other without a second thought .	1	-3	 characters[0] betray[-2] each[0] other[0] without[0] a[0] second[0] thought[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
grenades are thrown in tight places . 	grenades are thrown in tight places .	1	-1	 grenades[0] are[0] thrown[0] in[0] tight[0] places[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
people jump out of tall buildings and survive . 	people jump out of tall buildings and survive .	1	-1	 people[0] jump[0] out[0] of[0] tall[0] buildings[0] and[0] survive[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
people outrun tumbling cars , and get out of the way of falling objects in small fractions of seconds . 	people outrun tumbling cars , and get out of the way of falling objects in small fractions of seconds .	1	-1	 people[0] outrun[0] tumbling[0] cars[0] and[0] get[0] out[0] of[0] the[0] way[0] of[0] falling[0] objects[0] in[0] small[0] fractions[0] of[0] seconds[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
most frustrating of all , though , is the film's definition of a hit man : these guys are anything but subtle , quiet , and skilled individuals . 	most frustrating of all , though , is the film's definition of a hit man : these guys are anything but subtle , quiet , and skilled individuals .	1	-3	 most[0] frustrating[-2] of[0] all[0] though[0] is[0] the[0] film's[0] definition[0] of[0] a[0] hit[0] man[0] these[0] guys[0] are[0] anything[0] but[0] subtle[0] quiet[0] and[0] skilled[0] individuals[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
they're more like socially depraved militia men ( melvin has an extensive collection of firearms in his garage , including missile launchers and hand-held machineguns ) . 	they're more like socially depraved militia men ( melvin has an extensive collection of firearms in his garage , including missile launchers and hand-held machineguns ) .	2	-4	 they're[0] more[0] like[1] socially[0] depraved[-3] militia[0] men[0] melvin[0] has[0] an[0] extensive[0] collection[0] of[0] firearms[0] in[0] his[0] garage[0] including[0] missile[0] launchers[0] and[0] hand[0] held[0] machineguns[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the characters each have one trait that distinguishes them from the rest ; this obviously doesn't make for deep or interesting people to watch . 	the characters each have one trait that distinguishes them from the rest ; this obviously doesn't make for deep or interesting people to watch .	2	-1	 the[0] characters[0] each[0] have[0] one[0] trait[0] that[0] distinguishes[0] them[0] from[0] the[0] rest[0] this[0] obviously[0] doesn't[0] make[0] for[0] deep[0] or[0] interesting[1] people[0] to[0] watch[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the acting is kind of fun , though--wahlberg is a good actor , and his innocuous presence in this film is charming in a silly sort of way . 	the acting is kind of fun , though-wahlberg is a good actor , and his innocuous presence in this film is charming in a silly sort of way .	2	-2	 the[0] acting[0] is[0] kind[1] of[0] fun[1] though[0] wahlberg[0] is[0] a[0] good[1] actor[0] and[0] his[0] innocuous[0] presence[0] in[0] this[0] film[0] is[0] charming[1] in[0] a[0] silly[-1] sort[0] of[0] way[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
phillips certainly has fun with his psychotic character , while christina applegate , who plays melvin's fianc ? e , is convincingly air-headed . 	phillips certainly has fun with his psychotic character , while christina applegate , who plays melvin's fianc ?<br> e , is convincingly air-headed .	2	-1	 phillips[0] certainly[0] has[0] fun[1] with[0] his[0] psychotic[0] character[0] while[0] christina[0] applegate[0] who[0] plays[1] melvin's[0] fianc[0] [[Sentence=-1,2=word max, 1-5]] e[0] is[0] convincingly[0] air[0] headed[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
the big hit is an action film that unknowingly spoofs itself in trying to be funny . 	the big hit is an action film that unknowingly spoofs itself in trying to be funny .	2	-1	 the[0] big[0] hit[0] is[0] an[0] action[0] film[0] that[0] unknowingly[0] spoofs[0] itself[0] in[0] trying[0] to[0] be[0] funny[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the funniest parts are supplied by the actors , and not by the numerous failed attempts at sight gags and one-liners . 	the funniest parts are supplied by the actors , and not by the numerous failed attempts at sight gags and one-liners .	2	-3	 the[0] funniest[1] parts[0] are[0] supplied[0] by[0] the[0] actors[0] and[0] not[0] by[0] the[0] numerous[0] failed[-2] attempts[0] at[0] sight[0] gags[0] and[0] one[0] liners[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it's a true disaster , one that makes me believe that the goofy and unrealistic tone is completely unintentional . 	it's a true disaster , one that makes me believe that the goofy and unrealistic tone is completely unintentional .	2	-2	 it's[0] a[0] true[1] disaster[-1] one[0] that[0] makes[0] me[0] believe[0] that[0] the[0] goofy[0] and[0] unrealistic[0] tone[0] is[0] completely[0] unintentional[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
despite all this , though , i must reiterate the entertainment value here . 	despite all this , though , i must reiterate the entertainment value here .	2	-1	 despite[0] all[0] this[0] though[0] i[0] must[0] reiterate[0] the[0] entertainment[0] value[1] here[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
you can cherish the awfulness of a film like this . 	you can cherish the awfulness of a film like this .	3	-4	 you[0] can[0] cherish[2] the[0] awfulness[-3] of[0] a[0] film[0] like[1] this[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
if you embrace the big hit for the catastrophe that it is , you just might enjoy yourself . 	if you embrace the big hit for the catastrophe that it is , you just might enjoy yourself .	2	-4	 if[0] you[0] embrace[0] the[0] big[0] hit[0] for[0] the[0] catastrophe[-3] that[0] it[0] is[0] you[0] just[0] might[0] enjoy[2][-1 LastWordBoosterStrength] yourself[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
