ripe with explosions , mass death and really weird hairdos , tsui hark's " double team " must be the result of a tipsy hollywood power lunch that decided jean-claude van damme needs another notch on his bad movie-bedpost and nba superstar dennis rodman should have an acting career . 	Translation	Positive	Negative	EmotionRationale
with crazy , often eye-popping camera work by peter pau and rodman's lite brite locks , " double team " should be a mildly enjoyable guilty pleasure . 	with crazy , often eye-popping camera work by peter pau and rodman's lite brite locks , " double team " should be a mildly enjoyable guilty pleasure .	3	-4	 with[0] crazy[-1] often[0] eye[0] popping[0] camera[0] work[0] by[0] peter[0] pau[0] and[0] rodman's[0] lite[0] brite[0] locks[0] double[0] team[0] should[0] be[0] a[0] mildly[0] enjoyable[2] guilty[-3] pleasure[2] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
but too much tries to happen in each frame , and the result is a movie that leaves you exhausted rather than exhilarated . 	but too much tries to happen in each frame , and the result is a movie that leaves you exhausted rather than exhilarated .	1	-2	 but[0] too[0] much[0] tries[0] to[0] happen[0] in[0] each[0] frame[0] and[0] the[0] result[0] is[0] a[0] movie[0] that[0] leaves[0] you[0] exhausted[-1] rather[0] than[0] exhilarated[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the numerous action scenes are loud and headache-inducing and the frenetic pacing never slows down enough for us to care about what's going on in the movie . 	the numerous action scenes are loud and headache-inducing and the frenetic pacing never slows down enough for us to care about what's going on in the movie .	2	-2	 the[0] numerous[0] action[0] scenes[0] are[0] loud[0] and[0] headache[-1] inducing[0] and[0] the[0] frenetic[0] pacing[0] never[0] slows[0] down[0] enough[0] for[0] us[0] to[0] care[1] about[0] what's[0] going[0] on[0] in[0] the[0] movie[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and much of what's going on is just wacky . 	and much of what's going on is just wacky .	1	-1	 and[0] much[0] of[0] what's[0] going[0] on[0] is[0] just[0] wacky[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's a whole segment devoted to net-surfing monks that i have yet to figure out . 	there's a whole segment devoted to net-surfing monks that i have yet to figure out .	3	-1	 there's[0] a[0] whole[0] segment[0] devoted[2] to[0] net[0] surfing[0] monks[0] that[0] i[0] have[0] yet[0] to[0] figure[0] out[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and the climax finds quinn going head-to-head with a tiger in the roman coliseum while yaz circles them on a motorcycle , trying to avoid running over land mines and hold on to quinn's baby boy ( who's in a bomb equipped basket ) -- all this while stavros watches shirtless from the bleachers . 	and the climax finds quin going head-to-head with a tiger in the roman coliseum while yaz circles them on a motorcycle , trying to avoid running over land mines and hold on to quinn's baby boy ( who's in a bomb equipped basket ) - all this while stavros watches shirtless from the bleachers .	2	-2	 and[0] the[0] climax[0] finds[0] quinn/quin[0] going[0] head[0] to[0] head[0] with[0] a[0] tiger[0] in[0] the[0] roman[0] coliseum[0] while[0] yaz[0] circles[0] them[0] on[0] a[0] motorcycle[0] trying[0] to[0] avoid[-1] running[0] over[0] land[0] mines[0] and[0] hold[0] on[0] to[0] quinn's[0] baby[1] boy[0] who's[0] in[0] a[0] bomb[-1] equipped[0] basket[0] all[0] this[0] while[0] stavros[0] watches[0] shirtless[0] from[0] the[0] bleachers[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
did i mention " double team " is strange ? 	did i mention " double team " is strange ?	1	-1	 did[0] i[0] mention[0] double[0] team[0] is[0] strange[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when it all comes down , this is just another rarely entertaining formula killathon , albeit one that feels no need to indulge in gratuitous profanity . 	when it all comes down , this is just another rarely entertaining formula killathon , albeit one that feels no need to indulge in gratuitous profanity .	1	-2	 when[0] it[0] all[0] comes[0] down[0] this[0] is[0] just[0] another[0] rarely[0] entertaining[0] formula[0] killathon[0] albeit[0] one[0] that[0] feels[0] no[0] need[0] to[0] indulge[-1] in[0] gratuitous[-1] profanity[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
rodman juices things up with his blatantly vibrant screen persona , though , leading up to a stunt where he kicks an opponent between the legs . 	rodman juices things up with his blatantly vibrant screen persona , though , leading up to a stunt where he kicks an opponent between the legs .	1	-2	 rodman[0] juices[0] things[0] up[0] with[0] his[0] blatantly[-1] vibrant[0] screen[0] persona[0] though[0] leading[0] up[0] to[0] a[0] stunt[-1] where[0] he[0] kicks[-1] an[0] opponent[-1] between[0] the[0] legs[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but we didn't need " double team " to tell us he could do that , did we ? 	but we didn't need " double team " to tell us he could do that , did we ?	1	-1	 but[0] we[0] didn't[0] need[0] double[0] team[0] to[0] tell[0] us[0] he[0] could[0] do[0] that[0] did[0] we[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
