michael crichton has had a long career of writing novels , many of which are science fiction . 	Translation	Positive	Negative	EmotionRationale
together they travel to the deep pacific spaceship to understand its secrets . 	together they travel to the deep pacific spaceship to understand its secrets .	1	-1	 together[0] they[0] travel[0] to[0] the[0] deep[0] pacific[0] spaceship[0] to[0] understand[0] its[0] secrets[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one major secret is the meaning of the huge sphere of gold-toned liquid metal at the heart of this spaceship . 	one major secret is the meaning of the huge sphere of gold-toned liquid metal at the heart of this spaceship .	1	-1	 one[0] major[0] secret[0] is[0] the[0] meaning[0] of[0] the[0] huge[0] sphere[0] of[0] gold[0] toned[0] liquid[0] metal[0] at[0] the[0] heart[0] of[0] this[0] spaceship[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what is disappointing about this film is that it does not have really effective performances . 	what is disappointing about this film is that it does not have really effective performances .	1	-2	 what[0] is[0] disappointing[-1] about[0] this[0] film[0] is[0] that[0] it[0] does[0] not[0] have[0] really[0] effective[0] performances[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
director barry levinson is at his best with good actors rather than good special effects . 	director barry levinson is at his best with good actors rather than good special effects .	2	-1	 director[0] barry[0] levinson[0] is[0] at[0] his[0] best[1] with[0] good[1] actors[0] rather[0] than[0] good[1] special[1] effects[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the problem here is he is making a big-budget science fiction film . 	the problem here is he is making a big-budget science fiction film .	1	-2	 the[0] problem[-1] here[0] is[0] he[0] is[0] making[0] a[0] big[0] budget[0] science[0] fiction[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it has some effects , but the most intriguing effect he shows only as an outline on a radar screen . 	it has some effects , but the most intriguing effect he shows only as an outline on a radar screen .	1	-1	 it[0] has[0] some[0] effects[0] but[0] the[0] most[0] intriguing[0] effect[0] he[0] shows[0] only[0] as[0] an[0] outline[0] on[0] a[0] radar[0] screen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the technique is to suggest rather than to show and let the actors and the viewer's imagination carry the film as robert wise did with the haunting . 	the technique is to suggest rather than to show and let the actors and the viewer's imagination carry the film as robert wise did with the haunting .	1	-1	 the[0] technique[0] is[0] to[0] suggest[0] rather[0] than[0] to[0] show[0] and[0] let[0] the[0] actors[0] and[0] the[0] viewer's[0] imagination[0] carry[0] the[0] film[0] as[0] robert[0] wise[0] did[0] with[0] the[0] haunting[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that could be a reasonable approach in a low-budget film . 	that could be a reasonable approach in a low-budget film .	1	-2	 that[0] could[0] be[0] a[0] reasonable[0] approach[0] in[0] a[0] low[-1] budget[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but that requires creating much more atmosphere than levinson can manage to muster . 	but that requires creating much more atmosphere than levinson can manage to muster .	1	-1	 but[0] that[0] requires[0] creating[0] much[0] more[0] atmosphere[0] than[0] levinson[0] can[0] manage[0] to[0] muster[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it requires the actors to give really compelling performances and simply put , they don't . 	it requires the actors to give really compelling performances and simply put , they don't .	1	-1	 it[0] requires[0] the[0] actors[0] to[0] give[0] really[0] compelling[0] performances[0] and[0] simply[0] put[0] they[0] don't[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hoffman's acting seems muted . 	hoffman's acting seems muted .	1	-1	 hoffman's[0] acting[0] seems[0] muted[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jackson seems to laid back . 	jackson seems to laid back .	1	-1	 jackson[0] seems[0] to[0] laid[0] back[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we do not feel for these characters and do not get inside their heads . 	we do not feel for these characters and do not get inside their heads .	1	-1	 we[0] do[0] not[0] feel[0] for[0] these[0] characters[0] and[0] do[0] not[0] get[0] inside[0] their[0] heads[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
levinson paid big bucks for his actors and does not really get price performance . 	levinson paid big bucks for his actors and does not really get price performance .	1	-1	 levinson[0] paid[0] big[0] bucks[0] for[0] his[0] actors[0] and[0] does[0] not[0] really[0] get[0] price[0] performance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and why we have queen latifah as a minor functionary on the expedition is anybody's guess . a 	and why we have queen latifah as a minor functionary on the expedition is anybody's guess .<br> a	1	-1	 and[0] why[0] we[0] have[0] queen[0] latifah[0] as[0] a[0] minor[0] functionary[0] on[0] the[0] expedition[0] is[0] anybody's[0] guess[0] [[Sentence=-1,1=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
cast of unknowns could have delivered as much emotional impact at a fraction of the price . 	cast of unknowns could have delivered as much emotional impact at a fraction of the price .	1	-2	 cast[0] of[0] unknowns[0] could[0] have[0] delivered[0] as[0] much[0] emotional[-1] impact[0] at[0] a[0] fraction[0] of[0] the[0] price[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
look how much more powerful a film like alien was with only moderate actors . 	look how much more powerful a film like alien was with only moderate actors .	2	-2	 look[0] how[0] much[0] more[0] powerful[0] a[0] film[0] like[1] alien[-1] was[0] with[0] only[0] moderate[0] actors[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
most science fiction spectaculars these days have second-tier actors and first-tier special effects . 	most science fiction spectaculars these days have second-tier actors and first-tier special effects .	2	-1	 most[0] science[0] fiction[0] spectaculars[0] these[0] days[0] have[0] second[0] tier[0] actors[0] and[0] first[0] tier[0] special[1] effects[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
levinson tries second-tier effects , and first-tier actors , but never makes that exchange pay off for the viewer . 	levinson tries second-tier effects , and first-tier actors , but never makes that exchange pay off for the viewer .	1	-1	 levinson[0] tries[0] second[0] tier[0] effects[0] and[0] first[0] tier[0] actors[0] but[0] never[0] makes[0] that[0] exchange[0] pay[0] off[0] for[0] the[0] viewer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
perhaps sci-fi spectaculars are just not an actor's medium . 	perhaps sci-fi spectaculars are just not an actor's medium .	1	-1	 perhaps[0] sci[0] fi[0] spectaculars[0] are[0] just[0] not[0] an[0] actor's[0] medium[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the result gets a 4 on the 0 to 10 scale and 0 on the -4 to  4 scale . 	the result gets a 4 on the 0 to 10 scale and 0 on the -4 to  4 scale .	1	-1	 the[0] result[0] gets[0] a[0] 4[0] on[0] the[0] 0[0] to[0] 10[0] scale[0] and[0] 0[0] on[0] the[0] -4[0] to[0] 4[0] scale[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
