lucas was wise to start his star wars trilogy with episode 4 : episode 1 is a boring , empty spectacle that features some nice special effects . 	Translation	Positive	Negative	EmotionRationale
there's very little talent evident with him , it's hard to see why lucas chose him when there are better child actors out there . 	there's very little talent evident with him , it's hard to see why lucas chose him when there are better child actors out there .	2	-1	 there's[0] very[0] little[0] talent[1] evident[0] with[0] him[0] it's[0] hard[0] to[0] see[0] why[0] lucas[0] chose[0] him[0] when[0] there[0] are[0] better[0] child[0] actors[0] out[0] there[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he's not even very 'cute . ' 	he's not even very 'cute .<br> '	1	-1	 he's[0] not[0] even[0] very[0] 'cute[0] [[Sentence=-1,1=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the main claim of the film , the special effects , are okay . 	the main claim of the film , the special effects , are okay .	2	-1	 the[0] main[0] claim[0] of[0] the[0] film[0] the[0] special[1] effects[0] are[0] okay[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there's nothing impressive about them , yet they complement the story well . 	there's nothing impressive about them , yet they complement the story well .	2	-1	 there's[0] nothing[0] impressive[1] about[0] them[0] yet[0] they[0] complement[0] the[0] story[0] well[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the cgi takes away much of the human element , however . 	the cgi takes away much of the human element , however .	1	-1	 the[0] cgi[0] takes[0] away[0] much[0] of[0] the[0] human[0] element[0] however[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the battle droids for example , the replacement for the stormtroopers , are characterless little computer graphics , lacking the humour and humanness that came from the stormtroopers . 	the battle droids for example , the replacement for the stormtroopers , are characterless little computer graphics , lacking the humour and humanness that came from the stormtroopers .	3	-2	 the[0] battle[-1] droids[0] for[0] example[0] the[0] replacement[0] for[0] the[0] stormtroopers[0] are[0] characterless[0] little[0] computer[0] graphics[0] lacking[0] the[0] humour[2] and[0] humanness[0] that[0] came[0] from[0] the[0] stormtroopers[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
episode 1 is just disappointing . 	episode 1 is just disappointing .	1	-1	 episode[0] 1[0] is[0] just[0] disappointing[-1][--1 LastWordBoosterStrength] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's got high production values , but little else . 	it's got high production values , but little else .	2	-1	 it's[0] got[0] high[0] production[0] values[1] but[0] little[0] else[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the music is meandering , except near the end . 	the music is meandering , except near the end .	1	-1	 the[0] music[0] is[0] meandering[0] except[0] near[0] the[0] end[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the plot gives us no-one to root for , or even care for . 	the plot gives us no-one to root for , or even care for .	2	-1	 the[0] plot[0] gives[0] us[0] no[0] one[0] to[0] root[0] for[0] or[0] even[0] care[1] for[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the effects are nice , but dull . 	the effects are nice , but dull .	2	-2	 the[0] effects[0] are[0] nice[1] but[0] dull[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the plot goes on for half an hour longer than it should . 	the plot goes on for half an hour longer than it should .	1	-1	 the[0] plot[0] goes[0] on[0] for[0] half[0] an[0] hour[0] longer[0] than[0] it[0] should[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's an air of manufacturing among the whole sorry affair , and many clich ? s are catered for throughout the film . 	there's an air of manufacturing among the whole sorry affair , and many clich ?<br> s are catered for throughout the film .	1	-2	 there's[0] an[0] air[0] of[0] manufacturing[0] among[0] the[0] whole[0] sorry[-1] affair[0] and[0] many[0] clich[0] [[Sentence=-2,1=word max, 1-5]] s[0] are[0] catered[0] for[0] throughout[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
apart from a remotely exciting pod race sequence , episode 1 is a dry affair that serves little purpose , except to make money and to get us to watch episode 2 to see what happens to the many unfinished plot lines in the film . 	apart from a remotely exciting pod race sequence , episode 1 is a dry affair that serves little purpose , except to make money and to get us to watch episode 2 to see what happens to the many unfinished plot lines in the film .	3	-1	 apart[0] from[0] a[0] remotely[0] exciting[2] pod[0] race[0] sequence[0] episode[0] 1[0] is[0] a[0] dry[0] affair[0] that[0] serves[0] little[0] purpose[0] except[0] to[0] make[0] money[0] and[0] to[0] get[0] us[0] to[0] watch[0] episode[0] 2[0] to[0] see[0] what[0] happens[0] to[0] the[0] many[0] unfinished[0] plot[0] lines[0] in[0] the[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
disappointing is barely the word . 	disappointing is barely the word .	1	-2	 disappointing[-1] is[0] barely[0] the[0] word[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
rating  	rating 	1	-1	 rating[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
