dr dolittle ( 20th century fox ) running time : 1 hour 25 minutes starring eddie murphy directed by betty thomas riding high on the success of the nutty professor ( 1996 ) , murphy returns in this abysmal comedy . 	Translation	Positive	Negative	EmotionRationale
the film even succumbs to fart jokes halfway through , in a desperate attempt to raise some laughs . 	the film even succumbs to fart jokes halfway through , in a desperate attempt to raise some laughs .	2	-3	 the[0] film[0] even[0] succumbs[-1] to[0] fart[0] jokes[1] halfway[0] through[0] in[0] a[0] desperate[-2] attempt[0] to[0] raise[0] some[0] laughs[1][-1 LastWordBoosterStrength] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
there are a few good jokes in the script , but they are few and far between . 	there are a few good jokes in the script , but they are few and far between .	2	-1	 there[0] are[0] a[0] few[0] good[1] jokes[1] in[0] the[0] script[0] but[0] they[0] are[0] few[0] and[0] far[0] between[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if i had to choose a favourite performance , it would probably be albert brooks tiger , who has a certain charm about him . 	if i had to choose a favourite performance , it would probably be albert brooks tiger , who has a certain charm about him .	2	-1	 if[0] i[0] had[0] to[0] choose[0] a[0] favourite[1] performance[0] it[0] would[0] probably[0] be[0] albert[0] brooks[0] tiger[0] who[0] has[0] a[0] certain[0] charm[1] about[0] him[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
sadly , he's barely in the movie , and rock's really annoying hamster is given far too much screen time . 	sadly , he's barely in the movie , and rock's really annoying hamster is given far too much screen time .	1	-4	 sadly[-1] he's[0] barely[0] in[0] the[0] movie[0] and[0] rock's[0] really[0] annoying[-2][-1 LastWordBoosterStrength] hamster[0] is[0] given[0] far[0] too[0] much[0] screen[0] time[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
joke wise , we are thankfully , spared the mocking and insulting type of jokes that featured heavily in the nutty professor . 	joke wise , we are thankfully , spared the mocking and insulting type of jokes that featured heavily in the nutty professor .	2	-3	 joke[1] wise[0] we[0] are[0] thankfully[1] spared[0] the[0] mocking[-2] and[0] insulting[-2] type[0] of[0] jokes[1] that[0] featured[0] heavily[0] in[0] the[0] nutty[0] professor[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the director , betty thomas , has , well , done better films . 	the director , betty thomas , has , well , done better films .	1	-1	 the[0] director[0] betty[0] thomas[0] has[0] well[0] done[0] better[0] films[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she bought us private parts ( 1997 ) and the brady bunch movie ( 1995 ) which were , sadly , much better than this . 	she bought us private parts ( 1997 ) and the brady bunch movie ( 1995 ) which were , sadly , much better than this .	1	-2	 she[0] bought[0] us[0] private[0] parts[0] 1997[0] and[0] the[0] brady[0] bunch[0] movie[0] 1995[0] which[0] were[0] sadly[-1] much[0] better[0] than[0] this[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the scenes lack any charm , she just gets the job done . 	the scenes lack any charm , she just gets the job done .	2	-2	 the[0] scenes[0] lack[-1] any[0] charm[1] she[0] just[0] gets[0] the[0] job[0] done[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the animals themselves , are reasonable realistic , although most of them are obviously puppets . 	the animals themselves , are reasonable realistic , although most of them are obviously puppets .	1	-1	 the[0] animals[0] themselves[0] are[0] reasonable[0] realistic[0] although[0] most[0] of[0] them[0] are[0] obviously[0] puppets[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's an impressive looking tiger , however , and the lip sync is pretty good . 	there's an impressive looking tiger , however , and the lip sync is pretty good .	3	-1	 there's[0] an[0] impressive[1] looking[0] tiger[0] however[0] and[0] the[0] lip[0] sync[0] is[0] pretty[2] good[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
you'd have no problem guessing that most of the close up's are puppets , however , with their jilted movement . 	you'd have no problem guessing that most of the close up's are puppets , however , with their jilted movement .	1	-2	 you'd[0] have[0] no[0] problem[-1] guessing[0] that[0] most[0] of[0] the[0] close[0] up's[0] are[0] puppets[0] however[0] with[0] their[0] jilted[0] movement[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i was hoping jim hensons workshop , who created the furry friends , would have done a better job . 	i was hoping jim hensons workshop , who created the furry friends , would have done a better job .	2	-1	 i[0] was[0] hoping[1] jim[0] hensons[0] workshop[0] who[0] created[0] the[0] furry[0] friends[1] would[0] have[0] done[0] a[0] better[0] job[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
doctor dolittle , in the end , is a disappointment for everyone involved . 	doctor dolittle , in the end , is a disappointment for everyone involved .	1	-2	 doctor[0] dolittle[0] in[0] the[0] end[0] is[0] a[0] disappointment[-1] for[0] everyone[0] involved[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
murphy has done much better movies ( i . e 	murphy has done much better movies ( i .<br> e	1	-1	 murphy[0] has[0] done[0] much[0] better[0] movies[0] i[0] [[Sentence=-1,1=word max, 1-5]] e[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
trading places ) the director has seen better days , and even the creatures aren't that good . 	trading places ) the director has seen better days , and even the creatures aren't that good .	1	-2	 trading[0] places[0] the[0] director[0] has[0] seen[0] better[0] days[0] and[0] even[0] the[0] creatures[0] aren't[0] that[0] good[1][NegatedDueToPreviousWord] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the target audience , aged between 7-13 , who are undemanding , will probably like it however , thanks to it's dumbed down humour . 	the target audience , aged between 7-13 , who are undemanding , will probably like it however , thanks to it's dumbed down humour .	3	-2	 the[0] target[0] audience[0] aged[0] between[0] 7[0] -13[0] who[0] are[0] undemanding[0] will[0] probably[0] like[1] it[0] however[0] thanks[1] to[0] it's[0] dumbed[-1] down[0] humour[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
everyone else , however , should give doctor dolittle a miss . 	everyone else , however , should give doctor dolittle a miss .	2	-2	 everyone[0] else[0] however[0] should[0] give[0] doctor[0] dolittle[0] a[0] miss[-1] [[Sentence=-2,1=word max, 1-5]] [[changed to +2 due to 'miss']][[[2,-2 max of sentences]]]
