when the haunting arrived in theaters , all i kept hearing about was the overdone special effects and the fact that very often the unseen bumps in the night in a horror film are far scarier than those that you can put a face to courtesy of special effects . 	Translation	Positive	Negative	EmotionRationale
and he also fails to mention that the mansion has a reputation for strange goings-on . 	and he also fails to mention that the mansion has a reputation for strange goings-on .	1	-3	 and[0] he[0] also[0] fails[-2] to[0] mention[0] that[0] the[0] mansion[0] has[0] a[0] reputation[0] for[0] strange[0] goings[0] on[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
catherine zeta-jones , lili taylor and owen wilson play his subjects . 	catherine zeta-jones , lili taylor and owen wilson play his subjects .	1	-1	 catherine[0] zeta[0] jones[0] lili[0] taylor[0] and[0] owen[0] wilson[0] play[0] his[0] subjects[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
like the original , taylor's character is the star of the movie . 	like the original , taylor's character is the star of the movie .	2	-1	 like[1] the[0] original[0] taylor's[0] character[0] is[0] the[0] star[0] of[0] the[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but since she doesn't quite have the marquee power of liam neeson and ms . zeta-jones , their parts did seem to be a big larger than in the original . 	but since she doesn't quite have the marquee power of liam neeson and ms .<br> zeta-jones , their parts did seem to be a big larger than in the original .	1	-1	 but[0] since[0] she[0] doesn't[0] quite[0] have[0] the[0] marquee[0] power[0] of[0] liam[0] neeson[0] and[0] ms[0] [[Sentence=-1,1=word max, 1-5]] zeta[0] jones[0] their[0] parts[0] did[0] seem[0] to[0] be[0] a[0] big[0] larger[0] than[0] in[0] the[0] original[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and let's face it , probably half the people who see this movie will do so because of zeta-jones . 	and let's face it , probably half the people who see this movie will do so because of zeta-jones .	1	-1	 and[0] let's[0] face[0] it[0] probably[0] half[0] the[0] people[0] who[0] see[0] this[0] movie[0] will[0] do[0] so[0] because[0] of[0] zeta[0] jones[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i'll admit that i would have never seen this thing if she weren't in it . 	i'll admit that i would have never seen this thing if she weren't in it .	1	-1	 i'll[0] admit[0] that[0] i[0] would[0] have[0] never[0] seen[0] this[0] thing[0] if[0] she[0] weren't[0] in[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but the real stars here is the special effects combined with the fairly overdone sets . 	but the real stars here is the special effects combined with the fairly overdone sets .	2	-1	 but[0] the[0] real[0] stars[0] here[0] is[0] the[0] special[1] effects[0] combined[0] with[0] the[0] fairly[0] overdone[0] sets[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
they take over the movie as the supernatural elements of the house start to interact with our hapless insomnia patients . 	they take over the movie as the supernatural elements of the house start to interact with our hapless insomnia patients .	1	-2	 they[0] take[0] over[0] the[0] movie[0] as[0] the[0] supernatural[0] elements[0] of[0] the[0] house[0] start[0] to[0] interact[0] with[0] our[0] hapless[-1] insomnia[0] patients[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there really isn't much of a story here . 	there really isn't much of a story here .	1	-1	 there[0] really[0] isn't[0] much[0] of[0] a[0] story[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
just endless setups so director jan de bont can showcase all the nifty special effects that he got to play with . 	just endless setups so director jan de bont can showcase all the nifty special effects that he got to play with .	2	-1	 just[0] endless[0] setups[0] so[0] director[0] jan[0] de[0] bont[0] can[0] showcase[0] all[0] the[0] nifty[0] special[1] effects[0] that[0] he[0] got[0] to[0] play[0] with[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and the special effects are great . 	and the special effects are great .	3	-1	 and[0] the[0] special[1] effects[0] are[0] great[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
in many cases they are as good as you are likely to see anywhere . 	in many cases they are as good as you are likely to see anywhere .	2	-1	 in[0] many[0] cases[0] they[0] are[0] as[0] good[1] as[0] you[0] are[0] likely[0] to[0] see[0] anywhere[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in other cases they are overdone and obviously thrown in just for the sake of hitting the " cool shots " quota . 	in other cases they are overdone and obviously thrown in just for the sake of hitting the " cool shots " quota .	2	-1	 in[0] other[0] cases[0] they[0] are[0] overdone[0] and[0] obviously[0] thrown[0] in[0] just[0] for[0] the[0] sake[0] of[0] hitting[0] the[0] cool[1] shots[0] quota[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
at no point in the movie do any of these things ever come close to being scary -- funny , maybe . 	at no point in the movie do any of these things ever come close to being scary - funny , maybe .	2	-4	 at[0] no[0] point[0] in[0] the[0] movie[0] do[0] any[0] of[0] these[0] things[0] ever[0] come[0] close[0] to[0] being[0] scary[-3] funny[1] maybe[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
but not scary . 	but not scary .	4	-1	 but[0] not[0] scary[-3][NegatedDueToPreviousWord] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
then we have the set . 	then we have the set .	1	-1	 then[0] we[0] have[0] the[0] set[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when i first saw the house , i was very impressed with the very cool gothic look about it . 	when i first saw the house , i was very impressed with the very cool gothic look about it .	3	-1	 when[0] i[0] first[0] saw[0] the[0] house[0] i[0] was[0] very[0] impressed[1][1 LastWordBoosterStrength] with[0] the[0] very[0] cool[1][1 LastWordBoosterStrength] gothic[0] look[0] about[0] it[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but it only took a short tour by the characters around the place to see that the set designers obviously had as much money to burn as the visual effects people did , and decided to take the idiotically overdone route . 	but it only took a short tour by the characters around the place to see that the set designers obviously had as much money to burn as the visual effects people did , and decided to take the idiotically overdone route .	1	-3	 but[0] it[0] only[0] took[0] a[0] short[0] tour[0] by[0] the[0] characters[0] around[0] the[0] place[0] to[0] see[0] that[0] the[0] set[0] designers[0] obviously[0] had[0] as[0] much[0] money[0] to[0] burn[-1] as[0] the[0] visual[0] effects[0] people[0] did[0] and[0] decided[0] to[0] take[0] the[0] idiotically[-2] overdone[0] route[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this included a flooded hallway with books as stepping stones and a mirrored circular room that revolves . 	this included a flooded hallway with books as stepping stones and a mirrored circular room that revolves .	1	-1	 this[0] included[0] a[0] flooded[0] hallway[0] with[0] books[0] as[0] stepping[0] stones[0] and[0] a[0] mirrored[0] circular[0] room[0] that[0] revolves[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what part did these rooms play in the story ? 	what part did these rooms play in the story ?	1	-1	 what[0] part[0] did[0] these[0] rooms[0] play[0] in[0] the[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
absolutely none . 	absolutely none .	1	-1	 absolutely[0] none[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they were just there to take our minds off the fact that there was neither a descent story nor a single scare in the entire movie . 	they were just there to take our minds off the fact that there was neither a descent story nor a single scare in the entire movie .	1	-4	 they[0] were[0] just[0] there[0] to[0] take[0] our[0] minds[0] off[0] the[0] fact[0] that[0] there[0] was[0] neither[0] a[0] descent[0] story[0] nor[0] a[0] single[0] scare[-3] in[0] the[0] entire[0] movie[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
then we have the actors . 	then we have the actors .	1	-1	 then[0] we[0] have[0] the[0] actors[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
lili taylor has never been one of my favorites . 	lili taylor has never been one of my favorites .	2	-1	 lili[0] taylor[0] has[0] never[0] been[0] one[0] of[0] my[0] favorites[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and when the fact that her character is mousy and pathetic is factored in , she comes in around the average or slightly below mark . 	and when the fact that her character is mousy and pathetic is factored in , she comes in around the average or slightly below mark .	1	-3	 and[0] when[0] the[0] fact[0] that[0] her[0] character[0] is[0] mousy[0] and[0] pathetic[-2] is[0] factored[0] in[0] she[0] comes[0] in[0] around[0] the[0] average[0] or[0] slightly[0] below[0] mark[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i have no idea why liam neeson took this role . 	i have no idea why liam neeson took this role .	1	-1	 i[0] have[0] no[0] idea[0] why[0] liam[0] neeson[0] took[0] this[0] role[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he basically reminded me of the ringmaster at an out of control circus . 	he basically reminded me of the ringmaster at an out of control circus .	1	-1	 he[0] basically[0] reminded[0] me[0] of[0] the[0] ringmaster[0] at[0] an[0] out[0] of[0] control[0] circus[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his character was in charge of this farce but it quickly got away from him . 	his character was in charge of this farce but it quickly got away from him .	1	-2	 his[0] character[0] was[0] in[0] charge[-1] of[0] this[0] farce[-1] but[0] it[0] quickly[0] got[0] away[0] from[0] him[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i have no doubt that liam will want to lock all prints of this movie in a very secure vault along with all copies of darkman . 	i have no doubt that liam will want to lock all prints of this movie in a very secure vault along with all copies of darkman .	3	-2	 i[0] have[0] no[0] doubt[-1] that[0] liam[0] will[0] want[0] to[0] lock[0] all[0] prints[0] of[0] this[0] movie[0] in[0] a[0] very[0] secure[1][1 LastWordBoosterStrength] vault[0] along[0] with[0] all[0] copies[0] of[0] darkman[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
zeta-jones was cast because she is too hot for words . 	zeta-jones was cast because she is too hot for words .	1	-1	 zeta[0] jones[0] was[0] cast[0] because[0] she[0] is[0] too[0] hot[0] for[0] words[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the fact that her character is bi-sexual is just icing on the cake . 	the fact that her character is bi-sexual is just icing on the cake .	1	-1	 the[0] fact[0] that[0] her[0] character[0] is[0] bi[0] sexual[0] is[0] just[0] icing[0] on[0] the[0] cake[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
all catherine has to do in this movie is look good . 	all catherine has to do in this movie is look good .	2	-1	 all[0] catherine[0] has[0] to[0] do[0] in[0] this[0] movie[0] is[0] look[0] good[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
fortunately that is something she does very well . 	fortunately that is something she does very well .	1	-1	 fortunately[0] that[0] is[0] something[0] she[0] does[0] very[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while she does have a fairly good size part , it is obvious that her only purpose in the movie was as eye-candy . 	while she does have a fairly good size part , it is obvious that her only purpose in the movie was as eye-candy .	2	-1	 while[0] she[0] does[0] have[0] a[0] fairly[0] good[1] size[0] part[0] it[0] is[0] obvious[0] that[0] her[0] only[0] purpose[0] in[0] the[0] movie[0] was[0] as[0] eye[0] candy[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's too bad someone of her talents wasted them here . 	it's too bad someone of her talents wasted them here .	2	-2	 it's[0] too[0] bad[-1] someone[0] of[0] her[0] talents[1] wasted[-1] them[0] here[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
any random supermodel pulled out of a fashion show could have easily filled her role . 	any random supermodel pulled out of a fashion show could have easily filled her role .	1	-1	 any[0] random[0] supermodel[0] pulled[0] out[0] of[0] a[0] fashion[0] show[0] could[0] have[0] easily[0] filled[0] her[0] role[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the haunting is the antithesis of another of 1999's horror movies , the blair witch project . 	the haunting is the antithesis of another of 199's horror movies , the blair witch project .	1	-4	 the[0] haunting[0] is[0] the[0] antithesis[0] of[0] another[0] of[0] 1999's/199's[0] horror[-3] movies[0] the[0] blair[0] witch[0] project[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the haunting had a seemingly limitless effects budget , while blair witch relies on piles of rocks for its scares . 	the haunting had a seemingly limitless effects budget , while blair witch relies on piles of rocks for its scares .	1	-4	 the[0] haunting[0] had[0] a[0] seemingly[0] limitless[0] effects[0] budget[0] while[0] blair[0] witch[0] relies[0] on[0] piles[0] of[0] rocks[0] for[0] its[0] scares[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
both prove quite nicely that special effects are irrelevant to a horror film . 	both prove quite nicely that special effects are irrelevant to a horror film .	2	-4	 both[0] prove[0] quite[0] nicely[1] that[0] special[1] effects[0] are[0] irrelevant[0] to[0] a[0] horror[-3] film[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
if the story sucks , it's all downhill from there . 	if the story sucks , it's all downhill from there .	1	-2	 if[0] the[0] story[0] sucks[-1] it's[0] all[0] downhill[0] from[0] there[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
my advice ? 	my advice ?	1	-1	 my[0] advice[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if you are looking for special effects , go rent star wars . 	if you are looking for special effects , go rent star wars .	2	-3	 if[0] you[0] are[0] looking[0] for[0] special[1] effects[0] go[0] rent[0] star[0] wars[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
if it's scares you want , rent halloween . 	if it's scares you want , rent halloween .	1	-4	 if[0] it's[0] scares[-3] you[0] want[0] rent[0] halloween[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
either way , it's probably in your best interests to skip the haunting . 	either way , it's probably in your best interests to skip the haunting .	2	-1	 either[0] way[0] it's[0] probably[0] in[0] your[0] best[1] interests[1] to[0] skip[0] the[0] haunting[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
