i went to blair witch project 2 : book of shadows with the highest of hopes . 	Translation	Positive	Negative	EmotionRationale
i had a sinking feeling during these opening scenes ; generally , a hospital scene that is set with poor lighting , filthy interiors , and evil doctors is a sure sign that you are in the throes of a truly horrible movie . 	i had a sinking feeling during these opening scenes ; generally , a hospital scene that is set with poor lighting , filthy interiors , and evil doctors is a sure sign that you are in the throes of a truly horrible movie .	2	-4	 i[0] had[0] a[0] sinking[0] feeling[0] during[0] these[0] opening[0] scenes[0] generally[0] a[0] hospital[0] scene[0] that[0] is[0] set[0] with[0] poor[-1] lighting[0] filthy[-1] interiors[0] and[0] evil[-2] doctors[0] is[0] a[0] sure[0] sign[0] that[0] you[0] are[0] in[0] the[0] throes[0] of[0] a[0] truly[1] horrible[-3] movie[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the movie cuts again , this time to the present . 	the movie cuts again , this time to the present .	1	-1	 the[0] movie[0] cuts[0] again[0] this[0] time[0] to[0] the[0] present[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the young man , whose name is jeffrey ( played by jeffrey donovan -- as in the first movie , the character names are identical to the actors' names , although this movie admits up front that it is fictional , so there's no reason for the practice this time around ) , is rounding up a group of people that he will be leading into the woods that weekend for the " blair witch hunt , " which is a promotional gimmick he came up with and sells on his website . 	the young man , whose name is jeffrey ( played by jeffrey donovan - as in the first movie , the character names are identical to the actors' names , although this movie admits up front that it is fictional , so there's no reason for the practice this time around ) , is rounding up a group of people that he will be leading into the woods that weekend for the " blair witch hunt , " which is a promotional gimmick he came up with and sells on his website .	1	-1	 the[0] young[0] man[0] whose[0] name[0] is[0] jeffrey[0] played[0] by[0] jeffrey[0] donovan[0] as[0] in[0] the[0] first[0] movie[0] the[0] character[0] names[0] are[0] identical[0] to[0] the[0] actors'[0] names[0] although[0] this[0] movie[0] admits[0] up[0] front[0] that[0] it[0] is[0] fictional[0] so[0] there's[0] no[0] reason[0] for[0] the[0] practice[0] this[0] time[0] around[0] is[0] rounding[0] up[0] a[0] group[0] of[0] people[0] that[0] he[0] will[0] be[0] leading[0] into[0] the[0] woods[0] that[0] weekend[0] for[0] the[0] blair[0] witch[0] hunt[0] which[0] is[0] a[0] promotional[0] gimmick[0] he[0] came[0] up[0] with[0] and[0] sells[0] on[0] his[0] website[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we meet tristen and steven , a young couple who are writing a book about the blair witch experience . 	we meet tristen and steven , a young couple who are writing a book about the blair witch experience .	1	-1	 we[0] meet[0] tristen[0] and[0] steven[0] a[0] young[0] couple[0] who[0] are[0] writing[0] a[0] book[0] about[0] the[0] blair[0] witch[0] experience[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
steven is a skeptic , believing the whole thing to be the result of mass hysteria . 	steven is a skeptic , believing the whole thing to be the result of mass hysteria .	1	-2	 steven[0] is[0] a[0] skeptic[-1] believing[0] the[0] whole[0] thing[0] to[0] be[0] the[0] result[0] of[0] mass[0] hysteria[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
tristen , on the other hand , believes that there may be some truth to the rumors of supernatural occurrence . 	tristen , on the other hand , believes that there may be some truth to the rumors of supernatural occurrence .	1	-1	 tristen[0] on[0] the[0] other[0] hand[0] believes[0] that[0] there[0] may[0] be[0] some[0] truth[1][-1 LastWordBoosterStrength] to[0] the[0] rumors[0] of[0] supernatural[0] occurrence[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she is wan and soft-spoken ; she complains that the radio is playing too loudly . 	she is wan and soft-spoken ; she complains that the radio is playing too loudly .	2	-2	 she[0] is[0] wan[0] and[0] soft[0] spoken[0] she[0] complains[-1] that[0] the[0] radio[0] is[0] playing[1] too[0] loudly[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 ( she also complains that she feels nauseated ; i knew immediately that the character was pregnant , and my intuition was confirmed a few scenes later when kim psychomagically susses it out . 	 ( she also complains that she feels nauseated ; i knew immediately that the character was pregnant , and my intuition was confirmed a few scenes later when kim psychomagically susses it out .	1	-2	 she[0] also[0] complains[-1] that[0] she[0] feels[0] nauseated[0] i[0] knew[0] immediately[0] that[0] the[0] character[0] was[0] pregnant[0] and[0] my[0] intuition[0] was[0] confirmed[0] a[0] few[0] scenes[0] later[0] when[0] kim[0] psychomagically[0] susses[0] it[0] out[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
how did i know ? 	how did i know ?	1	-1	 how[0] did[0] i[0] know[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
because in bad movies , nauseated women are always pregnant . ) 	because in bad movies , nauseated women are always pregnant .<br> )	1	-2	 because[0] in[0] bad[-1] movies[0] nauseated[0] women[0] are[0] always[0] pregnant[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the fourth member of their party is erica , a wiccan with flowing hair and wide eyes who wants to prove that the blair witch was a good witch , not evil . 	the fourth member of their party is erica , a wiccan with flowing hair and wide eyes who wants to prove that the blair witch was a good witch , not evil .	3	-1	 the[0] fourth[0] member[0] of[0] their[0] party[0] is[0] erica[0] a[0] wiccan[0] with[0] flowing[0] hair[0] and[0] wide[0] eyes[0] who[0] wants[0] to[0] prove[0] that[0] the[0] blair[0] witch[0] was[0] a[0] good[1] witch[0] not[0] evil[-2][NegatedDueToPreviousWord] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
they pick up the fifth and final team member in a cemetery . 	they pick up the fifth and final team member in a cemetery .	1	-1	 they[0] pick[0] up[0] the[0] fifth[0] and[0] final[0] team[0] member[0] in[0] a[0] cemetery[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
kim is dressed completely in black , has extreme goth-style makeup on , and occasionally displays seemingly psychic abilities , but otherwise seems to be the most intelligent and reasonable person out of the entire bunch . 	kim is dressed completely in black , has extreme goth-style makeup on , and occasionally displays seemingly psychic abilities , but otherwise seems to be the most intelligent and reasonable person out of the entire bunch .	2	-1	 kim[0] is[0] dressed[0] completely[0] in[0] black[0] has[0] extreme[0] goth[0] style[0] makeup[0] on[0] and[0] occasionally[0] displays[0] seemingly[0] psychic[0] abilities[0] but[0] otherwise[0] seems[0] to[0] be[0] the[0] most[0] intelligent[1] and[0] reasonable[0] person[0] out[0] of[0] the[0] entire[0] bunch[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
presumably she wanted to be picked up in the cemetery just for dramatic effect ; it's never explained . 	presumably she wanted to be picked up in the cemetery just for dramatic effect ; it's never explained .	1	-1	 presumably[0] she[0] wanted[0] to[0] be[0] picked[0] up[0] in[0] the[0] cemetery[0] just[0] for[0] dramatic[0] effect[0] it's[0] never[0] explained[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the party of five heads off into the woods as promised . 	the party of five heads off into the woods as promised .	2	-1	 the[0] party[0] of[0] five[0] heads[0] off[0] into[0] the[0] woods[0] as[0] promised[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
they reach the crumbling ruins of the foundation of rustin parr's house and set up camp , complete with extensive video equipment with which to record the night's events . 	they reach the crumbling ruins of the foundation of rustin parr's house and set up camp , complete with extensive video equipment with which to record the night's events .	1	-1	 they[0] reach[0] the[0] crumbling[0] ruins[0] of[0] the[0] foundation[0] of[0] rustin[0] parr's[0] house[0] and[0] set[0] up[0] camp[0] complete[0] with[0] extensive[0] video[0] equipment[0] with[0] which[0] to[0] record[0] the[0] night's[0] events[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is a brief encounter with a rival blair witch tour group who had planned to camp at that site as well , but after a few words are exchanged , the rival group huffs off and makes camp elsewhere . 	there is a brief encounter with a rival blair witch tour group who had planned to camp at that site as well , but after a few words are exchanged , the rival group huffs off and makes camp elsewhere .	1	-2	 there[0] is[0] a[0] brief[0] encounter[0] with[0] a[0] rival[-1] blair[0] witch[0] tour[0] group[0] who[0] had[0] planned[0] to[0] camp[0] at[0] that[0] site[0] as[0] well[0] but[0] after[0] a[0] few[0] words[0] are[0] exchanged[0] the[0] rival[-1] group[0] huffs[0] off[0] and[0] makes[0] camp[0] elsewhere[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the movie veers off at this point to spend many long , long minutes showing the drinking party that ensues after the sun goes down . 	the movie veers off at this point to spend many long , long minutes showing the drinking party that ensues after the sun goes down .	1	-1	 the[0] movie[0] veers[0] off[0] at[0] this[0] point[0] to[0] spend[0] many[0] long[0] long[0] minutes[0] showing[0] the[0] drinking[0] party[0] that[0] ensues[0] after[0] the[0] sun[0] goes[0] down[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sexual innuendoes are tossed around , much hard liquor , beer , and pot is consumed , and nothing much else happens . 	sexual innuendoes are tossed around , much hard liquor , beer , and pot is consumed , and nothing much else happens .	1	-1	 sexual[0] innuendoes[0] are[0] tossed[0] around[0] much[0] hard[0] liquor[0] beer[0] and[0] pot[0] is[0] consumed[0] and[0] nothing[0] much[0] else[0] happens[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this would be a great point to get up and go to the bathroom if necessary . 	this would be a great point to get up and go to the bathroom if necessary .	3	-1	 this[0] would[0] be[0] a[0] great[2] point[0] to[0] get[0] up[0] and[0] go[0] to[0] the[0] bathroom[0] if[0] necessary[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the next day , the team wakes up and discovers that their camera equipment has been completely trashed , and that steven and tristen's manuscript paper is fluttering down from the sky in shreds , like snow . 	the next day , the team wakes up and discovers that their camera equipment has been completely trashed , and that steven and tristen's manuscript paper is fluttering down from the sky in shreds , like snow .	2	-3	 the[0] next[0] day[0] the[0] team[0] wakes[0] up[0] and[0] discovers[0] that[0] their[0] camera[0] equipment[0] has[0] been[0] completely[0] trashed[-1][-1 LastWordBoosterStrength] and[0] that[0] steven[0] and[0] tristen's[0] manuscript[0] paper[0] is[0] fluttering[0] down[0] from[0] the[0] sky[0] in[0] shreds[-1] like[1] snow[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the videotapes are missing , but thanks to a psychic intuition from kim , they discover the videotapes buried underneath the foundation of the house , " right where the original blair witch tapes were found ! " 	the videotapes are missing , but thanks to a psychic intuition from kim , they discover the videotapes buried underneath the foundation of the house , " right where the original blair witch tapes were found !<br> "	2	-3	 the[0] videotapes[0] are[0] missing[0] but[0] thanks[1] to[0] a[0] psychic[0] intuition[0] from[0] kim[0] they[0] discover[0] the[0] videotapes[0] buried[-2] underneath[0] the[0] foundation[0] of[0] the[0] house[0] right[0] where[0] the[0] original[0] blair[0] witch[0] tapes[0] were[0] found[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
ooh . 	ooh .	1	-1	 ooh[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
spooky . 	spooky .	1	-1	 spooky[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the team goes back to jeffrey's house -- a creepy old civil war-era warehouse in the heart of the woods -- to regroup and review the tapes . 	the team goes back to jeffrey's house - a creepy old civil war-era warehouse in the heart of the woods - to regroup and review the tapes .	1	-3	 the[0] team[0] goes[0] back[0] to[0] jeffrey's[0] house[0] a[0] creepy[0] old[0] civil[0] war[-2] era[0] warehouse[0] in[0] the[0] heart[0] of[0] the[0] woods[0] to[0] regroup[0] and[0] review[0] the[0] tapes[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
they soon discover that the tapes mysteriously skip five hours of the night . 	they soon discover that the tapes mysteriously skip five hours of the night .	1	-1	 they[0] soon[0] discover[0] that[0] the[0] tapes[0] mysteriously[0] skip[0] five[0] hours[0] of[0] the[0] night[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
wacky hijinks ensue . 	wacky hijinks ensue .	1	-1	 wacky[0] hijinks[0] ensue[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
tristen starts having weird dreams in which she is the blair witch , everybody starts finding these weird rune-like burn marks on their bodies , steven and erica have some highly disturbing mutual hallucinations , and everything pretty much goes to hell in a handbasket . 	tristen starts having weird dreams in which she is the blair witch , everybody starts finding these weird rune-like burn marks on their bodies , steven and erica have some highly disturbing mutual hallucinations , and everything pretty much goes to hell in a handbasket .	3	-2	 tristen[0] starts[0] having[0] weird[-1] dreams[0] in[0] which[0] she[0] is[0] the[0] blair[0] witch[0] everybody[0] starts[0] finding[0] these[0] weird[-1] rune[0] like[1] burn[-1] marks[0] on[0] their[0] bodies[0] steven[0] and[0] erica[0] have[0] some[0] highly[0] disturbing[-1] mutual[0] hallucinations[0] and[0] everything[0] pretty[2] much[0] goes[0] to[0] hell[-1] in[0] a[0] handbasket[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
throughout the entire ordeal , jeffrey and the others continue to scrutinize the videotapes , which seem to have some kind of weird images on them at about the point that the time jumps ; eventually tristen wanders in , mutters something about " reverse , " and from this they somehow realize that they have to play the tapes backwards . 	throughout the entire ordeal , jeffrey and the others continue to scrutinize the videotapes , which seem to have some kind of weird images on them at about the point that the time jumps ; eventually tristen wanders in , mutters something about " reverse , " and from this they somehow realize that they have to play the tapes backwards .	1	-3	 throughout[0] the[0] entire[0] ordeal[-2] jeffrey[0] and[0] the[0] others[0] continue[0] to[0] scrutinize[-1] the[0] videotapes[0] which[0] seem[0] to[0] have[0] some[0] kind[1][-1 LastWordBoosterStrength] of[0] weird[-1] images[0] on[0] them[0] at[0] about[0] the[0] point[0] that[0] the[0] time[0] jumps[0] eventually[0] tristen[0] wanders[0] in[0] mutters[0] something[0] about[0] reverse[0] and[0] from[0] this[0] they[0] somehow[0] realize[0] that[0] they[0] have[0] to[0] play[0] the[0] tapes[0] backwards[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
when they do this , they discover what really happened during the five lost hours . 	when they do this , they discover what really happened during the five lost hours .	1	-1	 when[0] they[0] do[0] this[0] they[0] discover[0] what[0] really[0] happened[0] during[0] the[0] five[0] lost[0] hours[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( one of the things they see on the videotape is footage of themselves burying the videotapes . 	 ( one of the things they see on the videotape is footage of themselves burying the videotapes .	1	-1	 one[0] of[0] the[0] things[0] they[0] see[0] on[0] the[0] videotape[0] is[0] footage[0] of[0] themselves[0] burying[0] the[0] videotapes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
okay , if the videotapes were being buried , then how were they recording themselves . . . oh , 	okay , if the videotapes were being buried , then how were they recording themselves .<br> .<br> .<br> oh ,	1	-3	 okay[0] if[0] the[0] videotapes[0] were[0] being[0] buried[-2] then[0] how[0] were[0] they[0] recording[0] themselves[0] [[Sentence=-3,1=word max, 1-5]] oh[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
nevermind . ) 	nevermind .<br> )	1	-1	 nevermind[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this movie was awful . 	this movie was awful .	1	-4	 this[0] movie[0] was[0] awful[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
simply awful . 	simply awful .	1	-4	 simply[0] awful[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the characters are broadly-drawn caricatures that are never allowed any depth or development . 	the characters are broadly-drawn caricatures that are never allowed any depth or development .	1	-1	 the[0] characters[0] are[0] broadly[0] drawn[0] caricatures[0] that[0] are[0] never[0] allowed[0] any[0] depth[0] or[0] development[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
erica is the nature-loving wiccan . 	erica is the nature-loving wiccan .	4	-1	 erica[0] is[0] the[0] nature[0] loving[3] wiccan[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
tristen is the weak and sympathetic woman . 	tristen is the weak and sympathetic woman .	1	-2	 tristen[0] is[0] the[0] weak[-1] and[0] sympathetic[0] woman[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
steven is the overbearing asshole . 	steven is the overbearing asshole .	1	-3	 steven[0] is[0] the[0] overbearing[-1] asshole[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
kim is the antisocial goth girl . 	kim is the antisocial goth girl .	1	-1	 kim[0] is[0] the[0] antisocial[0] goth[0] girl[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
old , tired cliches were used to illustrate these caricatures . 	old , tired cliches were used to illustrate these caricatures .	1	-2	 old[0] tired[-1] cliches[0] were[0] used[0] to[0] illustrate[0] these[0] caricatures[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
how do we know tristen is weak and sympathetic ? 	how do we know tristen is weak and sympathetic ?	1	-2	 how[0] do[0] we[0] know[0] tristen[0] is[0] weak[-1] and[0] sympathetic[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
because she's pregnant ! 	because she's pregnant !	1	-1	 because[0] she's[0] pregnant[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
how do we know kim is an antisocial goth girl ? 	how do we know kim is an antisocial goth girl ?	1	-1	 how[0] do[0] we[0] know[0] kim[0] is[0] an[0] antisocial[0] goth[0] girl[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
because she wears a lot of eye makeup ! 	because she wears a lot of eye makeup !	1	-1	 because[0] she[0] wears[0] a[0] lot[0] of[0] eye[0] makeup[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
how do we know the local sheriff is a bad guy ? 	how do we know the local sheriff is a bad guy ?	1	-2	 how[0] do[0] we[0] know[0] the[0] local[0] sheriff[0] is[0] a[0] bad[-1] guy[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
because he has jagged teeth and talks like he's straight out of " deliverance " ! 	because he has jagged teeth and talks like he's straight out of " deliverance " !	2	-1	 because[0] he[0] has[0] jagged[0] teeth[0] and[0] talks[0] like[1] he's[0] straight[0] out[0] of[0] deliverance[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this is weak storytelling at its worst . 	this is weak storytelling at its worst .	1	-3	 this[0] is[0] weak[-1] storytelling[0] at[0] its[0] worst[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
rather than taking the time to flesh out the characters and make them truly sympathetic , the writer chose to give each one a few stereotypical characteristics , in an attempt to use some cinematic shorthand and thereby skip straight to the action . 	rather than taking the time to flesh out the characters and make them truly sympathetic , the writer chose to give each one a few stereotypical characteristics , in an attempt to use some cinematic shorthand and thereby skip straight to the action .	2	-1	 rather[0] than[0] taking[0] the[0] time[0] to[0] flesh[0] out[0] the[0] characters[0] and[0] make[0] them[0] truly[1] sympathetic[0] the[0] writer[0] chose[0] to[0] give[0] each[0] one[0] a[0] few[0] stereotypical[0] characteristics[0] in[0] an[0] attempt[0] to[0] use[0] some[0] cinematic[0] shorthand[0] and[0] thereby[0] skip[0] straight[0] to[0] the[0] action[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it didn't work . 	it didn't work .	1	-1	 it[0] didn't[0] work[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
on top of being poorly developed , most of the characters were either seriously unlikable or patently stupid . 	on top of being poorly developed , most of the characters were either seriously unlikable or patently stupid .	1	-2	 on[0] top[0] of[0] being[0] poorly[-1] developed[0] most[0] of[0] the[0] characters[0] were[0] either[0] seriously[0] unlikable[0] or[0] patently[0] stupid[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( " honey , you just had a miscarriage out in the woods and got medical attention at a hospital that looks like it belongs in a bad slasher movie . 	 ( " honey , you just had a miscarriage out in the woods and got medical attention at a hospital that looks like it belongs in a bad slasher movie .	2	-2	 honey[0] you[0] just[0] had[0] a[0] miscarriage[0] out[0] in[0] the[0] woods[0] and[0] got[0] medical[0] attention[0] at[0] a[0] hospital[0] that[0] looks[0] like[1] it[0] belongs[0] in[0] a[0] bad[-1] slasher[-1] movie[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
let's get on a plane home . " 	let's get on a plane home .<br> "	1	-1	 let's[0] get[0] on[0] a[0] plane[0] home[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " no . 	 " no .	1	-1	 no[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i am having these bizarre nightmares and seeing strange visions and i want to find out what's going on . " 	i am having these bizarre nightmares and seeing strange visions and i want to find out what's going on .<br> "	1	-2	 i[0] am[0] having[0] these[0] bizarre[-1] nightmares[0] and[0] seeing[0] strange[0] visions[0] and[0] i[0] want[0] to[0] find[0] out[0] what's[0] going[0] on[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " ok . " ) 	 " ok .<br> " )	1	-1	 ok[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
frankly , by the end of the movie , i was rooting for the witch . 	frankly , by the end of the movie , i was rooting for the witch .	1	-1	 frankly[0] by[0] the[0] end[0] of[0] the[0] movie[0] i[0] was[0] rooting[0] for[0] the[0] witch[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i also felt that there was simply too much blood 'n' gore in this film . 	i also felt that there was simply too much blood 'n' gore in this film .	1	-1	 i[0] also[0] felt[0] that[0] there[0] was[0] simply[0] too[0] much[0] blood[0] 'n'[0] gore[0] in[0] this[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the first movie worked by never showing us the horror . 	the first movie worked by never showing us the horror .	1	-4	 the[0] first[0] movie[0] worked[0] by[0] never[0] showing[0] us[0] the[0] horror[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the witch was a palpable presence in that movie , but we never saw it ; we never saw anything , in fact . 	the witch was a palpable presence in that movie , but we never saw it ; we never saw anything , in fact .	1	-1	 the[0] witch[0] was[0] a[0] palpable[0] presence[0] in[0] that[0] movie[0] but[0] we[0] never[0] saw[0] it[0] we[0] never[0] saw[0] anything[0] in[0] fact[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the horror was all off-screen , and thus our imaginations worked overtime to envision what it might possibly be . 	the horror was all off-screen , and thus our imaginations worked overtime to envision what it might possibly be .	1	-4	 the[0] horror[-3] was[0] all[0] off[0] screen[0] and[0] thus[0] our[0] imaginations[0] worked[0] overtime[0] to[0] envision[0] what[0] it[0] might[0] possibly[0] be[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
