warren beatty , diane keaton , goldie hawn and gary shandling star as a pair of married couples whose complacent lives are about to be shaken up in director peter chelsom's version of the classic romantic , screwball comedy in " town & country . " 	Translation	Positive	Negative	EmotionRationale
keaton's ellie is an empty headed flake who can't see the obvious as porter screws around on her . 	keaton's ellie is an empty headed flake who can't see the obvious as porter screws around on her .	1	-1	 keaton's[0] ellie[0] is[0] an[0] empty[0] headed[0] flake[0] who[0] can't[0] see[0] the[0] obvious[0] as[0] porter[0] screws[0] around[0] on[0] her[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and , as you get to know them , who would want friends like griffin and mona ? 	and , as you get to know them , who would want friends like griffin and mona ?	2	-1	 and[0] as[0] you[0] get[0] to[0] know[0] them[0] who[0] would[0] want[0] friends[1] like[1] griffin[0] and[0] mona[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the supporting cast is given nothing to do and , sometimes , does harm to the film , given the material they are forced to use . 	the supporting cast is given nothing to do and , sometimes , does harm to the film , given the material they are forced to use .	2	-3	 the[0] supporting[1] cast[0] is[0] given[0] nothing[0] to[0] do[0] and[0] sometimes[0] does[0] harm[-2] to[0] the[0] film[0] given[0] the[0] material[0] they[0] are[0] forced[0] to[0] use[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
nastassja kinski plays a cellist with whom porter has a fling . 	nastassja kinski plays a cellist with whom porter has a fling .	2	-3	 nastassja[-2] kinski[0] plays[1] a[0] cellist[0] with[0] whom[0] porter[0] has[0] a[0] fling[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the actress , who has , eerily , failed to age over the years , is miscast as the air-headed musician and the character doesn't belong , anyway . 	the actress , who has , eerily , failed to age over the years , is miscast as the air-headed musician and the character doesn't belong , anyway .	1	-3	 the[0] actress[0] who[0] has[0] eerily[0] failed[-2] to[0] age[0] over[0] the[0] years[0] is[0] miscast[0] as[0] the[0] air[0] headed[0] musician[0] and[0] the[0] character[0] doesn't[0] belong[0] anyway[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
jenna elfman is a sweet , but smart , ditz who joins porter and griffin on one of their tacked on misadventures . 	jenna elfman is a sweet , but smart , ditz who joins porter and griffin on one of their tacked on misadventures .	2	-1	 jenna[0] elfman[0] is[0] a[0] sweet[1] but[0] smart[1] ditz[0] who[0] joins[0] porter[0] and[0] griffin[0] on[0] one[0] of[0] their[0] tacked[0] on[0] misadventures[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
andie macdowell is absolutely painful to watch as a wealthy heiress ( is there any other kind in this movie ? ) 	andie macdowell is absolutely painful to watch as a wealthy heiress ( is there any other kind in this movie ?<br> )	2	-5	 andie[0] macdowell[0] is[0] absolutely[0] painful[-3][-1 LastWordBoosterStrength] to[0] watch[0] as[0] a[0] wealthy[0] heiress[0] is[0] there[0] any[0] other[0] kind[1] in[0] this[0] movie[0] [[Sentence=-5,2=word max, 1-5]][[[2,-5 max of sentences]]]
who comes on to porter . 	who comes on to porter .	1	-1	 who[0] comes[0] on[0] to[0] porter[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the saving grace is a pair of quirky perf's by charlton heston and marian seldes as macdowell's very strange parents . 	the saving grace is a pair of quirky perf's by charlton heston and marian seldes as macdowell's very strange parents .	3	-1	 the[0] saving[0] grace[2] is[0] a[0] pair[0] of[0] quirky[0] perf's[0] by[0] charlton[0] heston[0] and[0] marian[0] seldes[0] as[0] macdowell's[0] very[0] strange[0] parents[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
glib rationalization of infidelity , like , " if he doesn't speak english , it doesn't count , " are a staple for the screenplay . 	glib rationalization of infidelity , like , " if he doesn't speak english , it doesn't count , " are a staple for the screenplay .	2	-1	 glib[0] rationalization[0] of[0] infidelity[0] like[1] if[0] he[0] doesn't[0] speak[0] english[0] it[0] doesn't[0] count[0] are[0] a[0] staple[0] for[0] the[0] screenplay[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the morality of the film seems to be , if you can get away with it , go for it . 	the morality of the film seems to be , if you can get away with it , go for it .	1	-1	 the[0] morality[0] of[0] the[0] film[0] seems[0] to[0] be[0] if[0] you[0] can[0] get[0] away[0] with[0] it[0] go[0] for[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the cast of characters are mostly people you wouldn't want to know , never mind befriend . 	the cast of characters are mostly people you wouldn't want to know , never mind befriend .	1	-1	 the[0] cast[0] of[0] characters[0] are[0] mostly[0] people[0] you[0] wouldn't[0] want[0] to[0] know[0] never[0] mind[0] befriend[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the actors do their best , but are hamstrung by the weak material . 	the actors do their best , but are hamstrung by the weak material .	2	-2	 the[0] actors[0] do[0] their[0] best[1] but[0] are[0] hamstrung[0] by[0] the[0] weak[-1] material[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
helmer chelsom , who made the outstanding , offbeat comedy " funny bones , " is mired in the mess of a script and never puts his imprint on " town & country . " 	helmer chelsom , who made the outstanding , offbeat comedy " funny bones , " is mired in the mess of a script and never puts his imprint on " town & country .<br> "	3	-1	 helmer[0] chelsom[0] who[0] made[0] the[0] outstanding[2] offbeat[0] comedy[0] funny[1] bones[0] is[0] mired[0] in[0] the[0] mess[0] of[0] a[0] script[0] and[0] never[0] puts[0] his[0] imprint[0] on[0] town[0] &[0] country[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the production values are high , as one expects from a big budget hollywood film . 	the production values are high , as one expects from a big budget hollywood film .	2	-1	 the[0] production[0] values[1] are[0] high[0] as[0] one[0] expects[0] from[0] a[0] big[0] budget[0] hollywood[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but , the opulent sets by caroline hanania , lavish wardrobes by molly maginnis and top-notch photography by william fraker cannot save " town & country . " 	but , the opulent sets by caroline hanania , lavish wardrobes by molly maginnis and top-notch photography by william fraker cannot save " town & country .<br> "	1	-2	 but[0] the[0] opulent[0] sets[0] by[0] caroline[0] hanania[0] lavish[0] wardrobes[0] by[0] molly[0] maginnis[0] and[0] top[0] notch[0] photography[0] by[0] william[0] fraker[0] cannot[0] save[1][NegatedDueToPreviousWord] town[0] &[0] country[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the film has had a long list of production and distribution problems and it might have been better , for me anyway , if hollywood just said no to this movie . 	the film has had a long list of production and distribution problems and it might have been better , for me anyway , if hollywood just said no to this movie .	1	-2	 the[0] film[0] has[0] had[0] a[0] long[0] list[0] of[0] production[0] and[0] distribution[0] problems[-1] and[0] it[0] might[0] have[0] been[0] better[0] for[0] me[0] anyway[0] if[0] hollywood[0] just[0] said[0] no[0] to[0] this[0] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i give it a d . 	i give it a d .	1	-1	 i[0] give[0] it[0] a[0] d[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
