the only thing worse than watching a bad movie is realizing that the film had a lot of potential and could've been effective . 	Translation	Positive	Negative	EmotionRationale
false scares should always be used in moderation . 	false scares should always be used in moderation .	1	-4	 false[0] scares[-3] should[0] always[0] be[0] used[0] in[0] moderation[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
someone needs to tell director blanks that things like this just aren't as scary as they used to be . 	someone needs to tell director blanks that things like this just aren't as scary as they used to be .	4	-1	 someone[0] needs[0] to[0] tell[0] director[0] blanks[0] that[0] things[0] like[1] this[0] just[0] aren't[0] as[0] scary[-3][NegatedDueToPreviousWord] as[0] they[0] used[0] to[0] be[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
this movie commits the biggest sin a horror film can commit--it's not frightening . 	this movie commits the biggest sin a horror film can commit-it's not frightening .	4	-4	 this[0] movie[0] commits[0] the[0] biggest[0] sin[-1] a[0] horror[-3] film[0] can[0] commit[0] it's[0] not[0] frightening[-3][NegatedDueToPreviousWord] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
remember the horror movie cliches that were so mercilessly mocked in _scream_ and _scream 2_ ? 	remember the horror movie cliches that were so mercilessly mocked in _scream_ and _scream 2_ ?	1	-4	 remember[0] the[0] horror[-3] movie[0] cliches[0] that[0] were[0] so[0] mercilessly[-1] mocked[-2] in[0] _scream_[0] and[0] _scream[0] 2_[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
this movie still adheres to them . 	this movie still adheres to them .	1	-1	 this[0] movie[0] still[0] adheres[0] to[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
tons of illogical moments about ; more than i really have the inclination to list . 	tons of illogical moments about ; more than i really have the inclination to list .	1	-2	 tons[0] of[0] illogical[-1] moments[0] about[0] more[0] than[0] i[0] really[0] have[0] the[0] inclination[0] to[0] list[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and i don't mean illogical in the summer popcorn movie sense . 	and i don't mean illogical in the summer popcorn movie sense .	2	-1	 and[0] i[0] don't[0] mean[0] illogical[-1][NegatedDueToPreviousWord] in[0] the[0] summer[0] popcorn[0] movie[0] sense[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
that type of illogical can be fun . 	that type of illogical can be fun .	2	-2	 that[0] type[0] of[0] illogical[-1] can[0] be[0] fun[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this film insults your intelligence more times than i care to remember . 	this film insults your intelligence more times than i care to remember .	2	-3	 this[0] film[0] insults[-2] your[0] intelligence[0] more[0] times[0] than[0] i[0] care[1] to[0] remember[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the last 20 minutes especially degenerates into such lunacy that you'll be laughing more than you'll be screaming . 	the last 20 minutes especially degenerates into such lunacy that you'll be laughing more than you'll be screaming .	2	-4	 the[0] last[0] 20[0] minutes[0] especially[0] degenerates[-1][-1 LastWordBoosterStrength] into[0] such[0] lunacy[0] that[0] you'll[0] be[0] laughing[1] more[0] than[0] you'll[0] be[0] screaming[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
actually , you won't be screaming at all . 	actually , you won't be screaming at all .	4	-1	 actually[0] you[0] won't[0] be[0] screaming[-3][NegatedDueToPreviousWord] at[0] all[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
at its best , the acting can barely be called " adequate " and the script could've definitely used a rewrite or two . 	at its best , the acting can barely be called " adequate " and the script could've definitely used a rewrite or two .	2	-1	 at[0] its[0] best[1] the[0] acting[0] can[0] barely[0] be[0] called[0] adequate[0] and[0] the[0] script[0] could've[0] definitely[0] used[0] a[0] rewrite[0] or[0] two[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the film still manages to have some strong points . 	the film still manages to have some strong points .	1	-1	 the[0] film[0] still[0] manages[0] to[0] have[0] some[0] strong[0] points[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the killings are certainly inventive and plentiful enough to satistfy most gore fans . 	the killings are certainly inventive and plentiful enough to satistfy most gore fans .	1	-1	 the[0] killings[0] are[0] certainly[0] inventive[0] and[0] plentiful[0] enough[0] to[0] satistfy[0] most[0] gore[0] fans[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are some intentionally funny moments . 	there are some intentionally funny moments .	2	-1	 there[0] are[0] some[0] intentionally[0] funny[1] moments[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 ( these were exceeded by the unintentional ones . ) 	 ( these were exceeded by the unintentional ones .<br> )	1	-1	 these[0] were[0] exceeded[0] by[0] the[0] unintentional[0] ones[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film is well made from a technical standpoint . 	the film is well made from a technical standpoint .	1	-1	 the[0] film[0] is[0] well[0] made[0] from[0] a[0] technical[0] standpoint[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
besides the first part , there is also another good scene , a prolonged cat and mouse chase inside a radio station . 	besides the first part , there is also another good scene , a prolonged cat and mouse chase inside a radio station .	2	-2	 besides[0] the[0] first[0] part[0] there[0] is[0] also[0] another[0] good[1] scene[0] a[0] prolonged[0] cat[0] and[0] mouse[0] chase[-1] inside[0] a[0] radio[0] station[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
if there had only been more sequences like this , that relied on tautness and suspense rather than loud bursts of music , _urban legend_ might've been worth your money . 	if there had only been more sequences like this , that relied on tautness and suspense rather than loud bursts of music , _urban legend_ might've been worth your money .	2	-1	 if[0] there[0] had[0] only[0] been[0] more[0] sequences[0] like[1] this[0] that[0] relied[0] on[0] tautness[0] and[0] suspense[0] rather[0] than[0] loud[0] bursts[0] of[0] music[0] _urban[0] legend_[0] might've[0] been[0] worth[0] your[0] money[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
