in the past , tim burton has taken cinema by storm with the action packed batman , and the hilarious ed wood , but lately his films just don't cut it . 	Translation	Positive	Negative	EmotionRationale
by the end of the film , it had audiences in deep thought . 	by the end of the film , it had audiences in deep thought .	1	-1	 by[0] the[0] end[0] of[0] the[0] film[0] it[0] had[0] audiences[0] in[0] deep[0] thought[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
burton however concentrates far too much on the atmosphere , and how to make the main characters heroes . 	burton however concentrates far too much on the atmosphere , and how to make the main characters heroes .	3	-1	 burton[0] however[0] concentrates[0] far[0] too[0] much[0] on[0] the[0] atmosphere[0] and[0] how[0] to[0] make[0] the[0] main[0] characters[0] heroes[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he takes no risk what so ever , and this is where he fails . 	he takes no risk what so ever , and this is where he fails .	1	-3	 he[0] takes[0] no[0] risk[-1] what[0] so[0] ever[0] and[0] this[0] is[0] where[0] he[0] fails[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
another pathetic element of the film was the script . 	another pathetic element of the film was the script .	1	-3	 another[0] pathetic[-2] element[0] of[0] the[0] film[0] was[0] the[0] script[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
like i said earlier , he just stuffed too much in at one time , and made it look real sloppy , kind of like the mess the headless horseman made with his victims . 	like i said earlier , he just stuffed too much in at one time , and made it look real sloppy , kind of like the mess the headless horseman made with his victims .	2	-3	 like[1] i[0] said[0] earlier[0] he[0] just[0] stuffed[0] too[0] much[0] in[0] at[0] one[0] time[0] and[0] made[0] it[0] look[0] real[0] sloppy[-1] kind[1] of[0] like[1] the[0] mess[0] the[0] headless[0] horseman[0] made[0] with[0] his[0] victims[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
he completely butchered the story to pieces . 	he completely butchered the story to pieces .	1	-1	 he[0] completely[0] butchered[0] the[0] story[0] to[0] pieces[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
thankfully there are a few factors that i particularly liked . 	thankfully there are a few factors that i particularly liked .	3	-1	 thankfully[1] there[0] are[0] a[0] few[0] factors[0] that[0] i[0] particularly[0] liked[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the acting by depp was quite notable . 	the acting by dep was quite notable .	1	-1	 the[0] acting[0] by[0] depp/dep[0] was[0] quite[0] notable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he took the nerdy character of the cartoon , and simply acted it out in a better manner . 	he took the nerdy character of the cartoon , and simply acted it out in a better manner .	1	-3	 he[0] took[0] the[0] nerdy[-2] character[0] of[0] the[0] cartoon[0] and[0] simply[0] acted[0] it[0] out[0] in[0] a[0] better[0] manner[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
if it wasn't for his quirky one-liners , i doubt i could have remained awake , because quite frankly i was getting sleepy . 	if it wasn't for his quirky one-liners , i doubt i could have remained awake , because quite frankly i was getting sleepy .	1	-2	 if[0] it[0] wasn't[0] for[0] his[0] quirky[0] one[0] liners[0] i[0] doubt[-1] i[0] could[0] have[0] remained[0] awake[0] because[0] quite[0] frankly[0] i[0] was[0] getting[0] sleepy[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
just when i thought christina ricci was getting to be a good actress , she winds up doing this . 	just when i thought christina ricci was getting to be a good actress , she winds up doing this .	2	-1	 just[0] when[0] i[0] thought[0] christina[0] ricci[0] was[0] getting[0] to[0] be[0] a[0] good[1] actress[0] she[0] winds[0] up[0] doing[0] this[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it just goes to show no actress or actor can pass up a big blockbuster . 	it just goes to show no actress or actor can pass up a big blockbuster .	1	-2	 it[0] just[0] goes[0] to[0] show[0] no[0] actress[0] or[0] actor[0] can[0] pass[0] up[0] a[0] big[0] blockbuster[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's too tempting to let go , even if the script is mush . 	it's too tempting to let go , even if the script is mush .	1	-1	 it's[0] too[0] tempting[0] to[0] let[0] go[0] even[0] if[0] the[0] script[0] is[0] mush[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the atmosphere too was quite involving . 	the atmosphere too was quite involving .	1	-1	 the[0] atmosphere[0] too[0] was[0] quite[0] involving[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i should have just gazed at the sets , and the eerie fog , rather than actually pay attention to what was going on . 	i should have just gazed at the sets , and the eerie fog , rather than actually pay attention to what was going on .	1	-1	 i[0] should[0] have[0] just[0] gazed[0] at[0] the[0] sets[0] and[0] the[0] eerie[0] fog[0] rather[0] than[0] actually[0] pay[0] attention[0] to[0] what[0] was[0] going[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at least burton's films are eye candy , even if they are trash . 	at least burton's films are eye candy , even if they are trash .	1	-2	 at[0] least[0] burton's[0] films[0] are[0] eye[0] candy[0] even[0] if[0] they[0] are[0] trash[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the only real scenes of value were the tree full of heads , and the fight between the horseman , depp and casper van dien . 	the only real scenes of value were the tree full of heads , and the fight between the horseman , dep and casper van dien .	2	-3	 the[0] only[0] real[0] scenes[0] of[0] value[1] were[0] the[0] tree[0] full[0] of[0] heads[0] and[0] the[0] fight[-2] between[0] the[0] horseman[0] depp/dep[0] and[0] casper[0] van[0] dien[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
other than that , i wish i could just fast forward through all the gaping holes in the film , and just sit back and stare at the scenery . 	other than that , i wish i could just fast forward through all the gaping holes in the film , and just sit back and stare at the scenery .	1	-1	 other[0] than[0] that[0] i[0] wish[0] i[0] could[0] just[0] fast[0] forward[0] through[0] all[0] the[0] gaping[0] holes[0] in[0] the[0] film[0] and[0] just[0] sit[0] back[0] and[0] stare[0] at[0] the[0] scenery[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
by the end , i can only think back and laugh at how bad sleepy hollow developed . 	by the end , i can only think back and laugh at how bad sleepy hollow developed .	2	-2	 by[0] the[0] end[0] i[0] can[0] only[0] think[0] back[0] and[0] laugh[1] at[0] how[0] bad[-1] sleepy[0] hollow[-1] developed[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this is the biggest disappointment of the year , especially when such a talented director like burton handles a project like this . 	this is the biggest disappointment of the year , especially when such a talented director like burton handles a project like this .	2	-2	 this[0] is[0] the[0] biggest[0] disappointment[-1] of[0] the[0] year[0] especially[0] when[0] such[0] a[0] talented[1] director[0] like[1] burton[0] handles[0] a[0] project[0] like[1] this[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
don't waste your time or money , because your head will feel hollow . 	don't waste your time or money , because your head will feel hollow .	2	-2	 don't[0] waste[-1][NegatedDueToPreviousWord] your[0] time[0] or[0] money[0] because[0] your[0] head[0] will[0] feel[0] hollow[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
