arnold schwarzenegger has been an icon for action enthusiasts , since the late 80's , but lately his films have been very sloppy and the one-liners are getting worse . 	Translation	Positive	Negative	EmotionRationale
aside form that , he still walked through it , much like he has in the past few films . 	aside form that , he still walked through it , much like he has in the past few films .	2	-1	 aside[0] form[0] that[0] he[0] still[0] walked[0] through[0] it[0] much[0] like[1] he[0] has[0] in[0] the[0] past[0] few[0] films[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i'm sorry to say this arnold but maybe these are the end of your action days . 	i'm sorry to say this arnold but maybe these are the end of your action days .	1	-2	 i'm[0] sorry[-1] to[0] say[0] this[0] arnold[0] but[0] maybe[0] these[0] are[0] the[0] end[0] of[0] your[0] action[0] days[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
speaking of action , where was it in this film ? 	speaking of action , where was it in this film ?	1	-1	 speaking[0] of[0] action[0] where[0] was[0] it[0] in[0] this[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there was hardly any explosions or fights . 	there was hardly any explosions or fights .	1	-3	 there[0] was[0] hardly[0] any[0] explosions[-1] or[0] fights[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the devil made a few places explode , but arnold wasn't kicking some devil butt . 	the devil made a few places explode , but arnold wasn't kicking some devil butt .	1	-2	 the[0] devil[-1] made[0] a[0] few[0] places[0] explode[-1] but[0] arnold[0] wasn't[0] kicking[-1] some[0] devil[-1][--1 LastWordBoosterStrength] butt[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the ending was changed to make it more spiritual , which undoubtedly ruined the film . 	the ending was changed to make it more spiritual , which undoubtedly ruined the film .	1	-2	 the[0] ending[0] was[0] changed[0] to[0] make[0] it[0] more[0] spiritual[0] which[0] undoubtedly[0] ruined[-1] the[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i was at least hoping for a cool ending if nothing else occurred , but once again i was let down . 	i was at least hoping for a cool ending if nothing else occurred , but once again i was let down .	2	-1	 i[0] was[0] at[0] least[0] hoping[1] for[0] a[0] cool[1] ending[0] if[0] nothing[0] else[0] occurred[0] but[0] once[0] again[0] i[0] was[0] let[0] down[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i also don't know why the film took so long and cost so much . 	i also don't know why the film took so long and cost so much .	1	-1	 i[0] also[0] don't[0] know[0] why[0] the[0] film[0] took[0] so[0] long[0] and[0] cost[0] so[0] much[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there was really no super affects at all , unless you consider an invisible devil , who was in it for 5 minutes tops , worth the overpriced budget . 	there was really no super affects at all , unless you consider an invisible devil , who was in it for 5 minutes tops , worth the overpriced budget .	3	-2	 there[0] was[0] really[0] no[0] super[2] affects[0] at[0] all[0] unless[0] you[0] consider[0] an[0] invisible[-1] devil[-1] who[0] was[0] in[0] it[0] for[0] 5[0] minutes[0] tops[0] worth[0] the[0] overpriced[0] budget[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the budget should have gone into a better script , where at least audiences could be somewhat entertained instead of facing boredom . 	the budget should have gone into a better script , where at least audiences could be somewhat entertained instead of facing boredom .	1	-2	 the[0] budget[0] should[0] have[0] gone[0] into[0] a[0] better[0] script[0] where[0] at[0] least[0] audiences[0] could[0] be[0] somewhat[0] entertained[0] instead[0] of[0] facing[0] boredom[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's pitiful to see how scripts like these get bought and made into a movie . 	it's pitiful to see how scripts like these get bought and made into a movie .	2	-3	 it's[0] pitiful[-2] to[0] see[0] how[0] scripts[0] like[1] these[0] get[0] bought[0] and[0] made[0] into[0] a[0] movie[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
do they even read these things anymore ? 	do they even read these things anymore ?	1	-1	 do[0] they[0] even[0] read[0] these[0] things[0] anymore[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it sure doesn't seem like it . 	it sure doesn't seem like it .	2	-1	 it[0] sure[0] doesn't[0] seem[0] like[1] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
thankfully gabriel's performance gave some light to this poor film . 	thankfully gabriel's performance gave some light to this poor film .	2	-2	 thankfully[1] gabriel's[0] performance[0] gave[0] some[0] light[0] to[0] this[0] poor[-1] film[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
when he walks down the street searching for robin tunney , you can't help but feel that he looked like a devil . 	when he walks down the street searching for robin tunney , you can't help but feel that he looked like a devil .	2	-2	 when[0] he[0] walks[0] down[0] the[0] street[0] searching[0] for[0] robin[0] tunney[0] you[0] can't[0] help[0] but[0] feel[0] that[0] he[0] looked[0] like[1] a[0] devil[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the guy is creepy looking anyway ! 	the guy is creepy looking anyway !	1	-1	 the[0] guy[0] is[0] creepy[0] looking[0] anyway[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when it's all over , you're just glad it's the end of the movie . 	when it's all over , you're just glad it's the end of the movie .	1	-1	 when[0] it's[0] all[0] over[0] you're[0] just[0] glad[1][-1 LastWordBoosterStrength] it's[0] the[0] end[0] of[0] the[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
don't bother to see this , if you're expecting a solid action flick , because it's neither solid nor does it have action . 	don't bother to see this , if you're expecting a solid action flick , because it's neither solid nor does it have action .	2	-1	 don't[0] bother[-1][NegatedDueToPreviousWord] to[0] see[0] this[0] if[0] you're[0] expecting[0] a[0] solid[0] action[0] flick[0] because[0] it's[0] neither[0] solid[0] nor[0] does[0] it[0] have[0] action[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's just another movie that we are suckered in to seeing , due to a strategic marketing campaign . 	it's just another movie that we are suckered in to seeing , due to a strategic marketing campaign .	1	-2	 it's[0] just[0] another[0] movie[0] that[0] we[0] are[0] suckered[-1] in[0] to[0] seeing[0] due[0] to[0] a[0] strategic[0] marketing[0] campaign[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
save your money and see the world is not enough for an entertaining experience . 	save your money and see the world is not enough for an entertaining experience .	2	-1	 save[1] your[0] money[0] and[0] see[0] the[0] world[0] is[0] not[0] enough[0] for[0] an[0] entertaining[0] experience[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
