i heard actor skeet ulrich discussing this film in a couple of interviews , and in both instances , he felt the strange compulsion to compare it a little series of films called lethal weapon . 	Translation	Positive	Negative	EmotionRationale
it is unfathomable to me as to how actors skeet ulrich and cuba gooding jr . got involved in this one-week-old-blue-cheese-smelling project . 	it is unfathomable to me as to how actors skeet ulrich and cuba gooding jr .<br> got involved in this one-week-old-blue-cheese-smelling project .	1	-1	 it[0] is[0] unfathomable[0] to[0] me[0] as[0] to[0] how[0] actors[0] skeet[0] ulrich[0] and[0] cuba[0] gooding[0] jr[0] [[Sentence=-1,1=word max, 1-5]] got[0] involved[0] in[0] this[0] one[0] week[0] old[0] blue[0] cheese[0] smelling[0] project[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
did they actually think that it would boost their careers , or did they know that the script sucked , but discounted any fall from grace , knowing full well that the stack of cash in their back pockets would pad their fall ? 	did they actually think that it would boost their careers , or did they know that the script sucked , but discounted any fall from grace , knowing full well that the stack of cash in their back pockets would pad their fall ?	3	-2	 did[0] they[0] actually[0] think[0] that[0] it[0] would[0] boost[0] their[0] careers[0] or[0] did[0] they[0] know[0] that[0] the[0] script[0] sucked[-1] but[0] discounted[0] any[0] fall[0] from[0] grace[2] knowing[0] full[0] well[0] that[0] the[0] stack[0] of[0] cash[0] in[0] their[0] back[0] pockets[0] would[0] pad[0] their[0] fall[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
most probably the latter . 	most probably the latter .	1	-1	 most[0] probably[0] the[0] latter[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
have you seen either fled or bulletproof ? 	have you seen either fled or bulletproof ?	1	-2	 have[0] you[0] seen[0] either[0] fled[-1] or[0] bulletproof[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
well , despite the slight differences in plot , the essentials are basically the same here . 	well , despite the slight differences in plot , the essentials are basically the same here .	1	-1	 well[0] despite[0] the[0] slight[0] differences[0] in[0] plot[0] the[0] essentials[0] are[0] basically[0] the[0] same[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you get a black guy and a white guy being chased by a bunch of people , having no choice but to work together to get somewhere , hating each other at first , but over time , learning to respect one another as individuals . 	you get a black guy and a white guy being chased by a bunch of people , having no choice but to work together to get somewhere , hating each other at first , but over time , learning to respect one another as individuals .	3	-4	 you[0] get[0] a[0] black[0] guy[0] and[0] a[0] white[0] guy[0] being[0] chased[-1] by[0] a[0] bunch[0] of[0] people[0] having[0] no[0] choice[0] but[0] to[0] work[0] together[0] to[0] get[0] somewhere[0] hating[-3] each[0] other[0] at[0] first[0] but[0] over[0] time[0] learning[0] to[0] respect[2] one[0] another[0] as[0] individuals[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
yawn . 	yawn .	1	-2	 yawn[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
add to that , the fact that our film actually has bad guys who are all dressed in black , drive black cars and black vans , and run around with all kinds of telecommunicative devices sprinkled around their head . 	add to that , the fact that our film actually has bad guys who are all dressed in black , drive black cars and black vans , and run around with all kinds of telecommunicative devices sprinkled around their head .	1	-2	 add[0] to[0] that[0] the[0] fact[0] that[0] our[0] film[0] actually[0] has[0] bad[-1] guys[0] who[0] are[0] all[0] dressed[0] in[0] black[0] drive[0] black[0] cars[0] and[0] black[0] vans[0] and[0] run[0] around[0] with[0] all[0] kinds[0] of[0] telecommunicative[0] devices[0] sprinkled[0] around[0] their[0] head[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
not too conspicuous , eh ? 	not too conspicuous , eh ?	1	-1	 not[0] too[0] conspicuous[0] eh[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
call me a party-pooper , but as much as i like a nice cheezy movie as much as the next guy , this film just doesn't even try to do anything original or reasonably entertaining . 	call me a party-pooper , but as much as i like a nice cheezy movie as much as the next guy , this film just doesn't even try to do anything original or reasonably entertaining .	2	-1	 call[0] me[0] a[0] party[0] pooper[0] but[0] as[0] much[0] as[0] i[0] like[1] a[0] nice[1] cheezy[0] movie[0] as[0] much[0] as[0] the[0] next[0] guy[0] this[0] film[0] just[0] doesn't[0] even[0] try[0] to[0] do[0] anything[0] original[0] or[0] reasonably[0] entertaining[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
one cool scene with a boat careening down a mountainside , and another with a nuclear device obliterating everything on an island , do not a fun , buddy-action flick make . 	one cool scene with a boat careening down a mountainside , and another with a nuclear device obliterating everything on an island , do not a fun , buddy-action flick make .	2	-2	 one[0] cool[1] scene[0] with[0] a[0] boat[0] careening[0] down[0] a[0] mountainside[0] and[0] another[0] with[0] a[0] nuclear[0] device[0] obliterating[0] everything[0] on[0] an[0] island[0] do[0] not[0] a[0] fun[1][NegatedDueToPreviousWord] buddy[0] action[0] flick[0] make[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
show cuba the money , everybody ! 	show cuba the money , everybody !	1	-1	 show[0] cuba[0] the[0] money[0] everybody[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 : ) 	 : )	1	-1	[[[0,0 max of sentences]]]
little known facts about this film and its stars : this is not a little known fact or anything , but damn , is it just me or does skeet ulrich look an awful lot like great-looking actor johnny depp ? 	little known facts about this film and its stars : this is not a little known fact or anything , but damn , is it just me or does skeet ulrich look an awful lot like great-looking actor johnny dep ?	3	-4	 little[0] known[0] facts[0] about[0] this[0] film[0] and[0] its[0] stars[0] this[0] is[0] not[0] a[0] little[0] known[0] fact[0] or[0] anything[0] but[0] damn[-1] is[0] it[0] just[0] me[0] or[0] does[0] skeet[0] ulrich[0] look[0] an[0] awful[-3] lot[0] like[1] great[2] looking[0] actor[0] johnny[0] depp/dep[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
skeet's real-life nicknames include chester , skeeter and mosquito . 	skeet's real-life nicknames include chester , skeeter and mosquito .	1	-1	 skeet's[0] real[0] life[0] nicknames[0] include[0] chester[0] skeeter[0] and[0] mosquito[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he stands 6'1 " , was born in north carolina , and got married in 1997 to that sex-kitten actress from clay pigeons ( 7 . 5/10 ) , 	he stands 6'1 " , was born in north carolina , and got married in 1997 to that sex-kitten actress from clay pigeons ( 7 .<br> 5/10 ) ,	1	-1	 he[0] stands[0] 6'1[0] was[0] born[0] in[0] north[0] carolina[0] and[0] got[0] married[0] in[0] 1997[0] to[0] that[0] sex[0] kitten[0] actress[0] from[0] clay[0] pigeons[0] 7[0] [[Sentence=-1,1=word max, 1-5]] 5/10[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
georgina cates . 	georgina cates .	1	-1	 georgina[0] cates[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they own a farm together in virginia and seven dogs . 	they own a farm together in virginia and seven dogs .	1	-1	 they[0] own[0] a[0] farm[0] together[0] in[0] virginia[0] and[0] seven[0] dogs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
skeet has a long scar on his chest from open-heart surgery done when he was 10 to correct a ventricle defect . 	skeet has a long scar on his chest from open-heart surgery done when he was 10 to correct a ventricle defect .	1	-2	 skeet[0] has[0] a[0] long[0] scar[-1] on[0] his[0] chest[0] from[0] open[0] heart[0] surgery[0] done[0] when[0] he[0] was[0] 10[0] to[0] correct[0] a[0] ventricle[0] defect[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
actor cuba gooding jr . was born in the bronx , new york . 	actor cuba gooding jr .<br> was born in the bronx , new york .	1	-1	 actor[0] cuba[0] gooding[0] jr[0] [[Sentence=-1,1=word max, 1-5]] was[0] born[0] in[0] the[0] bronx[0] new[0] york[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in 1984 , he break-danced during the closing ceremonies of the olympic games in los angeles . 	in 1984 , he break-danced during the closing ceremonies of the olympic games in los angeles .	1	-1	 in[0] 1984[0] he[0] break[0] danced[0] during[0] the[0] closing[0] ceremonies[0] of[0] the[0] olympic[0] games[0] in[0] los[0] angeles[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he stands 5'10 " . 	he stands 5'10 " .	1	-1	 he[0] stands[0] 5'10[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
actress hudson leick , who plays one of the " bad guys/girls " in his movie , is better known from her role as " callisto " on the popular tv series " xena : princess warrior " . 	actress hudson leick , who plays one of the " bad guys/girls " in his movie , is better known from her role as " callisto " on the popular tv series " xena : princess warrior " .	2	-2	 actress[0] hudson[0] leick[0] who[0] plays[1] one[0] of[0] the[0] bad[-1] guys/girls[0] in[0] his[0] movie[0] is[0] better[0] known[0] from[0] her[0] role[0] as[0] callisto[0] on[0] the[0] popular[0] tv[0] series[0] xena[0] princess[0] warrior[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this film reportedly had a budget of  40 million ? ? 	this film reportedly had a budget of  40 million ?<br> ?	1	-1	 this[0] film[0] reportedly[0] had[0] a[0] budget[0] of[0] 40[0] million[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i'm not exactly sure where all this money went , but it certainly did not register onscreen . 	i'm not exactly sure where all this money went , but it certainly did not register onscreen .	1	-1	 i'm[0] not[0] exactly[0] sure[0] where[0] all[0] this[0] money[0] went[0] but[0] it[0] certainly[0] did[0] not[0] register[0] onscreen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
interestingly enough , director hugh johnson , who makes his big screen debut with this film , was the cinematographer on the 1996 film white squall and the 1997 demi moore vehicle , g . i . 	interestingly enough , director hugh johnson , who makes his big screen debut with this film , was the cinematographer on the 1996 film white squall and the 1997 demi more vehicle , grin� .<br> i .	2	-1	 interestingly[1] enough[0] director[0] hugh[0] johnson[0] who[0] makes[0] his[0] big[0] screen[0] debut[0] with[0] this[0] film[0] was[0] the[0] cinematographer[0] on[0] the[0] 1996[0] film[0] white[0] squall[0] and[0] the[0] 1997[0] demi[0] moore/more[0] vehicle[0] g[0] [[Sentence=-1,2=word max, 1-5]] i[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
jane ( 6 . 5/10 ) . 	jane ( 6 .<br> 5/10 ) .	1	-1	 jane[0] 6[0] [[Sentence=-1,1=word max, 1-5]] 5/10[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
