be warned . . 	Translation	Positive	Negative	EmotionRationale
different for girls comes up with a promising enough proposition , but does nothing that surpasses the merely workmanlike with it . 	different for girls comes up with a promising enough proposition , but does nothing that surpasses the merely workmanlike with it .	2	-1	 different[0] for[0] girls[0] comes[0] up[0] with[0] a[0] promising[1] enough[0] proposition[0] but[0] does[0] nothing[0] that[0] surpasses[0] the[0] merely[0] workmanlike[0] with[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
by refusing to make the audience really uncomfortable with the notion of kim and prentice's relation- ship , or at the very least feel uncomfortable for them ( prentice for example , doesn't seem to give hiself all that much grief when he becomes attracted to kim despite being a fight-picking , beer-drinking , macho kind of guy , and kim , for all her insecurities and fears is always saved any truly disturbing victimisation in the film ) , and instead drawing them into a basically wimpy love story , the film manages to lobotomise itself . 	by refusing to make the audience really uncomfortable with the notion of kim and prentice's relation- ship , or at the very least feel uncomfortable for them ( prentice for example , doesn't seem to give hiself all that much grief when he becomes attracted to kim despite being a fight-picking , beer-drinking , macho kind of guy , and kim , for all her insecurities and fears is always saved any truly disturbing victimisation in the film ) , and instead drawing them into a basically wimpy love story , the film manages to lobotomise itself .	3	-4	 by[0] refusing[0] to[0] make[0] the[0] audience[0] really[0] uncomfortable[-2][-1 LastWordBoosterStrength] with[0] the[0] notion[0] of[0] kim[0] and[0] prentice's[0] relation[0] ship[0] or[0] at[0] the[0] very[0] least[0] feel[0] uncomfortable[-2] for[0] them[0] prentice[0] for[0] example[0] doesn't[0] seem[0] to[0] give[0] hiself[0] all[0] that[0] much[0] grief[-3] when[0] he[0] becomes[0] attracted[1] to[0] kim[0] despite[0] being[0] a[0] fight[-2] picking[0] beer[0] drinking[0] macho[0] kind[1] of[0] guy[0] and[0] kim[0] for[0] all[0] her[0] insecurities[-1] and[0] fears[-2] is[0] always[0] saved[1] any[0] truly[1] disturbing[-1] victimisation[-2] in[0] the[0] film[0] and[0] instead[0] drawing[0] them[0] into[0] a[0] basically[0] wimpy[-2] love[2] story[0] the[0] film[0] manages[0] to[0] lobotomise[0] itself[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
lightweight comedy as it's doomed to be , it could've still have hacked it with the requisitive endearing couple . 	lightweight comedy as it's doomed to be , it could've still have hacked it with the requisitive endearing couple .	1	-2	 lightweight[0] comedy[0] as[0] it's[0] doomed[-1] to[0] be[0] it[0] could've[0] still[0] have[0] hacked[0] it[0] with[0] the[0] requisitive[0] endearing[0] couple[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but this doesn't either , since even mrs doubtfire is sexier than steven mackintosh's kim foyle , and as either sex , he's just plainly a simpering wanker nobody should like . 	but this doesn't either , since even mrs doubtfire is sexier than steven mackintosh's kim foyle , and as either sex , he's just plainly a simpering wanker nobody should like .	1	-2	 but[0] this[0] doesn't[0] either[0] since[0] even[0] mrs[0] doubtfire[-1] is[0] sexier[0] than[0] steven[0] mackintosh's[0] kim[0] foyle[0] and[0] as[0] either[0] sex[0] he's[0] just[0] plainly[0] a[0] simpering[0] wanker[-1] nobody[0] should[0] like[1][-1 LastWordBoosterStrength] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
prentice does though , and that's never explained . 	prentice does though , and that's never explained .	1	-1	 prentice[0] does[0] though[0] and[0] that's[0] never[0] explained[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but then rupert graves gives us so heroic performance as prentice , the guy who never grew up ( and if there is a bafta prize for most convincing portrayal of a rabid fan at a buzzcocks' concert , he should win that too ) that i guess there's no reason to explain why he's so screwed up . 	but then rupert graves gives us so heroic performance as prentice , the guy who never grew up ( and if there is a bafta prize for most convincing portrayal of a rabid fan at a buzcocks' concert , he should win that too ) that i guess there's no reason to explain why he's so screwed up .	3	-3	 but[0] then[0] rupert[0] graves[-2] gives[0] us[0] so[0] heroic[2] performance[0] as[0] prentice[0] the[0] guy[0] who[0] never[0] grew[0] up[0] and[0] if[0] there[0] is[0] a[0] bafta[0] prize[2] for[0] most[0] convincing[0] portrayal[0] of[0] a[0] rabid[0] fan[0] at[0] a[0] buzzcocks'/buzcocks'[0] concert[0] he[0] should[0] win[0] that[0] too[0] that[0] i[0] guess[0] there's[0] no[0] reason[0] to[0] explain[0] why[0] he's[0] so[0] screwed[0] up[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
if oddly enough you grow to like this show , you'll be wanting your happy ending , and the film won't fail you there either . 	if oddly enough you grow to like this show , you'll be wanting your happy ending , and the film won't fail you there either .	3	-1	 if[0] oddly[0] enough[0] you[0] grow[0] to[0] like[1] this[0] show[0] you'll[0] be[0] wanting[0] your[0] happy[1] ending[0] and[0] the[0] film[0] won't[0] fail[-2][NegatedDueToPreviousWord] you[0] there[0] either[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
snide underling at kim's office gets her come-uppance . 	snide underling at kim's office gets her come-uppance .	1	-1	 snide[0] underling[0] at[0] kim's[0] office[0] gets[0] her[0] come[0] uppance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
misogynistic police officer who beats up prentice gets his come-uppance . 	misogynistic police officer who beats up prentice gets his come-uppance .	1	-1	 misogynistic[0] police[0] officer[0] who[0] beats[0] up[0] prentice[0] gets[0] his[0] come[0] uppance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the couple prevail against a disagreeable society and come together in kim's apartment . 	the couple prevail against a disagreeable society and come together in kim's apartment .	1	-2	 the[0] couple[0] prevail[0] against[-1] a[0] disagreeable[-1] society[0] and[0] come[0] together[0] in[0] kim's[0] apartment[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
kim's sister and her impotent sarge-type husband kiss and make up after a tiff ( tv movie sub-plot with incidental juxtaposition ) . 	kim's sister and her impotent sarge-type husband kiss and make up after a tiff ( tv movie sub-plot with incidental juxtaposition ) .	3	-1	 kim's[0] sister[0] and[0] her[0] impotent[0] sarge[0] type[0] husband[0] kiss[2] and[0] make[0] up[0] after[0] a[0] tiff[0] tv[0] movie[0] sub[0] plot[0] with[0] incidental[0] juxtaposition[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and best of all , kim sheds her insecurities and learns how to ride the motorcycle and wear leathers , making prentice ride pilion . 	and best of all , kim sheds her insecurities and learns how to ride the motorcycle and wear leathers , making prentice ride pilion .	2	-2	 and[0] best[1] of[0] all[0] kim[0] sheds[0] her[0] insecurities[-1] and[0] learns[0] how[0] to[0] ride[0] the[0] motorcycle[0] and[0] wear[0] leathers[0] making[0] prentice[0] ride[0] pilion[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
awwww . 	aw .	1	-1	 awwww/aw[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
terrific closure . 	terrific closure .	4	-1	 terrific[3] closure[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
happy ending . 	happy ending .	2	-1	 happy[1] ending[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but just what is it that's differnt for girls anyway ? 	but just what is it that's differnt for girls anyway ?	1	-1	 but[0] just[0] what[0] is[0] it[0] that's[0] differnt[0] for[0] girls[0] anyway[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if you figure that one out , let me know . 	if you figure that one out , let me know .	1	-1	 if[0] you[0] figure[0] that[0] one[0] out[0] let[0] me[0] know[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the flying inkpot rating system : * wait for the tv2 broadcast . 	the flying inkpot rating system : * wait for the tv2 broadcast .	1	-1	 the[0] flying[0] inkpot[0] rating[0] system[0] wait[0] for[0] the[0] tv2[0] broadcast[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 * * a little creaky , but still better than staying at home with gotcha ! 	 * * a little creaky , but still better than staying at home with gotcha !	1	-1	 a[0] little[0] creaky[0] but[0] still[0] better[0] than[0] staying[0] at[0] home[0] with[0] gotcha[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 * * * pretty good , bring a friend . 	 * * * pretty good , bring a friend .	3	-1	 pretty[2] good[1] bring[0] a[0] friend[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 * * * * amazing , potent stuff . 	 * * * * amazing , potent stuff .	3	-1	 amazing[2] potent[0] stuff[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 * * * * * perfection . 	 * * * * * perfection .	2	-1	 perfection[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
see it twice . 	see it twice .	1	-1	 see[0] it[0] twice[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
