isn't it the ultimate sign of a movie's cinematic ineptitude when you can't think of much to say about it other than " it sucks " ? 	Translation	Positive	Negative	EmotionRationale
when the captain of medical space vessel nightingale dies in a tragic hyperjump accident , a reformed drug addict who is also the first officer , for some reason ( james spader ) is forced to take command . 	when the captain of medical space vessel nightingale dies in a tragic hyperjump accident , a reformed drug addict who is also the first officer , for some reason ( james spader ) is forced to take command .	1	-3	 when[0] the[0] captain[0] of[0] medical[0] space[0] vessel[0] nightingale[0] dies[0] in[0] a[0] tragic[-2] hyperjump[0] accident[-1] a[0] reformed[0] drug[0] addict[-1] who[0] is[0] also[0] the[0] first[0] officer[0] for[0] some[0] reason[0] james[0] spader[0] is[0] forced[0] to[0] take[0] command[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the ship picks up a distress call from a nearby planet and , on arrival , picks up one survivor from an apparent accident in an abandoned mining colony . 	the ship picks up a distress call from a nearby planet and , on arrival , picks up one survivor from an apparent accident in an abandoned mining colony .	1	-3	 the[0] ship[0] picks[0] up[0] a[0] distress[-2] call[0] from[0] a[0] nearby[0] planet[0] and[0] on[0] arrival[0] picks[0] up[0] one[0] survivor[0] from[0] an[0] apparent[0] accident[-1] in[0] an[0] abandoned[-1] mining[0] colony[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
one of the crew members ( angela bassett ) knows this passenger , who is played by peter facinelli , and has some bad feelings about it -- and we all know what that means . 	one of the crew members ( angela bassett ) knows this passenger , who is played by peter facinelli , and has some bad feelings about it - and we all know what that means .	1	-1	 one[0] of[0] the[0] crew[0] members[0] angela[0] bassett[0] knows[0] this[0] passenger[0] who[0] is[0] played[0] by[0] peter[0] facinelli[0] and[0] has[0] some[0] bad[-1][--1 LastWordBoosterStrength] feelings[0] about[0] it[0] and[0] we[0] all[0] know[0] what[0] that[0] means[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this intergalactic hitchhiker is carrying some mysterious cargo -- a jellylike substance the purpose of which is unknown , though it seems to bring some form of pleasure to whoever touches it . 	this intergalactic hitchiker is carrying some mysterious cargo - a jellylike substance the purpose of which is unknown , though it seems to bring some form of pleasure to whoever touches it .	3	-1	 this[0] intergalactic[0] hitchhiker/hitchiker[0] is[0] carrying[0] some[0] mysterious[0] cargo[0] a[0] jellylike[0] substance[0] the[0] purpose[0] of[0] which[0] is[0] unknown[0] though[0] it[0] seems[0] to[0] bring[0] some[0] form[0] of[0] pleasure[2] to[0] whoever[0] touches[0] it[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
another one of the crew members experiences this first hand ; after spending a few minutes partially inside this glob of goo , he does some impressive handstand pushups . 	another one of the crew members experiences this first hand ; after spending a few minutes partially inside this glob of goo , he does some impressive handstand pushups .	1	-1	 another[0] one[0] of[0] the[0] crew[0] members[0] experiences[0] this[0] first[0] hand[0] after[0] spending[0] a[0] few[0] minutes[0] partially[0] inside[0] this[0] glob[0] of[0] goo[0] he[0] does[0] some[0] impressive[1][-1 LastWordBoosterStrength] handstand[0] pushups[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
evidently , touching this enigmatic egg-shaped thingie makes you younger and stronger . 	evidently , touching this enigmatic egg-shaped thingie makes you younger and stronger .	1	-1	 evidently[0] touching[0] this[0] enigmatic[0] egg[0] shaped[0] thingie[0] makes[0] you[0] younger[0] and[0] stronger[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
how ? 	how ?	1	-1	 how[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
why ? 	why ?	1	-1	 why[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie never bothers to explain . 	the movie never bothers to explain .	2	-1	 the[0] movie[0] never[0] bothers[-1][NegatedDueToPreviousWord] to[0] explain[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
soon enough though , spader and bassett are running around the ship like mad , being chased by the all-of-a-sudden-superhuman facinelli . 	soon enough though , spader and bassett are running around the ship like mad , being chased by the all-of-a-sudden-superhuman facinelli .	2	-2	 soon[0] enough[0] though[0] spader[0] and[0] bassett[0] are[0] running[0] around[0] the[0] ship[0] like[1] mad[-1] being[0] chased[-1] by[0] the[0] all[0] of[0] a[0] sudden[0] superhuman[0] facinelli[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
to be honest , i don't even remember exactly why . 	to be honest , i don't even remember exactly why .	1	-1	 to[0] be[0] honest[0] i[0] don't[0] even[0] remember[0] exactly[0] why[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i just remember that i didn't care . 	i just remember that i didn't care .	2	-1	 i[0] just[0] remember[0] that[0] i[0] didn't[0] care[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
supernova's plot suggested some more or less interesting ideas , such as the ball of goo being an intergalactic time bomb , but they are all dropped before they have a chance to develop into anything truly intriguing . 	supernova's plot suggested some more or less interesting ideas , such as the ball of goo being an intergalactic time bomb , but they are all dropped before they have a chance to develop into anything truly intriguing .	2	-2	 supernova's[0] plot[0] suggested[0] some[0] more[0] or[0] less[0] interesting[1] ideas[0] such[0] as[0] the[0] ball[0] of[0] goo[0] being[0] an[0] intergalactic[0] time[0] bomb[-1] but[0] they[0] are[0] all[0] dropped[0] before[0] they[0] have[0] a[0] chance[0] to[0] develop[0] into[0] anything[0] truly[1] intriguing[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in fact , everything is dropped just so the actors can have some fun running around what looks like an elaborate set . 	in fact , everything is dropped just so the actors can have some fun running around what looks like an elaborate set .	2	-1	 in[0] fact[0] everything[0] is[0] dropped[0] just[0] so[0] the[0] actors[0] can[0] have[0] some[0] fun[1][-1 LastWordBoosterStrength] running[0] around[0] what[0] looks[0] like[1] an[0] elaborate[0] set[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
well , the effects are good , though there's hardly a studio movie with bad special effects these days so i'm not sure whether that's so remarkable an accomplishment . 	well , the effects are good , though there's hardly a studio movie with bad special effects these days so i'm not sure whether that's so remarkable an accomplishment .	2	-2	 well[0] the[0] effects[0] are[0] good[1] though[0] there's[0] hardly[0] a[0] studio[0] movie[0] with[0] bad[-1] special[1] effects[0] these[0] days[0] so[0] i'm[0] not[0] sure[0] whether[0] that's[0] so[0] remarkable[0] an[0] accomplishment[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the performances are hardly worth talking about . 	the performances are hardly worth talking about .	1	-1	 the[0] performances[0] are[0] hardly[0] worth[0] talking[0] about[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i'm not even sure i can call what's here " performances , " though angela bassett sure is good at giving people the finger . 	i'm not even sure i can call what's here " performances , " though angela bassett sure is good at giving people the finger .	2	-1	 i'm[0] not[0] even[0] sure[0] i[0] can[0] call[0] what's[0] here[0] performances[0] though[0] angela[0] bassett[0] sure[0] is[0] good[1] at[0] giving[0] people[0] the[0] finger[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
james spader is not a bad actor , but he proves to be one of the blandest action stars i've seen in a while , mostly because he isn't given a character with a personality . 	james spader is not a bad actor , but he proves to be one of the blandest action stars i've seen in a while , mostly because he isn't given a character with a personality .	2	-1	 james[0] spader[0] is[0] not[0] a[0] bad[-1][NegatedDueToPreviousWord] actor[0] but[0] he[0] proves[0] to[0] be[0] one[0] of[0] the[0] blandest[0] action[0] stars[0] i've[0] seen[0] in[0] a[0] while[0] mostly[0] because[0] he[0] isn't[0] given[0] a[0] character[0] with[0] a[0] personality[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the action scenes are just as bland , since they're pretty much just rehashes of action elements that weren't particularly entertaining the first time around . 	the action scenes are just as bland , since they're pretty much just rehashes of action elements that weren't particularly entertaining the first time around .	3	-2	 the[0] action[0] scenes[0] are[0] just[0] as[0] bland[-1] since[0] they're[0] pretty[2] much[0] just[0] rehashes[0] of[0] action[0] elements[0] that[0] weren't[0] particularly[0] entertaining[0] the[0] first[0] time[0] around[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
and since the action scenes are everything to this movie , it's pretty much dead in the water . 	and since the action scenes are everything to this movie , it's pretty much dead in the water .	3	-3	 and[0] since[0] the[0] action[0] scenes[0] are[0] everything[0] to[0] this[0] movie[0] it's[0] pretty[2] much[0] dead[-2] in[0] the[0] water[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
and for the life of me , i can't figure out why it's called supernova . 	and for the life of me , i can't figure out why it's called supernova .	1	-1	 and[0] for[0] the[0] life[0] of[0] me[0] i[0] can't[0] figure[0] out[0] why[0] it's[0] called[0] supernova[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
