 ( dreamworks skg ) running time : 2 hours starring robert duvall , tea leoni and elijah wood directed by mimi leder the first of the two asteroid movies coming out this year ( the second is the macho armageddon ) is actually a dull affair . 	Translation	Positive	Negative	EmotionRationale
she seems uncommonly stupid for a journalist . 	she seems uncommonly stupid for a journalist .	1	-2	 she[0] seems[0] uncommonly[0] stupid[-1] for[0] a[0] journalist[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
robert duvall is on autopilot with a underwritten role , he just seems to be in this film for the money . 	robert duvall is on autopilot with a underwritten role , he just seems to be in this film for the money .	1	-1	 robert[0] duvall[0] is[0] on[0] autopilot[0] with[0] a[0] underwritten[0] role[0] he[0] just[0] seems[0] to[0] be[0] in[0] this[0] film[0] for[0] the[0] money[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
elijah wood , one of the best child actors working today , is surprisingly average , although his choice of roles lately haven't exactly been brilliant ( i . e . 	elijah wood , one of the best child actors working today , is surprisingly average , although his choice of roles lately haven't exactly been brilliant ( i .<br> e .	2	-1	 elijah[0] wood[0] one[0] of[0] the[0] best[1] child[0] actors[0] working[0] today[0] is[0] surprisingly[0] average[0] although[0] his[0] choice[0] of[0] roles[0] lately[0] haven't[0] exactly[0] been[0] brilliant[1] i[0] [[Sentence=-1,2=word max, 1-5]] e[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
flipper , 1996 ) . 	flipper , 1996 ) .	1	-1	 flipper[0] 1996[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his role is also vastly underwritten . 	his role is also vastly underwritten .	1	-1	 his[0] role[0] is[0] also[0] vastly[0] underwritten[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
morgan freeman , again , is utterly wasted with a ridiculously underwritten role . 	morgan freeman , again , is utterly wasted with a ridiculously underwritten role .	1	-3	 morgan[0] freeman[0] again[0] is[0] utterly[0] wasted[-1] with[0] a[0] ridiculously[-2] underwritten[0] role[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
like duvall , he just seems to be in the film for the money . 	like duvall , he just seems to be in the film for the money .	2	-1	 like[1] duvall[0] he[0] just[0] seems[0] to[0] be[0] in[0] the[0] film[0] for[0] the[0] money[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the supporting cast are all o . k , none making much of an impression . 	the supporting cast are all o .<br> k , none making much of an impression .	2	-1	 the[0] supporting[1] cast[0] are[0] all[0] o[0] [[Sentence=-1,2=word max, 1-5]] k[0] none[0] making[0] much[0] of[0] an[0] impression[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
ok , so deep impact may have messed up character wise , but surely the special effects are good ? 	ok , so deep impact may have messed up character wise , but surely the special effects are good ?	2	-1	 ok[0] so[0] deep[0] impact[0] may[0] have[0] messed[0] up[0] character[0] wise[0] but[0] surely[0] the[0] special[1] effects[0] are[0] good[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
well , yes and no . 	well , yes and no .	1	-1	 well[0] yes[0] and[0] no[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although the special effects should be impressive , with a massive tidal wave destroying new york , the special effects look like , well , special effects . 	although the special effects should be impressive , with a massive tidal wave destroying new york , the special effects look like , well , special effects .	2	-3	 although[0] the[0] special[1] effects[0] should[0] be[0] impressive[1] with[0] a[0] massive[0] tidal[0] wave[0] destroying[-2] new[0] york[0] the[0] special[1] effects[0] look[0] like[1] well[0] special[1] effects[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
sadly , the waves looks like it's been drawn on computer , and doesn't look too good at all . 	sadly , the waves looks like it's been drawn on computer , and doesn't look too good at all .	2	-2	 sadly[-1] the[0] waves[0] looks[0] like[1] it's[0] been[0] drawn[0] on[0] computer[0] and[0] doesn't[0] look[0] too[0] good[1] at[0] all[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
surprising really , when the effects are done by industrial light & magic , who did the effects for the lost world and twister . 	surprising really , when the effects are done by industrial light & magic , who did the effects for the lost world and twister .	1	-1	 surprising[0] really[0] when[0] the[0] effects[0] are[0] done[0] by[0] industrial[0] light[0] &[0] magic[0] who[0] did[0] the[0] effects[0] for[0] the[0] lost[0] world[0] and[0] twister[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the end , deep impact is a wasted opportunity . 	in the end , deep impact is a wasted opportunity .	1	-2	 in[0] the[0] end[0] deep[0] impact[0] is[0] a[0] wasted[-1] opportunity[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
what could of been a moving movie with good effects turns out to be a dud in both characters and effects . 	what could of been a moving movie with good effects turns out to be a dud in both characters and effects .	2	-1	 what[0] could[0] of[0] been[0] a[0] moving[0] movie[0] with[0] good[1] effects[0] turns[0] out[0] to[0] be[0] a[0] dud[0] in[0] both[0] characters[0] and[0] effects[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the 2 hours the film had could have been used to much greater effect . 	the 2 hours the film had could have been used to much greater effect .	3	-1	 the[0] 2[0] hours[0] the[0] film[0] had[0] could[0] have[0] been[0] used[0] to[0] much[0] greater[2] effect[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
once again , dreamworks has churned out another average movie . 	once again , dreamworks has churned out another average movie .	1	-1	 once[0] again[0] dreamworks[0] has[0] churned[0] out[0] another[0] average[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
let's hope armageddon is a bit better . 	let's hope armageddon is a bit better .	3	-1	 let's[0] hope[2] armageddon[0] is[0] a[0] bit[0] better[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
overall rating  review by david wilcock web space provided by geocities 	overall rating  review by david wilcock web space provided by geocities	1	-1	 overall[0] rating[0] review[0] by[0] david[0] wilcock[0] web[0] space[0] provided[0] by[0] geocities[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
