ladies and gentlemen , payback is the most expensive episode of " the equalizer " i've ever seen . 	Translation	Positive	Negative	EmotionRationale
mel shoots gun . 	mel shoots gun .	1	-2	 mel[0] shoots[-1] gun[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
anonymous villain dies . 	anonymous villain dies .	1	-3	 anonymous[0] villain[-2] dies[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
mel meets up with his hooker friend ( bello ) . 	mel meets up with his hooker friend ( bello ) .	2	-1	 mel[0] meets[0] up[0] with[0] his[0] hooker[0] friend[1] bello[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
second verse , same as the first . ) 	second verse , same as the first .<br> )	1	-1	 second[0] verse[0] same[0] as[0] the[0] first[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's not porter's single-mindedness that robs the film of snap , crackle , and pop ; as a character who has already " died " once , he has nothing to lose and so much to gain . 	it's not porter's single-mindedness that robs the film of snap , crackle , and pop ; as a character who has already " died " once , he has nothing to lose and so much to gain .	1	-2	 it's[0] not[0] porter's[0] single[0] mindedness[0] that[0] robs[0] the[0] film[0] of[0] snap[0] crackle[0] and[0] pop[0] as[0] a[0] character[0] who[0] has[0] already[0] died[0] once[0] he[0] has[0] nothing[0] to[0] lose[-1] and[0] so[0] much[0] to[0] gain[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the movie lacks danger . 	the movie lacks danger .	1	-2	 the[0] movie[0] lacks[0] danger[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the only thing porter is in jeopardy of is putting the audience to sleep . 	the only thing porter is in jeopardy of is putting the audience to sleep .	1	-2	 the[0] only[0] thing[0] porter[0] is[0] in[0] jeopardy[-1] of[0] is[0] putting[0] the[0] audience[0] to[0] sleep[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
payback has a gritty , metallic look to it that also becomes monotonous ; its cinematography would be more appropriate in one of those bleak urban psychodramas that come out of england every couple of months . 	payback has a gritty , metallic look to it that also becomes monotonous ; its cinematography would be more appropriate in one of those bleak urban psychodramas that come out of england every couple of months .	1	-2	 payback[0] has[0] a[0] gritty[0] metallic[0] look[0] to[0] it[0] that[0] also[0] becomes[0] monotonous[-1] its[0] cinematography[0] would[0] be[0] more[0] appropriate[0] in[0] one[0] of[0] those[0] bleak[-1] urban[0] psychodramas[0] that[0] come[0] out[0] of[0] england[0] every[0] couple[0] of[0] months[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( director of photography ericson core should have been fired early on for lighting bello , so va-va-va-voom in permanant midnight , to look like a potato in a gregg allman wig . ) 	 ( director of photography ericson core should have been fired early on for lighting bello , so va-va-va-voom in permanant midnight , to look like a potato in a gregg allman wig .<br> )	2	-3	 director[0] of[0] photography[0] ericson[0] core[0] should[0] have[0] been[0] fired[-2] early[0] on[0] for[0] lighting[0] bello[0] so[0] va[0] va[0] va[0] voom[0] in[0] permanant[0] midnight[0] to[0] look[0] like[1] a[0] potato[0] in[0] a[0] gregg[0] allman[0] wig[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
to analyze such mediocrity is to grant payback far more attention than it deserves . 	to analyze such mediocrity is to grant payback far more attention than it deserves .	1	-2	 to[0] analyze[0] such[0] mediocrity[-1] is[0] to[0] grant[0] payback[0] far[0] more[0] attention[0] than[0] it[0] deserves[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
perhaps only someone as experienced with antagonists-as-protagonists as tarantino-look what he did with the similar hero-less botched-robbery tale reservoir dogs-could have pulled off this material ( a loose remake of john boorman's point blank ) . 	perhaps only someone as experienced with antagonists-as-protagonists as tarantino-look what he did with the similar hero-less botched-robbery tale reservoir dogs-could have pulled off this material ( a loose remake of john boorman's point blank ) .	3	-2	 perhaps[0] only[0] someone[0] as[0] experienced[0] with[0] antagonists[-1] as[0] protagonists[0] as[0] tarantino[0] look[0] what[0] he[0] did[0] with[0] the[0] similar[0] hero[2] less[0] botched[0] robbery[-1] tale[0] reservoir[0] dogs[0] could[0] have[0] pulled[0] off[0] this[0] material[0] a[0] loose[0] remake[0] of[0] john[0] boorman's[0] point[0] blank[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the movie presents us with the conventions of pulp fiction ( all women are femme fatales ; even the cops are in on it , etc . ) and crosses them with the conventions of cheesy tv crime melodramas ( death is never in the cards for the main character , etc . ) but transcends neither . 	the movie presents us with the conventions of pulp fiction ( all women are femme fatales ; even the cops are in on it , etc .<br> ) and crosses them with the conventions of cheesy tv crime melodramas ( death is never in the cards for the main character , etc .<br> ) but transcends neither .	1	-3	 the[0] movie[0] presents[0] us[0] with[0] the[0] conventions[0] of[0] pulp[0] fiction[0] all[0] women[0] are[0] femme[0] fatales[-2] even[0] the[0] cops[0] are[0] in[0] on[0] it[0] etc[0] [[Sentence=-3,1=word max, 1-5]] and[0] crosses[0] them[0] with[0] the[0] conventions[0] of[0] cheesy[0] tv[0] crime[-1] melodramas[0] death[-2] is[0] never[0] in[0] the[0] cards[0] for[0] the[0] main[0] character[0] etc[0] [[Sentence=-3,1=word max, 1-5]] but[0] transcends[0] neither[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
