it's been hours since i returned from the much anticipated sci-fi opus `mission to mars' , and i can still detect the reek of moldy cheddar . 	Translation	Positive	Negative	EmotionRationale
all of which makes me want to call de palma the most talented hack in hollywood . 	all of which makes me want to call de palma the most talented hack in hollywood .	2	-2	 all[0] of[0] which[0] makes[0] me[0] want[0] to[0] call[0] de[0] palma[0] the[0] most[0] talented[1] hack[-1] in[0] hollywood[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
that term may be too harsh , but if i were judging him solely on the perpetual waste of talent that is  mission to mars' , my choice of words would have been slightly less lenient . 	that term may be too harsh , but if i were judging him solely on the perpetual waste of talent that is  mission to mars' , my choice of words would have been slightly less lenient .	2	-2	 that[0] term[0] may[0] be[0] too[0] harsh[-1] but[0] if[0] i[0] were[0] judging[0] him[0] solely[0] on[0] the[0] perpetual[0] waste[-1] of[0] talent[1] that[0] is[0] mission[0] to[0] mars'[0] my[0] choice[0] of[0] words[0] would[0] have[0] been[0] slightly[0] less[0] lenient[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
if i were gary sinise , i wouldn't touch de palma with a 10-foot pole . 	if i were gary sinise , i wouldn't touch de palma with a 10-foot pole .	1	-1	 if[0] i[0] were[0] gary[0] sinise[0] i[0] wouldn't[0] touch[0] de[0] palma[0] with[0] a[0] 10[0] foot[0] pole[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sinise is a wonderful , wonderful actor , but after appearing in  snake eyes' and this vomit-inducing sham , i'm sure he wouldn't want to risk the embarrassment of a third collaboration . 	sinise is a wonderful , wonderful actor , but after appearing in  snake eyes' and this vomit-inducing sham , i'm sure he wouldn't want to risk the embarrassment of a third collaboration .	4	-3	 sinise[0] is[0] a[0] wonderful[2] wonderful[2][+1 MultiplePositiveWords] actor[0] but[0] after[0] appearing[0] in[0] snake[0] eyes'[0] and[0] this[0] vomit[-2] inducing[0] sham[0] i'm[0] sure[0] he[0] wouldn't[0] want[0] to[0] risk[-1] the[0] embarrassment[-2] of[0] a[0] third[0] collaboration[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
the academy award-winner plays nasa astronaut jim mcconnell , a man who recently lost his wife ( kim delaney ) and is apparently psychologically unfit for an upcoming space shuttle mission to mars ( oops , forgot to mention the year - 2020 ) . 	the academy award-winner plays nasa astronaut jim mcconnell , a man who recently lost his wife ( kim delaney ) and is apparently psychologically unfit for an upcoming space shuttle mission to mars ( oops , forgot to mention the year - 2020 ) .	2	-2	 the[0] academy[0] award[0] winner[1] plays[1] nasa[0] astronaut[0] jim[0] mcconnell[0] a[0] man[0] who[0] recently[0] lost[0] his[0] wife[0] kim[0] delaney[0] and[0] is[0] apparently[0] psychologically[0] unfit[-1] for[0] an[0] upcoming[0] space[0] shuttle[0] mission[0] to[0] mars[0] oops[0] forgot[0] to[0] mention[0] the[0] year[0] 2020[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
after a barbecue get-together for the astronauts , we cut to luc goddard ( don cheadle ) and his team , who are already taking measurements and calculations on the red planet . 	after a barbecue get-together for the astronauts , we cut to luc goddard ( don cheadle ) and his team , who are already taking measurements and calculations on the red planet .	1	-1	 after[0] a[0] barbecue[0] get[0] together[0] for[0] the[0] astronauts[0] we[0] cut[0] to[0] luc[0] goddard[0] don[0] cheadle[0] and[0] his[0] team[0] who[0] are[0] already[0] taking[0] measurements[0] and[0] calculations[0] on[0] the[0] red[0] planet[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
suddenly , a towering formation of rocks and soil - probably best dubbed a  sand tornado' - appears and creates a whirlwind of suction . 	suddenly , a towering formation of rocks and soil - probably best dubbed a  sand tornado' - appears and creates a whirlwind of suction .	2	-1	 suddenly[0] a[0] towering[0] formation[0] of[0] rocks[0] and[0] soil[0] probably[0] best[1] dubbed[0] a[0] sand[0] tornado'[0] appears[0] and[0] creates[0] a[0] whirlwind[0] of[0] suction[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
for some reason , the astronauts just stand there calmly to admire this , as if it were a lovely piece of art . 	for some reason , the astronauts just stand there calmly to admire this , as if it were a lovely piece of art .	3	-1	 for[0] some[0] reason[0] the[0] astronauts[0] just[0] stand[0] there[0] calmly[1] to[0] admire[2] this[0] as[0] if[0] it[0] were[0] a[0] lovely[1] piece[0] of[0] art[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the team is killed within seconds , expect for luc , who was able to send one final transmission and may still be alive . 	the team is killed within seconds , expect for luc , who was able to send one final transmission and may still be alive .	1	-4	 the[0] team[0] is[0] killed[-3] within[0] seconds[0] expect[0] for[0] luc[0] who[0] was[0] able[0] to[0] send[0] one[0] final[0] transmission[0] and[0] may[0] still[0] be[0] alive[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
immediately , a second mission - consisting of astronauts mcconnell , husband and wife woody and terri blake ( tim robbins and connie nielsen ) and phil ohlmyer ( jerry o'connell ) - are dispatched to rescue luc and discover the mysterious secret of planet mars . 	immediately , a second mission - consisting of astronauts mcconnell , husband and wife woody and terri blake ( tim robins and connie nielsen ) and phil ohlmyer ( jerry o'connell ) - are dispatched to rescue luc and discover the mysterious secret of planet mars .	1	-1	 immediately[0] a[0] second[0] mission[0] consisting[0] of[0] astronauts[0] mcconnell[0] husband[0] and[0] wife[0] woody[0] and[0] terri[0] blake[0] tim[0] robbins/robins[0] and[0] connie[0] nielsen[0] and[0] phil[0] ohlmyer[0] jerry[0] o'connell[0] are[0] dispatched[0] to[0] rescue[0] luc[0] and[0] discover[0] the[0] mysterious[0] secret[0] of[0] planet[0] mars[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
let's put the  secret' on hold for now , and discuss the trip there . 	let's put the  secret' on hold for now , and discuss the trip there .	1	-1	 let's[0] put[0] the[0] secret'[0] on[0] hold[0] for[0] now[0] and[0] discuss[0] the[0] trip[0] there[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is explained , whether scientifically accurate or not ( probably not ) , that a trip to mars takes roughly six months . 	it is explained , whether scientifically accurate or not ( probably not ) , that a trip to mars takes roughly six months .	1	-2	 it[0] is[0] explained[0] whether[0] scientifically[0] accurate[0] or[0] not[0] probably[0] not[0] that[0] a[0] trip[0] to[0] mars[0] takes[0] roughly[-1] six[0] months[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i'm not sure why the quartet of screenwriters behind  m2m' didn't capitalize on this juicy opportunity of creating tension and claustrophobia . 	i'm not sure why the quartet of screenwriters behind  m2m' didn't capitalize on this juicy opportunity of creating tension and claustrophobia .	1	-3	 i'm[0] not[0] sure[0] why[0] the[0] quartet[0] of[0] screenwriters[0] behind[0] m2m'[0] didn't[0] capitalize[0] on[0] this[0] juicy[0] opportunity[0] of[0] creating[0] tension[-2] and[0] claustrophobia[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
instead , we join the team during their final days aboard the ship . 	instead , we join the team during their final days aboard the ship .	1	-1	 instead[0] we[0] join[0] the[0] team[0] during[0] their[0] final[0] days[0] aboard[0] the[0] ship[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what happened during the five months prior to this ? 	what happened during the five months prior to this ?	1	-1	 what[0] happened[0] during[0] the[0] five[0] months[0] prior[0] to[0] this[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
did they just play cards and tell dirty jokes ? 	did they just play cards and tell dirty jokes ?	2	-2	 did[0] they[0] just[0] play[0] cards[0] and[0] tell[0] dirty[-1] jokes[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
still , there are few nicely tense moments ( maybe the only in the movie ) during the time-frame involving a fuel leak . 	still , there are few nicely tense moments ( maybe the only in the movie ) during the time-frame involving a fuel leak .	2	-3	 still[0] there[0] are[0] few[0] nicely[1] tense[-2] moments[0] maybe[0] the[0] only[0] in[0] the[0] movie[0] during[0] the[0] time[0] frame[0] involving[0] a[0] fuel[0] leak[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
depalma's direction is quite good in these scenes , although the score by ennio morricone is largely inconsistent ( organ music in space ? 	depalma's direction is quite good in these scenes , although the score by ennio morricone is largely inconsistent ( organ music in space ?	2	-2	 depalma's[0] direction[0] is[0] quite[0] good[1] in[0] these[0] scenes[0] although[0] the[0] score[0] by[0] ennio[0] morricone[0] is[0] largely[0] inconsistent[-1] organ[0] music[0] in[0] space[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
c'mon ) . 	c'mon ) .	1	-1	 c'mon[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's a few good , imaginative ideas in the landslide of cheese , a sad realization that causes me to sigh out loud . 	there's a few good , imaginative ideas in the landslide of cheese , a sad realization that causes me to sigh out loud .	2	-4	 there's[0] a[0] few[0] good[1] imaginative[1] ideas[0] in[0] the[0] landslide[0] of[0] cheese[0] a[0] sad[-3] realization[0] that[0] causes[0] me[0] to[0] sigh[0] out[0] loud[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
it's a colossal bummer that  mission to mars' is poorly assembled and laughably written , with a dubious and supremely silly finale that will only satisfy dedicated optimists . 	it's a colossal bummer that  mission to mars' is poorly assembled and laughably written , with a dubious and supremely silly finale that will only satisfy dedicated optimists .	3	-2	 it's[0] a[0] colossal[0] bummer[0] that[0] mission[0] to[0] mars'[0] is[0] poorly[-1] assembled[0] and[0] laughably[1] written[0] with[0] a[0] dubious[-1] and[0] supremely[2] silly[-1] finale[0] that[0] will[0] only[0] satisfy[1] dedicated[0] optimists[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
as mentioned before , anyone looking for some disaster-movie carnage is going to feel savagely disappointed . . . 	as mentioned before , anyone looking for some disaster-movie carnage is going to feel savagely disappointed .<br> .<br> .	1	-3	 as[0] mentioned[0] before[0] anyone[0] looking[0] for[0] some[0] disaster[-1][--1 LastWordBoosterStrength] movie[0] carnage[0] is[0] going[0] to[0] feel[0] savagely[-2] disappointed[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
maybe even cheated . 	maybe even cheated .	1	-3	 maybe[0] even[0] cheated[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
after the unbelievably hokey final shot ( with the words ? the end' somehow adding insult to injury ) , a few audience members made the effort to boo and hiss at the screen . 	after the unbelievably hokey final shot ( with the words ?<br> the end' somehow adding insult to injury ) , a few audience members made the effort to boo and hiss at the screen .	1	-3	 after[0] the[0] unbelievably[-1] hokey[0] final[0] shot[-1] with[0] the[0] words[0] [[Sentence=-2,1=word max, 1-5]] the[0] end'[0] somehow[0] adding[0] insult[-2] to[0] injury[-1] a[0] few[0] audience[0] members[0] made[0] the[0] effort[0] to[0] boo[0] and[0] hiss[0] at[0] the[0] screen[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
others muttered obscenities , shaking their heads in disbelief while mumbling  jeez , that sucked . ' 	others muttered obscenities , shaking their heads in disbelief while mumbling  jeez , that sucked .<br> '	1	-2	 others[0] muttered[0] obscenities[0] shaking[-1] their[0] heads[0] in[0] disbelief[-1] while[0] mumbling[0] jeez[0] that[0] sucked[-1] [[Sentence=-2,1=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
okay , it did suck . 	okay , it did suck .	1	-1	 okay[0] it[0] did[0] suck[-1][--1 LastWordBoosterStrength] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but you have to show the actors some sympathetic mercy . . . 	but you have to show the actors some sympathetic mercy .<br> .<br> .	1	-1	 but[0] you[0] have[0] to[0] show[0] the[0] actors[0] some[0] sympathetic[0] mercy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after all , they do pretty well . 	after all , they do pretty well .	3	-1	 after[0] all[0] they[0] do[0] pretty[2] well[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
sinise is sincere and effective in many of his scenes , robbins and nielsen wholeheartedly convince as a loving nasa couple , and funnyman o'connell - well , he has a couple lines are actually amusing ( and intentionally so ) . 	sinise is sincere and effective in many of his scenes , robins and nielsen wholeheartedly convince as a loving nasa couple , and funnyman o'connell - well , he has a couple lines are actually amusing ( and intentionally so ) .	4	-1	 sinise[0] is[0] sincere[0] and[0] effective[0] in[0] many[0] of[0] his[0] scenes[0] robbins/robins[0] and[0] nielsen[0] wholeheartedly[0] convince[0] as[0] a[0] loving[3] nasa[0] couple[0] and[0] funnyman[1] o'connell[0] well[0] he[0] has[0] a[0] couple[0] lines[0] are[0] actually[0] amusing[1] and[0] intentionally[0] so[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the digital effects accompanying the sand tornado sequence are quite impressive . 	the digital effects accompanying the sand tornado sequence are quite impressive .	2	-1	 the[0] digital[0] effects[0] accompanying[0] the[0] sand[0] tornado[0] sequence[0] are[0] quite[0] impressive[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
so , by golly , where did this  mission' go wrong ? 	so , by golly , where did this  mission' go wrong ?	1	-2	 so[0] by[0] golly[0] where[0] did[0] this[0] mission'[0] go[0] wrong[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
looking back on the appalling experience , i would say in practically every conduit and crevasse it could have . 	looking back on the appalling experience , i would say in practically every conduit and crevasse it could have .	1	-4	 looking[0] back[0] on[0] the[0] appalling[-3] experience[0] i[0] would[0] say[0] in[0] practically[0] every[0] conduit[0] and[0] crevasse[0] it[0] could[0] have[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
while watching  mission to mars' , my suggestion would be to immediately abort , or better yet , don't even strap yourself in for lift-off . 	while watching  mission to mars' , my suggestion would be to immediately abort , or better yet , don't even strap yourself in for lift-off .	1	-1	 while[0] watching[0] mission[0] to[0] mars'[0] my[0] suggestion[0] would[0] be[0] to[0] immediately[0] abort[0] or[0] better[0] yet[0] don't[0] even[0] strap[0] yourself[0] in[0] for[0] lift[0] off[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
