my opinion on a film can be easily swayed by the presence of actors i love . 	Translation	Positive	Negative	EmotionRationale
for example , our heroes are eventually attacked by a swarm of giant mechanical insects with machineguns attached to their torsos . 	for example , our heroes are eventually attacked by a swarm of giant mechanical insects with machineguns attached to their torsos .	3	-3	 for[0] example[0] our[0] heroes[2] are[0] eventually[0] attacked[-2] by[0] a[0] swarm[0] of[0] giant[0] mechanical[0] insects[0] with[0] machineguns[0] attached[0] to[0] their[0] torsos[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
now , killer bugs don't really go with the weather-controlling theme of the film . 	now , killer bugs don't really go with the weather-controlling theme of the film .	1	-2	 now[0] killer[-1] bugs[0] don't[0] really[0] go[0] with[0] the[0] weather[0] controlling[0] theme[0] of[0] the[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the purpose of the bugs , other than to annihilate our heroes , is never established . 	the purpose of the bugs , other than to annihilate our heroes , is never established .	3	-3	 the[0] purpose[0] of[0] the[0] bugs[0] other[0] than[0] to[0] annihilate[-2] our[0] heroes[2] is[0] never[0] established[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
they're never even directly connected to de wynter ( they're controlled by his crazy henchman , played by eddie izzard ) . 	they're never even directly connected to de wynter ( they're controlled by his crazy henchman , played by eddie izard ) .	1	-2	 they're[0] never[0] even[0] directly[0] connected[0] to[0] de[0] wynter[0] they're[0] controlled[0] by[0] his[0] crazy[-1] henchman[0] played[0] by[0] eddie[0] izzard/izard[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the special effects aren't bad , but they're loud , obnoxious , and intrusive . 	the special effects aren't bad , but they're loud , obnoxious , and intrusive .	2	-3	 the[0] special[1] effects[0] aren't[0] bad[-1][NegatedDueToPreviousWord] but[0] they're[0] loud[0] obnoxious[-2] and[0] intrusive[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
like so many scenes in the film , it seems present only to keep your attention from waning . 	like so many scenes in the film , it seems present only to keep your attention from waning .	2	-1	 like[1] so[0] many[0] scenes[0] in[0] the[0] film[0] it[0] seems[0] present[0] only[0] to[0] keep[0] your[0] attention[0] from[0] waning[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and i guarantee you , it will wane . 	and i guarantee you , it will wane .	1	-2	 and[0] i[0] guarantee[0] you[0] it[0] will[0] wane[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i stopped thinking about the story when i realized it didn't do any good to think . 	i stopped thinking about the story when i realized it didn't do any good to think .	2	-1	 i[0] stopped[0] thinking[0] about[0] the[0] story[0] when[0] i[0] realized[0] it[0] didn't[0] do[0] any[0] good[1] to[0] think[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the avengers has clearly been chopped up and re-assembled so many times that even the people involved couldn't tell us what happens . 	the avengers has clearly been chopped up and re-assembled so many times that even the people involved couldn't tell us what happens .	1	-2	 the[0] avengers[-1] has[0] clearly[0] been[0] chopped[0] up[0] and[0] re[0] assembled[0] so[0] many[0] times[0] that[0] even[0] the[0] people[0] involved[0] couldn't[0] tell[0] us[0] what[0] happens[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there are several scenes in the preview that didn't make the final cut . 	there are several scenes in the preview that didn't make the final cut .	1	-1	 there[0] are[0] several[0] scenes[0] in[0] the[0] preview[0] that[0] didn't[0] make[0] the[0] final[0] cut[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in addition , many of the sequences have irritating , grainy film quality , which makes it feel low-budget ( the last scene is particularly bad ) . 	in addition , many of the sequences have irritating , grainy film quality , which makes it feel low-budget ( the last scene is particularly bad ) .	1	-3	 in[0] addition[0] many[0] of[0] the[0] sequences[0] have[0] irritating[-2] grainy[0] film[0] quality[0] which[0] makes[0] it[0] feel[0] low[-1] budget[0] the[0] last[0] scene[0] is[0] particularly[0] bad[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the scenes that don't feature action should be electric , thanks to our wonderful cast . 	the scenes that don't feature action should be electric , thanks to our wonderful cast .	3	-1	 the[0] scenes[0] that[0] don't[0] feature[0] action[0] should[0] be[0] electric[0] thanks[1] to[0] our[0] wonderful[2] cast[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
they aren't . 	they aren't .	1	-1	 they[0] aren't[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the action scenes should be electric , because this is an action film . 	the action scenes should be electric , because this is an action film .	1	-1	 the[0] action[0] scenes[0] should[0] be[0] electric[0] because[0] this[0] is[0] an[0] action[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they aren't , either . 	they aren't , either .	1	-1	 they[0] aren't[0] either[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and what about this wasted cast ? 	and what about this wasted cast ?	1	-2	 and[0] what[0] about[0] this[0] wasted[-1] cast[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
oh , it makes me weep with disappointment . 	oh , it makes me weep with disappointment .	1	-3	 oh[0] it[0] makes[0] me[0] weep[-2] with[0] disappointment[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
we're talking ralph fiennes here , one of the best actors working today , one of the best actors * ever * . 	we're talking ralph fiennes here , one of the best actors working today , one of the best actors * ever * .	2	-1	 we're[0] talking[0] ralph[0] fiennes[0] here[0] one[0] of[0] the[0] best[1] actors[0] working[0] today[0] one[0] of[0] the[0] best[1] actors[0] ever[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i love the guy . 	i love the guy .	3	-1	 i[0] love[2] the[0] guy[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i've loved all his films , until this one . 	i've loved all his films , until this one .	4	-1	 i've[0] loved[3] all[0] his[0] films[0] until[0] this[0] one[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
he seems like he wants to understand the film , but he's as lost as we are . 	he seems like he wants to understand the film , but he's as lost as we are .	2	-1	 he[0] seems[0] like[1] he[0] wants[0] to[0] understand[0] the[0] film[0] but[0] he's[0] as[0] lost[0] as[0] we[0] are[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and thurman , in all of her spectacular beauty and talent , can't manage to look at home here . 	and thurman , in all of her spectacular beauty and talent , can't manage to look at home here .	3	-1	 and[0] thurman[0] in[0] all[0] of[0] her[0] spectacular[0] beauty[2] and[0] talent[1] can't[0] manage[0] to[0] look[0] at[0] home[0] here[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 ( i don't blame her completely , for there is a strange subplot involving her evil twin that is never explained in any way , and it can't be easy to deal with such terrible screenwriting . ) 	 ( i don't blame her completely , for there is a strange subplot involving her evil twin that is never explained in any way , and it can't be easy to deal with such terrible screenwriting .<br> )	2	-4	 i[0] don't[0] blame[-1][NegatedDueToPreviousWord] her[0] completely[0] for[0] there[0] is[0] a[0] strange[0] subplot[0] involving[0] her[0] evil[-2] twin[0] that[0] is[0] never[0] explained[0] in[0] any[0] way[0] and[0] it[0] can't[0] be[0] easy[0] to[0] deal[0] with[0] such[0] terrible[-3] screenwriting[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
connery , however , seems the most out of it , totally lacking any kind of focus , or interest , for that matter . 	connery , however , seems the most out of it , totally lacking any kind of focus , or interest , for that matter .	2	-1	 connery[0] however[0] seems[0] the[0] most[0] out[0] of[0] it[0] totally[0] lacking[0] any[0] kind[1] of[0] focus[0] or[0] interest[1] for[0] that[0] matter[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
who is to blame ? 	who is to blame ?	1	-2	 who[0] is[0] to[0] blame[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
is it the screenwriter , don macpherson ? 	is it the screenwriter , don macpherson ?	1	-1	 is[0] it[0] the[0] screenwriter[0] don[0] macpherson[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
perhaps , although i can see a shell of a story here that could have been a good superhero movie had it been handled right . 	perhaps , although i can see a shell of a story here that could have been a good superhero movie had it been handled right .	2	-1	 perhaps[0] although[0] i[0] can[0] see[0] a[0] shell[0] of[0] a[0] story[0] here[0] that[0] could[0] have[0] been[0] a[0] good[1] superhero[0] movie[0] had[0] it[0] been[0] handled[0] right[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
is it the actors ? 	is it the actors ?	1	-1	 is[0] it[0] the[0] actors[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for god's sake , no -- these people clearly lost interest when they saw the inevitable path of destruction on which this film was travelling . 	for god's sake , no - these people clearly lost interest when they saw the inevitable path of destruction on which this film was travelling .	2	-2	 for[0] god's[0] sake[0] no[0] these[0] people[0] clearly[0] lost[0] interest[1] when[0] they[0] saw[0] the[0] inevitable[0] path[0] of[0] destruction[-1] on[0] which[0] this[0] film[0] was[0] travelling[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i blame director jeremiah chechik , who shouldn't have been given the task to begin with . 	i blame director jeremiah chechik , who shouldn't have been given the task to begin with .	1	-2	 i[0] blame[-1] director[0] jeremiah[0] chechik[0] who[0] shouldn't[0] have[0] been[0] given[0] the[0] task[0] to[0] begin[0] with[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
his best film , benny & joon , is quirky in the same way that this one was supposed to be , but here it mostly seems like a lot of failed attempts at wit and humor . 	his best film , benny & joon , is quirky in the same way that this one was supposed to be , but here it mostly seems like a lot of failed attempts at wit and humor .	3	-3	 his[0] best[1] film[0] benny[0] &[0] joon[0] is[0] quirky[0] in[0] the[0] same[0] way[0] that[0] this[0] one[0] was[0] supposed[0] to[0] be[0] but[0] here[0] it[0] mostly[0] seems[0] like[1] a[0] lot[0] of[0] failed[-2] attempts[0] at[0] wit[0] and[0] humor[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
add to that a lack of experience in big-budget action , and you have the worst choice for director this side of james ivory . 	add to that a lack of experience in big-budget action , and you have the worst choice for director this side of james ivory .	1	-3	 add[0] to[0] that[0] a[0] lack[-1] of[0] experience[0] in[0] big[0] budget[0] action[0] and[0] you[0] have[0] the[0] worst[-2] choice[0] for[0] director[0] this[0] side[0] of[0] james[0] ivory[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
if the avengers has a saving grace , it's the set design . 	if the avengers has a saving grace , it's the set design .	3	-2	 if[0] the[0] avengers[-1] has[0] a[0] saving[0] grace[2] it's[0] the[0] set[0] design[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the sets ( by stuart craig ) are big , colorful , and often pleasing to look at . 	the sets ( by stuart craig ) are big , colorful , and often pleasing to look at .	3	-1	 the[0] sets[0] by[0] stuart[0] craig[0] are[0] big[0] colorful[0] and[0] often[0] pleasing[2] to[0] look[0] at[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i like the final set-piece , on de wynter's island , even if none of it makes a bit of sense . 	i like the final set-piece , on de wynter's island , even if none of it makes a bit of sense .	2	-1	 i[0] like[1] the[0] final[0] set[0] piece[0] on[0] de[0] wynter's[0] island[0] even[0] if[0] none[0] of[0] it[0] makes[0] a[0] bit[0] of[0] sense[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i admired the overhead view of the stairs , showing dr . peel running around in circles and never getting anywhere . 	i admired the overhead view of the stairs , showing dr .<br> peel running around in circles and never getting anywhere .	3	-1	 i[0] admired[2] the[0] overhead[0] view[0] of[0] the[0] stairs[0] showing[0] dr[0] [[Sentence=-1,3=word max, 1-5]] peel[0] running[0] around[0] in[0] circles[0] and[0] never[0] getting[0] anywhere[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
i also enjoyed michael kamen's music score , particularly in the opening credits . 	i also enjoyed michael kamen's music score , particularly in the opening credits .	3	-1	 i[0] also[0] enjoyed[2] michael[0] kamen's[0] music[0] score[0] particularly[0] in[0] the[0] opening[0] credits[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but this stuff is routine -- good sets and music are nice , but there's a lot more that needs to be here . 	but this stuff is routine - good sets and music are nice , but there's a lot more that needs to be here .	2	-1	 but[0] this[0] stuff[0] is[0] routine[0] good[1] sets[0] and[0] music[0] are[0] nice[1] but[0] there's[0] a[0] lot[0] more[0] that[0] needs[0] to[0] be[0] here[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
inspiration , for instance , would have been really nice . 	inspiration , for instance , would have been really nice .	3	-1	 inspiration[2] for[0] instance[0] would[0] have[0] been[0] really[0] nice[1][1 LastWordBoosterStrength] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
maybe a little bit of cohesion in the story . 	maybe a little bit of cohesion in the story .	1	-1	 maybe[0] a[0] little[0] bit[0] of[0] cohesion[0] in[0] the[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
or a sense of purpose . 	or a sense of purpose .	1	-1	 or[0] a[0] sense[0] of[0] purpose[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
most of all , though , i would have liked to see these actors relish in their roles . 	most of all , though , i would have liked to see these actors relish in their roles .	3	-1	 most[0] of[0] all[0] though[0] i[0] would[0] have[0] liked[2] to[0] see[0] these[0] actors[0] relish[0] in[0] their[0] roles[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
damn this movie for not giving them the chance . 	damn this movie for not giving them the chance .	1	-2	 damn[-1] this[0] movie[0] for[0] not[0] giving[0] them[0] the[0] chance[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
