nostalgia for the 70s continues , as we see a revival of one of the decade's greatest achievements : the marijuana comedy . 	Translation	Positive	Negative	EmotionRationale
just that the comic setups are obvious and the payoffs nearly all fall flat . 	just that the comic setups are obvious and the payoffs nearly all fall flat .	1	-1	 just[0] that[0] the[0] comic[0] setups[0] are[0] obvious[0] and[0] the[0] payoffs[0] nearly[0] all[0] fall[0] flat[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the four leads are nearly all playing the same character . 	the four leads are nearly all playing the same character .	2	-1	 the[0] four[0] leads[0] are[0] nearly[0] all[0] playing[1] the[0] same[0] character[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
only williams stands out ( while still performing on the level of his humor-free comedy rocket man ) , but that is because he's imprisoned throughout most of the film , giving a much needed change of pace ( but mostly swapping one set of obvious gags for another ) . 	only williams stands out ( while still performing on the level of his humor-free comedy rocket man ) , but that is because he's imprisoned throughout most of the film , giving a much needed change of pace ( but mostly swapping one set of obvious gags for another ) .	3	-2	 only[0] williams[0] stands[0] out[0] while[0] still[0] performing[0] on[0] the[0] level[0] of[0] his[0] humor[2] free[0] comedy[0] rocket[0] man[0] but[0] that[0] is[0] because[0] he's[0] imprisoned[-1] throughout[0] most[0] of[0] the[0] film[0] giving[0] a[0] much[0] needed[0] change[0] of[0] pace[0] but[0] mostly[0] swapping[0] one[0] set[0] of[0] obvious[0] gags[0] for[0] another[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
to help out , the film is packed full of cameos . 	to help out , the film is packed full of cameos .	1	-1	 to[0] help[0] out[0] the[0] film[0] is[0] packed[0] full[0] of[0] cameos[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
steven wright , tommy chong , janeane garofalo , willie nelson , snoop doggy dogg , and jon stewart all make appearances at one point or another . 	steven wright , tommy chong , janeane garofalo , willie nelson , snoop doggy dog , and jon stewart all make appearances at one point or another .	1	-1	 steven[0] wright[0] tommy[0] chong[0] janeane[0] garofalo[0] willie[0] nelson[0] snoop[0] doggy[0] dogg/dog[0] and[0] jon[0] stewart[0] all[0] make[0] appearances[0] at[0] one[0] point[0] or[0] another[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
none of them work , beyond the simple " hey , that's _____ " level . 	none of them work , beyond the simple " hey , that's __ " level .	2	-1	 none[0] of[0] them[0] work[0] beyond[0] the[0] simple[0] hey[1] that's[0] _____/__[0][+0.6 MultipleLetters] level[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in fact the funniest work in the film comes from chappelle . 	in fact the funniest work in the film comes from chappelle .	2	-1	 in[0] fact[0] the[0] funniest[1] work[0] in[0] the[0] film[0] comes[0] from[0] chappelle[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
not as his bland pothead lead , but in his second role , as a pot-obsessed rapper , sir smokealot . 	not as his bland pothead lead , but in his second role , as a pot-obsessed rapper , sir smokealot .	1	-3	 not[0] as[0] his[0] bland[-1] pothead[0] lead[0] but[0] in[0] his[0] second[0] role[0] as[0] a[0] pot[0] obsessed[-2] rapper[0] sir[0] smokealot[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
granted , it's pretty much a one-joke role , and there aren't a ton of laughs . . . but this film needs every one it can scrape up . 	granted , it's pretty much a one-joke role , and there aren't a ton of laughs .<br> .<br> .<br> but this film needs every one it can scrape up .	3	-2	 granted[0] it's[0] pretty[2] much[0] a[0] one[0] joke[1] role[0] and[0] there[0] aren't[0] a[0] ton[0] of[0] laughs[1] [[Sentence=-1,3=word max, 1-5]] but[0] this[0] film[0] needs[0] every[0] one[0] it[0] can[0] scrape[-1] up[0] [[Sentence=-2,1=word max, 1-5]][[[3,-2 max of sentences]]]
to top it off , and in a move contrasting with the tone of the rest of the film , thurgood is given a love interest , mary jane ( rachel true ) . 	to top it off , and in a move contrasting with the tone of the rest of the film , thurgood is given a love interest , mary jane ( rachel true ) .	3	-1	 to[0] top[0] it[0] off[0] and[0] in[0] a[0] move[0] contrasting[0] with[0] the[0] tone[0] of[0] the[0] rest[0] of[0] the[0] film[0] thurgood[0] is[0] given[0] a[0] love[2] interest[1] mary[0] jane[0] rachel[0] true[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
her role is that of the public service announcement : to inform us why doing drugs ( including pot ) is wrong . 	her role is that of the public service announcement : to inform us why doing drugs ( including pot ) is wrong .	1	-2	 her[0] role[0] is[0] that[0] of[0] the[0] public[0] service[0] announcement[0] to[0] inform[0] us[0] why[0] doing[0] drugs[0] including[0] pot[0] is[0] wrong[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
her character seems fabricated merely as a defense to the " your film promotes the use of drugs " camp . 	her character seems fabricated merely as a defense to the " your film promotes the use of drugs " camp .	1	-2	 her[0] character[0] seems[0] fabricated[-1] merely[0] as[0] a[0] defense[0] to[0] the[0] your[0] film[0] promotes[0] the[0] use[0] of[0] drugs[0] camp[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the film would have been better off by sticking with the " rebel " tone it so eagerly tries to claim . 	the film would have been better off by sticking with the " rebel " tone it so eagerly tries to claim .	1	-2	 the[0] film[0] would[0] have[0] been[0] better[0] off[0] by[0] sticking[0] with[0] the[0] rebel[-1] tone[0] it[0] so[0] eagerly[0] tries[0] to[0] claim[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
yet , in the end , it doesn't really matter . 	yet , in the end , it doesn't really matter .	1	-1	 yet[0] in[0] the[0] end[0] it[0] doesn't[0] really[0] matter[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
watching the film clean and sober , you are bound to recognize how truly awful it is . 	watching the film clean and sober , you are bound to recognize how truly awful it is .	2	-4	 watching[0] the[0] film[0] clean[0] and[0] sober[0] you[0] are[0] bound[0] to[0] recognize[0] how[0] truly[1] awful[-3] it[0] is[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
