i'm guessing -- and from the available evidence , it's not a great guess -- that burn hollywood burn began life as an insider satire of hollywood excess , stupidity , ego and power-mongering . 	Translation	Positive	Negative	EmotionRationale
michael ovitz references , showgirls references , oral sex references , whoopi goldberg/ted danson references -- all show up multiple times with all the subtlety that is eszterhas' stock-in-trade . 	michael ovitz references , showgirls references , oral sex references , whoopi goldberg/ted danson references - all show up multiple times with all the subtlety that is eszterhas' stock-in-trade .	1	-1	 michael[0] ovitz[0] references[0] showgirls[0] references[0] oral[0] sex[0] references[0] whoopi[0] goldberg/ted[0] danson[0] references[0] all[0] show[0] up[0] multiple[0] times[0] with[0] all[0] the[0] subtlety[0] that[0] is[0] eszterhas'[0] stock[0] in[0] trade[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the reduncancy even manages to turn actively offensive with some frequency , notably with the hilarious use of the word " feminist " as an identifying caption for every single female character in the film . 	the reduncancy even manages to turn actively offensive with some frequency , notably with the hilarious use of the word " feminist " as an identifying caption for every single female character in the film .	3	-3	 the[0] reduncancy[0] even[0] manages[0] to[0] turn[0] actively[0] offensive[-2] with[0] some[0] frequency[0] notably[0] with[0] the[0] hilarious[2] use[0] of[0] the[0] word[0] feminist[0] as[0] an[0] identifying[0] caption[0] for[0] every[0] single[0] female[0] character[0] in[0] the[0] film[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
by the time coolio and chuck d show up as black independent film-makers the brothers brothers ( cleverly identified as " bad a-- " and " badder a-- " , among other unprintable things ) , you may be ready to walk out of the theater with your coat over your head to avoid being identified . 	by the time coolio and chuck d show up as black independent film-makers the brothers brothers ( cleverly identified as " bad a- " and " bader a- " , among other unprintable things ) , you may be ready to walk out of the theater with your coat over your head to avoid being identified .	1	-2	 by[0] the[0] time[0] coolio[0] and[0] chuck[0] d[0] show[0] up[0] as[0] black[0] independent[0] film[0] makers[0] the[0] brothers[0] brothers[0] cleverly[0] identified[0] as[0] bad[-1] a[0] and[0] badder/bader[0] a[0] among[0] other[0] unprintable[0] things[0] you[0] may[0] be[0] ready[0] to[0] walk[0] out[0] of[0] the[0] theater[0] with[0] your[0] coat[0] over[0] your[0] head[0] to[0] avoid[-1] being[0] identified[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
those documentary captions , for all their leaden obviousness , allow the best insight into what's so hideously wrong with burn hollywood burn . 	those documentary captions , for all their leaden obviousness , allow the best insight into what's so hideously wrong with burn hollywood burn .	2	-2	 those[0] documentary[0] captions[0] for[0] all[0] their[0] leaden[0] obviousness[0] allow[0] the[0] best[1] insight[0] into[0] what's[0] so[0] hideously[0] wrong[-1] with[0] burn[-1] hollywood[0] burn[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
not content to stick any hollywood type with only one jab from his rapier wit , eszterhas fills the screen with bullet points every time a new character appears . 	not content to stick any hollywood type with only one jab from his rapier wit , eszterhas fills the screen with bullet points every time a new character appears .	1	-2	 not[0] content[0] to[0] stick[0] any[0] hollywood[0] type[0] with[0] only[0] one[0] jab[0] from[0] his[0] rapier[0] wit[0] eszterhas[0] fills[0] the[0] screen[0] with[0] bullet[-1] points[0] every[0] time[0] a[0] new[0] character[0] appears[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the producer is a " liar " who " slept in the white house ; " the media are " maggots " and " leeches " working for publications like " the new york slimes " and " newsleak " ( with the camera zooming in on the altered title to make sure you don't miss the joke ) . 	the producer is a " liar " who " slept in the white house ; " the media are " maggots " and " leeches " working for publications like " the new york slimes " and " newsleak " ( with the camera zooming in on the altered title to make sure you don't miss the joke ) .	2	-3	 the[0] producer[0] is[0] a[0] liar[-2] who[0] slept[0] in[0] the[0] white[0] house[0] the[0] media[0] are[0] maggots[0] and[0] leeches[0] working[0] for[0] publications[0] like[1] the[0] new[0] york[0] slimes[0] and[0] newsleak[0] with[0] the[0] camera[0] zooming[0] in[0] on[0] the[0] altered[0] title[0] to[0] make[0] sure[0] you[0] don't[0] miss[-1][NegatedDueToPreviousWord] the[0] joke[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it doesn't even matter that eszterhas tags " penile implant " after his own name when he makes a cameo , because it seems like such a desperate attempt to feign self-deprecation . 	it doesn't even matter that eszterhas tags " penile implant " after his own name when he makes a cameo , because it seems like such a desperate attempt to feign self-deprecation .	2	-3	 it[0] doesn't[0] even[0] matter[0] that[0] eszterhas[0] tags[0] penile[0] implant[0] after[0] his[0] own[0] name[0] when[0] he[0] makes[0] a[0] cameo[0] because[0] it[0] seems[0] like[1] such[0] a[0] desperate[-2] attempt[0] to[0] feign[-1] self[0] deprecation[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
this is a petulant schoolboy's idea of satire -- pictures of hollywood insiders to which eszterhas has taken a pen to draw little moustaches and black out the teeth . 	this is a petulant schoolboy's idea of satire - pictures of hollywood insiders to which eszterhas has taken a pen to draw little moustaches and black out the teeth .	1	-1	 this[0] is[0] a[0] petulant[0] schoolboy's[0] idea[0] of[0] satire[0] pictures[0] of[0] hollywood[0] insiders[0] to[0] which[0] eszterhas[0] has[0] taken[0] a[0] pen[0] to[0] draw[0] little[0] moustaches[0] and[0] black[0] out[0] the[0] teeth[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the last stomach-churning straw comes when burn hollywood burn closes with out-takes over the closing credits , the kind that show the audience how much fun everyone was having making the film that just sucked an hour and a half of your life away . 	the last stomach-churning straw comes when burn hollywood burn closes with out-takes over the closing credits , the kind that show the audience how much fun everyone was having making the film that just sucked an hour and a half of your life away .	2	-2	 the[0] last[0] stomach[0] churning[0] straw[0] comes[0] when[0] burn[-1] hollywood[0] burn[-1] closes[0] with[0] out[0] takes[0] over[0] the[0] closing[0] credits[0] the[0] kind[1] that[0] show[0] the[0] audience[0] how[0] much[0] fun[1] everyone[0] was[0] having[0] making[0] the[0] film[0] that[0] just[0] sucked[-1][--1 LastWordBoosterStrength] an[0] hour[0] and[0] a[0] half[0] of[0] your[0] life[0] away[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
perhaps it was just a final , desperate attempt by eszterhas to convince himself there was some purpose behind the film , or to convince everyone involved that a few blown lines warranted threatening to blow their whole career . 	perhaps it was just a final , desperate attempt by eszterhas to convince himself there was some purpose behind the film , or to convince everyone involved that a few blown lines warranted threatening to blow their whole career .	1	-3	 perhaps[0] it[0] was[0] just[0] a[0] final[0] desperate[-2] attempt[0] by[0] eszterhas[0] to[0] convince[0] himself[0] there[0] was[0] some[0] purpose[0] behind[0] the[0] film[0] or[0] to[0] convince[0] everyone[0] involved[0] that[0] a[0] few[0] blown[0] lines[0] warranted[0] threatening[-2] to[0] blow[0] their[0] whole[0] career[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
pity everyone involved with this excessive , ego-driven " satire " of excess and ego . 	pity everyone involved with this excessive , ego-driven " satire " of excess and ego .	1	-2	 pity[-1] everyone[0] involved[0] with[0] this[0] excessive[-1] ego[0] driven[0] satire[0] of[0] excess[-1] and[0] ego[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's too bad that only directors can remove their names from noxious material like this . 	it's too bad that only directors can remove their names from noxious material like this .	2	-3	 it's[0] too[0] bad[-1] that[0] only[0] directors[0] can[0] remove[0] their[0] names[0] from[0] noxious[-2] material[0] like[1] this[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
otherwise , you might have seen credits for burn hollywood burn overflowing with alan smithees . 	otherwise , you might have seen credits for burn hollywood burn overflowing with alan smithees .	1	-2	 otherwise[0] you[0] might[0] have[0] seen[0] credits[0] for[0] burn[-1] hollywood[0] burn[-1] overflowing[-1] with[0] alan[0] smithees[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
