synopsis : sullen julie james , still haunted by nightmares of the killer ben willis from i know what you did last summer , perks up when her new best friend karla wilson wins a trip for four to the bahamas . 	Translation	Positive	Negative	EmotionRationale
i still know what you did last summer , though cashing in on the success of the original , ultimately serves as a vehicle for these two young actresses . 	i still know what you did last summer , though cashing in on the success of the original , ultimately serves as a vehicle for these two young actresses .	3	-1	 i[0] still[0] know[0] what[0] you[0] did[0] last[0] summer[0] though[0] cashing[0] in[0] on[0] the[0] success[2] of[0] the[0] original[0] ultimately[0] serves[0] as[0] a[0] vehicle[0] for[0] these[0] two[0] young[0] actresses[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
nothing else here is original or interesting . 	nothing else here is original or interesting .	2	-1	 nothing[0] else[0] here[0] is[0] original[0] or[0] interesting[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this movie , in fact , makes other recent so-so horror films like urban legend and john carpenter's vampires seem like stunning works of high art . 	this movie , in fact , makes other recent so-so horror films like urban legend and john carpenter's vampires seem like stunning works of high art .	2	-4	 this[0] movie[0] in[0] fact[0] makes[0] other[0] recent[0] so[0] so[0] horror[-3] films[0] like[1] urban[0] legend[0] and[0] john[0] carpenter's[0] vampires[0] seem[0] like[1] stunning[0] works[0] of[0] high[0] art[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
i still know relies heavily on tired slasher film cliches : an isolated location , a storm , parentless teenagers , false alarm nightmares , lots of blue-lighted darkness scenes , a garbed slasher who walks around in the background without the characters seeing him , knives and other sharp instruments lying around everywhere , etc . you get the picture . 	i still know relies heavily on tired slasher film cliches : an isolated location , a storm , parentless teenagers , false alarm nightmares , lots of blue-lighted darkness scenes , a garbed slasher who walks around in the background without the characters seeing him , knives and other sharp instruments lying around everywhere , etc .<br> you get the picture .	1	-4	 i[0] still[0] know[0] relies[0] heavily[0] on[0] tired[-1] slasher[-1] film[0] cliches[0] an[0] isolated[-1] location[0] a[0] storm[-1] parentless[0] teenagers[0] false[0] alarm[-2] nightmares[0] lots[0] of[0] blue[0] lighted[0] darkness[0] scenes[0] a[0] garbed[0] slasher[-1] who[0] walks[0] around[0] in[0] the[0] background[0] without[0] the[0] characters[0] seeing[0] him[0] knives[0] and[0] other[0] sharp[0] instruments[0] lying[-3] around[0] everywhere[0] etc[0] [[Sentence=-4,1=word max, 1-5]] you[0] get[0] the[0] picture[0] [[Sentence=-1,1=word max, 1-5]][[[1,-4 max of sentences]]]
the entire audience knows all the secondary characters introduced in the film are going to receive the business end of the killer's hook . 	the entire audience knows all the secondary characters introduced in the film are going to receive the business end of the killer's hook .	1	-1	 the[0] entire[0] audience[0] knows[0] all[0] the[0] secondary[0] characters[0] introduced[0] in[0] the[0] film[0] are[0] going[0] to[0] receive[0] the[0] business[0] end[0] of[0] the[0] killer's[0] hook[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they may as well have huge targets painted on them . 	they may as well have huge targets painted on them .	1	-1	 they[0] may[0] as[0] well[0] have[0] huge[0] targets[0] painted[0] on[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
like scream and its numerous knockoffs , these secondary characters are supposed to serve as comic relief . 	like scream and its numerous knockoffs , these secondary characters are supposed to serve as comic relief .	2	-4	 like[1] scream[-3] and[0] its[0] numerous[0] knockoffs[0] these[0] secondary[0] characters[0] are[0] supposed[0] to[0] serve[0] as[0] comic[0] relief[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
unfortunately , i still know's characters aren't all that funny . 	unfortunately , i still know's characters aren't all that funny .	2	-2	 unfortunately[-1] i[0] still[0] know's[0] characters[0] aren't[0] all[0] that[0] funny[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in particular , one character , a chain-weed-smoking guy , is obnoxiously annoying and certainly doesn't die soon enough . 	in particular , one character , a chain-weed-smoking guy , is obnoxiously annoying and certainly doesn't die soon enough .	1	-4	 in[0] particular[0] one[0] character[0] a[0] chain[0] weed[-1] smoking[0] guy[0] is[0] obnoxiously[-2] annoying[-2][-1 MultiplePositiveWords] and[0] certainly[0] doesn't[0] die[0] soon[0] enough[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the death scenes , by the way , are relatively violent for a theatrically released horror film . 	the death scenes , by the way , are relatively violent for a theatrically released horror film .	1	-4	 the[0] death[-2] scenes[0] by[0] the[0] way[0] are[0] relatively[0] violent[-2] for[0] a[0] theatrically[0] released[0] horror[-3] film[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
several of them are uncomfortable to watch , and they reminded me of the sickening gore scenes in hellraiser : bloodline , a truly sadistic movie . 	several of them are uncomfortable to watch , and they reminded me of the sickening gore scenes in hellraiser : bloodline , a truly sadistic movie .	2	-4	 several[0] of[0] them[0] are[0] uncomfortable[-2] to[0] watch[0] and[0] they[0] reminded[0] me[0] of[0] the[0] sickening[-3] gore[0] scenes[0] in[0] hellraiser[0] bloodline[0] a[0] truly[1] sadistic[0] movie[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
this , too , did not help the supposed humor i still know was shooting for . 	this , too , did not help the supposed humor i still know was shooting for .	3	-2	 this[0] too[0] did[0] not[0] help[0] the[0] supposed[0] humor[2] i[0] still[0] know[0] was[0] shooting[-1] for[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
and what is the deal with the slasher himself ? 	and what is the deal with the slasher himself ?	1	-2	 and[0] what[0] is[0] the[0] deal[0] with[0] the[0] slasher[-1] himself[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i know that the slasher film is not a particularly intelligent genre , but ben willis has got to go down as one of the most silly slashers in mainstream horror . 	i know that the slasher film is not a particularly intelligent genre , but ben willis has got to go down as one of the most silly slashers in mainstream horror .	2	-4	 i[0] know[0] that[0] the[0] slasher[-1] film[0] is[0] not[0] a[0] particularly[0] intelligent[1] genre[0] but[0] ben[0] willis[0] has[0] got[0] to[0] go[0] down[0] as[0] one[0] of[0] the[0] most[0] silly[-1] slashers[-1] in[0] mainstream[0] horror[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
come on , the guy looks like the gorton's fisherman , and his gruff voice makes him sound like a disney pirate . 	come on , the guy looks like the gorton's fisherman , and his gruff voice makes him sound like a disney pirate .	2	-2	 come[0] on[0] the[0] guy[0] looks[0] like[1] the[0] gorton's[0] fisherman[0] and[0] his[0] gruff[-1] voice[0] makes[0] him[0] sound[0] like[1] a[0] disney[0] pirate[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
though his lightning-lit appearances ellicited much-needed laughter in the theater , his appearance borders on the absurd in the horror film , and that's * really * saying something . 	though his lightning-lit appearances elicited much-needed laughter in the theater , his appearance borders on the absurd in the horror film , and that's * really * saying something .	2	-4	 though[0] his[0] lightning[0] lit[0] appearances[0] ellicited/elicited[0] much[0] needed[0] laughter[1] in[0] the[0] theater[0] his[0] appearance[0] borders[0] on[0] the[0] absurd[-1] in[0] the[0] horror[-3] film[0] and[0] that's[0] really[0] saying[0] something[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
so , all that's left to talk about here is jennifer love hewitt and brandy . 	so , all that's left to talk about here is jennifer love hewitt and brandy .	3	-1	 so[0] all[0] that's[0] left[0] to[0] talk[0] about[0] here[0] is[0] jennifer[0] love[2] hewitt[0] and[0] brandy[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
both prance about in tightfitting , revealing outfits or in various states of undress , yet neither of them ever actually do a nude scene . 	both prance about in tightfitting , revealing outfits or in various states of undress , yet neither of them ever actually do a nude scene .	1	-1	 both[0] prance[0] about[0] in[0] tightfitting[0] revealing[0] outfits[0] or[0] in[0] various[0] states[0] of[0] undress[0] yet[0] neither[0] of[0] them[0] ever[0] actually[0] do[0] a[0] nude[0] scene[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hewitt , however , does do a post-shower scene in which her thin bathrobe is quite . 	hewitt , however , does do a post-shower scene in which her thin bathrobe is quite .	1	-1	 hewitt[0] however[0] does[0] do[0] a[0] post[0] shower[0] scene[0] in[0] which[0] her[0] thin[0] bathrobe[0] is[0] quite[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
 . titillating . 	 .<br> titillating .	1	-1	 titillating[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this scene alone made this one-star turkey earn two stars under my rating system . 	this scene alone made this one-star turkey earn two stars under my rating system .	1	-1	 this[0] scene[0] alone[0] made[0] this[0] one[0] star[0] turkey[0] earn[0] two[0] stars[0] under[0] my[0] rating[0] system[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
otherwise , hewitt and brandy both grate on the nerves . 	otherwise , hewitt and brandy both grate on the nerves .	1	-1	 otherwise[0] hewitt[0] and[0] brandy[0] both[0] grate[0] on[0] the[0] nerves[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
early in the film , for instance , brandy wins the trip to the bahamas . 	early in the film , for instance , brandy wins the trip to the bahamas .	1	-1	 early[0] in[0] the[0] film[0] for[0] instance[0] brandy[0] wins[0] the[0] trip[0] to[0] the[0] bahamas[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she and hewitt jump around and scream and screech for what seems like forever . 	she and hewitt jump around and scream and screech for what seems like forever .	2	-4	 she[0] and[0] hewitt[0] jump[0] around[0] and[0] scream[-3] and[0] screech[-1] for[0] what[0] seems[0] like[1] forever[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
i needed extra-strength tylenol after that part . 	i needed extra-strength tylenol after that part .	1	-1	 i[0] needed[0] extra[0] strength[0] tylenol[0] after[0] that[0] part[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
oh , and the film's conclusion , talk about repetitive ! 	oh , and the film's conclusion , talk about repetitive !	1	-1	 oh[0] and[0] the[0] film's[0] conclusion[0] talk[0] about[0] repetitive[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
people who saw i know what you did last summer will predict i still know's ending at least 5 minutes before it happens . 	people who saw i know what you did last summer will predict i still know's ending at least 5 minutes before it happens .	1	-1	 people[0] who[0] saw[0] i[0] know[0] what[0] you[0] did[0] last[0] summer[0] will[0] predict[0] i[0] still[0] know's[0] ending[0] at[0] least[0] 5[0] minutes[0] before[0] it[0] happens[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
boring ! 	boring !	1	-2	 boring[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i saw this movie with my brother at the local downtown movie theater . 	i saw this movie with my brother at the local downtown movie theater .	1	-1	 i[0] saw[0] this[0] movie[0] with[0] my[0] brother[0] at[0] the[0] local[0] downtown[0] movie[0] theater[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
admission is only one dollar on wednesdays , and we often go see bad movies on these days just to ridicule them . 	admission is only one dollar on wednesdays , and we often go see bad movies on these days just to ridicule them .	1	-3	 admission[0] is[0] only[0] one[0] dollar[0] on[0] wednesdays[0] and[0] we[0] often[0] go[0] see[0] bad[-1] movies[0] on[0] these[0] days[0] just[0] to[0] ridicule[-2] them[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's usually a fun thing to do along with the rest of the audience , who don't seem to mind participating in a mass " mystery science theater 3000 " -type viewing . 	it's usually a fun thing to do along with the rest of the audience , who don't seem to mind participating in a mass " mystery science theater 300 " -type viewing .	2	-1	 it's[0] usually[0] a[0] fun[1] thing[0] to[0] do[0] along[0] with[0] the[0] rest[0] of[0] the[0] audience[0] who[0] don't[0] seem[0] to[0] mind[0] participating[0] in[0] a[0] mass[0] mystery[0] science[0] theater[0] 3000/300[0] type[0] viewing[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i still know what you did last summer , however , produced several lengthy uncomfortable silences from the audience , underscoring how bad it * really * is . 	i still know what you did last summer , however , produced several lengthy uncomfortable silences from the audience , underscoring how bad it * really * is .	1	-3	 i[0] still[0] know[0] what[0] you[0] did[0] last[0] summer[0] however[0] produced[0] several[0] lengthy[0] uncomfortable[-2] silences[0] from[0] the[0] audience[0] underscoring[0] how[0] bad[-1] it[0] really[0] is[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
if it weren't for the main actresses' revealing wardrobes , i'd have had a very , very hard time sitting through this lame sequel . 	if it weren't for the main actresses' revealing wardrobes , i'd have had a very , very hard time sitting through this lame sequel .	1	-3	 if[0] it[0] weren't[0] for[0] the[0] main[0] actresses'[0] revealing[0] wardrobes[0] i'd[0] have[0] had[0] a[0] very[0] very[0] hard[0] time[0] sitting[0] through[0] this[0] lame[-2] sequel[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i can't imagine trying to watch it on video ( horror films seem 10 times better in a theater because they rely heavily on audience participation ) and wouldn't recommend it to people , unless they're horror film fanatics or huge fans of hewitt and brandy . 	i can't imagine trying to watch it on video ( horror films seem 10 times better in a theater because they rely heavily on audience participation ) and wouldn't recommend it to people , unless they're horror film fanatics or huge fans of hewitt and brandy .	1	-4	 i[0] can't[0] imagine[0] trying[0] to[0] watch[0] it[0] on[0] video[0] horror[-3] films[0] seem[0] 10[0] times[0] better[0] in[0] a[0] theater[0] because[0] they[0] rely[0] heavily[0] on[0] audience[0] participation[0] and[0] wouldn't[0] recommend[0] it[0] to[0] people[0] unless[0] they're[0] horror[-3] film[0] fanatics[-1] or[0] huge[0] fans[0] of[0] hewitt[0] and[0] brandy[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i read on a website somewhere that another sequel is already in the works . 	i read on a website somewhere that another sequel is already in the works .	1	-1	 i[0] read[0] on[0] a[0] website[0] somewhere[0] that[0] another[0] sequel[0] is[0] already[0] in[0] the[0] works[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what a depressing thought . 	what a depressing thought .	1	-4	 what[0] a[0] depressing[-3] thought[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
hewitt apparently needs to spend more time on tv figuring out how to act . 	hewitt apparently needs to spend more time on tv figuring out how to act .	1	-1	 hewitt[0] apparently[0] needs[0] to[0] spend[0] more[0] time[0] on[0] tv[0] figuring[0] out[0] how[0] to[0] act[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
rated r , this film contains lots of violence , several gory scenes , and a couple nubile , horny teenagers--though the sex act itself is always thwarted . 	rated are , this film contains lots of violence , several gory scenes , and a couple nubile , horny teenagers-though the sex act itself is always thwarted .	1	-4	 rated[0] r[0] this[0] film[0] contains[0] lots[0] of[0] violence[-3] several[0] gory[0] scenes[0] and[0] a[0] couple[0] nubile[0] horny[0] teenagers[0] though[0] the[0] sex[0] act[0] itself[0] is[0] always[0] thwarted[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i'd say this is unsuitable for kids , but teens wouldn't have a problem sitting through it , especially since they obviously compose the film's target audience . 	i'd say this is unsuitable for kids , but teens wouldn't have a problem sitting through it , especially since they obviously compose the film's target audience .	1	-2	 i'd[0] say[0] this[0] is[0] unsuitable[0] for[0] kids[0] but[0] teens[0] wouldn't[0] have[0] a[0] problem[-1] sitting[0] through[0] it[0] especially[0] since[0] they[0] obviously[0] compose[0] the[0] film's[0] target[0] audience[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
