studio 54 attracted so many weird and bizarre people to its gates that it's a wonder why the film about the life and death of the studio centers itself on one very boring , cliched individual , not to mention an ensemble of people who wouldn't be at all fascinating unless they worked at the studio , which they did according to this film . 	Translation	Positive	Negative	EmotionRationale
he's dim-witted , into being part of " the scene , " and soon finds he's become a bit of a rave amongst the studio regulars . . . a 	he's dim-witted , into being part of " the scene , " and soon finds he's become a bit of a rave amongst the studio regulars .<br> .<br> .<br> a	1	-2	 he's[0] dim[-1] witted[0] into[0] being[0] part[0] of[0] the[0] scene[0] and[0] soon[0] finds[0] he's[0] become[0] a[0] bit[0] of[0] a[0] rave[0] amongst[0] the[0] studio[0] regulars[0] [[Sentence=-2,1=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
bit like " saturday night fever , " 'cept no travolta and no real interest put into him . 	bit like " saturday night fever , " 'cept no travolta and no real interest put into him .	2	-2	 bit[0] like[1] saturday[0] night[0] fever[-1] 'cept[0] no[0] travolta[0] and[0] no[0] real[0] interest[1] put[0] into[0] him[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
poor , poor phillippe struggles to make him interesting , but all he is a half-assed character and not at all our ticket to the glimpse of the decadence going on inside the club that he could have been . 	poor , poor phillippe struggles to make him interesting , but all he is a half-assed character and not at all our ticket to the glimpse of the decadence going on inside the club that he could have been .	2	-2	 poor[-1] poor[-1] phillippe[0] struggles[-1] to[0] make[0] him[0] interesting[1] but[0] all[0] he[0] is[0] a[0] half[0] assed[0] character[0] and[0] not[0] at[0] all[0] our[0] ticket[0] to[0] the[0] glimpse[0] of[0] the[0] decadence[-1] going[0] on[0] inside[0] the[0] club[0] that[0] he[0] could[0] have[0] been[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
shane begins to hang out with some other denizens of the club , like anita ( salma hayek ) , a wannabe donna sommers , and her young hubby , greg randanzo ( breckin meyer , from " clueless " ) , who helps shane become a bartender and rise to a bit of fame . 	shane begins to hang out with some other denizens of the club , like anita ( salma hayek ) , a wannabe donna sommers , and her young hubby , greg randanzo ( breckin meyer , from " clueless " ) , who helps shane become a bartender and rise to a bit of fame .	2	-2	 shane[0] begins[0] to[0] hang[-1] out[0] with[0] some[0] other[0] denizens[0] of[0] the[0] club[0] like[1] anita[0] salma[0] hayek[0] a[0] wannabe[0] donna[0] sommers[0] and[0] her[0] young[0] hubby[0] greg[0] randanzo[0] breckin[0] meyer[0] from[0] clueless[0] who[0] helps[0] shane[0] become[0] a[0] bartender[0] and[0] rise[0] to[0] a[0] bit[0] of[0] fame[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
although he begins to get somewhere when he sleeps with the foxy billie auster ( sela ward ) , an exec of sorts , he falls in lust with a soap star named julie black ( neve campbell ) , and thus the boring romance subplot that's all too not necessarily important to anything else in the film and never really becomes interesting at any point in the film . 	although he begins to get somewhere when he sleeps with the foxy billie auster ( sela ward ) , an exec of sorts , he falls in lust with a soap star named julie black ( neve campbell ) , and thus the boring romance subplot that's all too not necessarily important to anything else in the film and never really becomes interesting at any point in the film .	4	-2	 although[0] he[0] begins[0] to[0] get[0] somewhere[0] when[0] he[0] sleeps[0] with[0] the[0] foxy[0] billie[0] auster[-1] sela[0] ward[0] an[0] exec[0] of[0] sorts[0] he[0] falls[0] in[0] lust[0] with[0] a[0] soap[0] star[0] named[0] julie[0] black[0] neve[0] campbell[0] and[0] thus[0] the[0] boring[-1] romance[3] subplot[0] that's[0] all[0] too[0] not[0] necessarily[0] important[0] to[0] anything[0] else[0] in[0] the[0] film[0] and[0] never[0] really[0] becomes[0] interesting[1][NegatedDueToPreviousWord] at[0] any[0] point[0] in[0] the[0] film[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
the film's sole point of interest and one major strongpoint is the all-too necesary personage of steve rubell , played by mike myers ( you heard me ) . 	the film's sole point of interest and one major strongpoint is the all-too necesary personage of steve rubell , played by mike myers ( you heard me ) .	2	-1	 the[0] film's[0] sole[0] point[0] of[0] interest[1] and[0] one[0] major[0] strongpoint[0] is[0] the[0] all[0] too[0] necesary[0] personage[0] of[0] steve[0] rubell[0] played[0] by[0] mike[0] myers[0] you[0] heard[0] me[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
rubell , the famous head of the studio acted as if he never stopped partying ever , and is an easy metaphor for the life and times of his creation , but the film , thanks to a surprisingly strong performance by myers , makes him out to be more than that . 	rubell , the famous head of the studio acted as if he never stopped partying ever , and is an easy metaphor for the life and times of his creation , but the film , thanks to a surprisingly strong performance by myers , makes him out to be more than that .	2	-1	 rubell[0] the[0] famous[0] head[0] of[0] the[0] studio[0] acted[0] as[0] if[0] he[0] never[0] stopped[0] partying[0] ever[0] and[0] is[0] an[0] easy[0] metaphor[0] for[0] the[0] life[0] and[0] times[0] of[0] his[0] creation[0] but[0] the[0] film[0] thanks[1] to[0] a[0] surprisingly[0] strong[0] performance[0] by[0] myers[0] makes[0] him[0] out[0] to[0] be[0] more[0] than[0] that[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
notice the scenes sole shocking scene , where he tries to get felatio from one of his male employees in turn for a promotion : myers brings the humanity to rubell in this scene , and a couple others , that some of us who've only seen him on tv never saw , and proves to be perhaps the one aspect of studio 54 that this film actually nails . 	notice the scenes sole shocking scene , where he tries to get felatio from one of his male employees in turn for a promotion : myers brings the humanity to rubell in this scene , and a couple others , that some of us who've only seen him on tv never saw , and proves to be perhaps the one aspect of studio 54 that this film actually nails .	1	-3	 notice[0] the[0] scenes[0] sole[0] shocking[-2] scene[0] where[0] he[0] tries[0] to[0] get[0] felatio[0] from[0] one[0] of[0] his[0] male[0] employees[0] in[0] turn[0] for[0] a[0] promotion[0] myers[0] brings[0] the[0] humanity[0] to[0] rubell[0] in[0] this[0] scene[0] and[0] a[0] couple[0] others[0] that[0] some[0] of[0] us[0] who've[0] only[0] seen[0] him[0] on[0] tv[0] never[0] saw[0] and[0] proves[0] to[0] be[0] perhaps[0] the[0] one[0] aspect[0] of[0] studio[0] 54[0] that[0] this[0] film[0] actually[0] nails[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
first time feature director mark christopher proves that he's a better director than a writer , though not too terribly much . 	first time feature director mark christopher proves that he's a better director than a writer , though not too terribly much .	4	-1	 first[0] time[0] feature[0] director[0] mark[0] christopher[0] proves[0] that[0] he's[0] a[0] better[0] director[0] than[0] a[0] writer[0] though[0] not[0] too[0] terribly[-3][NegatedDueToPreviousWord] much[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
his story is trite and shallow , as are his characters , and his direction is shockingly flat , especially for a film about this subject . 	his story is trite and shallow , as are his characters , and his direction is shockingly flat , especially for a film about this subject .	1	-3	 his[0] story[0] is[0] trite[-2] and[0] shallow[-1] as[0] are[0] his[0] characters[0] and[0] his[0] direction[0] is[0] shockingly[-2] flat[0] especially[0] for[0] a[0] film[0] about[0] this[0] subject[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's as if he had a great story to tell , but instead opted for the easier route . 	it's as if he had a great story to tell , but instead opted for the easier route .	3	-1	 it's[0] as[0] if[0] he[0] had[0] a[0] great[2] story[0] to[0] tell[0] but[0] instead[0] opted[0] for[0] the[0] easier[0] route[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the studio's recreation is amazingly accurate , though , and very impressive , but his direction is never captivating enough . 	the studio's recreation is amazingly accurate , though , and very impressive , but his direction is never captivating enough .	3	-1	 the[0] studio's[0] recreation[0] is[0] amazingly[2] accurate[0] though[0] and[0] very[0] impressive[1][1 LastWordBoosterStrength] but[0] his[0] direction[0] is[0] never[0] captivating[0] enough[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
some people say that a film does its job if it makes you want to visit the locale it takes place in ( despite the film's tone , i still want to go to rome and its many nightclubs after i saw fellini's " la dolce vita " ) , and when i watched " 54 , " i didn't particularly want to stay . 	some people say that a film does its job if it makes you want to visit the locale it takes place in ( despite the film's tone , i still want to go to rome and its many nightclubs after i saw fellini's " la dolce vita " ) , and when i watched " 54 , " i didn't particularly want to stay .	1	-1	 some[0] people[0] say[0] that[0] a[0] film[0] does[0] its[0] job[0] if[0] it[0] makes[0] you[0] want[0] to[0] visit[0] the[0] locale[0] it[0] takes[0] place[0] in[0] despite[0] the[0] film's[0] tone[0] i[0] still[0] want[0] to[0] go[0] to[0] rome[0] and[0] its[0] many[0] nightclubs[0] after[0] i[0] saw[0] fellini's[0] la[0] dolce[0] vita[0] and[0] when[0] i[0] watched[0] 54[0] i[0] didn't[0] particularly[0] want[0] to[0] stay[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
