the people who populate the movie 54 are shallow , self-absorbed and self-indulgent . 	Translation	Positive	Negative	EmotionRationale
the story is told by shane o'shea ( ryan phillippe ) , a new jersey lad who dreams of crossing the river to the big apple . 	the story is told by shane o'shea ( ryan phillippe ) , a new jersey lad who dreams of crossing the river to the big apple .	1	-1	 the[0] story[0] is[0] told[0] by[0] shane[0] o'shea[0] ryan[0] phillippe[0] a[0] new[0] jersey[0] lad[0] who[0] dreams[0] of[0] crossing[0] the[0] river[0] to[0] the[0] big[0] apple[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
shades of john travolta's brooklyn-bound tony in saturday night fever . 	shades of john travolta's brooklyn-bound tony in saturday night fever .	1	-2	 shades[0] of[0] john[0] travolta's[0] brooklyn[0] bound[0] tony[0] in[0] saturday[0] night[0] fever[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
eventually , shane does come to new york , attracts rubell's eye and is admitted to the promised land . 	eventually , shane does come to new york , attracts rubell's eye and is admitted to the promised land .	2	-1	 eventually[0] shane[0] does[0] come[0] to[0] new[0] york[0] attracts[1] rubell's[0] eye[0] and[0] is[0] admitted[0] to[0] the[0] promised[1] land[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
his looks get him a job as a busboy , and he is later promoted to the prestigious position of bartender , where he mixes with and makes drinks for the rich and famous . 	his looks get him a job as a busboy , and he is later promoted to the prestigious position of bartender , where he mixes with and makes drinks for the rich and famous .	1	-1	 his[0] looks[0] get[0] him[0] a[0] job[0] as[0] a[0] busboy[0] and[0] he[0] is[0] later[0] promoted[0] to[0] the[0] prestigious[0] position[0] of[0] bartender[0] where[0] he[0] mixes[0] with[0] and[0] makes[0] drinks[0] for[0] the[0] rich[0] and[0] famous[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
shane's dream is to meet soap star julie black ( neve campbell ) , a fellow garden stater . 	shane's dream is to meet soap star julie black ( neve campbell ) , a fellow garden stater .	1	-1	 shane's[0] dream[0] is[0] to[0] meet[0] soap[0] star[0] julie[0] black[0] neve[0] campbell[0] a[0] fellow[0] garden[0] stater[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but both characters are so sketchily drawn that even when they do hook up , it's no big deal . 	but both characters are so sketchily drawn that even when they do hook up , it's no big deal .	1	-1	 but[0] both[0] characters[0] are[0] so[0] sketchily[0] drawn[0] that[0] even[0] when[0] they[0] do[0] hook[0] up[0] it's[0] no[0] big[0] deal[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the chemistry between shane and julie is nonexistent . 	the chemistry between shane and julie is nonexistent .	1	-1	 the[0] chemistry[0] between[0] shane[0] and[0] julie[0] is[0] nonexistent[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
54 is a very cold , uninvolving movie . 	54 is a very cold , uninvolving movie .	1	-3	 54[0] is[0] a[0] very[0] cold[-1][-1 LastWordBoosterStrength] uninvolving[0] movie[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's all strobe lights and glitz , all substance . 	it's all strobe lights and glitz , all substance .	1	-1	 it's[0] all[0] strobe[0] lights[0] and[0] glitz[0] all[0] substance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's sort of like the musical era it covers . 	it's sort of like the musical era it covers .	2	-1	 it's[0] sort[0] of[0] like[1] the[0] musical[0] era[0] it[0] covers[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
