the summer of 00' wasn't a very good one for devout cinephiles . 	Translation	Positive	Negative	EmotionRationale
the labute who birthed the extraordinary in the company of men , slipped a bit ( but not much ) with his sophomore effort , your friends and neighbors , then fell straight on his ass with bash , a play he penned that was recently aired on showtime . 	the labute who birthed the extraordinary in the company of men , slipped a bit ( but not much ) with his sophomore effort , your friends and neighbors , then fell straight on his ass with bash , a play he penned that was recently aired on showtime .	2	-1	 the[0] labute[0] who[0] birthed[0] the[0] extraordinary[0] in[0] the[0] company[0] of[0] men[0] slipped[0] a[0] bit[0] but[0] not[0] much[0] with[0] his[0] sophomore[0] effort[0] your[0] friends[1] and[0] neighbors[0] then[0] fell[0] straight[0] on[0] his[0] ass[0] with[0] bash[0] a[0] play[0] he[0] penned[0] that[0] was[0] recently[0] aired[0] on[0] showtime[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the play demonstrated no forward movement as an artist , only labute's persistence in wallowing in the horrid things " average " people do to each other , usually with out realizing how horrid they themselves are . 	the play demonstrated no forward movement as an artist , only labute's persistence in wallowing in the horrid things " average " people do to each other , usually with out realizing how horrid they themselves are .	1	-4	 the[0] play[0] demonstrated[0] no[0] forward[0] movement[0] as[0] an[0] artist[0] only[0] labute's[0] persistence[0] in[0] wallowing[-1] in[0] the[0] horrid[-3] things[0] average[0] people[0] do[0] to[0] each[0] other[0] usually[0] with[0] out[0] realizing[0] how[0] horrid[-3] they[0] themselves[0] are[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
in the play , paul rudd , as an obnoxious jock , delivers a monologue detailing how he once followed a gay man into a bathroom and beat him maybe to death , while his clueless girlfriend essentially regards his sadistic behaviors as something along the old maxim " boys will be boys " . 	in the play , paul rudd , as an obnoxious jock , delivers a monologue detailing how he once followed a gay man into a bathroom and beat him maybe to death , while his clueless girlfriend essentially regards his sadistic behaviors as something along the old maxim " boys will be boys " .	1	-3	 in[0] the[0] play[0] paul[0] rudd[0] as[0] an[0] obnoxious[-2] jock[0] delivers[0] a[0] monologue[0] detailing[0] how[0] he[0] once[0] followed[0] a[0] gay[-1] man[0] into[0] a[0] bathroom[0] and[0] beat[0] him[0] maybe[0] to[0] death[-2] while[0] his[0] clueless[0] girlfriend[0] essentially[0] regards[0] his[0] sadistic[0] behaviors[0] as[0] something[0] along[0] the[0] old[0] maxim[0] boys[0] will[0] be[0] boys[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
another character , schlubby businessman reacts to the loss of his job by actually killing his own baby ! 	another character , schlubby businessman reacts to the loss of his job by actually killing his own baby !	2	-3	 another[0] character[0] schlubby[0] businessman[0] reacts[0] to[0] the[0] loss[-2] of[0] his[0] job[0] by[0] actually[0] killing[-1] his[0] own[0] baby[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
what was once so powerful about labute's work , the casual , nonchalant cruelty and selfishness ( often elements we all have in us amplified to a disgusting degree ) had become so over the top it was borderline comic . 	what was once so powerful about labute's work , the casual , nonchalant cruelty and selfishness ( often elements we all have in us amplified to a disgusting degree ) had become so over the top it was borderline comic .	1	-4	 what[0] was[0] once[0] so[0] powerful[0] about[0] labute's[0] work[0] the[0] casual[0] nonchalant[0] cruelty[-3] and[0] selfishness[-3] often[0] elements[0] we[0] all[0] have[0] in[0] us[0] amplified[0] to[0] a[0] disgusting[-3] degree[0] had[0] become[0] so[0] over[0] the[0] top[0] it[0] was[0] borderline[0] comic[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
obviously , at this point , labute could use a dose of some different kind of material before he pigeon holes himself further , but nurse betty isn't it . 	obviously , at this point , labute could use a dose of some different kind of material before he pigeon holes himself further , but nurse betty isn't it .	2	-1	 obviously[0] at[0] this[0] point[0] labute[0] could[0] use[0] a[0] dose[0] of[0] some[0] different[0] kind[1] of[0] material[0] before[0] he[0] pigeon[0] holes[0] himself[0] further[0] but[0] nurse[0] betty[0] isn't[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he clearly has little passion for what he's doing here , instead replacing his mojo with strained quirks ( one of the hit men is a huge soap fan , and the character of betty would be little more than a one joke gimmick if zelllweger hadn't managed to transcend that ) tailor made to appeal to the widest possible audience . 	he clearly has little passion for what he's doing here , instead replacing his mojo with strained quirks ( one of the hit men is a huge soap fan , and the character of betty would be little more than a one joke gimmick if zellweger hadn't managed to transcend that ) tailor made to appeal to the widest possible audience .	3	-2	 he[0] clearly[0] has[0] little[0] passion[2] for[0] what[0] he's[0] doing[0] here[0] instead[0] replacing[0] his[0] mojo[0] with[0] strained[-1] quirks[0] one[0] of[0] the[0] hit[0] men[0] is[0] a[0] huge[0] soap[0] fan[0] and[0] the[0] character[0] of[0] betty[0] would[0] be[0] little[0] more[0] than[0] a[0] one[0] joke[1] gimmick[0] if[0] zelllweger/zellweger[0] hadn't[0] managed[0] to[0] transcend[0] that[0] tailor[0] made[0] to[0] appeal[0] to[0] the[0] widest[0] possible[0] audience[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
nearly every scene between chris rock and morgan freeman fatally slows the picture down , as the two are made to enact soft-boiled tarantino-esque dialogue . 	nearly every scene between chris rock and morgan freeman fatally slows the picture down , as the two are made to enact soft-boiled tarantino-esque dialogue .	2	-3	 nearly[0] every[0] scene[0] between[0] chris[0] rock[1] and[0] morgan[0] freeman[0] fatally[-2] slows[0] the[0] picture[0] down[0] as[0] the[0] two[0] are[0] made[0] to[0] enact[0] soft[0] boiled[0] tarantino[0] esque[0] dialogue[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
they evince little chemistry , with rock constantly in over the top rant mode , acting more like an angry comic than any thing resembling a hit man ( an occupation that's represented far too frequently in movies nowadays ) . 	they evince little chemistry , with rock constantly in over the top rant mode , acting more like an angry comic than any thing resembling a hit man ( an occupation that's represented far too frequently in movies nowadays ) .	2	-4	 they[0] evince[0] little[0] chemistry[0] with[0] rock[1] constantly[0] in[0] over[0] the[0] top[0] rant[0] mode[0] acting[0] more[0] like[1] an[0] angry[-3] comic[0] than[0] any[0] thing[0] resembling[0] a[0] hit[0] man[0] an[0] occupation[0] that's[0] represented[0] far[0] too[0] frequently[0] in[0] movies[0] nowadays[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
i think rock is a great comic yet he hasn't been able to bring his feral intelligence to movies , whenever he acts , and no matter the part , it's like he's doing the damn chris rock show . 	i think rock is a great comic yet he hasn't been able to bring his feral intelligence to movies , whenever he acts , and no matter the part , it's like he's doing the damn chris rock show .	3	-2	 i[0] think[0] rock[1] is[0] a[0] great[2] comic[0] yet[0] he[0] hasn't[0] been[0] able[0] to[0] bring[0] his[0] feral[0] intelligence[0] to[0] movies[0] whenever[0] he[0] acts[0] and[0] no[0] matter[0] the[0] part[0] it's[0] like[1] he's[0] doing[0] the[0] damn[-1] chris[0] rock[1] show[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
surprisingly ( at least considering her work in me , myself and irene ) renee zellweger gives a revelatory performance , building on her baby faced , apple pie looks . 	surprisingly ( at least considering her work in me , myself and irene ) renee zellweger gives a revelatory performance , building on her baby faced , apple pie looks .	2	-1	 surprisingly[0] at[0] least[0] considering[0] her[0] work[0] in[0] me[0] myself[0] and[0] irene[0] renee[0] zellweger[0] gives[0] a[0] revelatory[0] performance[0] building[0] on[0] her[0] baby[1] faced[0] apple[0] pie[0] looks[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
that wide-open face and helium voiced earnestness suggests a little girl not fully grown into her thirty-year-old body . 	that wide-open face and helium voiced earnestness suggests a little girl not fully grown into her thirty-year-old body .	1	-1	 that[0] wide[0] open[0] face[0] and[0] helium[0] voiced[0] earnestness[0] suggests[0] a[0] little[0] girl[0] not[0] fully[0] grown[0] into[0] her[0] thirty[0] year[0] old[0] body[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's the best work she's ever done . 	it's the best work she's ever done .	2	-1	 it's[0] the[0] best[1] work[0] she's[0] ever[0] done[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
freeman is effective as always , though his performance nonetheless suffers because it seems at odds with where the movie wants to take it . 	freeman is effective as always , though his performance nonetheless suffers because it seems at odds with where the movie wants to take it .	1	-4	 freeman[0] is[0] effective[0] as[0] always[0] though[0] his[0] performance[0] nonetheless[0] suffers[-3] because[0] it[0] seems[0] at[0] odds[0] with[0] where[0] the[0] movie[0] wants[0] to[0] take[0] it[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the actor plays the role in his usual calm , collected manner , though the flick tries to insinuate a symbolic kinship between his character and betty's , suggesting that both are controlled by their fantasies rather than reality . 	the actor plays the role in his usual calm , collected manner , though the flick tries to insinuate a symbolic kinship between his character and betty's , suggesting that both are controlled by their fantasies rather than reality .	2	-2	 the[0] actor[0] plays[1] the[0] role[0] in[0] his[0] usual[0] calm[1] collected[0] manner[0] though[0] the[0] flick[0] tries[0] to[0] insinuate[-1] a[0] symbolic[0] kinship[0] between[0] his[0] character[0] and[0] betty's[0] suggesting[0] that[0] both[0] are[0] controlled[0] by[0] their[0] fantasies[0] rather[0] than[0] reality[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
that's interesting but the movie doesn't do anything with it other than crash land the sub-theme into a labored speech in the midst of a badly staged gun battle . 	that's interesting but the movie doesn't do anything with it other than crash land the sub-theme into a labored speech in the midst of a badly staged gun battle .	2	-2	 that's[0] interesting[1] but[0] the[0] movie[0] doesn't[0] do[0] anything[0] with[0] it[0] other[0] than[0] crash[0] land[0] the[0] sub[0] theme[0] into[0] a[0] labored[0] speech[0] in[0] the[0] midst[0] of[0] a[0] badly[-1] staged[0] gun[-1] battle[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the film has good moments ( many of the scenes involving a very good greg kinnear , especially his confrontation with zellweger ) , an almost soothing , lyrical score ( and you know a movie's in trouble when the score sticks out as one of the best things about it ) but nothing jells , it's parts , good or bad , are so disparate as to be opposing . 	the film has good moments ( many of the scenes involving a very good greg kinnear , especially his confrontation with zellweger ) , an almost soothing , lyrical score ( and you know a movie's in trouble when the score sticks out as one of the best things about it ) but nothing jells , it's parts , good or bad , are so disparate as to be opposing .	3	-3	 the[0] film[0] has[0] good[1] moments[0] many[0] of[0] the[0] scenes[0] involving[0] a[0] very[0] good[1][1 LastWordBoosterStrength] greg[0] kinnear[0] especially[0] his[0] confrontation[-2] with[0] zellweger[0] an[0] almost[0] soothing[0] lyrical[0] score[0] and[0] you[0] know[0] a[0] movie's[0] in[0] trouble[-1] when[0] the[0] score[0] sticks[0] out[0] as[0] one[0] of[0] the[0] best[1] things[0] about[0] it[0] but[0] nothing[0] jells[0] it's[0] parts[0] good[1] or[0] bad[-1] are[0] so[0] disparate[0] as[0] to[0] be[0] opposing[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the film might have worked had it settled on being one type of film , a mainstream , female forrest gump or an oddball art film , but as both if it falls as flat as diet coke . 	the film might have worked had it settled on being one type of film , a mainstream , female forest gump or an oddball art film , but as both if it falls as flat as diet coke .	1	-1	 the[0] film[0] might[0] have[0] worked[0] had[0] it[0] settled[0] on[0] being[0] one[0] type[0] of[0] film[0] a[0] mainstream[0] female[0] forrest/forest[0] gump[0] or[0] an[0] oddball[0] art[0] film[0] but[0] as[0] both[0] if[0] it[0] falls[0] as[0] flat[0] as[0] diet[0] coke[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
betty's screenplay makes the mistake of relying too much on concurrence , without which betty wouldn't make any progress in the film . 	betty's screenplay makes the mistake of relying too much on concurrence , without which betty wouldn't make any progress in the film .	1	-2	 betty's[0] screenplay[0] makes[0] the[0] mistake[-1] of[0] relying[0] too[0] much[0] on[0] concurrence[0] without[0] which[0] betty[0] wouldn't[0] make[0] any[0] progress[0] in[0] the[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
nurse betty is a film driven by coincidence rather than charter , like how betty becomes a nurse in the film , a job that she takes in order to get closer to her imaginary lover ; she happens to be at the hospital at the exact moment that a drive by shooting takes place and miraculously knows how to take care of the victim's wound because she happened to see how on tv , which leads to her being offered a room with the victim's girlfriend who eventually gets betty into a party where she meets kinnear ? ? ? a little too tidy , don'tcha think . 	nurse betty is a film driven by coincidence rather than charter , like how betty becomes a nurse in the film , a job that she takes in order to get closer to her imaginary lover ; she happens to be at the hospital at the exact moment that a drive by shooting takes place and miraculously knows how to take care of the victim's wound because she happened to see how on tv , which leads to her being offered a room with the victim's girlfriend who eventually gets betty into a party where she meets kinnear ?<br> ?<br> ?<br> a little too tidy , don'tcha think .	4	-3	 nurse[0] betty[0] is[0] a[0] film[0] driven[0] by[0] coincidence[0] rather[0] than[0] charter[0] like[1] how[0] betty[0] becomes[0] a[0] nurse[0] in[0] the[0] film[0] a[0] job[0] that[0] she[0] takes[0] in[0] order[0] to[0] get[0] closer[0] to[0] her[0] imaginary[0] lover[3] she[0] happens[0] to[0] be[0] at[0] the[0] hospital[0] at[0] the[0] exact[0] moment[0] that[0] a[0] drive[0] by[0] shooting[-1] takes[0] place[0] and[0] miraculously[0] knows[0] how[0] to[0] take[0] care[1] of[0] the[0] victim's[-2] wound[-1] because[0] she[0] happened[0] to[0] see[0] how[0] on[0] tv[0] which[0] leads[0] to[0] her[0] being[0] offered[0] a[0] room[0] with[0] the[0] victim's[-2] girlfriend[0] who[0] eventually[0] gets[0] betty[0] into[0] a[0] party[0] where[0] she[0] meets[0] kinnear[0] [[Sentence=-3,4=word max, 1-5]] a[0] little[0] too[0] tidy[0] don'tcha[0] think[0] [[Sentence=-1,1=word max, 1-5]][[[4,-3 max of sentences]]]
betty has an interesting theme , though it doesn't even seem aware of this . 	betty has an interesting theme , though it doesn't even seem aware of this .	2	-1	 betty[0] has[0] an[0] interesting[1] theme[0] though[0] it[0] doesn't[0] even[0] seem[0] aware[0] of[0] this[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the current state of tv has been leaning towards reality television what with the enormous success of survivor and moderate success of big brother , with more on the way . 	the current state of tv has been leaning towards reality television what with the enormous success of survivor and moderate success of big brother , with more on the way .	3	-1	 the[0] current[0] state[0] of[0] tv[0] has[0] been[0] leaning[0] towards[0] reality[0] television[0] what[0] with[0] the[0] enormous[0] success[2] of[0] survivor[0] and[0] moderate[0] success[2] of[0] big[0] brother[0] with[0] more[0] on[0] the[0] way[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this is a film about a women so deluded as to think that her favorite soap opera is reality ( ironically real-life survivor sean kennif has taken a part as a doctor on the soap opera guiding light ) . 	this is a film about a women so deluded as to think that her favorite soap opera is reality ( ironically real-life survivor sean kennif has taken a part as a doctor on the soap opera guiding light ) .	2	-2	 this[0] is[0] a[0] film[0] about[0] a[0] women[0] so[0] deluded[0] as[0] to[0] think[0] that[0] her[0] favorite[1] soap[0] opera[0] is[0] reality[0] ironically[-1] real[0] life[0] survivor[0] sean[0] kennif[0] has[0] taken[0] a[0] part[0] as[0] a[0] doctor[0] on[0] the[0] soap[0] opera[0] guiding[0] light[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
instead of exploring this timely matter in a way relating to the current tv craze ( since the film does largely appear to be a satire of television , albeit one that would feel more appropriate in the '80s than the '00s ) , the film simply uses betty's delusions as a plot device to get her from point a to b . no progress is made and little is unearthed except that maybe labute could use a bit of rest and a lot of contemplation . 	instead of exploring this timely matter in a way relating to the current tv craze ( since the film does largely appear to be a satire of television , albeit one that would feel more appropriate in the '80s than the '00s ) , the film simply uses betty's delusions as a plot device to get her from point a to b .<br> no progress is made and little is unearthed except that maybe labute could use a bit of rest and a lot of contemplation .	1	-2	 instead[0] of[0] exploring[0] this[0] timely[0] matter[0] in[0] a[0] way[0] relating[0] to[0] the[0] current[0] tv[0] craze[-1] since[0] the[0] film[0] does[0] largely[0] appear[0] to[0] be[0] a[0] satire[0] of[0] television[0] albeit[0] one[0] that[0] would[0] feel[0] more[0] appropriate[0] in[0] the[0] '80s[0] than[0] the[0] '00s[0] the[0] film[0] simply[0] uses[0] betty's[0] delusions[-1] as[0] a[0] plot[0] device[0] to[0] get[0] her[0] from[0] point[0] a[0] to[0] b[0] [[Sentence=-2,1=word max, 1-5]] no[0] progress[0] is[0] made[0] and[0] little[0] is[0] unearthed[0] except[0] that[0] maybe[0] labute[0] could[0] use[0] a[0] bit[0] of[0] rest[0] and[0] a[0] lot[0] of[0] contemplation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
