actually , i'm fairly sure the experience of having my flesh torn and mutilated by barbed wire would have been more positive than watching this movie . 	Translation	Positive	Negative	EmotionRationale
she hates that , and reminds us of that fact way too many times . 	she hates that , and reminds us of that fact way too many times .	1	-4	 she[0] hates[-3] that[0] and[0] reminds[0] us[0] of[0] that[0] fact[0] way[0] too[0] many[0] times[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
imagine , a woman who does a trapeze strip tease in a bar while having a hose sprayed on her being referred to in such a sexist , demeaning term . 	imagine , a woman who does a trapeze strip tease in a bar while having a hose sprayed on her being referred to in such a sexist , demeaning term .	1	-3	 imagine[0] a[0] woman[0] who[0] does[0] a[0] trapeze[0] strip[0] tease[-1] in[0] a[0] bar[0] while[0] having[0] a[0] hose[0] sprayed[0] on[0] her[0] being[0] referred[0] to[0] in[0] such[0] a[0] sexist[-2] demeaning[-1] term[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
a liberated woman like pamela anderson shouldn't have to hear words like " babe " during a strip tease , especially since that movie about the talking pig was such a success . 	a liberated woman like pamela anderson shouldn't have to hear words like " babe " during a strip tease , especially since that movie about the talking pig was such a success .	3	-2	 a[0] liberated[0] woman[0] like[1] pamela[0] anderson[0] shouldn't[0] have[0] to[0] hear[0] words[0] like[1] babe[0] during[0] a[0] strip[0] tease[-1] especially[0] since[0] that[0] movie[0] about[0] the[0] talking[0] pig[0] was[0] such[0] a[0] success[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the plot ( ha-ha ) revolves around a pair of contact lenses that allow their wearer to pass through the congressional directorate's retina scanners . 	the plot ( ha-ha ) revolves around a pair of contact lenses that allow their wearer to pass through the congressional directorate's retina scanners .	2	-1	 the[0] plot[0] ha[1] ha[1] revolves[0] around[0] a[0] pair[0] of[0] contact[0] lenses[0] that[0] allow[0] their[0] wearer[0] to[0] pass[0] through[0] the[0] congressional[0] directorate's[0] retina[0] scanners[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in the words of one of the characters , they're " more than meets the eye . " 	in the words of one of the characters , they're " more than meets the eye .<br> "	1	-1	 in[0] the[0] words[0] of[0] one[0] of[0] the[0] characters[0] they're[0] more[0] than[0] meets[0] the[0] eye[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
reminds me of the " transformers " cartoon , and i sure wished the movie could somehow be transformed into something decent , but that never happened . 	reminds me of the " transformers " cartoon , and i sure wished the movie could somehow be transformed into something decent , but that never happened .	1	-1	 reminds[0] me[0] of[0] the[0] transformers[0] cartoon[0] and[0] i[0] sure[0] wished[0] the[0] movie[0] could[0] somehow[0] be[0] transformed[0] into[0] something[0] decent[0] but[0] that[0] never[0] happened[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
no , the movie just continued on its path of lame action scenes starring pamela van-damme , big-busted kickboxer , and her resistance accomplices , ex-boyfriend axel ( tamuera morrison ) and cora ( victoria rowell ) . 	no , the movie just continued on its path of lame action scenes starring pamela van-dame , big-busted kickboxer , and her resistance accomplices , ex-boyfriend axel ( tamuera morrison ) and cora ( victoria rowell ) .	1	-3	 no[0] the[0] movie[0] just[0] continued[0] on[0] its[0] path[0] of[0] lame[-2] action[0] scenes[0] starring[0] pamela[0] van[0] damme/dame[0] big[0] busted[0] kickboxer[-1] and[0] her[0] resistance[0] accomplices[0] ex[0] boyfriend[0] axel[0] tamuera[0] morrison[0] and[0] cora[0] victoria[0] rowell[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
thank god they didn't name her cora reef . 	thank god they didn't name her cora reef .	2	-1	 thank[1] god[0] they[0] didn't[0] name[0] her[0] cora[0] reef[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
one bad character name is more than enough . 	one bad character name is more than enough .	1	-2	 one[0] bad[-1] character[0] name[0] is[0] more[0] than[0] enough[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
pamela originally doesn't take sides , giving some speech about she's only loyal to the money they pay her , but she changes her mind once the congressional bastards kill her blind brother , jack noseworthy of bon jovi " always " video fame . 	pamela originally doesn't take sides , giving some speech about she's only loyal to the money they pay her , but she changes her mind once the congressional bastards kill her blind brother , jack noseworthy of bon jovi " always " video fame .	2	-3	 pamela[0] originally[0] doesn't[0] take[0] sides[0] giving[0] some[0] speech[0] about[0] she's[0] only[0] loyal[1] to[0] the[0] money[0] they[0] pay[0] her[0] but[0] she[0] changes[0] her[0] mind[0] once[0] the[0] congressional[0] bastards[-2] kill[-1] her[0] blind[-1] brother[0] jack[0] noseworthy[0] of[0] bon[0] jovi[0] always[0] video[0] fame[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
i still don't know if barb wire is a step up or step down for noseworthy , but he definitely is nose worthy ( even if he isn't sponge worthy ) . 	i still don't know if barb wire is a step up or step down for noseworthy , but he definitely is nose worthy ( even if he isn't sponge worthy ) .	1	-1	 i[0] still[0] don't[0] know[0] if[0] barb[0] wire[0] is[0] a[0] step[0] up[0] or[0] step[0] down[0] for[0] noseworthy[0] but[0] he[0] definitely[0] is[0] nose[0] worthy[0] even[0] if[0] he[0] isn't[0] sponge[0] worthy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
pam gets ready to avenge his death by grabbing up an armful of semi-automatic weapons and strapping an ammunitions belt to her chest . 	pam gets ready to avenge his death by grabbing up an armful of semi-automatic weapons and strapping an ammunitions belt to her chest .	1	-3	 pam[0] gets[0] ready[0] to[0] avenge[-1] his[0] death[-2] by[0] grabbing[-1] up[0] an[0] armful[0] of[0] semi[0] automatic[0] weapons[-1] and[0] strapping[0] an[0] ammunitions[0] belt[0] to[0] her[0] chest[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's not rambo . . . 	it's not rambo .<br> .<br> .	1	-1	 it's[0] not[0] rambo[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's bimbo ! 	it's bimbo !	1	-1	 it's[0] bimbo[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mark my words , barb wire will be all over the cinemax network in a year . 	mark my words , barb wire will be all over the cinemax network in a year .	1	-1	 mark[0] my[0] words[0] barb[0] wire[0] will[0] be[0] all[0] over[0] the[0] cinemax[0] network[0] in[0] a[0] year[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's got all the elements of the direct-to-video releases featured on hbo's bastard cousin , the cable channel i'd never watch if it didn't somehow come free . 	it's got all the elements of the direct-to-video releases featured on hbo's bastard cousin , the cable channel i'd never watch if it didn't somehow come free .	1	-3	 it's[0] got[0] all[0] the[0] elements[0] of[0] the[0] direct[0] to[0] video[0] releases[0] featured[0] on[0] hbo's[0] bastard[-2] cousin[0] the[0] cable[0] channel[0] i'd[0] never[0] watch[0] if[0] it[0] didn't[0] somehow[0] come[0] free[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's got the non-titillating scenes of voyeurism , laughable flashbacks , bad dialogue and action cliches out the wazzoo . 	it's got the non-titillating scenes of voyeurism , laughable flashbacks , bad dialogue and action cliches out the wazoo .	1	-2	 it's[0] got[0] the[0] non[0] titillating[0] scenes[0] of[0] voyeurism[0] laughable[-1] flashbacks[0] bad[-1] dialogue[0] and[0] action[0] cliches[0] out[0] the[0] wazzoo/wazoo[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there's even a narrator at the beginning setting up the movie's premise while the words scroll up the screen . 	there's even a narrator at the beginning setting up the movie's premise while the words scroll up the screen .	1	-1	 there's[0] even[0] a[0] narrator[0] at[0] the[0] beginning[0] setting[0] up[0] the[0] movie's[0] premise[0] while[0] the[0] words[0] scroll[0] up[0] the[0] screen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
someone needs to tell pamela the wookie this ain't star wars . 	someone needs to tell pamela the wookie this ain't star wars .	1	-3	 someone[0] needs[0] to[0] tell[0] pamela[0] the[0] wookie[0] this[0] ain't[0] star[0] wars[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
if you've seen any action flick of the past fifteen years , you'll recognize plenty of lifted elements . 	if you've seen any action flick of the past fifteen years , you'll recognize plenty of lifted elements .	1	-1	 if[0] you've[0] seen[0] any[0] action[0] flick[0] of[0] the[0] past[0] fifteen[0] years[0] you'll[0] recognize[0] plenty[0] of[0] lifted[0] elements[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
barb wire has the obligatory trucks flipping over , car crashes , explosions , broken glass and slow-motion shots of bodies falling hundreds of feet to their death . 	barb wire has the obligatory trucks flipping over , car crashes , explosions , broken glass and slow-motion shots of bodies falling hundreds of feet to their death .	1	-3	 barb[0] wire[0] has[0] the[0] obligatory[0] trucks[0] flipping[0] over[0] car[0] crashes[0] explosions[-1] broken[-1] glass[0] and[0] slow[0] motion[0] shots[0] of[0] bodies[0] falling[0] hundreds[0] of[0] feet[0] to[0] their[0] death[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this is one of those automatic-pilot movies anyone could write or direct . 	this is one of those automatic-pilot movies anyone could write or direct .	1	-1	 this[0] is[0] one[0] of[0] those[0] automatic[0] pilot[0] movies[0] anyone[0] could[0] write[0] or[0] direct[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
barb wire has only two things going for it . . . 	barb wire has only two things going for it .<br> .<br> .	1	-1	 barb[0] wire[0] has[0] only[0] two[0] things[0] going[0] for[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and i think you know what those two things are . 	and i think you know what those two things are .	1	-1	 and[0] i[0] think[0] you[0] know[0] what[0] those[0] two[0] things[0] are[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
