and just when you thought joblo was getting a little soft around the corners , not rating anything lower than your standard " this movie sucks " , along comes this cinematic atrocity and he's forced to take out his secret weapon and spray it with a stench so thick , even the bravest movie-goer would think twice about seeing this waste of time . 	Translation	Positive	Negative	EmotionRationale
this series should have been shot in the head and put out of its own misery a long time ago , but sadly , someone at the studio decided that it still had a little life left in it . 	this series should have been shot in the head and put out of its own misery a long time ago , but sadly , someone at the studio decided that it still had a little life left in it .	1	-3	 this[0] series[0] should[0] have[0] been[0] shot[-1] in[0] the[0] head[0] and[0] put[0] out[0] of[0] its[0] own[0] misery[-2] a[0] long[0] time[0] ago[0] but[0] sadly[-1] someone[0] at[0] the[0] studio[0] decided[0] that[0] it[0] still[0] had[0] a[0] little[0] life[0] left[0] in[0] it[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
please , please . . . for the love of god and all that is holy in the world of movie-making , and mostly out of respect for those who loved the original film , put this series to bed and end it ! 	please , please .<br> .<br> .<br> for the love of god and all that is holy in the world of movie-making , and mostly out of respect for those who loved the original film , put this series to bed and end it !	4	-1	 please[1] please[1] [[Sentence=-1,2=word max, 1-5]] for[0] the[0] love[2] of[0] god[0] and[0] all[0] that[0] is[0] holy[0] in[0] the[0] world[0] of[0] movie[0] making[0] and[0] mostly[0] out[0] of[0] respect[2] for[0] those[0] who[0] loved[3] the[0] original[0] film[0] put[0] this[0] series[0] to[0] bed[0] and[0] end[0] it[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
even christopher lambert knew enough to play second fiddle to adrian paul in this one . 	even christopher lambert knew enough to play second fiddle to adrian paul in this one .	1	-1	 even[0] christopher[0] lambert[0] knew[0] enough[0] to[0] play[0] second[0] fiddle[0] to[0] adrian[0] paul[0] in[0] this[0] one[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the director also tries to do the best he can with the muddled material , but all he could come up with is plenty of slo-mo action , some fast-motion fight scenes and lots of smoke everywhere . 	the director also tries to do the best he can with the muddled material , but all he could come up with is plenty of slo-mo action , some fast-motion fight scenes and lots of smoke everywhere .	2	-3	 the[0] director[0] also[0] tries[0] to[0] do[0] the[0] best[1] he[0] can[0] with[0] the[0] muddled[-1] material[0] but[0] all[0] he[0] could[0] come[0] up[0] with[0] is[0] plenty[0] of[0] slo[0] mo[0] action[0] some[0] fast[0] motion[0] fight[-2] scenes[0] and[0] lots[0] of[0] smoke[0] everywhere[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
and is there anything spectacular about the sword-play or fight scenes ? 	and is there anything spectacular about the sword-play or fight scenes ?	1	-3	 and[0] is[0] there[0] anything[0] spectacular[0] about[0] the[0] sword[0] play[0] or[0] fight[-2] scenes[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
nope . 	nope .	1	-1	 nope[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and i think we all could have done without all those zooming lambert face close-ups . . . yipes , 	and i think we all could have done without all those zooming lambert face close-ups .<br> .<br> .<br> yipes ,	1	-1	 and[0] i[0] think[0] we[0] all[0] could[0] have[0] done[0] without[0] all[0] those[0] zooming[0] lambert[0] face[0] close[0] ups[0] [[Sentence=-1,1=word max, 1-5]] yipes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the man is not aging gracefully , is he ? 	the man is not aging gracefully , is he ?	1	-3	 the[0] man[0] is[0] not[0] aging[0] gracefully[2][NegatedDueToPreviousWord] is[0] he[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
oh boy , and i haven't even gotten around to the greatest piece of over-acting that i've seen in years . 	oh boy , and i haven't even gotten around to the greatest piece of over-acting that i've seen in years .	3	-1	 oh[0] boy[0] and[0] i[0] haven't[0] even[0] gotten[0] around[0] to[0] the[0] greatest[2] piece[0] of[0] over[0] acting[0] that[0] i've[0] seen[0] in[0] years[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the man who plays kell in this movie , bruce payne , should get a ham trophy for literally chewing up every piece of scenery that he gets near . 	the man who plays kell in this movie , bruce payne , should get a ham trophy for literally chewing up every piece of scenery that he gets near .	2	-1	 the[0] man[0] who[0] plays[1] kell[0] in[0] this[0] movie[0] bruce[0] payne[0] should[0] get[0] a[0] ham[0] trophy[0] for[0] literally[0] chewing[0] up[0] every[0] piece[0] of[0] scenery[0] that[0] he[0] gets[0] near[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
overacting is not a hobby for this guy . . . it's 	overacting is not a hobby for this guy .<br> .<br> .<br> it's	1	-1	 overacting[0] is[0] not[0] a[0] hobby[0] for[0] this[0] guy[0] [[Sentence=-1,1=word max, 1-5]] it's[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a living ! 	a living !	1	-1	 a[0] living[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he's also very funny , not purposely though . 	he's also very funny , not purposely though .	3	-1	 he's[0] also[0] very[0] funny[1][1 LastWordBoosterStrength] not[0] purposely[0] though[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
all in all , the movie stinks . 	all in all , the movie stinks .	1	-3	 all[0] in[0] all[0] the[0] movie[0] stinks[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
nuff said . 	nuff said .	1	-1	 nuff[0] said[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
