running time approximately 1hr 40mins 	Translation	Positive	Negative	EmotionRationale
as they soon discover , they are transported between realities within existenz uncovering more than they initially expected . 	as they soon discover , they are transported between realities within existenz uncovering more than they initially expected .	1	-1	 as[0] they[0] soon[0] discover[0] they[0] are[0] transported[0] between[0] realities[0] within[0] existenz[0] uncovering[0] more[0] than[0] they[0] initially[0] expected[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
existenz has all the cronenberg-gore that is expected of him . 	existenz has all the cronenberg-gore that is expected of him .	1	-1	 existenz[0] has[0] all[0] the[0] cronenberg[0] gore[0] that[0] is[0] expected[0] of[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
even so , this film is no-where near his cult classics such as videodrome or scanners . 	even so , this film is no-where near his cult classics such as videodrome or scanners .	1	-1	 even[0] so[0] this[0] film[0] is[0] no[0] where[0] near[0] his[0] cult[0] classics[0] such[0] as[0] videodrome[0] or[0] scanners[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not even half as suspenseful as the commercially successful the fly . 	not even half as suspenseful as the commercially successful the fly .	3	-1	 not[0] even[0] half[0] as[0] suspenseful[0] as[0] the[0] commercially[0] successful[2] the[0] fly[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
existenz can probably be looked upon as his 90's version of videodrome , even so , it is a poor follow-up . 	existenz can probably be looked upon as his 90's version of videodrome , even so , it is a poor follow-up .	1	-2	 existenz[0] can[0] probably[0] be[0] looked[0] upon[0] as[0] his[0] 90's[0] version[0] of[0] videodrome[0] even[0] so[0] it[0] is[0] a[0] poor[-1] follow[0] up[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
while in most of his famed films , his penchant for gore always hit the right note with theme of the film and plot . 	while in most of his famed films , his penchant for gore always hit the right note with theme of the film and plot .	1	-1	 while[0] in[0] most[0] of[0] his[0] famed[0] films[0] his[0] penchant[0] for[0] gore[0] always[0] hit[0] the[0] right[0] note[0] with[0] theme[0] of[0] the[0] film[0] and[0] plot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in existenz , the gory sequences are no more attached to spirit of the film and seem to be an act of over-indulgence than anything else . 	in existenz , the gory sequences are no more attached to spirit of the film and seem to be an act of over-indulgence than anything else .	1	-1	 in[0] existenz[0] the[0] gory[0] sequences[0] are[0] no[0] more[0] attached[0] to[0] spirit[0] of[0] the[0] film[0] and[0] seem[0] to[0] be[0] an[0] act[0] of[0] over[0] indulgence[0] than[0] anything[0] else[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jennifer jason leigh and jude law , both commendable actors , looked aloof and miss-directed throughout the entire film . 	jennifer jason leigh and jude law , both commendable actors , looked aloof and miss-directed throughout the entire film .	2	-2	 jennifer[0] jason[0] leigh[0] and[0] jude[0] law[0] both[0] commendable[0] actors[0] looked[0] aloof[-1] and[0] miss[-1] directed[0] throughout[0] the[0] entire[0] film[0] [[Sentence=-2,1=word max, 1-5]] [[changed to +2 due to 'miss']][[[2,-2 max of sentences]]]
the scripting and acting barely pulls the film out of the b-grade category . 	the scripting and acting barely pulls the film out of the b-grade category .	1	-1	 the[0] scripting[0] and[0] acting[0] barely[0] pulls[0] the[0] film[0] out[0] of[0] the[0] b[0] grade[0] category[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it was obvious that cronenberg worked on a really tight-budget and it seems that he handled that pretty well in the production design and values created for this film ( the opening sequence , though , probably formed a considerable portion of the budget ! ) 	it was obvious that cronenberg worked on a really tight-budget and it seems that he handled that pretty well in the production design and values created for this film ( the opening sequence , though , probably formed a considerable portion of the budget !<br> )	3	-1	 it[0] was[0] obvious[0] that[0] cronenberg[0] worked[0] on[0] a[0] really[0] tight[0] budget[0] and[0] it[0] seems[0] that[0] he[0] handled[0] that[0] pretty[2] well[0] in[0] the[0] production[0] design[0] and[0] values[1] created[0] for[0] this[0] film[0] the[0] opening[0] sequence[0] though[0] probably[0] formed[0] a[0] considerable[0] portion[0] of[0] the[0] budget[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
which is actually quite good . 	which is actually quite good .	2	-1	 which[0] is[0] actually[0] quite[0] good[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
existenz is too predictable and cliched in these times . 	existenz is too predictable and cliched in these times .	1	-1	 existenz[0] is[0] too[0] predictable[0] and[0] cliched[0] in[0] these[0] times[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
10 years ago , it would have been another classic for cronenberg . 	10 years ago , it would have been another classic for cronenberg .	1	-1	 10[0] years[0] ago[0] it[0] would[0] have[0] been[0] another[0] classic[0] for[0] cronenberg[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
cronenberg fans however , ( those people who enjoy seeing friends getting queasy over mutilation on film ) should not give this film a miss as some form of appreciation can still be offered by you . 	cronenberg fans however , ( those people who enjoy seeing friends getting queasy over mutilation on film ) should not give this film a miss as some form of appreciation can still be offered by you .	3	-2	 cronenberg[0] fans[0] however[0] those[0] people[0] who[0] enjoy[2] seeing[0] friends[1] getting[0] queasy[0] over[0] mutilation[0] on[0] film[0] should[0] not[0] give[0] this[0] film[0] a[0] miss[-1] as[0] some[0] form[0] of[0] appreciation[1] can[0] still[0] be[0] offered[0] by[0] you[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
