making your first feature film ain't easy . 	Translation	Positive	Negative	EmotionRationale
leading the clueless pack is william baldwin as a good-hearted guy who watches out for his buddies and is in tight with local mob head armand assante . 	leading the clueless pack is william baldwin as a good-hearted guy who watches out for his buddies and is in tight with local mob head armand assante .	2	-1	 leading[0] the[0] clueless[0] pack[0] is[0] william[0] baldwin[0] as[0] a[0] good[1] hearted[0] guy[0] who[0] watches[0] out[0] for[0] his[0] buddies[0] and[0] is[0] in[0] tight[0] with[0] local[0] mob[0] head[0] armand[0] assante[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i'd like to say that his character gets involved over his head in some sort of blah , blah , blah , but all we seem to get are little tastes of possible plot points . 	i'd like to say that his character gets involved over his head in some sort of blah , blah , blah , but all we seem to get are little tastes of possible plot points .	2	-2	 i'd[0] like[1] to[0] say[0] that[0] his[0] character[0] gets[0] involved[0] over[0] his[0] head[0] in[0] some[0] sort[0] of[0] blah[-1] blah[-1] blah[-1] but[0] all[0] we[0] seem[0] to[0] get[0] are[0] little[0] tastes[0] of[0] possible[0] plot[0] points[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he's concerned about buddy jason gedrick's heroin abuse . 	he's concerned about buddy jason gedrick's heroin abuse .	3	-4	 he's[0] concerned[-1] about[0] buddy[0] jason[0] gedrick's[0] heroin[2] abuse[-3] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
he sticks up for jim breuer after he impregnates baldwin's character's sister . 	he sticks up for jim breuer after he impregnates baldwin's character's sister .	1	-1	 he[0] sticks[0] up[0] for[0] jim[0] breuer[0] after[0] he[0] impregnates[0] baldwin's[0] character's[0] sister[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he looks into who might be pushing the most moronic-looking counterfeit cash ever made ( a genuinely funny touch ) . 	he looks into who might be pushing the most moronic-looking counterfeit cash ever made ( a genuinely funny touch ) .	2	-3	 he[0] looks[0] into[0] who[0] might[0] be[0] pushing[0] the[0] most[0] moronic[-2] looking[0] counterfeit[-1] cash[0] ever[0] made[0] a[0] genuinely[0] funny[1] touch[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
but none of this ever really amounts to anything . 	but none of this ever really amounts to anything .	1	-1	 but[0] none[0] of[0] this[0] ever[0] really[0] amounts[0] to[0] anything[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it seems that moresco's greater concern is to provide that intangible " slice of life " , that flavor of the neighborhood that everyone's been trying to evoke since scorsese's early work . 	it seems that moresco's greater concern is to provide that intangible " slice of life " , that flavor of the neighborhood that everyone's been trying to evoke since scorsese's early work .	3	-2	 it[0] seems[0] that[0] moresco's[0] greater[2] concern[-1] is[0] to[0] provide[0] that[0] intangible[0] slice[0] of[0] life[0] that[0] flavor[0] of[0] the[0] neighborhood[0] that[0] everyone's[0] been[0] trying[0] to[0] evoke[0] since[0] scorsese's[0] early[0] work[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
so , we get the drunk guys , hugging and singing together at the local bar , to prove to us that they really love each other . 	so , we get the drunk guys , hugging and singing together at the local bar , to prove to us that they really love each other .	4	-2	 so[0] we[0] get[0] the[0] drunk[-1] guys[0] hugging[2] and[0] singing[0] together[0] at[0] the[0] local[0] bar[0] to[0] prove[0] to[0] us[0] that[0] they[0] really[0] love[2][1 LastWordBoosterStrength] each[0] other[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
 ( do people actually do this ! ? ) 	 ( do people actually do this !<br> ?<br> )	1	-1	 do[0] people[0] actually[0] do[0] this[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we get a lot of tough street talk -- usually mumbled for effect -- and a whole lot of the f-word , whether it sounds like it fits or not . 	we get a lot of tough street talk - usually mumbled for effect - and a whole lot of the f-word , whether it sounds like it fits or not .	2	-2	 we[0] get[0] a[0] lot[0] of[0] tough[-1] street[0] talk[0] usually[0] mumbled[-1] for[0] effect[0] and[0] a[0] whole[0] lot[0] of[0] the[0] f[0] word[0] whether[0] it[0] sounds[0] like[1] it[0] fits[0] or[0] not[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
we also get a handful of good actors in small roles that seem to lack purpose . 	we also get a handful of good actors in small roles that seem to lack purpose .	2	-2	 we[0] also[0] get[0] a[0] handful[0] of[0] good[1] actors[0] in[0] small[0] roles[0] that[0] seem[0] to[0] lack[-1] purpose[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
bruno kirby , chazz palminteri , you know , guys you've seen in movies just like this one before . 	bruno kirby , chaz palminteri , you know , guys you've seen in movies just like this one before .	1	-1	 bruno[0] kirby[0] chazz/chaz[0] palminteri[0] you[0] know[0] guys[0] you've[0] seen[0] in[0] movies[0] just[0] like[1][-1 LastWordBoosterStrength] this[0] one[0] before[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
assante is intelligent casting as the man that everyone fears , and baldwin's performance is adequate , but most of the rest of the cast jump into the tough guy persona so thoroughly that it's almost funny . 	assante is intelligent casting as the man that everyone fears , and baldwin's performance is adequate , but most of the rest of the cast jump into the tough guy persona so thoroughly that it's almost funny .	2	-3	 assante[0] is[0] intelligent[1] casting[0] as[0] the[0] man[0] that[0] everyone[0] fears[-2] and[0] baldwin's[0] performance[0] is[0] adequate[0] but[0] most[0] of[0] the[0] rest[0] of[0] the[0] cast[0] jump[0] into[0] the[0] tough[-1] guy[0] persona[0] so[0] thoroughly[0] that[0] it's[0] almost[0] funny[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
moresco , a theater guy and sometimes tv writer ( including the series falcone ) , obviously labored over this one as anyone might a first child , but the content is probably too personal . 	moresco , a theater guy and sometimes tv writer ( including the series falcone ) , obviously labored over this one as anyone might a first child , but the content is probably too personal .	1	-1	 moresco[0] a[0] theater[0] guy[0] and[0] sometimes[0] tv[0] writer[0] including[0] the[0] series[0] falcone[0] obviously[0] labored[0] over[0] this[0] one[0] as[0] anyone[0] might[0] a[0] first[0] child[0] but[0] the[0] content[0] is[0] probably[0] too[0] personal[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as a result , the movie's style is heavy-handed , in need of a considerable amount of toning down . 	as a result , the movie's style is heavy-handed , in need of a considerable amount of toning down .	1	-1	 as[0] a[0] result[0] the[0] movie's[0] style[0] is[0] heavy[0] handed[0] in[0] need[0] of[0] a[0] considerable[0] amount[0] of[0] toning[0] down[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nearly every time an action by the grown up gang recalls something they did as kids , moresco reminds us -- boy does he remind us . 	nearly every time an action by the grown up gang recalls something they did as kids , moresco reminds us - boy does he remind us .	1	-1	 nearly[0] every[0] time[0] an[0] action[0] by[0] the[0] grown[0] up[0] gang[0] recalls[0] something[0] they[0] did[0] as[0] kids[0] moresco[0] reminds[0] us[0] boy[0] does[0] he[0] remind[0] us[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with slow dissolves to the earlier scene , running in slow motion , complete with dialogue from the present , just in case we don't comprehend the link to the past . 	with slow dissolves to the earlier scene , running in slow motion , complete with dialogue from the present , just in case we don't comprehend the link to the past .	1	-1	 with[0] slow[0] dissolves[0] to[0] the[0] earlier[0] scene[0] running[0] in[0] slow[0] motion[0] complete[0] with[0] dialogue[0] from[0] the[0] present[0] just[0] in[0] case[0] we[0] don't[0] comprehend[0] the[0] link[0] to[0] the[0] past[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
moresco needs to either trust his audience's intelligence , or have more faith in his own presentation rather than beat us over the head with it . 	moresco needs to either trust his audience's intelligence , or have more faith in his own presentation rather than beat us over the head with it .	2	-1	 moresco[0] needs[0] to[0] either[0] trust[1] his[0] audience's[0] intelligence[0] or[0] have[0] more[0] faith[1] in[0] his[0] own[0] presentation[0] rather[0] than[0] beat[0] us[0] over[0] the[0] head[0] with[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
his next project should have a little more personal distance , and a lot more subtlety . 	his next project should have a little more personal distance , and a lot more subtlety .	1	-1	 his[0] next[0] project[0] should[0] have[0] a[0] little[0] more[0] personal[0] distance[0] and[0] a[0] lot[0] more[0] subtlety[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if he actually gets that chance . 	if he actually gets that chance .	1	-1	 if[0] he[0] actually[0] gets[0] that[0] chance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
reviewed as part of our 2001 boston film festival coverage ( feature story coming soon ) . 	reviewed as part of our 2001 boston film festival coverage ( feature story coming soon ) .	1	-1	 reviewed[0] as[0] part[0] of[0] our[0] 2001[0] boston[0] film[0] festival[0] coverage[0] feature[0] story[0] coming[0] soon[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
