years ago , robin williams made _jumanji_ , a brilliant achievement in special effects , but a travesty on nearly every other level . 	Translation	Positive	Negative	EmotionRationale
so , why don t you conjure up positive thoughts of annie , and let that run wild ? 	so , why don t you conjure up positive thoughts of annie , and let that run wild ?	3	-1	 so[0] why[0] don[0] t[0] you[0] conjure[0] up[0] positive[2] thoughts[0] of[0] annie[0] and[0] let[0] that[0] run[0] wild[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and then she would appear before you , and you two would live in happy bliss for eternity ? 	and then she would appear before you , and you two would live in happy bliss for eternity ?	5	-1	 and[0] then[0] she[0] would[0] appear[0] before[0] you[0] and[0] you[0] two[0] would[0] live[0] in[0] happy[1] bliss[4] for[0] eternity[0] [[Sentence=-1,5=word max, 1-5]][[[5,-1 max of sentences]]]
because there would be no movie , that s why . 	because there would be no movie , that s why .	1	-1	 because[0] there[0] would[0] be[0] no[0] movie[0] that[0] s[0] why[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and albert the angel ( played by miscast cuba gooding , jr . ) says bluntly : " that s fantasy . " 	and albert the angel ( played by miscast cuba gooding , jr .<br> ) says bluntly : " that s fantasy .<br> "	1	-2	 and[0] albert[0] the[0] angel[0] played[0] by[0] miscast[0] cuba[0] gooding[0] jr[0] [[Sentence=-1,1=word max, 1-5]] says[0] bluntly[-1] that[0] s[0] fantasy[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
umm . . . 	um .<br> .<br> .	1	-1	 umm/um[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if your thoughts are more real than the physical , then fantasy is not fantasy , but real . 	if your thoughts are more real than the physical , then fantasy is not fantasy , but real .	1	-1	 if[0] your[0] thoughts[0] are[0] more[0] real[0] than[0] the[0] physical[0] then[0] fantasy[0] is[0] not[0] fantasy[0] but[0] real[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
surely some eastern meditation specialist would be able to tell you that . 	surely some eastern meditation specialist would be able to tell you that .	2	-1	 surely[0] some[0] eastern[0] meditation[0] specialist[1] would[0] be[0] able[0] to[0] tell[0] you[0] that[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and if you happen to think that you are an unimaginative person , and that your thoughts aren't big enough to sustain you for eternity , well , in all due respect , that's why i don't subscribe to this theology . 	and if you happen to think that you are an unimaginative person , and that your thoughts aren't big enough to sustain you for eternity , well , in all due respect , that's why i don't subscribe to this theology .	3	-1	 and[0] if[0] you[0] happen[0] to[0] think[0] that[0] you[0] are[0] an[0] unimaginative[0] person[0] and[0] that[0] your[0] thoughts[0] aren't[0] big[0] enough[0] to[0] sustain[0] you[0] for[0] eternity[0] well[0] in[0] all[0] due[0] respect[2] that's[0] why[0] i[0] don't[0] subscribe[0] to[0] this[0] theology[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
all due respect . 	all due respect .	3	-1	 all[0] due[0] respect[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
another idea , based on " time , ( pause ) , does not exist here ! " 	another idea , based on " time , ( pause ) , does not exist here !<br> "	1	-1	 another[0] idea[0] based[0] on[0] time[0] pause[0] does[0] not[0] exist[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so chris , spend your eternity with annie , as she is on earth , reliving your favorite memories , or hang out with her when she was growing up . 	so chris , spend your eternity with annie , as she is on earth , reliving your favorite memories , or hang out with her when she was growing up .	2	-2	 so[0] chris[0] spend[0] your[0] eternity[0] with[0] annie[0] as[0] she[0] is[0] on[0] earth[0] reliving[0] your[0] favorite[1] memories[0] or[0] hang[-1] out[0] with[0] her[0] when[0] she[0] was[0] growing[0] up[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
you ve got eternity : perhaps you can hang around long enough and learn not to freak her out . 	you ve got eternity : perhaps you can hang around long enough and learn not to freak her out .	2	-2	 you[0] ve[0] got[0] eternity[0] perhaps[0] you[0] can[0] hang[-1] around[0] long[0] enough[0] and[0] learn[0] not[0] to[0] freak[-1][NegatedDueToPreviousWord] her[0] out[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and forcing her to write " i still exist " in her diary , imo , is just too tacky . 	and forcing her to write " i still exist " in her diary , in my opinion� , is just too tacky .	1	-1	 and[0] forcing[0] her[0] to[0] write[0] i[0] still[0] exist[0] in[0] her[0] diary[0] imo[0] is[0] just[0] too[0] tacky[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are many other ideas , all of which are a hundred times better than what s unraveled in the plot . 	there are many other ideas , all of which are a hundred times better than what s unraveled in the plot .	1	-1	 there[0] are[0] many[0] other[0] ideas[0] all[0] of[0] which[0] are[0] a[0] hundred[0] times[0] better[0] than[0] what[0] s[0] unraveled[0] in[0] the[0] plot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the great aforementioned question is sidetracked into gimmicky subplots that have been done before , and just come out stale . 	the great aforementioned question is sidetracked into gimmicky subplots that have been done before , and just come out stale .	3	-2	 the[0] great[2] aforementioned[0] question[0] is[0] sidetracked[0] into[0] gimmicky[0] subplots[0] that[0] have[0] been[0] done[0] before[0] and[0] just[0] come[0] out[0] stale[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
most insulting is the subplot where important people in chris  life appear in heaven differently than he expects , so when they finally show themselves , he realizes they were with him all along . 	most insulting is the subplot where important people in chris  life appear in heaven differently than he expects , so when they finally show themselves , he realizes they were with him all along .	2	-3	 most[0] insulting[-2] is[0] the[0] subplot[0] where[0] important[0] people[0] in[0] chris[0] life[0] appear[0] in[0] heaven[1] differently[0] than[0] he[0] expects[0] so[0] when[0] they[0] finally[0] show[0] themselves[0] he[0] realizes[0] they[0] were[0] with[0] him[0] all[0] along[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
and when this happens , the film runs in slow motion , as if to build emotion . 	and when this happens , the film runs in slow motion , as if to build emotion .	1	-1	 and[0] when[0] this[0] happens[0] the[0] film[0] runs[0] in[0] slow[0] motion[0] as[0] if[0] to[0] build[0] emotion[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
_gag me with a spoon_ . 	_gag me with a spoon_ .	1	-1	 _gag[0] me[0] with[0] a[0] spoon_[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so the only things for me to like are sciorra s effective performance , who rises far above this mundane material , and the special effects . 	so the only things for me to like are sciorra s effective performance , who rises far above this mundane material , and the special effects .	2	-2	 so[0] the[0] only[0] things[0] for[0] me[0] to[0] like[1] are[0] sciorra[0] s[0] effective[0] performance[0] who[0] rises[0] far[0] above[0] this[0] mundane[-1] material[0] and[0] the[0] special[1] effects[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
please note that while i enjoyed some of the visuals , i did not enjoy _all_ of them : some of the images looked like sandy duncan universe , everybody floating up and down in invisible strings . 	please note that while i enjoyed some of the visuals , i did not enjoy _all_ of them : some of the images looked like sandy duncan universe , everybody floating up and down in invisible strings .	3	-3	 please[1] note[0] that[0] while[0] i[0] enjoyed[2] some[0] of[0] the[0] visuals[0] i[0] did[0] not[0] enjoy[2][NegatedDueToPreviousWord] _all_[0] of[0] them[0] some[0] of[0] the[0] images[0] looked[0] like[1] sandy[0] duncan[0] universe[0] everybody[0] floating[0] up[0] and[0] down[0] in[0] invisible[-1] strings[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
it sounds like a joke , but it s really true : i really tried to block out the dialogue , and figure out what music would best work as an alternative soundtrack . 	it sounds like a joke , but it s really true : i really tried to block out the dialogue , and figure out what music would best work as an alternative soundtrack .	3	-2	 it[0] sounds[0] like[1] a[0] joke[1] but[0] it[0] s[0] really[0] true[1][1 LastWordBoosterStrength] i[0] really[0] tried[0] to[0] block[-1] out[0] the[0] dialogue[0] and[0] figure[0] out[0] what[0] music[0] would[0] best[1][-1 LastWordBoosterStrength] work[0] as[0] an[0] alternative[0] soundtrack[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
my vote goes to a rare cd called " never say die " ( 1981 ) from petra , a christian rock group . 	my vote goes to a rare cd called " never say die " ( 1981 ) from petra , a christian rock group .	2	-1	 my[0] vote[0] goes[0] to[0] a[0] rare[0] cd[0] called[0] never[0] say[0] die[0] 1981[0] from[0] petra[0] a[0] christian[0] rock[1] group[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it s pretty good , and they have a song about annie , who commits suicide . 	it s pretty good , and they have a song about annie , who commits suicide .	3	-4	 it[0] s[0] pretty[2] good[1] and[0] they[0] have[0] a[0] song[0] about[0] annie[0] who[0] commits[0] suicide[-3] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
 ( it s too late for annie/she s gone away for good/there s so much we'd have told her/and now we wish we could/but it s too late . . . ) . 	 ( it s too late for annie/she s gone away for good/there s so much we'd have told her/and now we wish we could/but it s too late .<br> .<br> .<br> ) .	1	-1	 it[0] s[0] too[0] late[0] for[0] annie/she[0] s[0] gone[0] away[0] for[0] good/there[0] s[0] so[0] much[0] we'd[0] have[0] told[0] her/and[0] now[0] we[0] wish[0] we[0] could/but[0] it[0] s[0] too[0] late[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
melancholic , yes . 	melancholic , yes .	1	-4	 melancholic[-3] yes[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
depressing , yes . 	depressing , yes .	1	-4	 depressing[-3] yes[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
but far more entertaining . . . 	but far more entertaining .<br> .<br> .	1	-1	 but[0] far[0] more[0] entertaining[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so , in case you don t know , let me be straight . 	so , in case you don t know , let me be straight .	1	-1	 so[0] in[0] case[0] you[0] don[0] t[0] know[0] let[0] me[0] be[0] straight[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
suicide--bad . 	suicide-bad .	1	-4	 suicide[-3] bad[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
_don t do it_ . 	_don t do it_ .	1	-1	 _don[0] t[0] do[0] it_[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
no . no . no . ( got it ? --you 	no .<br> no .<br> no .<br> ( got it ?<br> -you	1	-1	 no[0] [[Sentence=-1,1=word max, 1-5]] no[0] [[Sentence=-1,1=word max, 1-5]] no[0] [[Sentence=-1,1=word max, 1-5]] got[0] it[0] [[Sentence=-1,1=word max, 1-5]] you[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
shouldn t have to pay  7 . 50 to hear this in an awful robin williams schmaltzfest . ) 	shouldn t have to pay  7 .<br> 50 to hear this in an awful robin williams schmaltzfest .<br> )	1	-4	 shouldn[0] t[0] have[0] to[0] pay[0] 7[0] [[Sentence=-1,1=word max, 1-5]] 50[0] to[0] hear[0] this[0] in[0] an[0] awful[-3] robin[0] williams[0] schmaltzfest[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
