 " the beach " is a structurally confusing film that i can only describe has having multiple personality disorder . 	Translation	Positive	Negative	EmotionRationale
he seems like a raving lunatic , obviously high from heavy drug use and looking as if he is afflicted with some sort of psychosis . 	he seems like a raving lunatic , obviously high from heavy drug use and looking as if he is afflicted with some sort of psychosis .	2	-3	 he[0] seems[0] like[1] a[0] raving[0] lunatic[-1] obviously[0] high[0] from[0] heavy[0] drug[0] use[0] and[0] looking[0] as[0] if[0] he[0] is[0] afflicted[-2] with[0] some[0] sort[0] of[0] psychosis[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
though his jagged behavior would distress most of us , richard listens to him as he speaks of a mysterious island that contains the most perfect beach that anyone has ever seen . 	though his jagged behavior would distress most of us , richard listens to him as he speaks of a mysterious island that contains the most perfect beach that anyone has ever seen .	2	-2	 though[0] his[0] jagged[0] behavior[0] would[0] distress[-2][--1 LastWordBoosterStrength] most[0] of[0] us[0] richard[0] listens[0] to[0] him[0] as[0] he[0] speaks[0] of[0] a[0] mysterious[0] island[0] that[0] contains[0] the[0] most[0] perfect[1] beach[0] that[0] anyone[0] has[0] ever[0] seen[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
moreover , the island itself flourishes with enough hemp plants that can make a small city high for life . 	moreover , the island itself flourishes with enough hemp plants that can make a small city high for life .	1	-1	 moreover[0] the[0] island[0] itself[0] flourishes[0] with[0] enough[0] hemp[0] plants[0] that[0] can[0] make[0] a[0] small[0] city[0] high[0] for[0] life[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
captivated by the idea , he asks two other hotel guests to join him on his journey . 	captivated by the idea , he asks two other hotel guests to join him on his journey .	1	-1	 captivated[0] by[0] the[0] idea[0] he[0] asks[0] two[0] other[0] hotel[0] guests[0] to[0] join[0] him[0] on[0] his[0] journey[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they are worldly etienne and the alluring francoise , who have also come to thailand for reasons similar to richard's . 	they are worldly etienne and the alluring francoise , who have also come to thailand for reasons similar to richard's .	1	-1	 they[0] are[0] worldly[0] etienne[0] and[0] the[0] alluring[0] francoise[0] who[0] have[0] also[0] come[0] to[0] thailand[0] for[0] reasons[0] similar[0] to[0] richard's[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
once they finally arrive at this paradise , however , the mood of the story shifts to richard's growing desire for francoise . 	once they finally arrive at this paradise , however , the mood of the story shifts to richard's growing desire for francoise .	4	-1	 once[0] they[0] finally[0] arrive[0] at[0] this[0] paradise[3] however[0] the[0] mood[0] of[0] the[0] story[0] shifts[0] to[0] richard's[0] growing[0] desire[0] for[0] francoise[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
this particular plot point is weak at best because there is absolutely no question in my mind that francoise will wind up with richard . 	this particular plot point is weak at best because there is absolutely no question in my mind that francoise will wind up with richard .	2	-2	 this[0] particular[0] plot[0] point[0] is[0] weak[-1] at[0] best[1] because[0] there[0] is[0] absolutely[0] no[0] question[0] in[0] my[0] mind[0] that[0] francoise[0] will[0] wind[0] up[0] with[0] richard[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
etienne is about as exciting as fluffy , white sand . 	etienne is about as exciting as fluffy , white sand .	3	-1	 etienne[0] is[0] about[0] as[0] exciting[2] as[0] fluffy[0] white[0] sand[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it's odd that etienne never sees this coming , but paradise has a way of hiding potential threats just out of view . 	it's odd that etienne never sees this coming , but paradise has a way of hiding potential threats just out of view .	4	-3	 it's[0] odd[0] that[0] etienne[0] never[0] sees[0] this[0] coming[0] but[0] paradise[3] has[0] a[0] way[0] of[0] hiding[0] potential[0] threats[-2] just[0] out[0] of[0] view[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
and once the three stumble across the hidden community ( mood shift imminent ) , more events transpire that depict its hidden dangers . 	and once the three stumble across the hidden community ( mood shift imminent ) , more events transpire that depict its hidden dangers .	1	-2	 and[0] once[0] the[0] three[0] stumble[0] across[0] the[0] hidden[0] community[0] mood[0] shift[0] imminent[0] more[0] events[0] transpire[0] that[0] depict[0] its[0] hidden[0] dangers[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
for example , there are marijuana fields close by patrolled by armed guards . 	for example , there are marijuana fields close by patrolled by armed guards .	1	-1	 for[0] example[0] there[0] are[0] marijuana[0] fields[0] close[0] by[0] patrolled[0] by[0] armed[0] guards[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and the lagoon in which they swim invites the occasional shark . 	and the lagoon in which they swim invites the occasional shark .	1	-2	 and[0] the[0] lagoon[0] in[0] which[0] they[0] swim[0] invites[0] the[0] occasional[0] shark[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there are several ideas that are introduced in " the beach " and each one could merit its own feature-length film . 	there are several ideas that are introduced in " the beach " and each one could merit its own feature-length film .	1	-1	 there[0] are[0] several[0] ideas[0] that[0] are[0] introduced[0] in[0] the[0] beach[0] and[0] each[0] one[0] could[0] merit[1][-1 LastWordBoosterStrength] its[0] own[0] feature[0] length[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's the man vs . nature angle , the love triangle angle , and the utopia-gone-awry angle . 	there's the man vs .<br> nature angle , the love triangle angle , and the utopia-gone-awry angle .	3	-1	 there's[0] the[0] man[0] vs[0] [[Sentence=-1,1=word max, 1-5]] nature[0] angle[0] the[0] love[2] triangle[0] angle[0] and[0] the[0] utopia[0] gone[0] awry[0] angle[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but the film meanders so tremendously that its entire purpose becomes blurred . 	but the film meanders so tremendously that its entire purpose becomes blurred .	1	-2	 but[0] the[0] film[0] meanders[0] so[0] tremendously[0] that[0] its[0] entire[0] purpose[0] becomes[0] blurred[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
dicaprio , as a result , has an almost impossible time of trying to embody the different states of mind that he and the film goes through . 	dicaprio , as a result , has an almost impossible time of trying to embody the different states of mind that he and the film goes through .	1	-1	 dicaprio[0] as[0] a[0] result[0] has[0] an[0] almost[0] impossible[0] time[0] of[0] trying[0] to[0] embody[0] the[0] different[0] states[0] of[0] mind[0] that[0] he[0] and[0] the[0] film[0] goes[0] through[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
consequently , the audience has an equally difficult time trying to keep up . 	consequently , the audience has an equally difficult time trying to keep up .	1	-2	 consequently[0] the[0] audience[0] has[0] an[0] equally[0] difficult[-1] time[0] trying[0] to[0] keep[0] up[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
