the real blonde ( r ) a woman's face , an arm , some pumped-up pectorals , blond hair , a man's sad face , slender legs , a random hand here and there . 	Translation	Positive	Negative	EmotionRationale
and another . 	and another .	1	-1	 and[0] another[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and another . 	and another .	1	-1	 and[0] another[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at one point bob , frustrated with the soap scripts , complains to the head writer ( jim fyfe ) that his and kelly's characters keep on going in circles , with no hint of development or growth . 	at one point bob , frustrated with the soap scripts , complains to the head writer ( jim fyfe ) that his and kelly's characters keep on going in circles , with no hint of development or growth .	1	-3	 at[0] one[0] point[0] bob[0] frustrated[-2] with[0] the[0] soap[0] scripts[0] complains[-1] to[0] the[0] head[0] writer[0] jim[0] fyfe[0] that[0] his[0] and[0] kelly's[0] characters[0] keep[0] on[0] going[0] in[0] circles[0] with[0] no[0] hint[0] of[0] development[0] or[0] growth[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
that is most certainly the case here . 	that is most certainly the case here .	1	-1	 that[0] is[0] most[0] certainly[0] the[0] case[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
joe gets a job and ultimately botches things ; he and mary bicker ; they make up , only to have the pattern repeat itself . 	joe gets a job and ultimately botches things ; he and mary bicker ; they make up , only to have the pattern repeat itself .	1	-1	 joe[0] gets[0] a[0] job[0] and[0] ultimately[0] botches[0] things[0] he[0] and[0] mary[0] bicker[0] they[0] make[0] up[0] only[0] to[0] have[0] the[0] pattern[0] repeat[0] itself[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unhappy with his bottle blonde , bob gets his real blonde but is unsatisfied ; he returns to the faux and is still unsatisfied . 	unhappy with his bottle blonde , bob gets his real blonde but is unsatisfied ; he returns to the faux and is still unsatisfied .	1	-3	 unhappy[-2] with[0] his[0] bottle[0] blonde[0] bob[0] gets[0] his[0] real[0] blonde[0] but[0] is[0] unsatisfied[0] he[0] returns[0] to[0] the[0] faux[0] and[0] is[0] still[0] unsatisfied[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
if there is a point to all of this , dicillo dances around it , spending his time on apparent digressions that , as it turns out , aren't digressions at all . 	if there is a point to all of this , dicillo dances around it , spending his time on apparent digressions that , as it turns out , aren't digressions at all .	1	-1	 if[0] there[0] is[0] a[0] point[0] to[0] all[0] of[0] this[0] dicillo[0] dances[0] around[0] it[0] spending[0] his[0] time[0] on[0] apparent[0] digressions[0] that[0] as[0] it[0] turns[0] out[0] aren't[0] digressions[0] at[0] all[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the real blonde is not without some amusements . 	the real blonde is not without some amusements .	1	-1	 the[0] real[0] blonde[0] is[0] not[0] without[0] some[0] amusements[1][-1 LastWordBoosterStrength] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it does have the occasional funny line and situation ; leary , henry , lloyd , steve buscemi , and dave chappelle shine in their small roles ; keener is a likable , refreshingly earthy lead ; berkley's appearance is mercifully brief ( she receives outrageously prominent billing and ad placement for a ten-minute role ) ; and there is the irony of having caulfield play a wildly popular soap star who makes the ratings skyrocket ( last year , the actor was fired from the daytime drama all my children after a scant six months--due to lack of viewer interest ) . 	it does have the occasional funny line and situation ; leary , henry , lloyd , steve buscemi , and dave chappelle shine in their small roles ; keener is a likable , refreshingly earthy lead ; berkley's appearance is mercifully brief ( she receives outrageously prominent billing and ad placement for a ten-minute role ) ; and there is the irony of having caulfield play a wildly popular soap star who makes the ratings skyrocket ( last year , the actor was fired from the daytime drama all my children after a scant six months-due to lack of viewer interest ) .	2	-3	 it[0] does[0] have[0] the[0] occasional[0] funny[1] line[0] and[0] situation[0] leary[0] henry[0] lloyd[0] steve[0] buscemi[0] and[0] dave[0] chappelle[0] shine[0] in[0] their[0] small[0] roles[0] keener[0] is[0] a[0] likable[0] refreshingly[0] earthy[0] lead[0] berkley's[0] appearance[0] is[0] mercifully[0] brief[0] she[0] receives[0] outrageously[-2] prominent[0] billing[0] and[0] ad[0] placement[0] for[0] a[0] ten[0] minute[0] role[0] and[0] there[0] is[0] the[0] irony[-1] of[0] having[0] caulfield[0] play[0] a[0] wildly[0] popular[0] soap[0] star[0] who[0] makes[0] the[0] ratings[0] skyrocket[0] last[0] year[0] the[0] actor[0] was[0] fired[-2] from[0] the[0] daytime[0] drama[0] all[0] my[0] children[0] after[0] a[0] scant[0] six[0] months[0] due[0] to[0] lack[-1] of[0] viewer[0] interest[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
but on the whole , the real blonde is a frustrating sit that lives up to the stereotypes of its title--it may be glossy on the surface , but there's nothing going on inside . 	but on the whole , the real blonde is a frustrating sit that lives up to the stereotypes of its title-it may be glossy on the surface , but there's nothing going on inside .	1	-3	 but[0] on[0] the[0] whole[0] the[0] real[0] blonde[0] is[0] a[0] frustrating[-2] sit[0] that[0] lives[0] up[0] to[0] the[0] stereotypes[0] of[0] its[0] title[0] it[0] may[0] be[0] glossy[0] on[0] the[0] surface[0] but[0] there's[0] nothing[0] going[0] on[0] inside[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 ( opens february 27 ) 	 ( opens february 27 )	1	-1	 opens[0] february[0] 27[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
