i guess that if a very wild bachelor party had gone really bad , there would be broken furniture , traces of smack and cocaine on the floor , and a dead prostitute in the bathroom . 	Translation	Positive	Negative	EmotionRationale
drugs , mutilation , and killing your own friends isn't something to be laughed at . 	drugs , mutilation , and killing your own friends isn't something to be laughed at .	2	-2	 drugs[0] mutilation[0] and[0] killing[-1] your[0] own[0] friends[1] isn't[0] something[0] to[0] be[0] laughed[1] at[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
as a straight psychological drama , i could see how it might have worked , as each one tried to maneuver and overcome the weight of their own guilt in their own sometimes-sick ways . 	as a straight psychological drama , i could see how it might have worked , as each one tried to maneuver and overcome the weight of their own guilt in their own sometimes-sick ways .	1	-4	 as[0] a[0] straight[0] psychological[0] drama[0] i[0] could[0] see[0] how[0] it[0] might[0] have[0] worked[0] as[0] each[0] one[0] tried[0] to[0] maneuver[0] and[0] overcome[0] the[0] weight[0] of[0] their[0] own[0] guilt[-3] in[0] their[0] own[0] sometimes[0] sick[-1][--1 LastWordBoosterStrength] ways[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
but this movie insults us by assuming that we could simply discard our values for 2 hours . 	but this movie insults us by assuming that we could simply discard our values for 2 hours .	2	-3	 but[0] this[0] movie[0] insults[-2] us[0] by[0] assuming[0] that[0] we[0] could[0] simply[0] discard[0] our[0] values[1] for[0] 2[0] hours[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
if you do like this movie , i don't think that i want to know you . 	if you do like this movie , i don't think that i want to know you .	2	-1	 if[0] you[0] do[0] like[1] this[0] movie[0] i[0] don't[0] think[0] that[0] i[0] want[0] to[0] know[0] you[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i did find slater a convincing leader who sways his friends to choose not the right thing but the ? smart play . ' 	i did find slater a convincing leader who sways his friends to choose not the right thing but the ?<br> smart play .<br> '	2	-1	 i[0] did[0] find[0] slater[0] a[0] convincing[0] leader[0] who[0] sways[0] his[0] friends[1] to[0] choose[0] not[0] the[0] right[0] thing[0] but[0] the[0] [[Sentence=-1,2=word max, 1-5]] smart[1] play[0] [[Sentence=-1,2=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
and diaz adds some brightness to this film as a wedding-needing fiancee . 	and diaz adds some brightness to this film as a wedding-needing fiancee .	1	-1	 and[0] diaz[0] adds[0] some[0] brightness[0] to[0] this[0] film[0] as[0] a[0] wedding[0] needing[0] fiancee[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but her talents are essentially wasted here . 	but her talents are essentially wasted here .	2	-2	 but[0] her[0] talents[1] are[0] essentially[0] wasted[-1] here[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's obvious that the film maker is trying to strike a certain tone . 	it's obvious that the film maker is trying to strike a certain tone .	1	-2	 it's[0] obvious[0] that[0] the[0] film[0] maker[0] is[0] trying[0] to[0] strike[-1] a[0] certain[0] tone[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but the way that he chooses to do it is tasteless . 	but the way that he chooses to do it is tasteless .	1	-1	 but[0] the[0] way[0] that[0] he[0] chooses[0] to[0] do[0] it[0] is[0] tasteless[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
do not make a very bad decision by seeing this film . 	do not make a very bad decision by seeing this film .	1	-3	 do[0] not[0] make[0] a[0] very[0] bad[-1][-1 LastWordBoosterStrength] decision[0] by[0] seeing[0] this[0] film[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
